X11.PDX8.ccRCC.htseq2	X17.PDX2.2180.P1.htseq2	X26.PDX2.2181.P1.htseq2	X29.PDX2.2192.P1.htseq2	X2.PDX2.normal.htseq2	X34.PDX2.2194.P1.htseq2	X4.PDX3.normal.htseq2	X6.PDX4.ccRCC.htseq2	X7.PDX5.ccRCC.htseq2	X8.PDX5.normal.htseq2
MYDGF	670.572857182418	1058.4824812127	1256.89216106409	1078.7693764856	472.768209311656	1120.0014497533	322.733121559997	978.551558865668	513.628391366369	380.722836813757
RPL36AL	1930.14161340494	1606.283722818	2034.63106636102	2010.13737504754	1239.73185322214	1687.47992911644	1545.77357917913	1457.8106687983	3426.44203187828	1889.74169203913
CHMP7	483.304997295974	257.590316894483	324.549619054107	264.800705473492	426.519145357255	258.397960588484	396.528804843533	371.387284545868	168.956707686306	487.078609041082
CHMP6	338.621335685077	280.087287802298	326.909979919955	336.544738976162	242.165237650128	268.368299903796	225.32281962573	305.123163236854	288.352781117961	234.290976500773
CHMP5	1149.77335343979	954.99641503675	535.801916547507	769.617813937734	880.016911354578	818.398685465136	765.507221261213	815.202794708565	1018.2457583228	749.114569601157
TDG	203.685864040872	195.723646897991	339.891964682119	268.714016391819	212.61722456815	229.31780425216	221.387049850608	245.023146235655	184.726000403694	326.774256698447
ENTPD6	475.09599521876	707.529735050784	914.63983551612	993.980973255176	561.412248557592	727.003908408115	817.656170781578	633.361717628015	509.122879161401	1041.97829022712
TBX2	465.860867881894	2.24969709078151	3.54054129877208	1.30443697277582	698.87474419984	3.3234464384371	1440.49173769462	67.8051473859676	396.485074037197	877.049773874606
KIAA1522	240.626373388335	999.99035685238	1114.09032868028	1129.64241842386	862.673512371677	1026.11408786745	1267.31786758926	886.08999424844	304.12207383535	790.73204569011
MPDU1	661.337729845553	413.944264703797	439.027121047737	421.33314220659	460.563595212578	382.196340420266	643.498358232433	818.284846862472	651.046513617897	769.152613643986
LRRC28	185.728671996967	355.452140343478	369.39647550522	348.284671731144	169.579901166138	354.77790730316	189.900891649632	238.85904192784	155.440171071401	188.049336401937
LPCAT4	124.674219047688	174.351524535567	323.369438621183	213.927663535235	193.346781253816	231.810389080988	123.97674791634	160.266712003196	112.637805124204	184.966560395347
LPCAT3	567.447268587418	446.564872520129	377.657738535688	416.115394315487	346.867979658009	418.754251243074	300.102445353046	1012.45413255865	628.518952593057	374.557284800579
LPCAT1	3542.18439631784	1708.64494044855	3346.99170777254	2578.8718951778	565.266337220459	2626.35354797492	329.62071866646	4316.41404154762	3212.43020214229	787.649269683521
TAGLN	1598.1900919076	61.8666699964914	236.036086584805	92.6150250670833	5292.30608222654	63.9763439399142	3864.92591916972	1050.9797844825	919.124489813502	2384.52724109669
CCDC174	151.353475798633	130.482431265327	138.081110652111	164.359058569753	260.150984743507	132.106995927875	313.877639565973	172.594920618827	216.264585838471	303.653436649029
PDK1	606.440028454184	610.792760147179	480.333436200078	661.349545197341	116.265007996481	577.448818678446	90.5227048278041	439.192431931835	732.145733307324	98.648832210852
PDK3	508.445066157442	1048.35884430418	1032.65787880852	1170.07996457991	318.604662796986	1197.27157944696	379.801783299265	425.323197239251	551.925245108598	368.3917327874
PDK2	914.277606349709	533.178210515217	531.081194815811	525.688100028656	539.572412801347	496.855242546346	908.178875609382	679.592499936629	889.838660481209	664.338229419956
EBP	273.975444327017	401.570930704499	688.045192394707	656.131797306238	210.690180236716	591.573466041804	437.854387482313	417.618066854482	376.21026911484	349.895076747866
PDK4	2013.77082206656	430.816992884659	162.864899743515	919.628065806954	5376.45368469913	185.282138942868	4695.37334172045	5466.01949495516	28184.2315981782	3142.89013871761
SEC61A1	1848.0515926328	2440.92134349794	2463.03656351244	2432.77495422691	1559.62121224008	2485.93793595095	1739.61024060389	2416.32888866357	1660.28124753076	1905.15557207208
ALPL	1560.73651993031	340.829109253398	470.891992736686	456.552940471537	71.3006402630351	405.460465489326	301.086387796827	95.5436167711361	3138.08925076031	248.163468530424
DDIT3	578.221583813761	211.471526533462	303.306371261474	301.324940711215	317.962314686508	235.964697129034	411.28794150024	352.894971622422	295.111049425414	545.651353166275
DDIT4	3307.71477448742	3573.64382870642	4157.77566519134	3224.56819670183	2874.50779438813	3639.17385008862	1122.67832835353	3028.11624121423	3865.72947186267	806.145925723056
GOLGA8A	95.9427117774386	32.6206078163319	54.2882999145052	61.3085377204636	407.248702042921	51.513419795775	514.601898097191	1124.94903617628	146.429146661465	490.161385047671
GOLGA8B	479.200496257367	485.934571608806	978.369578894017	828.317477712646	799.081049434375	720.357015531241	631.691048907068	923.074620095331	168.956707686306	1549.09494331103
ATP5C1	1719.78593517633	2068.5964749736	1697.09946254475	1939.69777851765	1323.87945569473	1826.23381792119	1920.6556502595	2816.99566867156	2083.79939479777	1495.14636319573
NPC2	1268.80388355939	1015.73823648785	905.198392052727	1265.30386359255	1177.4240865058	1224.69001256407	867.837235414382	1585.71583318547	1687.31432076057	1114.42352638197
C3orf58	341.699711464033	202.472738170336	106.216238963162	165.663495542529	252.442807417773	183.62041572365	123.97674791634	158.725685926242	322.144122655223	117.145488250387
RAB3GAP2	508.445066157442	431.941841430049	403.621708060017	397.853276696625	511.309095940324	408.783911927763	538.216516747922	514.702709702572	630.771708695541	548.734129172864
RAB3GAP1	639.789099392866	492.68366288115	319.828897322411	382.200033023316	644.275154809227	427.062867339167	599.220948262312	510.07963147171	511.375635263885	397.678104849997
DAG1	313.48126682361	296.960015983159	310.387453859019	326.109243193955	953.244595949046	341.484121549412	952.456285579504	485.42321424045	241.044902965796	867.801445854838
ETHE1	107.230089633608	188.974555625647	243.117169182349	212.623226562459	200.412610469072	275.01519278067	157.430791004877	104.789773232859	108.132292919236	243.539304520541
SGSM3	428.920358534431	923.500655765809	1049.18040486946	894.843763324213	637.209325593971	970.446360023633	615.94796980658	517.784761856479	437.03468388191	631.96908135077
KDM1A	472.530682069631	480.310328881852	527.540653517039	494.381612682036	606.376616291037	454.481300456273	622.835566913043	488.505266394357	389.726805729745	476.28889301802
KDM1B	160.075540505673	426.317598703096	274.982040871298	349.58910870392	162.514071950882	378.872893981829	97.4103019342674	191.087233542272	148.681902763949	134.100756286627
FCER1G	208.816490339131	5.62424272695377	3.54054129877208	6.52218486387911	204.266699131938	3.3234464384371	42.3095250825606	674.969421705768	475.33153762414	60.1141321284879
BTG3	172.90210625132	344.203654889571	250.198251779893	297.411629792887	273.64029506354	318.219996480352	608.076430256336	117.117981848489	108.132292919236	200.380440428293
BTG2	2680.23917821037	263.214559621436	142.801832383807	193.056671970822	6258.39764038514	233.472112300206	2531.68390784717	1017.07721078951	333.407903167643	1809.58951586782
BTG1	3460.0943755457	1597.28493445487	1384.35164781988	1134.86016631496	2947.7354789826	1622.67272356691	1350.9529753106	3260.81117883426	2743.8569328256	1564.50882334398
SRD5A3	223.695306604081	936.998838310498	780.099266162781	1297.91478791194	89.2863873564133	1118.33972653408	67.8920286208531	203.415442157903	220.770098043439	100.190220214147
ARMT1	532.559009759258	406.070324886062	212.432477926325	330.022554112283	363.569030530431	421.246836071902	326.668891335119	326.697528314207	236.539390760828	369.933120790695
GGA1	414.554604899307	341.953957798789	653.81995983991	440.899696798228	537.645368469913	368.071693056909	554.94353829219	593.295039627216	396.485074037197	975.698606085458
GGA3	260.122753321719	264.339408166827	389.459542864928	339.153612921713	258.866288522551	254.243652540438	288.29513602768	257.351354851286	229.781122453376	308.277600658912
GGA2	919.408232647968	398.196385068327	415.423512389257	512.643730300898	762.467207137141	426.232005729558	857.013868532797	1029.40541940514	669.06856243777	810.77008973294
FHOD1	220.1038681953	97.8618234489956	232.495545286033	161.750184624202	203.624351021461	148.72422812006	173.173870105364	152.561581618427	274.836244503057	278.991228596316
FHOD3	233.956559200599	265.464256712218	146.342373682579	327.413680166731	508.739703498413	260.890545417312	576.590272055361	280.466746005593	198.242537018598	638.134633363949
C4orf3	1690.54136527626	908.877624675729	745.874033607984	1177.90658641657	1011.05592589205	1036.08442718277	948.520515804382	1658.1440588023	1171.43317329172	1012.69191816453
PSMB7	1189.7922385662	3129.32865327708	4089.32520008175	3671.99007836394	838.906632283999	3044.27693760838	942.616861141699	1467.05682526003	1144.40010006191	826.183969765885
PSMB6	609.518404233139	596.169729057099	549.964081742596	542.645780674742	564.623989109981	521.781090834624	748.780199716944	1018.61823686647	709.618172282483	759.904285624219
PSMB5	733.166498021175	1625.40614808964	1327.70298703953	1455.75166161782	674.465516001683	1572.82102699036	854.062041201456	548.605283395556	587.969342748343	857.011729831776
C14orf119	362.735279286894	492.68366288115	544.063179577976	538.732469756414	335.305713669408	557.508140047823	367.994473973899	308.205215390762	328.902390962675	357.602016764338
PSMB3	763.437193180902	1500.54795955127	1738.40577769709	1454.44722464504	801.650441876287	1389.20061126671	951.472343135723	1607.29019826282	1133.13631954949	1066.64049827984
PSMB2	527.428383460999	975.243688853783	971.288496296473	870.059460841473	423.307404804866	995.372208311911	452.61352413902	702.707891090937	642.035489207961	528.696085130035
PSMB1	1363.20740744735	1859.37464553092	1813.93732540423	1895.34692144327	982.150260920547	1827.0646795308	1121.69438590975	1830.73897942112	1052.03709986006	1200.74125456646
LMBR1L	299.115513188485	251.966074167529	468.531631870838	306.542688602318	290.341345935963	294.955871411293	319.781294228656	251.187250543471	274.836244503057	485.537221037787
ACKR3	575.143208034806	219.345466351197	290.32438649931	208.709915644131	172.149293608049	225.163496204113	124.960690360121	240.400068004794	238.792146863312	41.6174760889532
LTN1	386.336160258884	320.581835436365	179.387425804452	210.014352616907	391.189999280976	285.81639370559	305.022157571948	234.235963696979	385.221293524777	215.794320461239
NACC2	166.745354693409	176.601221626348	228.955003987261	245.234150881854	262.720377185418	247.596759663564	351.267452429631	192.628259619226	157.692927173885	275.908452589727
VPS13D	331.951521497341	272.213347984562	252.558612645741	230.88534418132	695.663003647451	275.846054390279	919.986184934748	383.715493161498	551.925245108598	551.816905179453
NACC1	194.963799333832	232.843648895886	283.243303901766	284.367260065129	274.282643174018	236.795558738643	447.693811920118	405.289858238852	205.000805326051	345.270912737982
SH3KBP1	250.887625984853	119.23394581142	190.009049700768	105.659394794842	312.823529802686	147.062504900842	176.125697436706	490.046292471311	236.539390760828	254.329020543603
VPS13C	585.917523261149	726.652160322427	505.117225291483	526.992537001432	1154.94190263907	613.175867891645	655.305667557799	676.510447782722	707.365416179999	645.841573380421
VPS13B	251.400688614679	355.452140343478	180.567606237376	200.883293807476	319.247010907464	303.264487507385	218.435222519266	95.5436167711361	333.407903167643	157.221576336045
BEX5	316.046579972739	160.853341990878	286.783845200538	193.056671970822	238.953497097739	138.753888804749	360.122934423655	9.24615646172285	468.573269316687	544.10996516298
BEX4	951.218115697172	4.49939418156301	7.08108259754415	3.91331091832746	749.620244927585	7.47775448648347	809.784631231334	500.833475009988	78.8464635869426	494.785549057554
BEX3	1515.58700850563	762.647313774931	559.405525205988	647.000738496807	1652.76168825936	707.063229777493	2259.13185091998	821.36689901638	1169.18041718923	1684.73708760096
BEX2	514.601817715353	19.1224252716428	11.8018043292403	10.4354957822066	228.675927330095	16.6172321921855	401.448517062435	137.151320848889	4.50551220496815	283.615392606199
TMEM165	479.713558887193	644.538216508902	443.747842779433	650.914049415135	636.566977483494	721.18787714085	601.188833149873	662.641213090138	441.540196086878	480.913057027903
TMEM164	96.4557744072645	196.848495443382	201.810854030008	234.798655099648	377.058340850465	247.596759663564	479.179970121093	97.0846428480899	108.132292919236	342.188136731393
TMEM168	292.958761630575	384.698202523638	384.738821133232	436.9863858799	457.994202770667	408.783911927763	490.003337002679	298.959058929039	382.968537422293	315.984540675385
FOXN2	195.989924593484	129.357582719937	118.018043292403	92.6150250670833	286.487257273096	120.474933393345	180.061467211828	172.594920618827	236.539390760828	131.017980280038
FOXN3	635.684598354259	373.44971706973	507.477586157331	436.9863858799	569.120425883325	427.062867339167	560.847192954873	431.487301547066	856.047318943948	645.841573380421
COL14A1	86.7075844405729	19.1224252716428	55.4684803474292	0	552.419375010903	11.6320625345298	273.535999370973	50.8538605394757	20.2748049223567	126.393816270154
IFFO1	240.113310758509	190.099404171037	350.513588578435	302.629377683991	242.807585760606	205.222817573491	129.880402579023	302.041111082946	306.374829937834	325.232868695153
IFFO2	135.961596903857	116.984248720638	161.684719310591	130.443697277582	197.843218027161	180.296969285213	204.66002830634	493.128344625219	162.198439378853	336.022584718214
MACROD1	194.450736704007	208.096980897289	254.918973511589	170.881243433633	229.318275440572	196.914201477398	501.810646328044	363.682154161099	450.551220496815	374.557284800579
PPIL1	194.963799333832	417.31881033997	381.19827983446	369.155663295557	210.047832126239	343.14584476863	214.499452744144	144.856451233658	153.187414968917	218.877096467828
KRR1	355.039339839505	420.693355976142	494.495601395167	465.683999280968	467.629424427834	368.902554666518	600.204890706092	419.159092931436	360.440976397452	564.14800920581
STRN	382.231659220277	239.592740168231	147.522554115503	140.879193059789	447.074284892544	160.35629065459	449.661696807679	180.300051003596	299.616561630382	235.832364504068
MTCL1	408.397853341396	772.770950683448	869.792979065007	1100.94480502279	80.2935138097242	786.825944299983	175.141754992925	564.015544165094	290.605537220446	101.731608217441
TP53I3	443.799174799382	698.530946687658	1014.95517231466	1168.77552760714	541.49945713278	832.523332828493	559.863250511093	1060.22594094422	337.913415372611	605.765485294763
RALBP1	662.87691773503	817.764892499078	731.711868412896	761.79119210108	1110.61988301611	751.098895086784	1279.12517691462	832.154081555056	628.518952593057	1083.59576631608
ZNF830	304.75920211657	204.722435261117	271.441499572526	243.929713909079	206.193743463372	220.178326546458	242.049841169998	201.874416080949	195.989780916114	223.501260477711
FAM91A1	580.273834333065	733.401251594771	533.441555681659	613.085377204636	517.732577045102	721.18787714085	408.336114168899	639.52582193583	596.980367158279	391.512552836819
SBSPON	313.48126682361	212.596375078852	162.864899743515	206.10104169858	792.01522021912	181.127830894822	477.212085233532	75.5102777707366	22.5275610248407	470.123341004841
SLC17A4	1623.33016076907	5.62424272695377	9.4414434633922	13.0443697277582	32.7597536343675	7.47775448648347	5.90365466268287	115.576955771536	574.452806133439	90.9418921943792
SLC17A1	584.378335371671	12.3733339992983	10.6216238963162	9.13105880943075	229.96062355105	14.1246473633577	121.024920584999	1411.57988648969	903.355197096114	778.400941663754
SLC17A3	532.559009759258	52.8678816333654	41.3063151523409	86.0928402032042	120.119096659347	75.608406474444	143.65559679195	9104.3820626431	11169.164756116	1038.89551422053
C16orf58	820.9002077214	701.90549232383	657.360501138682	596.12769655855	628.85880015776	609.021559843598	678.920286208531	540.900153010787	572.200050030955	513.282205097089
CHMP4A	632.093159945478	962.870354854485	921.720918113664	943.107931316919	563.339292889025	905.639154474109	525.425264978776	528.571944395156	662.310294130318	846.222013808714
CHMP4B	1111.29365620285	1086.60369484747	1206.14440244835	1569.23767824931	1128.60563010948	1301.96014225773	1284.04488913353	1553.35428556944	1272.8071979035	1401.12169499476
COBLL1	321.690268900824	170.976978899395	115.657682426554	110.877142685945	2069.64561195945	151.216812948888	2114.49231168425	184.923129234457	515.881147468853	1162.2065544841
ST5	134.422409014379	367.825474342776	485.054157931774	463.075125335417	529.93719114418	378.04203237222	354.219279760972	152.561581618427	90.1102440993629	790.73204569011
TMEM173	172.389043621494	154.104250718533	265.540597407906	357.415730540575	384.124170065721	185.282138942868	183.013294543169	121.741060079351	182.47324430121	275.908452589727
ZNF302	790.116449931847	586.046092148583	616.054185986341	545.254654620293	673.180819780728	535.905738197982	635.626818682189	691.92070855226	838.025270124075	544.10996516298
STS	220.616930825126	174.351524535567	63.7297433778974	217.840974453562	147.097717299415	144.569920072014	82.6511652775602	195.710311773134	99.1212685092992	161.845740345929
PPP3CA	443.799174799382	400.446082159108	656.180320705758	413.506520369935	544.711197685169	393.828402954796	442.774099701216	411.453962546667	430.276415574458	596.517157274995
PPP3CB	505.366690378487	299.20971307394	293.864927798082	253.060772718509	562.05459666807	289.970701753637	529.361034753898	443.815510162697	394.232317934713	582.644665245344
