DEXI	PRCC	STK19	DDX39A	RPLP2	SCAND1	BRK1	TMEM179B	VPS72	CD2BP2	FIBP	KIF22	EXOSC7	H2AX	PRPF6	SIRT7	ALYREF	SART1	FAM174C	ABHD17A	HIKESHI	PSMD13	THOC6	CDC34	SMIM19	LMNA	EHMT2	AKAP8L	PSMD8	PPIE	PRPF19	TMEM259	DGKZ	PABPN1	THEM6	RBM10	AP5Z1	GTF2H4	SLC2A4RG	PQBP1	NCBP3	PRPF4B	DHX15	CWC22	PPP4R3A	PPP4R3B	BCLAF1	ZC3H14	RTL6	COG6	GPATCH8	SETD2	SDE2	UBE4A	SOCS6	ZC3H11A	DDX42	FBXL4	DDX46	TCF12	POLR3B	TAF5L	ZNF217	NCAPG2	HELQ	DOCK1	RBBP6	ZNF160	CSRNP2	RSBN1L	FOXJ3	GNAQ	ERBIN	PALB2	YLPM1	FBXO34	RBM27	EPG5	ALMS1	MAPK14	FYTTD1	POLI	CWF19L2	SCAPER	SIK2	SMC5	ZNF621	PRPF40A	MRTFB	MAPK1	TMEM209	THRAP3	API5	RSRC2	TAB3	CMTR2	HP1BP3	SF3B1	PRKAA1	CBLL1	CPSF6	DDX17	CDK12	CDK13	SON	CDYL	MED17	KCTD20	ZNHIT6	TRIP12	RBM26	SRRM1	ARMCX5	EPC2	HBP1	RALGAPB	KAT6A	speckleScore
TCGA.4P.AA8J.01	1.11310839809583	-0.468709195059327	0.94046628840996	0.393276486613214	0.582638048412663	0.699365047377042	0.520805595536201	0.54842410419768	0.594782488178328	1.45969690793072	1.59883833331719	-0.177669625278957	-0.259246443702337	1.41780781623443	0.173067032902976	-0.117784005051507	-0.181880136924103	0.234953984247786	-0.0645908133185822	0.681777263135086	0.971105984777435	1.46005828495486	0.977500887993089	0.202038275422825	-0.315333344134771	-0.202628409821235	0.512382190190261	1.34063729444758	2.23869479660343	0.782700145934081	-0.207787240762143	0.19493390918019	0.831290014194577	-0.0110981766172397	-0.42803497203924	0.598133970700927	-0.345675781503271	0.780721166804494	1.39811669380951	0.484456755506792	0.0495365097225413	-1.75970210621793	-1.45120892291344	-1.00909097791938	-0.991558965961456	-1.43082347981751	-1.47784854964503	-0.628396141302387	-1.04753785584577	-0.618323191578171	-1.52271581614127	-1.32214166662465	-1.61282812235495	-0.319695980741762	-1.30398618193334	-0.365214825419009	-0.214178530244231	-0.65073286120156	-1.03787810006765	-0.96884645276839	-0.769248148543911	-0.881209349527125	-1.54568753945505	-1.09630079035072	-0.23883003459625	-0.0672789671236234	-0.736731518616853	0.730479732650996	-0.0225195158540057	-0.925306314299293	-1.39254350056895	-1.22171651520688	-0.933003055000508	-1.81468695600015	-1.15198474124122	-1.43374513479177	-1.06330802179776	-1.09172472875246	-0.718687850221067	-0.74491530901004	-1.1587161235214	-0.520744266762578	-0.832263332613482	-0.992135806013255	-0.741405273588939	-0.954853945548473	-0.636931076769301	-1.46025800762485	-1.32884598599731	-1.67968069531034	-0.976294855155587	-1.31690922722357	-0.648028681377488	-0.484181937861498	-1.46030008104499	-0.862526364674934	-0.655291934881126	-1.4098085528052	-0.000252890336536942	-0.878999334935548	-0.89396318604801	-0.704607208164586	-1.03454782348055	-1.30254395654918	-1.54405570002648	-2.00745311294779	-0.0889143431149079	-1.31686870351012	-0.348287131268648	-0.739287209292894	-1.3228098241814	-1.35777123156797	-0.255595627771073	-1.06866226022567	-0.314846842245963	-0.969524433041536	-1.08873515347175	1.46091366413588
TCGA.BA.4074.01	-0.793670002235075	-1.23735149491316	0.283333807966564	2.40018980985747	0.561154993236074	0.149219800719493	3.91555617640951	0.998732145854489	0.697959124271727	-0.118951790596245	0.997647910127438	-0.202257709826356	1.38454972807194	0.290457831268691	-1.88379364413887	-0.572132795375935	1.58750234188935	-1.80508340608485	0.14664891602085	0.394381702997626	3.37641773381736	6.17773946840606	0.34971116404341	0.151899660359411	0.736606341866788	-1.38463010307729	-1.91938570334771	-1.72166489603936	5.10036999667412	3.17259193798856	-1.54030828480332	-1.48485742311755	-1.30219247353435	-1.65409831148749	-1.03967152273398	-1.91958181951841	-1.34019873983015	1.39835385553868	-0.422508199663349	1.54745156634552	-1.76700692683999	0.289685368695775	0.380236985045278	0.521057262774983	-1.10118305732912	1.22993617823174	-1.25267811848822	-0.462577658876657	-1.1233673507285	3.69727110537117	-2.10317165184837	-2.09197136576361	1.79051632432137	-0.83444834386371	-0.493659740686836	-2.18043156615339	-3.1505787778207	2.52034204720909	-1.56478476641237	0.837628212671048	-0.890882743563236	0.168554216525571	-0.872833419661577	-0.919463399410132	5.74572460840425	-1.45703688318571	-1.71828751477127	-0.816698630596147	0.0760998783560327	-0.44318726157481	-1.62615587904194	-1.22372604104575	-1.28185561581767	-0.13459163635713	-2.34975665475227	-1.11548462164093	-1.16191528901564	-1.36410459433497	-0.969213584694326	1.80312371322034	-0.137067169011212	0.922666287894823	-0.866364788251917	-1.37933363464364	-1.21187196011612	-1.18283748339299	-0.501046516077887	0.263937465941034	-0.745428958515338	0.951779873236982	-0.509321208677909	-2.7597430249527	2.40183289536737	-1.19393534968252	-1.07493623240973	4.44872462080065	0.820849220051357	0.38592416043444	9.71070950897142	-1.00406251395736	-1.36565585662075	-0.05754291399576	-1.22372189031823	-1.23486134336733	-1.48494434973253	-0.75594344053249	-0.453732748526643	1.05747489876829	-1.38307634086793	-0.677042952372421	-0.908530639015045	-1.15980195224954	0.969809599574087	-0.602786047979488	0.929879255317188	-1.06700285836109	-1.18111299970018	0.6053319433796
TCGA.BA.4076.01	-0.223354723050053	-0.727447074560953	0.252866182203093	-1.19084161899541	0.133798834045116	-0.548407119130928	-0.339488047897919	-0.162733301933467	-0.280786258869573	-0.41825463505626	0.502353812069369	-0.5461620780948	-0.654977838948722	-0.690738866848609	-1.15182622422487	-0.147121951819419	-0.982673723053587	-1.01773405062422	-0.0287463914278183	0.0740744200469657	-0.523718026060346	0.728620617561666	-0.147151649379995	0.739829420472577	-0.59010852206044	-0.922367033632443	-1.03010542352824	-1.05879658405311	1.6090443457895	0.326035124745092	-0.814772877764787	-0.448807425040652	-0.366913658494115	-0.874601030187562	-0.401573874106773	-0.876159931895971	0.873468607812051	0.106440835545031	0.316045424521618	-0.184077434870118	0.450666061637574	-0.515709328431554	-1.21867190219731	-1.63049337333874	-1.08469823155954	0.315085368103273	1.84754613437449	0.185682667571587	0.503849700207569	0.993619689443506	-0.128780623107499	-1.26356432665132	0.359373465838844	-0.966893301514352	-0.423242565205095	-0.803065695712478	-1.50901897838079	-0.822549409640079	-0.963027259736484	-0.399057310162034	-0.984990653955696	-0.526859657472214	-0.175702803145333	-1.06999863427591	1.68665829921282	0.572804571625621	-0.547481778535541	2.28254524597175	1.72142466837224	-1.27469535921382	-0.0378379942680136	-0.461967071975547	-0.27418878428407	0.743931186228519	0.742844466763741	-1.19694611545202	0.956820144444346	-1.08979789460644	-0.72782382138328	0.927576979460245	0.800953830604278	0.020963309860037	-1.65631000685635	0.223386341966372	-0.771609068106804	-0.755970051577195	-0.630960842716795	-1.63377784446116	-0.503032658362566	1.41668271191469	-1.21191568435383	-1.38152647239181	0.428457240559627	-0.913421643386922	0.00840587692187916	9.01501015171262	0.820163241499478	-1.4384309145936	0.151147941674561	-1.36092232293926	-0.645051963753125	0.319323815458489	-0.139441862580617	0.969613171845316	-0.723472863996881	1.12698038681236	-0.702639252565736	0.49466735098428	-0.766432507362318	-1.30477204163109	0.147316543312027	-0.684560557723762	-0.622056726713383	-1.50840438635713	-0.152065668751011	-0.49311042704627	-0.851202164508884	-0.153045441918555
TCGA.BA.4078.01	-0.980233190842375	-0.916326736108959	-0.770134899781823	0.730539935187125	-0.564033615939779	-0.217456257269452	-0.639617550896674	0.937114394511436	-0.142836205958824	-1.31468804572165	0.505204161762037	-0.313811377213266	-0.567129361943921	-0.699370196459637	-1.54834184913874	-1.08301505620423	-0.101138758257453	-0.543654060606564	-0.217183088339124	-0.369197373792258	-0.764234839897784	-0.7295495731279	-0.682678647006702	-0.797586192795392	0.296239466905489	-0.810684404876719	-0.515293416384991	0.204109460623587	-0.0258346978351745	0.772707205930756	0.259679204204716	-0.234796581231793	1.19610164247394	-1.38308894879215	-0.90790372318115	0.190280848369363	-0.628758718063527	-0.904811869206713	-1.20059398096793	-0.337925896944007	0.432276733364548	1.81901877927114	-0.353308748968228	0.537688778886055	-1.34786931673423	0.452252988571369	0.214655525697715	-1.11135580206618	2.84426584464071	0.611144340846243	0.877133138173336	0.0385810302845935	1.0643742530259	-0.411658711735913	-0.318572081537913	0.391446391590336	0.496966687745375	2.98280133893919	-0.455601960088411	1.94035916027793	1.41928842328801	-0.19464925332183	0.0910182603407874	1.24202332513424	0.021386977442994	1.05444123278486	-0.0895145342120766	3.35159559662416	2.08679085409267	2.09671977792355	1.49759050182962	0.219135093287251	-0.399975214276189	-0.942103559443863	-0.503879599630155	-0.058576033183022	-0.775371065892449	0.995069035152479	2.98234586040907	0.917842782905402	0.404932593978141	2.45313896399619	0.186115155991263	0.538024092956747	0.112463298044482	1.50773066285232	3.88531058930902	0.0476618150828522	-0.190078223117302	0.579149018386537	1.33850098914257	-0.100766114579438	-0.609990753173763	0.0944698610351976	-0.232919124065717	-0.80721505920123	0.346778758606218	1.84361587833735	0.942062336575436	0.855778211816862	0.656336406208331	3.29601212423904	-0.343011197989033	0.575618048189801	1.06501463483871	-0.517678913017515	-0.182070738880306	2.8875423181726	0.792317918967728	0.276887204167481	-0.149566587074325	-0.487941773377193	0.588473494078679	2.66559125777043	2.18372244181358	4.03825373633051	0.542305505441136	-1.13313917264049
TCGA.BA.5149.01	-0.183358561894089	-1.35447505628569	0.066465491802064	0.0617964654170059	-0.54598200607058	-0.414047317645175	-0.944870633139114	-1.64550721849334	-0.592688852764198	0.165332432871657	-0.565787231883645	1.45694477403035	-0.126480038513415	0.535211766702451	1.21017307914004	-0.165379402996718	0.477507788853541	0.762910996817098	-0.577131386574912	-0.273699162586707	-0.535773559227662	0.467260923359619	0.265771245764201	0.00434680275394794	-0.82182347893975	1.49623576877858	-0.668867350029885	-0.187398073711626	0.0495324553780958	0.130755805331966	-0.35665694864568	-0.405867788344593	-0.101108477067954	0.683303405285842	-0.631656530371732	-0.57934422006991	1.23031715912022	0.668727541971742	-0.0284159162627796	-0.660122476903494	-0.0747120059481561	0.218596510212026	1.04717082549167	0.149503049285703	0.184486820912944	-0.503207228656506	-0.250659135071952	0.0927530559664006	-0.347467018608645	-0.383881910710272	0.561626931294967	-0.199662008587232	-0.661276126205545	-0.124796032155037	0.0958945563977994	-1.21564721326841	-0.560594586180758	-1.23775643365286	2.49553930423328	-0.0913816702318539	-0.182245828173477	-0.514445963554188	0.556568350454491	2.72883063087627	-0.158338254105505	-0.122402502688549	-0.318010704902663	-0.148751512670478	1.7864279570943	-0.363418214362616	1.21299006173905	-0.15591244991116	0.563104169085333	0.438325154516394	0.221445996195146	-0.763744708348411	1.38698450830206	-0.278557540776538	0.486707181805611	-0.259503374141899	0.105003691396621	-0.0246195897042581	-1.31419676664722	-0.444051740360284	-0.763522541691837	0.456614025662372	-0.596243423287378	0.756571151067854	0.0920180197584064	-0.593963146770492	1.52985849369394	0.779342528680931	0.00710437909398748	0.0205912438841466	0.385937230676866	0.452118555143196	1.1718669857089	0.435824594443922	-1.02689293386856	-0.211580634447637	0.334764312319946	-0.55783889222311	0.78938671912152	1.32089281547623	0.526339040845638	1.13072923488291	-0.243440401137835	-0.187341675201686	1.71068764357976	0.370269299860386	-0.0026772974018081	1.74823436815249	-0.910686541367573	-0.637560058065133	-0.720330631818225	0.39826991442263	-0.554935808423148	-0.209263399904122
TCGA.BA.5151.01	-0.674540322322628	-0.961350963287158	-0.473886043209264	-1.08937234600133	-0.421488228862326	-0.64838959046517	-0.252854870260271	-0.864425330599266	-0.988942431002173	-0.975949065606086	-0.916360241627796	-1.08231262955135	-0.406861411849517	-0.839782894544784	-0.746754165882154	-1.04356603603211	-1.22830139416612	-1.25492338895872	-0.732749926107808	-0.88194814254806	-0.741924728936505	-0.438506218899474	-1.33818448915617	-0.604001726682145	-1.06613503023825	-0.82940111641123	-0.888964447329178	-0.938985851859485	-0.459121661238146	-0.789394110174208	-0.926306463835931	-1.24472767179415	-0.847074871450281	-1.11959770421029	0.0614597435020617	-1.31735465103583	-1.04349433230944	-0.948712393895988	-1.17523712634785	-0.745955002660813	-0.169886094975028	0.39447275007188	-0.618796838581897	-0.338520535456919	-0.538006459621277	0.684309227940686	0.936158777737262	0.479173799148567	-0.0577521014999311	0.43006979505327	0.446957248841414	1.64478481846274	0.269568093137555	1.19248223226632	1.21746917683708	0.10958607447595	-0.0776296813967731	1.08928734038223	0.698704740465548	0.318968738398459	1.1076576746472	-0.385494661613674	0.487674035220258	-0.497302919951766	0.405960683522289	1.75491718886283	0.282292368995357	-1.2953867435364	-0.206582665717215	-0.209344346031649	0.399609757497811	0.920310934919065	1.63794471917843	0.338476939111048	0.651460191664618	-0.183934538703336	1.30740226652765	2.78899480345169	-0.00111421706219145	1.66548807344793	0.835297783277342	0.0701078919430665	-0.270962669360281	3.14009983366263	0.128799916529578	-0.660929422444778	0.797755386563661	0.296946150332745	1.60531590843517	0.826193520417962	0.200890367387464	1.01986303984756	0.338987475439669	-0.896497073105699	1.37194218141088	1.41529074187503	0.0263505550398478	-0.257653657977881	0.121011202247518	-0.0342823949567551	-0.564049664300343	0.0604250594584254	1.41068537844895	0.322545058329743	1.63631652183099	1.72931934122547	0.0318834731242456	0.67801911422996	0.385202686095437	2.75608444087849	0.82786601204411	0.774948139412052	0.168046746362116	0.22940824480263	0.318110834743484	0.988339757243682	-0.157012695319359	-1.37639449274218
TCGA.BA.5152.01	0.586576255154438	-0.618238085858316	-0.711957944466019	-0.601003519022153	0.0534910021704103	-0.509834366348369	2.22035814733503	0.712119455657239	-0.229547308725845	-0.350856530762282	0.234354266111988	-0.250849318218689	0.622575861848085	0.572794318646692	-0.852691837893474	-0.108228733700839	-0.254007278747402	-0.434831927161446	-0.0891307146527303	-0.156259802839023	1.08683677436207	0.767660758542986	-0.686445692864348	-0.30305231955325	0.509215483240548	-0.396490306487181	-1.14168642768112	-1.25006052398759	1.03185294206069	0.231546325380318	0.682997762288147	-0.696488366365519	0.259326469480328	-0.855721156075108	0.766455783871875	-0.222757491060836	-1.03767810063945	-1.10785052474206	-1.24439139422682	-0.488239091919812	-0.307099196668961	-1.71635979585071	0.320709505573012	-2.01981029957872	-0.887539715355452	-0.149270593161867	-0.621764234153987	0.177453080076203	-0.751741664331398	-0.409086469404303	-1.50889108512891	-0.306290878046559	-0.740198731595127	0.270730718508143	0.933367025937343	-1.22103382022857	-1.2779375790577	-1.77620189278853	-0.572680687081959	-1.25902016371798	-0.657095235645106	-1.25109190010529	-1.10914930061945	-1.15520527218696	0.142065870538444	-1.51409487822854	-1.86012271851059	-1.07744730615271	-0.615766963223216	-1.23787364559561	-1.13325322982497	0.103935067870041	0.141125208445737	1.06536145874783	-0.855972381957071	-0.0246607169472013	0.716305666055731	-0.661285092956653	-1.19169720791419	-0.793173325869803	-0.449871469380267	-0.403330416028534	-0.578027895558859	-1.11327629481334	-0.226692082637296	-0.791713689584472	-0.909709763277796	-1.82531193161088	-0.457621410960847	0.594623929070692	-0.969153823540472	-0.773689086431684	0.530229701930296	-1.34045212577689	-0.0598519091491152	0.227585786986832	-0.917725309765223	-1.51401839074385	-1.01625372574562	-0.932495857107204	0.698194294200991	-1.62265478244342	-0.625503306849341	-0.0770329396147017	-0.683708754138094	-1.1077656226308	0.13503027902459	-0.978321621576586	-0.874880875514918	-0.761949334635595	-0.711137363148378	-0.374300942383957	-0.573133267660437	-1.76889411395941	-0.947720568140261	-0.708367693761773	-0.426557637563784	0.557486472288273
TCGA.BA.5153.01	-0.737629108971303	-0.889675624057289	-0.920891256838288	-1.08762237904571	-0.732141160396977	-0.681691495635863	-0.73590550564869	-0.719101295794442	-0.775214731280707	-0.899979503040644	-0.904937173531976	0.533497182660562	-0.396167418131969	-0.466509288797868	-0.298513104868857	-0.278233071123445	-0.722560232762549	-0.407638208936691	-0.692763143006331	-1.23934090967159	-1.16232748616494	-0.382385268916068	-0.454252730994787	-1.09848618795582	-0.35996016471216	-0.385008811668426	1.20437706748706	-1.07293661462426	-0.223346170294219	-0.198006985992243	-0.12662634580154	-0.93685677729706	1.5950055498972	-0.601383220296394	-0.313158510560545	1.19940219945229	-1.21134168296365	0.461051721910499	0.666504199702715	-0.443574715371792	0.642992352774324	0.130787174446018	0.995503234013317	-0.262042866092466	-0.858563054947158	0.659856625635863	1.53404015277761	-1.31487627484531	1.57100739883325	-0.288513469480661	1.00158009952629	2.36595237480014	0.48177858765742	-0.378113285063128	-1.51737753458272	0.946918420344466	0.0706059291398274	0.301082999765603	3.14997509330076	-0.839307697495853	-0.313507109797749	-0.0680615419517395	1.33579871057457	3.81751585515877	0.890993774307538	3.58146920739047	0.181745622298485	1.50470314554817	1.2514084997268	1.62429292713853	0.447299715057059	-0.355258372328577	1.31198878221624	0.574200196391436	-0.613622322851869	1.43076132067866	1.31327254085804	1.75117602539253	1.65171438605271	-0.432280446729465	0.406567109955623	-0.149975328787529	-0.904091900512134	-0.668858787474136	1.94297441783851	0.108873150072959	2.36233438736016	-0.281423406617651	1.36145331104577	0.162801345758663	0.17800031643514	0.137991231509053	0.214579598047286	-1.10778662490583	3.95889697192427	-1.17803533411214	0.689691814706384	1.62430556752257	0.0595766478800962	0.399291321359476	0.438152793166161	0.945771380307882	-0.0830212785707764	0.734301512281204	1.86552496980194	-0.5178987973755	-0.633387838168282	2.36053918721278	-0.926626954080815	0.723861296455306	1.07763055908332	0.0702554352400821	-0.908378727850879	1.32789711842901	1.85898281555614	0.810868419962392	6.01496548142064	-1.12053159036755
TCGA.BA.5555.01	-0.148873320970296	1.73998152598638	0.493931684561036	-0.403940166971563	-0.744060319759402	-0.375225741043525	-0.731145669353339	0.705146362454475	1.05562137314117	0.192250079991051	0.309230118857389	0.160596167880301	-0.769025023276307	-0.564806161315657	-0.293686871158726	-0.164109459932528	-0.180011440042741	-0.249305927399371	-0.102968761781868	-0.609800564455233	0.179166910300125	-0.999255367913396	0.97821272583467	-0.68298239839914	0.656830273440461	0.405956991335401	3.85439398996151	-0.665500919393174	-1.07581535945876	-0.454731783159148	2.37542794241559	-0.750711829334308	-0.770729763086853	-0.757027060540521	0.479344253274977	-0.0654870360482548	-0.124737963905825	1.93840556144811	-0.176961066754966	0.266990836671496	0.0563640136046002	1.26101846103381	-0.19285136998889	-0.393841902151792	0.484931928799947	0.884538822773853	-0.594112713580898	1.09032084356238	2.09447448640276	-0.652371144989299	0.401728190591076	0.293750934876978	0.485881300764411	-0.468721623703771	0.687516279551871	-0.0682766624722777	-0.654995269105601	0.190494435761152	0.447423689100837	-0.252788142540884	0.283436073560554	0.240658259193406	-0.000304087398746768	0.284035050843094	-0.80359919334938	-0.85616752004746	0.933158652251684	-0.0765644622573675	-0.800272772879838	0.709152500264259	0.372785937974049	1.91272414305629	0.0117773452193806	1.1318720539247	2.21187265042393	0.513927973901897	-0.510514961331596	1.07214240099321	2.03200050692518	2.6994367329641	-0.75455098272675	-0.123926377447098	-0.297567720748087	-1.05690937740861	0.523252456874825	0.424812140696674	-0.467491186001756	-0.0949871280628435	3.3563649907265	2.11783741446134	1.69476650285228	0.475210327429688	0.313503318920341	-0.589785548113075	0.564382312448585	-0.496072881010433	0.875761379685682	0.190036502317988	0.488611124697831	-0.40310378130496	1.07245305742948	0.179355810932359	0.903124200766775	0.868887732930155	0.645892255541136	1.85613133653518	0.75602234395582	2.39519353301948	0.70998157653454	0.198021436943661	-0.415886209470786	0.665292375548911	0.490900013593249	-0.155922567079656	-1.00279248655836	0.148737067545504	0.212361923419151	-0.32679946882929
TCGA.BA.5556.01	-0.754443912163882	-0.553306285586976	-0.702136144055427	-0.851750308595296	-0.306168779410632	-0.368218187521461	-0.265949616400319	0.231188133965479	-0.761129423883206	-0.382215886760648	-0.449179592643724	-0.689890940813175	-0.715630764378603	0.184856702152827	-0.0896495517302102	-0.674461769965588	-0.684069634803765	-0.639819819806653	-0.349075196784996	-0.256398184266784	-0.197248288208028	-0.402718426569585	-0.896640018077696	-0.531002809736194	-0.780216438453849	-0.11116247655329	-0.422069039938638	-1.07742494174806	-0.495812037297559	-0.631700582136552	-0.341945382456445	-0.746310946160257	0.0456558095607798	-1.31476805043599	-0.437986922776798	-0.00619331918394502	-0.421475880580194	-0.720698132931676	-0.363241627457447	-0.666426675082496	-0.291449637208961	-0.283468552829451	-0.110992870948644	-0.814656803788286	-0.4316243839883	0.192926706233373	0.949611249539249	-0.280753091108776	0.000697341828202652	-0.490862830945478	0.545729709742826	1.05404758939541	-0.529517650837042	0.602378411996549	0.855532858875758	-1.20165134248421	0.0396665050347236	-0.303154830290164	0.209693857357632	-0.195814606641386	0.352240701420681	0.0629772754310954	0.158039465167984	-0.22999471813628	-0.41892472560037	0.338862417066263	-0.274798790703797	-0.426143954376604	-0.656939531772857	-0.0740923877170416	-0.50370588212862	0.79702964210685	-0.0288908304744444	-0.195406724438083	0.419735779806128	-0.401996996822375	0.800057136757965	1.37946435134133	-0.0702840534897146	0.589475885788719	-0.753423071116558	-0.0599709478715689	0.791582909000712	0.399851639430788	0.749719079962346	0.0471785436733601	0.218519211476753	-0.275578118756619	0.46342869161398	0.244218261123159	-0.222434415303255	0.0893251204070722	0.321528076050906	-1.26894464997868	0.118041678274094	0.132595624550792	-1.07458573862811	-0.633829846940594	-0.171255408955139	-0.31128072656829	-0.825121281426229	-0.754920659506936	0.755362182150702	-0.0616345933201177	0.933763331401128	-0.604774746748991	0.174824769845259	-0.199637287403476	-0.872388063146886	1.49665155337556	-0.0625974096760428	0.318215167779387	-1.06537567201497	-0.026507405403289	-0.124915884579651	0.434979557523266	0.198213366277828	-0.485399643803372
