TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01
E2F3	293.977	327.068	147.208	723.767	306.604	302.673	348.258	293.041	292.904	436.564	563.166	254.23	335.909	413.332	499.314	441.259	224.138	365.011	207.148	324.203	504.034	573.931	338.372	439.39	406.068	297.17	390.8	458.548	432.569	442.324	335.006	597.458	426.212	326.316	400.465	400.825	192.499	441.487	321.824	299.564	424.797	834.321	488.217	213.678	389.091	192.329	449.18	331.496	351.492	395.361	445.704	381.18	663.925	438.31	344.594	403.148	406.517	199.446	579.621	251.698	469.959	421.437	370.768	424.043	298.867
EPHA2	494.216	323.308	191.603	272.401	461.321	120.979	202.599	176.086	442.638	553.717	578.038	342.021	178.188	190.24	340.717	302.162	67.1695	226.819	152.768	641.221	251.841	865.059	264.341	221.415	333.296	408.609	108.344	2731.76	1443.36	425.726	193.805	659.093	157.025	122.241	827.442	286.464	860.37	283.581	305.516	295.728	758.537	2612.43	174.018	207.763	257.273	424.14	436.721	532.106	303.262	510.551	773.196	452.461	262.061	1326.45	266.227	547.005	239.85	288.781	1364.11	171.698	1598.93	516.037	380.441	246.745	160.765
NR2F6	936.179	4571.43	1198.36	1495.98	2724.53	2936.57	1529.42	1955.57	1873.52	2743.89	726.101	1430.64	1136.55	1813.77	1872.81	2191.73	1149.07	1841.44	1148.7	2500.22	798.666999999999	666.667	1548.06	4524.6	2835.2	1327.22	1500.86	768.379	1437.63	1993.78	2753.42	955.123	1072.44	1552.46	648.372	1317.96	2368.73	2273.67	1329.56	1793.9	1993.09	849.443	1076.13	1188.17	2973.64	1359.84	3378.36	2250.34	1062.11	1126.63	828.179	1696.84	1651.32	1225.64	1687.45	2139.48	2739.32	4768.01	1869.07	1292.45	1230.19	2780.35	3172.49	1856.64	1379.6
MECOM	4842.84	2213.35	5665.32	2108.02	1779.25	2531.94	3841.43	5701.08	2656.65	7769.9	2967.53	3416.19	2645.13	2400.53	4966.58	2709.12	4517.6	2800.38	4676.66	3874.27	3564.71	5384.15	6938.76	3177.63	3004.03	2132.2	4804.79	3610.55	4940.32	5986.72	5019.55	2242.72	11206	4488.96	2039.07	1723.66	1779.03	3148.37	4119.14	1889.8	1031.71	1032.87	3056.5	4437.71	3292.73	4060.35	1243.28	2955.74	3456.28	4388.73	5048.8	4289.91	168.86	1352.38	5590.04	3100.57	1831.2	1866.34	3013.53	4165.66	1670.72	1433.62	1027.4	4002.1	3843.13
FLT4	1220.98	700.188	204.288	558.645	1947.17	483.462	378.052	290.755	639.548	1402.15	1136.25	651.12	215.511	907.65	346.029	367.011	250.359	973.643	308.62	1271.67	804.981000000001	1688.2	743.798	483.243	1179.88	368.404	302.604	582.856	344.235	406.224	755.84	444.494	508.873	358.574	860.93	118.485	539.539	529.016	979.116	882.65	513.821	820.185	193.051	611.46	1020	879.301	775.738	1924.96	1299.79	565.545	943.643	1464.74	187.5	902.064	628.033	1517.71	662.393	1010.39	751.668	782.641000000001	1332.74	419.407	812.466	539.261	572.592
GCNT1	3356.2	164.944	1083.53	86.5159	768.868	2501.13	2256.06	698.465	2271.03	494.878	398.248	1968.36	1721.28	1978.03	665.499	1193.61	1302.44	1184.5	4459.71	1209.7	198.527	1091.59	2869.77	1187.47	384.722	12.2364	1707.66	31.1708	1163.18	2835.68	358.539	24.7441	19.3593	1059.08	215.349	788.901	1217.35	402.159	2422.16	1622.32	111.382	264.3	752.87	1845.1	1149.09	4075.58	197.377	2806.91	2893.82	590.069	26.8041	1394.33	613.487	689.87	442.369	1330.56	352.03	542.244	488.368	899.245	238.546	416.159	359.484	951.73	1728.4
GNAQ	4441.16	1213.82	2099.29	2689.9	5039.62	3323.06	4826.95	3377.65	2146.32	1368.01	4730.4	4030	4097.52	4141.34	3053.18	1926.22	2915.59	2495.43	4468.96	3837.9	1727.11	2928.51	4702.33	1481.12	1713.05	892.822	3544.19	1443.62	3550.91	4712.03	3851.19	2132.04	1161.25	3752.46	3148.84	1235.47	2449.62	1920.31	4064.56	2855.1	1299.19	1287.31	2613.6	5010.72	1778.18	4931.19	754.754	3334.12	4096.81	3145.05	1702.75	3689.67	1395.29	2399.42	5238.12	3664.63	1121.79	2151.66	2191.52	4380	1466.06	2071.05	1389.58	5006.97	4509.21
GTF2H4	127.647	308.2	112.195	282.783	254.717	233.131	150.542	203.515	236.021	148.348	122.614	185.302	143.674	186.802	204.78	229.225	165.23	163.99	123.137	149.529	221.315	257.927	196.124	198.199	275.598	465.723	131.055	311.828	172.623	215.477	192.656	156.113	498.659	183.419	170.233	135.752	144.456	213.499	114.479	169.702	171.138	602.535	147.13	157.079	166.364	164.129	192.452	164.745	103.053	217.296	318.216	131.796	419.633	244.839	120.443	186.515	211.538	250.305	156.177	112.525	192.563	196.89	134.874	153.04	185.906
H2AX	638.213	1630.64	236.333	363.861	1129.25	569.098	759.414	476.968	594.012	1100.6	229.695	801.097	413.765	935.917999999999	496.279	1061.56	453.305	606.532	798.318	543.332	309.365	348.263	291.085	997.442	702.008	477.221	352.404	266.266	748.146	584.232	711.542	148.465	355.228	426.486	236.744	727.784	524.175	546.463	461.27	589.364	1026.83	433.268	863.746	343.438	614.545	414.552	942.294999999999	748.618999999999	588.133	179.845	282.474	625.014	1735.75	896.303	596.539	693.485	833.333	1502.77	574.211	430.943	1368.86	859.521	1159.59	729.712	427.762
IK	1510.97	796.523	1574.22	1719.94	2215.09	1746.71	1665.48	842.862	1900.18	1374.84	1443.28	1789.12	1589.65	1731.64	1401.57	1558.74	2164.87	1500.79	1617.38	1931.3	1240.62	1624.46	1382.95	691.33	937.789999999999	1858.63	1404.3	1158.2	866.824	1158.92	1870.22	1230.46	1477.76	1896.1	1048.37	1832.77	1243.56	808.753	1723.27	1139.67	1358.54	2406.64	1647.43	1654.71	683.636	1543.15	580.328	1309.27	1839.69	2224.28	1172.51	2098.88	1892	953.913	1525.95	1719.72	1789.53	1128.81	889.089	1906.04	862.78	1517.66	1407.31	1969.75	2123.58
IL15	150.778	581.767	168.905	215.548	233.019	50.7476	205.247	208.755	114.454	126.084	180.451	238.5	416.575	183.746	184.397	157.425	145.474	185.236	138.753	197.126	285.514	51.6796	76.7442	162.514	163.495	27.969	220.11	29.6686	308.159	141.909	114.207	101.676	37.7967	215.28	155.814	217.848	107.094	234.494	172.394	227.376	367.886	109.796	37.4622	306.1	122.727	453.469	277.377	137.41	209.577	238.554	21.9931	154.298	55.3728	260.202	124.142	177.525	83.3333	329.64	262.579	90.566	318.805	297.604	272.434	156.254	243.272
ITGA7	127.643	1777.73	135.858	314.423	3356.6	628.908	519.076	3461.29	182.962	503.809	1021.56	912.666	1256.55	849.967	471.996	478.384	1021.91	586.37	192.852	551.414	538.057	830.606	1179.85	425.632	2406.82	273.572	710.891	333.114	450.101	172.199	2257.14	245.642	79.2809	3656.71	3203.26	161.98	563.94	607.082	314.169	287.707	1139.43	115.385	1887.31	2080.96	3321.82	1620.98	826.23	546.785	164.122	298.379	192.096	814.952	281.798	283.725	1837.59	1313.07	1325.85	3450.14	1245.81	2183.77	1167.32	330.085	112.843	412.995	621.105
KIF22	675.708	697.368	520.067	457.793	1589.62	1101.95	732.6	800.719	1187.61	647.754	351.648	790.855	821.11	517.238	815.749	1170.58	517.601	715.741	740.855	770.992	318.485	463.968	706.589	1043.44	592.85	677.811	628.018	399.962	634.188	1296.68	1355.25	312.226	621.649	681.834	426.977	1044.24	1117.04	610.631	524.836	508.806	831.707	748.522	1564.35	551.941	538.182	442.188	747.541	723.746	657.529	1087.24	417.869	699.772	1569.63	456.073	753.273	880.63	519.765	799.861000000001	695.401	706.038	721.436	995.94	813.004	877.548	872.875
LIMK1	1000.8	1283.83	573.141	1523.17	1287.74	1822.84	1337.09	1458.67	1499.39	548.989	633.892	851.212	1199.16	1814.54	1201.62	1528.67	1133.62	1316.39	923.055	1094.75	1005.96	910.135	987.209	1814.31	2241.38	1120.51	1058.35	876.537	1107.22	1385.06	1124.07	1170.17	667.128	1084.55	875.814	1752.53	1782.65	1213.87	1059.66	1276.72	2541.06	4978.31	1052.27	743.068	2448.18	627.75	4013.11	1194.28	696.738	1061.98	978.351	835.814	6684.21	2251.56	752.907	1074.77	2320.51	2055.4	662.94	733.585	1433.95	1854.24	2003.22	1199	1068.7
