TCGA-KL-8323-01	TCGA-KL-8324-01	TCGA-KL-8325-01	TCGA-KL-8326-01	TCGA-KL-8327-01	TCGA-KL-8328-01	TCGA-KL-8329-01	TCGA-KL-8330-01	TCGA-KL-8331-01	TCGA-KL-8332-01	TCGA-KL-8333-01	TCGA-KL-8334-01	TCGA-KL-8335-01	TCGA-KL-8336-01	TCGA-KL-8337-01	TCGA-KL-8338-01	TCGA-KL-8339-01	TCGA-KL-8340-01	TCGA-KL-8341-01	TCGA-KL-8342-01	TCGA-KL-8343-01	TCGA-KL-8344-01	TCGA-KL-8345-01	TCGA-KL-8346-01	TCGA-KM-8438-01	TCGA-KM-8439-01	TCGA-KM-8440-01	TCGA-KM-8441-01	TCGA-KM-8442-01	TCGA-KM-8443-01	TCGA-KM-8476-01	TCGA-KM-8477-01	TCGA-KM-8639-01	TCGA-KN-8418-01	TCGA-KN-8419-01	TCGA-KN-8421-01	TCGA-KN-8422-01	TCGA-KN-8423-01	TCGA-KN-8424-01	TCGA-KN-8425-01	TCGA-KN-8426-01	TCGA-KN-8427-01	TCGA-KN-8428-01	TCGA-KN-8429-01	TCGA-KN-8431-01	TCGA-KN-8432-01	TCGA-KN-8433-01	TCGA-KN-8434-01	TCGA-KN-8435-01	TCGA-KN-8436-01	TCGA-KN-8437-01	TCGA-KO-8403-01	TCGA-KO-8404-01	TCGA-KO-8405-01	TCGA-KO-8406-01	TCGA-KO-8407-01	TCGA-KO-8408-01	TCGA-KO-8409-01	TCGA-KO-8410-01	TCGA-KO-8411-01	TCGA-KO-8413-01	TCGA-KO-8414-01	TCGA-KO-8415-01	TCGA-KO-8416-01	TCGA-KO-8417-01
PNN	1392.1	2172.46	1205.7	1165.74	3531.13	1341.64	983.199000000001	2047.37	1969.51	1284.48	1542.76	1280.66	1734.52	1414.19	1803.75	1483.08	1798.13	1392.84	1712.96	1548.72	1262.71	1195.23	1448.06	1746.38	1534.52	1315.85	1184.19	1256.6	2029.67	1539.83	1987.19	1035.2	1133.59	1565.7	1305.12	1583.43	1350.2	1605.38	1260.34	1638.36	1652.85	1906.97	2966.77	2658.41	1222.73	1306.26	1502.3	1459.32	2217.9	2227.99	1454.98	1565.14	2974.23	1335.57	1535.11	1691.3	1423.08	1957.76	3095.4	1012.45	2129.97	1395.05	1382.05	1217.94	1382.79
POLR2D	278.022	235.432	248.684	273.39	237.736	241.504	238.02	242.731	241.625	253.218	371.809	194.97	222.334	323.178	178.327	282.895	223.419	239.84	357.393	215.537	309.716	285.96	269.767	257.099	191.148	230.307	214.788	296.31	270.735	277.178	186.883	202.902	262.119	179.966	231.163	390.326	300.497	329.415	213.329	231.561	283.74	742.933	241.088	266.913	195.454	235.195	255.082	235.676	305.69	187.648	306.529	189.069	752.741	277.964	201.044	221.25	225.427	184.903	431.019	168.679	273.325	243.605	246.104	161.515	238.669
PPP1R8	496.61	517.387	506.714	397.973	411.321	501.586	539.932	546.88	553.81	493.827	611.419	512.849	471.556	598.988	463.649	498.59	564.296	483.881	561.177	503.368	400.211	598.048	522.481	509.039	559.375	879.275	476.716	771.383	597.438	509.959	406.991	556.518	732.581	514.092	605.581	410.949	647.085	520.736	496.547	507.411	520.732	776.464	987.613	519.409	449.091	539.199	413.115	474.614	551.006	706.002	747.766	556.34	968.75	619.299	478.623	520.77	482.906	503.463	552.931	583.396	614.424	514.413	542.182	516.638	587.819
PRCC	715.995	862.312	512.389	1091.58	1040.57	859.085	753.786	878.471	1008.34	713.423	639.18	782.076	594.361	853.023	709.891	902.726	703.664	763.625	675.543	781.769	822.869	511.341	731.395	1124.7	826.206	1346.88	616.613	1069.57	732.973999999999	765.975	919.882	702.733	1179.69	667.912	657.209	512.936	1064.62	671.25	596.722	750.48	681.707	1256.41	935.045	683.919	650	742.245	658.361	747.803	641.568	709.346	1212.03	723.242	1889.25	888.142	596.173	765.632	773.504	817.174	616.051	618.113	837.365	783.597	738.313	667.105	700.779
PRKAA1	3711.21	752.819	4781.74	1208.26	1590.57	1833.71	2258.71	1405.75	1690.56	4157.08	3773.94	3040.88	2546.4	2560.6	1786.68	1510.34	3117.82	2311.46	2567.34	2021.1	2583.65	2501.29	2706.98	974.226000000001	1242.46	873.593	2935.94	1174.73	1478.09	1943.98	2162.31	1850.86	1405.55	2398.3	1849.3	1604.8	1390.42	1969.69	2980.61	2268.18	1508.94	2163.71	2387.01	3689.83	1031.82	3376.2	760	2324.55	3211.31	2757.12	1428.52	2593.5	1213.27	1316.37	3578.5	2246.61	1449.25	851.801	1915.6	3251.7	1369.3	1892.81	1747.98	2310.14	2741.86
PRKAA2	1323.49	727.444	1879.65	588.308	675.472	725.872	1250.68	1356.42	681.391	769.11	1693.79	1301.14	993.679	1799.26	1252.08	828.947	987.069	1079.91	884.653	921.868000000001	1128.38	824.289	1450.78	793.224	748.097	1135.8	1335.11	1199.51	1650.71	982.573	880.429	3042.18	895.444	1127.67	1493.95	949.381	1097.15	1819.77	1022.05	1741.94	1023.17	14.4642	1219.03	1651.39	892.727	1758.6	800	935.364999999999	1382.72	1298.67	1124.4	900.141000000001	13.7061	1119.06	1429.28	712.724	656.517	1076.18	1745.72	1341.13	1058.97	1015.83	872.112	1068.53	1456.8
MAPK1	5493.82	4249.06	6489.48	3475.96	1881.13	2677.39	5093.44	3009.15	3070.98	3625.43	4571.43	4592.96	4208.69	2718.36	4667.6	4091.17	3200.43	4795.13	4006.45	3607.09	4906.35	4315.53	3365.12	6500.14	1924.58	2739.65	5176.2	3926.02	4393.12	4554.77	2225.99	3444.38	3850.66	3269.61	6623.72	4376.08	3377.77	6534.78	3947.08	4577.16	4834.55	4247.21	5622.05	4228.84	3864.55	5583.76	4685.25	4189.57	4642.26	4778.15	4054.64	3422.8	2445.18	3254.92	4476.79	3783.56	3854.17	2680.06	5432.64	3368.68	4795.45	4873.33	4422.35	3847.95	4612.96
MAPK9	1487.83	803.571	1484.76	1254.73	1203.77	1277.3	1294.38	685.397	1060.85	1133.18	1115.1	1542.57	1074.35	1374.46	1056.3	1287.12	1483.48	1261.37	1265.03	1272.12	1226.59	1300.32	1230.62	739.483	802.919	1103.03	1358.3	1296.03	632.839	1271.78	1216.82	1079.74	880.08	1313.41	1146.05	938.883	1384.55	902.491	1294.95	1401.57	1582.11	1310.32	353.172	1158.23	642.727	1234.63	715.41	1228.94	1667.24	1854.93	1364.6	1454.74	891.996	751.32	1261.92	1135.55	1236.65	694.598	862.398999999999	1404.53	990.748	1353.23	1571.2	1075.37	1299.93
PRPS2	1591.54	538.534	3707.23	1055.99	672.641	331.672	1661.18	2547.21	582.936	867.875	932	2116.14	1900.27	2418.87	902.636	760.808	2435.34	1866.64	409.531	894.926	1386.53	705.713	1264.73	1114.81	1574.3	4700.97	2666.03	4606.14	2482.81	1261	1029.94	997.413	5167.09	2554.16	1491.63	370.079	690.917	1536.48	1580.5	1038.88	1298.37	772.848	8551.96	2552.68	1965.45	1784.55	1068.2	1186.13	1921.58	1665.42	4789.35	2458.33	727.522	1703.79	1728.1	1591.6	772.436	1963.3	1378.18	1807.55	1616.77	1003.25	917.786	932.79	2123.58
PSKH1	1803.74	4515.51	2070.92	3686.57	1821.7	4248.75	2313.64	3803.99	4821.43	2609.4	701.975	3092.46	3032.01	1417.25	4545.43	3384.4	1169.18	3705.13	2724.32	2949.26	1593.11	1732.99	2934.11	5954.13	4736.98	1280.89	4014.07	1314.81	3200.92	4282.56	3262.11	2110.45	1792.73	3559.25	1893.49	2939.63	3531.86	2739.71	3315.75	2533.91	2420.71	575.28	630.212	1795.54	4952.73	2152.28	3412.43	2382.45	2553.44	2512.62	1300	980.985	1646.93	2515.6	1646.07	3850.87	1855.77	3718.12	2068.88	1580	2854.53	3579.78	4204.16	2946.21	3062.68
PSMD8	2564.02	3791.82	2821.98	2938.08	2639.62	5301.77	3334.93	3346.62	3901.69	3128.97	2906.06	3251.21	4177.79	3800.59	3336.98	4109.02	4310.7	3528.3	2007.57	3101.93	2929.85	2824.58	2791.86	4328.55	3250	2370.81	2945.07	2423.81	2977.41	3232.37	4192.42	3156.9	2489.67	3146.69	2185.12	4827.15	3656.57	3089.23	3315.75	3192.68	3218.7	2585.47	3641.69	2869.87	3154.55	2654.26	3100.98	2964.71	2908.05	3577.2	1921.65	2986.85	1577.85	3112.34	2805.46	3350.68	4285.79	4737.53	3216.95	3168.68	2240.11	4210.72	3824.29	3481.26	3184.84
PSMD13	1617.07	2346.8	1640.98	1017.43	2029.25	1304.03	1781.01	1860.18	1273.76	1811.4	1483.93	1786.92	858.031999999999	1946.33	1812.48	2407.89	2236.35	1801.95	1918.71	1885.5	1243.42	1382.43	782.558	1278.62	2097.78	1811.43	1720.59	1296.78	1731.96	1032.37	2338.12	1595.77	1286.63	1829.88	1566.98	2054.37	1974.24	1604.49	1797.49	1804.71	1202.44	1573.31	1740.18	1557.12	1683.64	1576.99	2278.03	1382.25	1761.97	921.147	1258.08	1830.27	4003.84	2664.91	1640.57	1824.66	2237.71	3228.53	1905.86	1799.62	1940.03	2025.98	2890.92	1885.05	1984.77
RBBP6	1197.85	938.44	843.856	836.979	1753.77	1171.73	644.542	953.283	1174.9	1430.52	1245.64	1068.5	988.061	647.885	1203.51	956.766999999999	992.815999999999	829.99	1204.48	855.411	854.788	1055.7	1163.18	1015.93	721.414	934.775	939.745	933.997	1358.73	1226.97	1034.09	830.503	781.132	1077.08	586.977	1138.36	925.893	1042.66	876.279	899.738	1036.18	1025.64	1416.31	1343.44	804.545	1031.58	832.787	927.618	1355.31	1258.91	1042.96	928.828	840.461	887.182	1248.01	1060.78	533.12	866.343	1526.06	908.302	1106.68	991.474	731.865	919.637	976.275
BRD2	3953.33	5477.91	3790.01	4871.59	3996.23	3650.2	4267.81	4947.08	4818.56	5579.2	4958.11	4151.07	3803.75	4497.37	5164.26	4921.05	2353.09	4001.26	3540.01	4565.33	6843.91	5509.33	3106.2	4187.11	3706.04	4405.11	4199.58	4768.38	4891.1	3782.99	3602.7	3899.67	7857.72	4504.24	4068.37	3850.77	2767.28	4319.66	4242.62	4312.12	6654.47	5096.33	4032.93	4527.91	3738.18	3539.76	3068.2	4375.1	4293.55	4043.53	4631.62	3712.27	2660.09	3791.65	3927.49	5215.57	4243.59	3177.29	6303.34	3972.45	5913.72	4984.98	4614.19	4211.5	4140.23
RPLP2	6959.71	19061.6	4502.01	6217.28	21044.3	9435.43	10695	15941.5	10672.5	5085.37	5053.29	11344.1	5173.87	8461.08	10705.7	11491.1	18073.6	9314.71	6712.54	12224.5	6897.23	5660.92	5243.41	7876.35	16605.6	5352.56	9543.05	4727.82	9705.66	6161.41	25770.5	7306.26	3123.61	11083.9	6943.26	7636.67	9632.63	7959.19	9008.07	9550.13	7773.17	21688.4	18358	9041.77	11985.5	8508.18	18057.7	8489.24	6339.69	8529.62	3485.91	16917.5	12303.2	14459	10066.8	14504.2	20465.3	39956.4	6095.58	8870.57	9465.17	11752.7	17283.7	11588.6	10464.2
RREB1	1309.53	1331.3	1209.37	1228.53	763.207	1160.85	1227.18	1412.94	1478.88	1137.9	1054.28	1181.53	1287.05	1341.23	1509.7	1032.42	840.517	1228.18	1203.92	1190.84	1433.53	1263.85	1434.88	1697.37	855.8	670.381	1329.02	973.43	1163.52	1832.37	679.702	1241.26	1524.78	1314.43	873.953	898.763	827.384	1448.66	1320.58	1679.51	1436.18	864.564	1121.15	1302.03	1014.55	1611.39	1049.84	1535.57	1459.4	1206.52	1398.63	974.464999999999	709.43	690.351	1346.52	1057.72	955.662	916.205	971.325999999999	886.793	1051.39	1450.67	859.216	1125.87	1161.83
S100A11	3571.6	5010.34	4316.42	5655.17	5360.38	4566.83	4592.9	2950.34	5794.9	4954.56	3370.4	5411.25	1155.01	4165.41	2431.31	6366.54	1298.49	4654	1782.48	6053.88	3196.77	2442.43	3950.39	4835.87	2588.75	4551.51	2991.45	5188.62	4183.07	4402.49	3873.33	5687.55	6596.3	1520.54	3375.81	539.183	10345.2	2701.26	4971.79	6459.98	4346.75	6639.72	1381.87	2812.2	1529.09	1992.67	3723.93	5976.31	1815.06	2271.1	4371.13	6802.13	28319.1	13682.2	3809.21	5200.7	4123.4	9427.29	3479.17	2635.09	5788.88	3375.15	11382.1	4882.28	3147.31
SALL1	3.1911	454.887	788.111	224.941	18.8679	2.2655	10.9244	278.667	70.9697	774.888	278.609	12.4371	6.4212	1.146	9.106	404.605	1.4368	367.531	1.4015	3.1432	450.017	1045.94	1.938	128.12	335.237	805.419	340.62	992.958	488.2	0.8299	7.6138	286.132	3440.42	4.4143	4.186	2522.68	994.576999999999	1812.97	4.9921	455.1	2398.78	32.5444	173.414	39.5564	533.636	432.6	1108.2	13.0478	0	37.158	1095.19	5.2157	2.7412	489.678	2.5634	1.3118	202.992	1033.24	1576.19	2.6415	1322.48	934.633000000001	10.7469	8.9438	79.3201
SRSF4	1017.55	1252.35	984.722	635.768	1918.87	1015.86	791.525	1039.2	1154.8	948.253	1160.04	963.877999999999	958.363	893.132999999999	727.345	963.816	1060.34	782.527	1327.54	1063.31	584.006	1067.47	1062.79	859.864	1419.54	2249.75	647.405	1743.31	1057.99	870.125	1140.68	1575.53	1062.92	1114.77	1386.05	916.01	1567.1	1037.33	1035.03	1246.03	1235.37	1691	2500.6	1095.75	1144.55	840.384	903.607	1001.42	1224.15	1688.83	1721.31	1218.73	2399.67	1461.35	866.429	1202.45	987.714	1615.65	1103.34	983.019	1258.72	977.264	1028.48	1149.55	1074.36
SRSF6	2277.62	2480.26	2409.73	2013.1	5068.87	2002.27	3172.39	1688.99	2583.63	1721.57	2915.64	2397.44	898.565	2275.24	1853.08	1909.77	2443.97	2000.21	2514.93	2114.5	2121.71	1915.02	2338.76	1865.9	1199.28	1436.91	2391.94	1467.66	3036.08	2392.95	2129.09	868.294	2482.6	2198.3	1218.14	2144.73	1698.15	2655.13	2301.36	2266.09	1353.66	2277.12	2433.84	3382.99	1689.09	2749.01	1116.07	2054.62	2433.73	1665.42	1465.29	2423.99	2908.99	2657.71	2734.41	2688.24	2020.3	3202.22	4633.36	2144.91	3657.12	2069.83	1756.05	1331.05	2077.9
SGK1	500.598	501.41	107.819	547.275	742.453	275.94	834.892	78.4057	386.026	958.235	1830.95	1024.6	231.163	1426.03	262.178	778.665	197.558	1373.1	120.252	585.541	926.342	466.552	1368.99	1510.78	516.682	5796.57	241.019	8271.52	467.97	175.934	825.056	496.682	770.377	221.732	769.302	172.853	769.995	503.585	876.279	1250.22	1208.13	1566.41	348.943	381.885	272.727	442.752	961.312	1100.09	263.012	127.452	6792.78	1456.48	1379.93	3317.81	933.809000000001	654.132	466.88	171.745	807.214	1415.47	786.98	230.207	681.891	577.141	582.861
SIM1	866.773	215.696	1509.8	162.65	164.151	628.908	781.925	960.47	220.293	531.127	872.841	822.679	507.675	1155.57	432.157	232.613	1290.23	263.362	1617.66	206.556	1028.41	1288.54	1315.89	140.588	249.851	200.59	743.205	878.04	656.102	565.975	215.954	915.083	824.153	980.305999999999	723.256	139.857	202.892	1306.42	1355.85	659.808	145.122	10.5194	1197.89	1516.08	600	1499.72	106.885	651.575	1624.91	1062.35	694.158	274.258	0	226.596	1330.4	502.405	112.18	236.842	650.676	646.038	300.524	144.539	73.6163	400.368	884.915
SNRPA1	278.022	321.899	231.326	225.93	394.34	322.61	194.654	222.476	269.931	204.886	219.78	312.026	209.09	370.929	202.989	292.293	305.675	232.28	278.907	238.437	173.623	182.314	262.791	348.245	293.029	299.355	182.475	209.558	279.501	283.402	404.222	222.247	253.822	277.419	376.744	224.972	373.701	178.31	235.96	329.207	390.65	202.827	521.45	238.078	204.546	265.651	273.443	219.366	315.059	288.718	193.471	276.866	828.399	377.82	206.903	233.056	261.752	295.014	198.377	224.151	469.067	293.545	357.335	235.696	249.292
SNRPB2	977.264	914.474	917.293	1026.33	1088.68	1849.12	1155.34	1181.31	1524.82	736.013	849.376	1290.9	504.465	656.289	925.021	1069.08	1437.14	1055.13	1337.63	1058.82	748.86	715.475	903.101	930.372	1439.92	986.343	1132.86	991.832	1188.13	1135.27	1020.25	639.298	636.399	1270.63	616.744	910.761	805.694	1009.24	1223.73	966.696	471.138	1534.19	1336.86	1160.44	986.364	981.388000000001	933.77	765.744	1086.75	1222.13	860.138	1193.52	1883.22	1402.3	842.26	1129.86	1190.71	1578.25	944.274	1209.81	1254.26	817.702	1040.84	938.577	1064.09
SON	3585.56	2216.64	4615.17	2490.17	5745.28	2362.94	6402.71	3602.42	2784.64	3424.74	6876.64	4004.02	5486.91	5056.63	6168.96	3662.12	5120.69	2852.88	5490.68	4151.77	4587.86	4402.53	6128.29	2592.06	3884.57	1963.07	5535.45	3386.35	6530.68	3228.63	2112.48	4725.68	5348.08	5704.24	5028.37	4112.86	2276.55	5180.45	4187.7	4187.27	2704.47	4406.98	4206.34	4382.26	4171.82	4128.6	3892.46	3972.65	8633.59	7136.94	4026.12	2743.89	2298.79	3579.93	4748.15	6119.81	2265.49	1504.16	4601.98	3120.38	3760.12	2471.38	2033.85	2860.45	6421.39
TARBP1	289.19	398.966	505.713	328.266	376.415	253.738	243.317	298.595	382.334	226.95	246.22	366.529	356.777	317.83	243.966	230.263	291.308	320.067	211.072	227.212	248.334	245.478	325.194	256.239	208.128	385.884	348.223	464.182	362.441	384.647	229.798	277.584	581.086	322.92	155.814	232.471	175.78	558.587	358.765	350.828	303.252	352.729	584.894	429.575	100	1030.46	362.623	282.567	276.544	445.153	501.031	288.601	245.066	291.887	313.467	321.819	286.859	326.177	341.569	228.302	320.143	274.462	169.264	243.588	320.113
ELOA	591.799	834.934	1418.95	975.572999999999	588.424	334.264	763.188	645.59	527.842	984.796	978.266	610.623	604.916	859.872	440.793	619.873	828.653	977.163	767.882	530.584	1083.51	682.176	694.182	814.471	571.557	1211.44	578.236	1257.4	872.077	617.145	541.097	1157	1370.81	697.345	956.451	413.652	881.238	1247.78	763.078	940.258	1344.58	685.149	1370.74	612.118	762.526999999999	1115.6	762.026000000001	758.107	706.464	973.718	1170.37	729.336	1661.26	903.173	689.675	594.39	705.994	641.731	931.596	549.034	1047.85	658.08	681.37	560.894	763.428
TCF12	1414.54	945.959	1995.81	738.104	796.226	724.513	1316.89	1660.9	885.686	1556.61	1857.42	1408.32	1630.18	1547.51	1527.92	871.711	2105.24	1293.29	1310.72	1213.29	1667.13	2554.41	1653.88	978.955	1220.63	1127.06	1435.55	1744.44	1950.23	1048.13	785.603	1279.5	1452.25	1454.33	1655.35	1258.34	937.189	1381.83	1816.79	1647.78	1606.1	1569.04	1756.33	1967.84	1069.09	1504.23	918.033	1449.53	1595.42	3379.15	1911	1463.44	1090.77	1122.42	1601.76	1124.18	792.735	805.229	1161.13	1630.94	1346.12	1157.13	1045.67	1433.64	1408.29
VPS72	509.773	659.304	458.981	897.787999999999	743.396	628.455	555.16	594.25	595.653	527.975	419.07	669.41	679.442	644.829	677.641	617.011	797.414	582.59	549.404	578.806	1021.4	523.974	512.403	622.111	643.79	875.778	443.642	529.903	491.571	541.494	746.15	731.076	614.581	722.92	669.767	546.682	627.203	632.808	474.582	577.506	609.35	1058.84	517.221	570.056	513.636	1410.6	688.525	534.961	539.209	888.448	544.673	545.474	1195.18	698.031999999999	492.173	662.44	556.09	783.933	547.52	611.698	676.848	737.718	736.701	794.423	689.093
THBS2	160.75	139.098	32.379	65.2577	95.283	95.1518	329.057	113.362	136.196	22.59	2672.06	257.887	4331.09	158.533	62.2246	70.9586	106.322	206.658	61.6678	269.421	475.623	366.638	130.62	128.98	550.157	177.428	99.981	1696.74	706.676	14.5228	121.128	664.942	268.572	203.396	423.256	53.2433	30.7275	59.4367	317.164	240.628	136.992	2587.12	1522.36	76.8946	46.3636	173.717	593.443	186.747	355.309	48.677	280.069	72.585	10189.7	2328.37	162.226	104.067	1384.08	101.801	430.658	121.509	445.435	111.246	245.03	287.781	138.456
WRN	781.364	662.679	713.636	278.828	230.189	328.953	451.543	508.984	313.826	521.671	609.766	591.634	697.799	760.523	220.062	260.808	874.134	572.089	934.828	413.983	493.153	401.665	964.151000000001	214.106	190.663	143.341	757.191	243.357	520.566	365.56	163.606	386.008	195.434	583.603	591.628	382.452	307.591	699.928	627.16	655.655	297.967	903.026	679.136	779.985	244.546	309.081	117.377	634.287	405.618	822.656	255.67	538.52	188.048	417.993	700.174	508.391	314.103	365.651	606.673	293.947	255.044	144.133	375.604	139.945	324.009
ZNF165	260.762	178.976	194.791	698.633	636.321	239.144	211.666	225.701	203.343	1048.48	513.688	250.696	235.806	206.074	454.535	238.933	322.906	127.279	285.275	183.264	106.889	58.4094	358.372	62.396	230.629	358.125	178.396	349.252	221.777	206.838	656.93	372.57	212.353	329.423	123.693	47.2103	909.393999999999	49.6577	245.268	222.183	235.463	17.094	227.121	295.298	350.836	231.923	172.964	215.75	228.841	53.2177	200.189	446.707	12.7303	100.024	216.376	343.765	192.19	112.285	321.822	292.4	472.456	435.026	313.24	353.592	348.276
ZNF217	1789.79	2372.18	2059.57	1950.32	2627.36	1972.81	1667.8	3067.62	2897.45	975.571	2401.06	1956.29	971.606	1097.13	1935.79	1553.57	2008.26	1326.47	2675.82	2174.23	1717.99	1260.41	2314.34	1962.21	1845.5	654.212	2152.44	1229.93	3128.12	2276.35	1608.58	1827.47	723.054	2044.14	1582.79	1488.56	2141.89	4832.11	1536.57	1899.91	1004.07	2590.73	2357.4	1984.47	2119.09	2415.12	1617.7	1317.83	1922.28	2846.67	918.213	1823.75	1456.69	2080.17	2673.62	2056.41	1436.97	1779.78	2728.58	2252.83	2089.4	3419	1804.41	1099.57	2637.39
ALMS1	404.866	281.485	379.535	568.533	488.679	195.288	336.009	367.854	185.424	372.472	845.741	448.834	275.308	320.886	264.834	231.673	315.014	249.501	481.289	199.371	1009.47	1121.45	336.822	240.332	428.87	464.547	321.992	672.237	365.138	208.714	378.612	1244.85	518.706	455.009	704.186	478.815	924.085	521.328	253.931	453.705	296.341	937.871	483.384	383.734	330	381.275	273.443	322.933	354.268	447.382	711.684	299.902	308.662	210.274	415.637	257.105	327.991	355.956	1162.85	385.283	620.221	302.883	229.446	345.127	457.861
DDX39B	2702.83	2748.6	2162.89	3587.69	6195.28	3441.04	2123.98	2890.7	3746.14	2241.13	1888.46	2443.9	2460.52	2467.39	3214.43	2800.28	2275.5	2229.97	2304.13	2521.33	2120.31	2714.9	2819.22	2886.13	2232.65	2345.5	1940.32	2317.64	2524.95	3060.34	3355.6	2169.62	3539.68	2516.47	2650.4	2653.54	2704.93	2287.87	2365.59	2378.28	2609.93	5106.19	3511.48	2813.07	2085.45	2464.18	2199.84	2437.42	2708.88	3559.59	2403.09	2680	4601.48	3269.8	2382.7	3001.75	2709.4	3534.84	2430.66	2310.57	2713.63	2558.7	2387.96	2286.99	2436.97
KAT6A	2007.18	1196.9	1766.49	740.576	791.509	1052.11	1567.82	1673.64	1329.96	1465.2	2178.96	1572.93	1369.32	1835.16	800.572	1135.34	1437.86	1349.15	1633.64	1279.3	1530.69	1550.96	1732.17	1471.66	1251.19	691.358	1634.67	1268.61	1836.82	1554.77	536.425	1079.29	971.038	1578.61	1593.02	860.143	920.922	2365.34	1579.5	1311.6	977.642	1680.48	1782.18	1761.92	1138.18	840.384	718.688	1586.94	1223.8	837.17	1403.78	1176.14	974.781	1054.25	1917.79	1249.23	1004.27	954.986	1741.03	773.585	1298.41	861.551	1044.06	724.451	883.853
PABPN1	2407.08	3134.33	1743.39	3164.09	10607.4	2939.12	1611.56	2650.33	3602.86	2742.32	1527.96	2269.72	2228.08	2532.54	3155.81	2854.76	2927.55	2485.4	1850.7	2241.76	1668.93	1464.64	1731.22	2559.9	2438.24	3253.81	2155.2	1951.74	2200.62	3018.55	6071.71	1801.82	2572.43	2410.28	2113.11	3163.59	2695.64	1779.04	2487.47	2572.55	3473.47	2058.55	3627.64	3105.54	1966.5	2392.45	2402.19	2808.2	2514.93	3659.37	2350.74	3073.47	5754.18	2933.42	2511.12	3232.74	3987.87	4890.91	2702.41	2612.26	2979.8	3019.78	3590.97	3011.19	2624.82
AKAP17A	862.784	746.711	634.895	633.296	1676.42	773.448	531.987	666.449	1562.97	1371.68	716.847	519.799	584.328	437.399	1589	1110.43	464.08	991.284	54.6601	561.293	456.682	479.472	529.07	1291.52	609.83	1003.82	517.012	621.913	1699.6	784.647	643.018	485.885	415.457	578.268	663.721	626.172	736.105	507.43	913.553	954.49	951.22	473.374	910.876	780.776	585.455	535.815	1294.43	1189.8	1135.67	1420.92	598.625	636.314	902.961	1245.8	573.103	866.638	1218.48	905.125	585.032	533.962	1021.07	879.821	651.8	714.455	529.037
RBM10	1406.06	1966.64	1343.56	1603.26	4094.34	1844.13	1544.98	1561.91	2259.95	1363.8	1147.81	1702.79	1607.71	1556.68	1786.68	1993.42	1540.95	1723.41	1292.5	2074.09	1245.53	1385.01	1651.16	2142.78	1718.39	1378.78	1314.2	810.44	1567.43	1793.36	1982.35	146.215	1113.31	1554.84	1151.16	1944.51	1086.76	1707.99	1191.78	1509.68	1893.5	1433.27	1803.93	1594.45	1193.64	1636.77	1204.59	1615.89	1337.27	2069.7	872.852	1712.92	2233	1136.82	1594.43	1910.36	1641.56	2820.64	1379.98	1599.62	1695.24	2744.62	1728.64	1984.48	1915.37
DGKZ	457.12	3501.88	395.558	437.029	1612.26	880.833999999999	686.915	742.568	525.094	640.399	379.741	636.122	875.69	648.267	459.475	875.94	652.299	803.948	636.861	902.111	375.658	557.565	311.628	1753.69	1568.48	365.345	423.874	322.223	912.677000000001	377.178	939.955	413.002	619.19	712.394	844.186	410.574	1178.94	899.83	575.755	1032.26	1367.48	531.888	728.701	806.285	1581.82	492.95	1859.02	815.489	415.684	282.772	294.158	692.383	1915.02	1530.96	462.144	714.473	855.235	1692.52	975.653999999999	407.17	1151.27	906.212	1465.88	593.45	405.453
API5	2681.29	1849.62	3619.77	1585.96	1369.81	1255.1	3038.98	2976.8	1633.94	2172.31	2706.44	3005.03	2770.34	2921.97	2655.17	2075.66	4420.62	2979.31	3839.38	2394.25	2861.45	2635.95	1724.42	1425.65	2300.08	1842.02	3415.32	2165.81	2699.26	1444.81	2331.2	2180.63	2229.39	2979.97	2892.09	2161.98	1969.72	3672.06	3297.45	3114.91	2134.15	1783.37	2619.03	3384.1	1860.91	3085.73	2204.59	2136.99	3472.94	1658.73	2530.24	2418.34	1554.82	2213.63	2862.22	2105.38	1919.34	2189.06	3084.58	2972.45	2175.9	2129.52	2260.61	2299.62	2933.07
PRPF18	251.44	345.94	271.503	441.379	184.274	217.49	244.373	201.019	192.915	189.178	336.393	283.347	234.064	264.028	191.079	194.525	324.321	201.915	347.767	228.644	242.434	457.499	272.186	185.008	336.867	354.568	189.846	393.289	283.867	216.651	189.541	477.422	279.757	295.861	420.074	164.125	316.389	218.576	286.899	229.904	233.207	575.251	269.87	303.678	396.136	222.397	244.197	224.149	238.82	459.392	384.725	318.396	151.36	283.975	244.058	217.429	180.588	164.058	250.907	281.132	257.425	150.223	179.882	243.93	262.394
CDK13	1148.78	1001.88	1434.02	755.902	1677.36	1165.84	1086.49	1322.12	1227	794.852	1202.68	1306.26	996.889999999999	1184.99	1249.42	1090.7	1459.77	1145.86	1639.24	1108.22	1133.99	1028.42	1291.47	1245.94	821.839	674.751	1156.05	956.154	1332.43	1373.03	1144.83	977.618	866.252	1143.29	1109.3	767.529	855.399999999999	1498.63	1257.34	1225.81	1185.77	1096.65	1370.39	1302.03	932.727	1359.28	856.393	1335.36	1656.14	1703.69	978.694	1344.34	858.553	1036.01	1709.79	1198.08	866.987	1027.01	687.466	1437.36	1221.27	1129.11	811.929	1374.19	1322.95
