TCGA-4P-AA8J-01	TCGA-BA-4074-01	TCGA-BA-4076-01	TCGA-BA-4078-01	TCGA-BA-5149-01	TCGA-BA-5151-01	TCGA-BA-5152-01	TCGA-BA-5153-01	TCGA-BA-5555-01	TCGA-BA-5556-01	TCGA-BA-5557-01	TCGA-BA-5558-01	TCGA-BA-5559-01	TCGA-BA-6868-01	TCGA-BA-6869-01	TCGA-BA-6870-01	TCGA-BA-6871-01	TCGA-BA-6872-01	TCGA-BA-6873-01	TCGA-BA-7269-01	TCGA-BA-A4IF-01	TCGA-BA-A4IG-01	TCGA-BA-A4IH-01	TCGA-BA-A4II-01	TCGA-BA-A6D8-01	TCGA-BA-A6DA-01	TCGA-BA-A6DB-01	TCGA-BA-A6DD-01	TCGA-BA-A6DE-01	TCGA-BA-A6DG-01	TCGA-BA-A6DI-01	TCGA-BA-A6DJ-01	TCGA-BA-A6DL-01	TCGA-BA-A8YP-01	TCGA-BB-4217-01	TCGA-BB-4223-01	TCGA-BB-4224-01	TCGA-BB-4225-01	TCGA-BB-4227-01	TCGA-BB-4228-01	TCGA-BB-7861-01	TCGA-BB-7862-01	TCGA-BB-7863-01	TCGA-BB-7864-01	TCGA-BB-7866-01	TCGA-BB-7870-01	TCGA-BB-7871-01	TCGA-BB-7872-01	TCGA-BB-8596-01	TCGA-BB-8601-01	TCGA-BB-A5HU-01	TCGA-BB-A5HY-01	TCGA-BB-A5HZ-01	TCGA-BB-A6UM-01	TCGA-BB-A6UO-01	TCGA-C9-A47Z-01	TCGA-C9-A480-01	TCGA-CN-4722-01	TCGA-CN-4723-01	TCGA-CN-4725-01	TCGA-CN-4726-01	TCGA-CN-4727-01	TCGA-CN-4728-01	TCGA-CN-4729-01	TCGA-CN-4730-01	TCGA-CN-4731-01	TCGA-CN-4733-01	TCGA-CN-4734-01	TCGA-CN-4735-01	TCGA-CN-4736-01	TCGA-CN-4737-01	TCGA-CN-4738-01	TCGA-CN-4739-01	TCGA-CN-4740-01	TCGA-CN-4741-01	TCGA-CN-4742-01	TCGA-CN-5355-01	TCGA-CN-5356-01	TCGA-CN-5358-01	TCGA-CN-5359-01	TCGA-CN-5360-01	TCGA-CN-5361-01	TCGA-CN-5363-01	TCGA-CN-5364-01	TCGA-CN-5365-01	TCGA-CN-5366-01	TCGA-CN-5367-01	TCGA-CN-5369-01	TCGA-CN-5370-01	TCGA-CN-5373-01	TCGA-CN-5374-01	TCGA-CN-6010-01	TCGA-CN-6011-01	TCGA-CN-6012-01	TCGA-CN-6013-01	TCGA-CN-6016-01	TCGA-CN-6017-01	TCGA-CN-6018-01	TCGA-CN-6019-01	TCGA-CN-6020-01	TCGA-CN-6021-01	TCGA-CN-6022-01	TCGA-CN-6023-01	TCGA-CN-6024-01	TCGA-CN-6988-01	TCGA-CN-6989-01	TCGA-CN-6992-01	TCGA-CN-6994-01	TCGA-CN-6995-01	TCGA-CN-6996-01	TCGA-CN-6997-01	TCGA-CN-6998-01	TCGA-CN-A497-01	TCGA-CN-A498-01	TCGA-CN-A499-01	TCGA-CN-A49A-01	TCGA-CN-A49B-01	TCGA-CN-A49C-01	TCGA-CN-A63T-01	TCGA-CN-A63U-01	TCGA-CN-A63V-01	TCGA-CN-A63W-01	TCGA-CN-A641-01	TCGA-CN-A642-01	TCGA-CN-A6UY-01	TCGA-CN-A6V1-01	TCGA-CN-A6V3-01	TCGA-CN-A6V6-01	TCGA-CN-A6V7-01	TCGA-CQ-5323-01	TCGA-CQ-5324-01	TCGA-CQ-5325-01	TCGA-CQ-5326-01	TCGA-CQ-5327-01	TCGA-CQ-5329-01	TCGA-CQ-5330-01	TCGA-CQ-5331-01	TCGA-CQ-5332-01	TCGA-CQ-5333-01	TCGA-CQ-5334-01	TCGA-CQ-6218-01	TCGA-CQ-6219-01	TCGA-CQ-6220-01	TCGA-CQ-6222-01	TCGA-CQ-6223-01	TCGA-CQ-6224-01	TCGA-CQ-6225-01	TCGA-CQ-6227-01	TCGA-CQ-6228-01	TCGA-CQ-6229-01	TCGA-CQ-7063-01	TCGA-CQ-7065-01	TCGA-CQ-7067-01	TCGA-CQ-7068-01	TCGA-CQ-7069-01	TCGA-CQ-7071-01	TCGA-CQ-7072-01	TCGA-CQ-A4C6-01	TCGA-CQ-A4C9-01	TCGA-CQ-A4CA-01	TCGA-CQ-A4CB-01	TCGA-CQ-A4CD-01	TCGA-CQ-A4CE-01	TCGA-CQ-A4CG-01	TCGA-CQ-A4CH-01	TCGA-CQ-A4CI-01	TCGA-CR-5243-01	TCGA-CR-5247-01	TCGA-CR-5248-01	TCGA-CR-5249-01	TCGA-CR-5250-01	TCGA-CR-6467-01	TCGA-CR-6470-01	TCGA-CR-6471-01	TCGA-CR-6472-01	TCGA-CR-6473-01	TCGA-CR-6474-01	TCGA-CR-6477-01	TCGA-CR-6478-01	TCGA-CR-6480-01	TCGA-CR-6481-01	TCGA-CR-6482-01	TCGA-CR-6484-01	TCGA-CR-6487-01	TCGA-CR-6488-01	TCGA-CR-6491-01	TCGA-CR-6492-01	TCGA-CR-6493-01	TCGA-CR-7364-01	TCGA-CR-7365-01	TCGA-CR-7367-01	TCGA-CR-7368-01	TCGA-CR-7369-01	TCGA-CR-7370-01	TCGA-CR-7371-01	TCGA-CR-7372-01	TCGA-CR-7373-01	TCGA-CR-7374-01	TCGA-CR-7376-01	TCGA-CR-7377-01	TCGA-CR-7379-01	TCGA-CR-7380-01	TCGA-CR-7382-01	TCGA-CR-7383-01	TCGA-CR-7385-01	TCGA-CR-7386-01	TCGA-CR-7388-01	TCGA-CR-7389-01	TCGA-CR-7390-01	TCGA-CR-7391-01	TCGA-CR-7392-01	TCGA-CR-7393-01	TCGA-CR-7394-01	TCGA-CR-7395-01	TCGA-CR-7397-01	TCGA-CR-7398-01	TCGA-CR-7399-01	TCGA-CR-7401-01	TCGA-CR-7402-01	TCGA-CR-7404-01	TCGA-CV-5430-01	TCGA-CV-5431-01	TCGA-CV-5432-01	TCGA-CV-5434-01	TCGA-CV-5435-01	TCGA-CV-5436-01	TCGA-CV-5439-01	TCGA-CV-5440-01	TCGA-CV-5441-01	TCGA-CV-5442-01	TCGA-CV-5443-01	TCGA-CV-5444-01	TCGA-CV-5966-01	TCGA-CV-5970-01	TCGA-CV-5971-01	TCGA-CV-5973-01	TCGA-CV-5976-01	TCGA-CV-5977-01	TCGA-CV-5978-01	TCGA-CV-5979-01	TCGA-CV-6003-01	TCGA-CV-6433-01	TCGA-CV-6436-01	TCGA-CV-6441-01	TCGA-CV-6933-01	TCGA-CV-6934-01	TCGA-CV-6935-01	TCGA-CV-6936-01	TCGA-CV-6937-01	TCGA-CV-6938-01	TCGA-CV-6939-01	TCGA-CV-6940-01	TCGA-CV-6941-01	TCGA-CV-6942-01	TCGA-CV-6943-01	TCGA-CV-6945-01	TCGA-CV-6948-01	TCGA-CV-6950-01	TCGA-CV-6951-01	TCGA-CV-6952-01	TCGA-CV-6953-01	TCGA-CV-6954-01	TCGA-CV-6955-01	TCGA-CV-6956-01	TCGA-CV-6959-01	TCGA-CV-6960-01	TCGA-CV-6961-01	TCGA-CV-6962-01	TCGA-CV-7089-01	TCGA-CV-7090-01	TCGA-CV-7091-01	TCGA-CV-7095-01	TCGA-CV-7097-01	TCGA-CV-7099-01	TCGA-CV-7100-01	TCGA-CV-7101-01	TCGA-CV-7102-01	TCGA-CV-7103-01	TCGA-CV-7104-01	TCGA-CV-7177-01	TCGA-CV-7178-01	TCGA-CV-7180-01	TCGA-CV-7183-01	TCGA-CV-7235-01	TCGA-CV-7236-01	TCGA-CV-7238-01	TCGA-CV-7242-01	TCGA-CV-7243-01	TCGA-CV-7245-01	TCGA-CV-7247-01	TCGA-CV-7248-01	TCGA-CV-7250-01	TCGA-CV-7252-01	TCGA-CV-7253-01	TCGA-CV-7254-01	TCGA-CV-7255-01	TCGA-CV-7261-01	TCGA-CV-7263-01	TCGA-CV-7406-01	TCGA-CV-7407-01	TCGA-CV-7409-01	TCGA-CV-7410-01	TCGA-CV-7411-01	TCGA-CV-7413-01	TCGA-CV-7414-01	TCGA-CV-7415-01	TCGA-CV-7416-01	TCGA-CV-7418-01	TCGA-CV-7421-01	TCGA-CV-7422-01	TCGA-CV-7423-01	TCGA-CV-7424-01	TCGA-CV-7425-01	TCGA-CV-7427-01	TCGA-CV-7428-01	TCGA-CV-7429-01	TCGA-CV-7430-01	TCGA-CV-7432-01	TCGA-CV-7433-01	TCGA-CV-7434-01	TCGA-CV-7435-01	TCGA-CV-7437-01	TCGA-CV-7438-01	TCGA-CV-7440-01	TCGA-CV-7446-01	TCGA-CV-7568-01	TCGA-CV-A45O-01	TCGA-CV-A45P-01	TCGA-CV-A45Q-01	TCGA-CV-A45R-01	TCGA-CV-A45T-01	TCGA-CV-A45U-01	TCGA-CV-A45V-01	TCGA-CV-A45W-01	TCGA-CV-A45X-01	TCGA-CV-A45Y-01	TCGA-CV-A45Z-01	TCGA-CV-A460-01	TCGA-CV-A461-01	TCGA-CV-A463-01	TCGA-CV-A464-01	TCGA-CV-A465-01	TCGA-CV-A468-01	TCGA-CV-A6JD-01	TCGA-CV-A6JE-01	TCGA-CV-A6JM-01	TCGA-CV-A6JN-01	TCGA-CV-A6JO-01	TCGA-CV-A6JT-01	TCGA-CV-A6JU-01	TCGA-CV-A6JY-01	TCGA-CV-A6JZ-01	TCGA-CV-A6K0-01	TCGA-CV-A6K1-01	TCGA-CV-A6K2-01	TCGA-CX-7085-01	TCGA-CX-7086-01	TCGA-CX-7219-01	TCGA-CX-A4AQ-01	TCGA-D6-6515-01	TCGA-D6-6516-01	TCGA-D6-6517-01	TCGA-D6-6823-01	TCGA-D6-6824-01	TCGA-D6-6825-01	TCGA-D6-6826-01	TCGA-D6-6827-01	TCGA-D6-8568-01	TCGA-D6-8569-01	TCGA-D6-A4Z9-01	TCGA-D6-A4ZB-01	TCGA-D6-A6EK-01	TCGA-D6-A6EM-01	TCGA-D6-A6EN-01	TCGA-D6-A6EO-01	TCGA-D6-A6EP-01	TCGA-D6-A6EQ-01	TCGA-D6-A6ES-01	TCGA-D6-A74Q-01	TCGA-DQ-5624-01	TCGA-DQ-5625-01	TCGA-DQ-5629-01	TCGA-DQ-5630-01	TCGA-DQ-5631-01	TCGA-DQ-7588-01	TCGA-DQ-7589-01	TCGA-DQ-7590-01	TCGA-DQ-7591-01	TCGA-DQ-7592-01	TCGA-DQ-7593-01	TCGA-DQ-7594-01	TCGA-DQ-7595-01	TCGA-DQ-7596-01	TCGA-F7-7848-01	TCGA-F7-8298-01	TCGA-F7-8489-01	TCGA-F7-A50G-01	TCGA-F7-A50I-01	TCGA-F7-A50J-01	TCGA-F7-A61S-01	TCGA-F7-A61V-01	TCGA-F7-A61W-01	TCGA-F7-A620-01	TCGA-F7-A622-01	TCGA-F7-A623-01	TCGA-F7-A624-01	TCGA-H7-7774-01	TCGA-H7-8501-01	TCGA-H7-8502-01	TCGA-H7-A6C4-01	TCGA-H7-A76A-01	TCGA-HD-7229-01	TCGA-HD-7753-01	TCGA-HD-7754-01	TCGA-HD-7831-01	TCGA-HD-7832-01	TCGA-HD-7917-01	TCGA-HD-8224-01	TCGA-HD-8314-01	TCGA-HD-8634-01	TCGA-HD-8635-01	TCGA-HD-A4C1-01	TCGA-HD-A633-01	TCGA-HD-A634-01	TCGA-HD-A6HZ-01	TCGA-HD-A6I0-01	TCGA-HL-7533-01	TCGA-IQ-7630-01	TCGA-IQ-7631-01	TCGA-IQ-7632-01	TCGA-IQ-A61E-01	TCGA-IQ-A61G-01	TCGA-IQ-A61H-01	TCGA-IQ-A61I-01	TCGA-IQ-A61J-01	TCGA-IQ-A61O-01	TCGA-IQ-A6SG-01	TCGA-IQ-A6SH-01	TCGA-KU-A66S-01	TCGA-KU-A66T-01	TCGA-KU-A6H7-01	TCGA-KU-A6H8-01	TCGA-MT-A51W-01	TCGA-MT-A51X-01	TCGA-MT-A67A-01	TCGA-MT-A67D-01	TCGA-MT-A67F-01	TCGA-MT-A7BN-01	TCGA-MZ-A5BI-01	TCGA-MZ-A6I9-01	TCGA-MZ-A7D7-01	TCGA-P3-A5Q5-01	TCGA-P3-A5Q6-01	TCGA-P3-A5QA-01	TCGA-P3-A5QE-01	TCGA-P3-A5QF-01	TCGA-P3-A6SW-01	TCGA-P3-A6SX-01	TCGA-P3-A6T0-01	TCGA-P3-A6T2-01	TCGA-P3-A6T3-01	TCGA-P3-A6T4-01	TCGA-P3-A6T5-01	TCGA-P3-A6T6-01	TCGA-P3-A6T7-01	TCGA-P3-A6T8-01	TCGA-QK-A64Z-01	TCGA-QK-A652-01	TCGA-QK-A6IF-01	TCGA-QK-A6IG-01	TCGA-QK-A6IH-01	TCGA-QK-A6II-01	TCGA-QK-A6IJ-01	TCGA-QK-A6V9-01	TCGA-QK-A6VB-01	TCGA-QK-A6VC-01	TCGA-QK-A8Z7-01	TCGA-QK-A8Z8-01	TCGA-QK-A8Z9-01	TCGA-QK-A8ZA-01	TCGA-QK-A8ZB-01	TCGA-QK-AA3J-01	TCGA-QK-AA3K-01	TCGA-RS-A6TO-01	TCGA-RS-A6TP-01	TCGA-T2-A6WX-01	TCGA-T2-A6WZ-01	TCGA-T2-A6X0-01	TCGA-T2-A6X2-01	TCGA-T3-A92M-01	TCGA-T3-A92N-01	TCGA-TN-A7HI-01	TCGA-TN-A7HJ-01	TCGA-TN-A7HL-01	TCGA-UF-A718-01	TCGA-UF-A719-01	TCGA-UF-A71A-01	TCGA-UF-A71B-01	TCGA-UF-A71D-01	TCGA-UF-A71E-01	TCGA-UF-A7J9-01	TCGA-UF-A7JA-01	TCGA-UF-A7JC-01	TCGA-UF-A7JD-01	TCGA-UF-A7JF-01	TCGA-UF-A7JH-01	TCGA-UF-A7JJ-01	TCGA-UF-A7JK-01	TCGA-UF-A7JO-01	TCGA-UF-A7JS-01	TCGA-UF-A7JT-01	TCGA-UF-A7JV-01	TCGA-UP-A6WW-01	TCGA-WA-A7GZ-01	TCGA-WA-A7H4-01
BNIP3L	1350.18	5071.62	3542.44	3190.89	1328.54	955.57	575.492	3259.12	1380.61	1457.83	3390.45	978.912999999999	2884.39	1743.08	2551.29	1413.37	3086.82	1148.65	1361.61	1051.53	3301.22	3829.27	3002	2683.76	928.767000000001	5369.02	1588.69	1296.31	1195.48	3200.49	1881.9	1311.4	1953.39	1363.04	1955.96	2535.32	2393.04	2846.44	2071.01	6202.43	2451.32	1506.23	1467.17	4001.84	2057.67	4353.16	2759.8	1512.04	2405.92	7254.32	3456.32	1909.67	2381.79	1879.6	1101.15	2728.35	1322.2	3820.28	2244.14	1908.12	3906.65	1732.05	2442.05	1409.51	2760.79	5852.25	1259.75	2737.94	4387.75	1425.04	2001.36	1574.93	2015.79	2114.26	1937.59	2078.7	3376.89	1263.09	1674.04	2105.77	1757.74	1756.61	2121.04	2621.04	2079.12	1910.25	1255.47	1303.35	1452.57	2303.64	1717.02	2122.97	2276.39	1991.27	895.638	2154.44	1033.23	1938.75	3792.65	1067.46	2283.76	2934.81	927.554999999999	2832.15	1327.3	2359.95	1727.22	5615.34	2583.09	1187.84	2295.19	4982.69	1250.99	2623.22	2703.63	2606.04	973.134	2490.27	3289.66	2482.49	4039.82	3662.41	1503.29	1417.06	1992.28	1536.14	2274.81	1599.87	2718.23	2380.86	2297.7	1527.49	2394.09	1415.84	2495.67	1635.85	2416.5	2343.91	2419.74	850.025	2875.16	1247.44	2795.76	1277.74	1977.65	1738.74	4504.76	1582.77	3544.42	2245.18	1074.99	1301.37	1936.13	1974.7	1758.16	3103.19	2662.04	1764.29	1170.61	1131.61	1073.08	1358.22	5130.48	3741.52	1134.63	2839.54	2221.51	2835.34	3081.09	3100.82	1881.66	4181.42	3536.77	1229.69	2325.83	3322.31	1375.62	3486.5	1881.13	2268.47	2560.45	2045.13	1290.27	1467.09	2295.49	3834.61	1084.66	2868.8	1343.89	3616.6	4510.66	2045.62	1881.93	4054.44	2732.93	1108.93	766.949	1571.76	1656.31	1658.99	2876.75	1500.66	1308.67	1685.85	2020.84	2761.43	2287.9	3007.96	1581.48	2394.49	2210.19	1844.41	2945.03	3057.76	2782.07	1690.89	1983.22	1993.35	2842.94	2446.4	1013.73	2490.41	2618.48	2095.14	2139.18	2300.91	4037.72	3807.48	2413.11	1877.42	3361.96	1310	573.661	2762.91	1966.59	3342.18	1630.42	1554.79	2376.94	5034.5	3754.58	4527.29	2106.56	1722.92	2046.38	3809.13	2101.71	602.614	1567.93	1306.32	1897.43	2104.14	2823.6	1156.38	1695.38	4650.15	1544.4	3469.76	3590.07	1545.48	3969.69	4326.2	2549.55	2008.16	1975.09	1668.67	3770.26	2732.77	1261.01	1186.19	1777.1	1739.41	1675.74	1343.3	2222.7	2362.5	1921.72	3441.62	1631.77	4022.61	1585.09	1632.42	5477.11	1778.53	1094.15	1127.79	3912.59	1642.11	3589.98	1045.64	1340.66	3102.1	1944.84	6648.88	1591.91	2098.49	2601.61	3021.81	2380.02	1537.75	1338.61	2917.42	4680.66	4081.25	2250.74	2065.18	1873.6	2791.97	2092.65	1724.19	990.238	4687.13	2888.41	1336.8	1473.39	1607.5	4535.44	2613.31	1811.68	933.311	3120.46	2868.76	1894.81	2796.98	4291.77	3645.07	6161.29	3103.94	1374.76	1509.62	2058.56	2567.9	2964.7	1409.98	1619.66	2347.3	1476.31	1619.19	2258.08	1937.6	1067.84	2204.23	1297.22	1083.59	1026.53	1957.9	1724	749.37	1774.95	984.428000000001	3092.23	1135.14	1266.95	1430.4	2055.59	2840.72	1258.83	1233.86	2021.76	1437.95	1884.18	1935.66	939.979	2407.57	2432.12	2139.71	1433.14	1411.53	1493.4	1267.27	2034.23	7926.06	993.533	651.586	1428.29	2362.51	1397.52	1332.17	1825.97	1019.61	1148.62	2488.66	1986.39	2260.75	4112.25	2182.11	3353.17	4283.96	1755.27	2717.63	3127.11	3348.03	2563.77	1363.76	1878.08	1658.19	5006.63	1670.82	1800.63	1564.36	1899.4	1106.67	864.188	1870.72	2654.63	3226.8	2446.71	1461.5	986.709	1387.68	2141.2	1461.91	1769.94	3128.25	3251.62	1700.46	3191.08	1001.77	1592.43	1860.19	1243.53	1817.9	1080.71	2660	3848.28	876.869	2564.07	1250.11	2980.25	2085.98	1562.66	1697.23	1746.46	1244.02	1784.66	6270.71	2111.7	817.689	2403.12	2825.01	1906.23	1445.44	1697.19	1758.35	1349.14	1621.69	2644.84	1677.78	3116.33	1736.65	3763.57	1873.74	1219.15	2738.23	2642.46	2522.14	1247.38	1618.02	3034.96	1475.68	2531.49	2060.73	2181.94	866.824	1791.54	1062.64	697.524	1095.62	2103.66	1330.97	1415.25	3458.6	1339.92	4048.33	2424.48	1368.58	2161.4	1236.09	1617.31	879.153	3004.66	1383.14	1906.14	2688.8	2634.5	2388.07	912.654	4037.65	974.936	1720.34	852.557	3689.67	2076.81	1387.22	3735.58	1148.58	2021.93	1753.24	1755.52	1760.41	2663.1	2054	4382.9	2593	3403.87	3597.86	2530.48	1839.91	1550.87	730.942	993.074	1414.59	3630.88	895.031999999999	1301.28
CDK11B	1146.41	269.197	553.441	493.213	1073.26	516.16	1086.34	871.796	636.821	645.928	694.244	795.47	967.028	819.899	858.688	836.108	757.826	1012.83	853.227	451.134	725.982	838.978	764.013	769.603	995.808000000001	1207.01	1030.72	868.929	1471.79	926.602999999999	967.234	844.589	847.099	880.11	957.266000000001	750.822	1098.53	793.675	659.943	309.141	984.801	457.654	566.771	855.051	821.434	670.641	606.096	425.745	1021.51	518.316	1029.46	607.697	708.147	1242.44	1116.29	830.119	922.039	566.374	1018.61	767.58	334.779	863.779	705.708	826.536000000001	677.796	620.857	833.304	673.581	918.025	957.784	1093.51	763.394	868.433	794.154	887.142	604.41	816.166	567.902	838.728	828.958	592.365	993.175	687.109	741.976	1084.49	1251.8	932.928	731.088	776.088	683.013	1093.69	765.356	1313.69	676.758	825.837	896.968	1047.98	702.413	598.606	787.149	448.565	1015.54	1046.58	492.584	933.902	670.84	462.771	869.466	641.019	779.885	490.276	591.33	709.31	665.195	1002.63	1208.8	1060.54	1344.82	758.928	295.276	821.396	993.359	1197.56	900.615	1174.49	1632.76	798.429	1283.05	1137.92	888.766	573.117	591.385	1107.88	876.966999999999	514.681	915.899	916.657	431.837	1077.1	903.083	725.739	965.052	953.361	963.189	935.858	1075.35	737.351	706.668	731.563	844.212	763.809	1053.42	920.042	831.422	987.025	541.484	876.463	733.949	790.154	1014.77	833.163	926.269	740.137	624.923	635.288	769.478	1266.99	654.331	1177.79	770.1	878.796	685.66	534.623	913.773	475.325	1067.56	804.115000000001	839.426	883.842	1565.28	778	885.529	677.265	792.481	803.45	683.371	768.401	771.458	732.783	600.785	811.297	1191.81	876.031	676.521	447.514	601.593	518.862	687.073	705.88	678.484	623.203	503.427	753.323	969.376	1023.44	828.003999999999	758.815	718.702	785.199	622.288	765.299	682.813	655.708	676.144	662.69	969.245000000001	779.785	815.074	757.534	825.86	1142.73	911.001999999999	811.861	722.484	417.368	959.066999999999	527.439	635.461	1032.16	1218.9	1197.12	1012.38	779.836	970.856999999999	1077.8	1810.96	948.029	973.425999999999	584.403	833.341	1120.43	964.468	1202.16	1046.27	663.659	785.458	470.419	858.873	1479.09	646.541	867.497	1007.9	889.83	1144.41	844.24	872.051	577.199	904.545	809.73	747.284	899.333	939.795999999999	700.034	1306.09	876.691	1229.28	799.238999999999	645.548	865.98	839.428	757.076	661.154	832.717	724.986	953.579	618.371	939.099	952.799	782.922	673.47	695.036	850.93	578.145	841.664	749.385	1041.9	903.364	884.179	863.867	1009.99	777.284	908.077	769.227	698.609	665.71	878.276	524.822	1209.88	1244.83	906.962	665.018	976.619	544.118	955.499	863.207	1187.57	762.626	613.071	821.02	687.924	776.651	781.347	378.856	626.518	847.799	720.937	442.155	1016.93	805.583999999999	1005.26	674.585	525.082	892.755	487.517	550.011	345.192	797.449	707.684	598.921	1018.96	944.04	794.502	775.26	903.347	1083.16	1203.07	880.754	1193.53	1008.87	625.939	820.85	866.153	1033.22	1014.74	1303.56	844.721	780.433	1050.47	1069.43	977.151	799.425	1124.15	909.543	828.188	693.17	686.902	1134.36	1063.57	2187.62	757.534	702.275	776.017	1064	755.411	902.593	788.724	1175.31	631.907	951.657	1111.1	972.401	935.258999999999	1163.2	903.558	682.339	1086.92	1142.04	1246.97	1229.7	784.14	749.198	859.537	441.949	773.524	1083.59	694.858	1191.68	956.46	644.966	1186.51	934.763	735.774	689.278	920.709	1206.36	673.347	899.243	841.604	699.102	728.811	557.473	1000.52	950.774	1044.48	1968.55	1023.01	745.592	419.527	864.392	814.542	1491.5	684.356	738.643	778.151	780.453	1049.07	793.569	1009.78	457.949	664.206	1212.26	690.343000000001	970.584	1079.61	619.609	662.146	1249.42	932.49	942.204	721.446	868.221	761.435	753.199	1023.13	1088.02	983.587	1153.41	899.246	1032.66	1404.87	1315.17	1155.57	748.125	854.638	1164.23	1001.38	796.071	977.544	1104.44	628.533	328.256	1293.39	1076.1	613.579	901.686	958.619999999999	895.879	1559.48	828.787	957.852	990.381000000001	972.86	1755.55	986.104	1400.7	1267.32	1008.27	1061.73	1519.28	1055.69	1196.44	846.781999999999	1130.47	1165.74	880.071	1103.23	750.805	999.079	2059.86	1064.19	910.756	1089.14	1010.79	1088.06	1317.04	849.296	2225.6	530.118	914.439	1420.95	978.079	955.277	1040.59	1177.02	1214.34	1252.09	914.309	1079.25	486.562	665.961	559.227	1167.55	1013.43	1001.05	1043.54	1173.71	805.011	980.789	864.84	727.458999999999	973.84	864.631	1585.66	1118.66	1048.18
