TCGA-02-0047-01	TCGA-02-0055-01	TCGA-02-2483-01	TCGA-02-2485-01	TCGA-02-2486-01	TCGA-06-0125-01	TCGA-06-0125-02	TCGA-06-0129-01	TCGA-06-0130-01	TCGA-06-0132-01	TCGA-06-0138-01	TCGA-06-0141-01	TCGA-06-0157-01	TCGA-06-0158-01	TCGA-06-0168-01	TCGA-06-0171-02	TCGA-06-0174-01	TCGA-06-0178-01	TCGA-06-0184-01	TCGA-06-0187-01	TCGA-06-0190-01	TCGA-06-0190-02	TCGA-06-0210-01	TCGA-06-0210-02	TCGA-06-0211-01	TCGA-06-0211-02	TCGA-06-0219-01	TCGA-06-0221-02	TCGA-06-0238-01	TCGA-06-0644-01	TCGA-06-0645-01	TCGA-06-0646-01	TCGA-06-0649-01	TCGA-06-0686-01	TCGA-06-0743-01	TCGA-06-0744-01	TCGA-06-0745-01	TCGA-06-0747-01	TCGA-06-0749-01	TCGA-06-0750-01	TCGA-06-0878-01	TCGA-06-0882-01	TCGA-06-1804-01	TCGA-06-2557-01	TCGA-06-2558-01	TCGA-06-2559-01	TCGA-06-2561-01	TCGA-06-2562-01	TCGA-06-2563-01	TCGA-06-2564-01	TCGA-06-2565-01	TCGA-06-2567-01	TCGA-06-2569-01	TCGA-06-2570-01	TCGA-06-5408-01	TCGA-06-5410-01	TCGA-06-5411-01	TCGA-06-5412-01	TCGA-06-5413-01	TCGA-06-5414-01	TCGA-06-5415-01	TCGA-06-5416-01	TCGA-06-5417-01	TCGA-06-5418-01	TCGA-06-5856-01	TCGA-06-5858-01	TCGA-06-5859-01	TCGA-08-0386-01	TCGA-12-0616-01	TCGA-12-0618-01	TCGA-12-0619-01	TCGA-12-0821-01	TCGA-12-1597-01	TCGA-12-3650-01	TCGA-12-3652-01	TCGA-12-3653-01	TCGA-12-5295-01	TCGA-12-5299-01	TCGA-14-0781-01	TCGA-14-0787-01	TCGA-14-0789-01	TCGA-14-0790-01	TCGA-14-0817-01	TCGA-14-0871-01	TCGA-14-1034-01	TCGA-14-1034-02	TCGA-14-1823-01	TCGA-14-1825-01	TCGA-14-1829-01	TCGA-14-2554-01	TCGA-15-0742-01	TCGA-15-1444-01	TCGA-16-0846-01	TCGA-16-1045-01	TCGA-19-1390-01	TCGA-19-1787-01	TCGA-19-2619-01	TCGA-19-2620-01	TCGA-19-2624-01	TCGA-19-2625-01	TCGA-19-2629-01	TCGA-19-4065-01	TCGA-19-5960-01	TCGA-26-1442-01	TCGA-26-5132-01	TCGA-26-5133-01	TCGA-26-5134-01	TCGA-26-5135-01	TCGA-26-5136-01	TCGA-26-5139-01	TCGA-27-1830-01	TCGA-27-1831-01	TCGA-27-1832-01	TCGA-27-1834-01	TCGA-27-1835-01	TCGA-27-1837-01	TCGA-27-2519-01	TCGA-27-2521-01	TCGA-27-2523-01	TCGA-27-2524-01	TCGA-27-2526-01	TCGA-27-2528-01	TCGA-28-1747-01	TCGA-28-1753-01	TCGA-28-2499-01	TCGA-28-2509-01	TCGA-28-2510-01	TCGA-28-2513-01	TCGA-28-2514-01	TCGA-28-5204-01	TCGA-28-5207-01	TCGA-28-5208-01	TCGA-28-5209-01	TCGA-28-5213-01	TCGA-28-5215-01	TCGA-28-5216-01	TCGA-28-5218-01	TCGA-28-5220-01	TCGA-32-1970-01	TCGA-32-1980-01	TCGA-32-1982-01	TCGA-32-2615-01	TCGA-32-2616-01	TCGA-32-2632-01	TCGA-32-2634-01	TCGA-32-2638-01	TCGA-32-4213-01	TCGA-32-5222-01	TCGA-41-2571-01	TCGA-41-2572-01	TCGA-41-3915-01	TCGA-41-4097-01	TCGA-41-5651-01	TCGA-76-4925-01	TCGA-76-4926-01	TCGA-76-4927-01	TCGA-76-4928-01	TCGA-76-4929-01	TCGA-76-4931-01	TCGA-76-4932-01
ELOA	1226.94	1799.6	1609.5	1641.97	1362.07	1440.97	1371.14	1529.58	1766.03	1060.36	1058.87	1111.37	1098.12	1142.51	805.046000000001	1134.33	1416.21	958.024	1145.84	1677.85	1289.21	1763.46	1665.55	1511.95	1472.38	1390.74	997.834	1898.02	1240.81	1550.06	1316.42	1532.93	1271.6	1336.36	875.882	1168.51	759.011	1281.79	861.985	948.853	1645.98	1304.95	1483.4	1463.36	1333.01	1614.22	767.983	1420.07	1336.87	1328.57	1325.46	1251.73	2066.36	1450.26	1477.93	1233.89	1100.65	1445.82	1162.93	1285.48	1026.85	1397.9	1671.47	1566.4	1379.52	1345.79	964.697	1824.03	1343.04	1314.93	2120.57	1882.43	1039.55	1084.77	1061.88	1488.08	1844.34	1084.44	1152.9	1188.79	1310.35	1274.78	1246.69	1734.22	1382.84	930.491	1209.82	1186.84	883.56	1054.58	1084.32	1458.62	1241.55	1377.31	1531.14	1915.57	878.571	949.405	1508.6	1633.5	1290.16	1439.57	1507.82	1290.99	1624.89	2058.58	1287.17	1294.47	1647.53	1407.99	1512.54	946.334	1117.73	1143.53	1440.67	1328.43	1510.32	1452.31	1398.82	1219.17	680.719	1456.53	1215.44	1307.95	928.791999999999	1461.77	970.817000000001	891.219	700.701	1281.94	1253.11	1441.08	1315.79	1017.72	1486.96	1675.31	1333.22	1077.1	1439.5	1065.57	1131.73	1122.2	1256.44	881.426000000001	1076	1204.83	1203.09	1878.27	1131	1046.56	1305.02	984.727999999999	1521.68	1613.78	1280.17	1342.5	1462.94	1455.38	955.205	794.378
TCF12	5243.55	2286.19	5949.13	10205.7	1704.27	6293.34	4042.65	15490.5	4531.72	2861.88	3716.66	2697.64	3170.51	5218.1	1834.86	2700.11	6677.76	14036.5	3843.55	6454.86	4160.44	3370.87	3566.8	4733.85	5693.46	5908.22	4595.01	11693.2	3877.16	3506.99	3168.84	3058.6	3586.72	3112.1	3275.57	5204.34	4432.33	4285.88	2133.67	2431.86	4263.01	2985.33	5009.33	5823.69	4219.54	5712.07	4574.08	5113.75	7188.2	7029.59	9055.7	3171.61	3092.86	6886.22	5016.01	2725.13	2718.69	3007.42	4815.15	4163.2	7480.59	2801.94	13148.9	3696.36	6234.34	5355.52	2908.97	3819.07	5816.04	2991.36	1930.69	3548.2	5441.51	7615.58	4512.85	8403.92000000001	5672.25	7371.26	2555.28	3740.93	3879.97	7751.54	3820.84	2460.06	3451.98	6558.74	3675.17	10986.6	3811.05	4416.59	6320	8872.01	4432.09	4007.27	5952.17	3191.14	6257.48	4575.09	4311.91	1827.41	10696.8	4481.44	21891.3	6440.48	4827.79	6979.18	6014.34	2646.2	5680.24	4685.95	2639.58	5916.24	1454.22	3817.17	3079.71	6023.5	2349.3	10221.9	6902.65	2046.41	3783.71	4842.93	6750.7	6458.74	3894.13	4249	1800.81	1932.27	7004.89	9835.81	6594.84	11046.5	8342.83	2826.98	6707.62	6872.43	3259.55	3509.43	4492.65	2119.54	3268.27	4978.4	3175.95	1959.1	4842.03	4271.62	3448.95	5399.7	2191.55	3114.36	2781.95	4629.32	10756.7	5139.73	3496.7	4808.84	3884.53	6787.27	7699.76	7335.32
VPS72	837.764	1033.22	1958.84	1569.52	1563.41	850.682	704.291	1062.26	733.883	1000.6	1442.29	1273.61	993.837	870.638	1410.55	572.279	1701.97	3518.74	1237.37	1057.5	893.729	823.732	995.16	965.517	1105.81	1047.49	1751.75	897.743999999999	2103.81	860.845	1192.37	1097.28	1039.68	1625.97	1080.02	1855.22	1803.14	1594.55	1437.43	1188.92	987.848	966.326	729.241	1189.49	1368.18	1449.11	904.789	2080.61	1178.05	902.153	1134.78	942.727	2182.42	1574.26	1266.92	816.159	1167.59	783.784	1468.49	932.915	1102.17	1087.86	2251.91	1178.68	1410.33	845.943	1240.33	1122.1	2231.72	1436.37	1113.09	1545.59	1867.48	2510.27	2758.35	1555.47	1996.14	1243.37	792.266	1256.89	846.494	1251.19	2547.41	2006.39	844.424	1313.41	1119.28	1319.4	1604.96	1371.26	1203.16	1173.5	1210.89	681.62	943.93	901.809	2336.38	782.967	1210.93	1916.52	1222.48	1211.07	1162.77	1179.34	1165.68	1691.5	1081.97	1251.9	990.949999999999	1031.37	865.104	1343.51	794.851	934.626	1210.98	1189.19	1152.85	2135.04	1383.68	1811.65	1893.26	1146.12	1170.15	929.26	2034.45	1276.55	839.378	870.655	1080.87	1194.14	1305.79	1230.84	973.731000000001	1162.13	1075.92	1636.69	1161.27	1350.49	1125.86	1385.26	1024.08	1059.18	990.46	1154.46	1274.82	1030.66	1186.01	2063.85	1489.1	1343.62	1073.12	656.178	2011.28	1333.9	992.467	1108.43	963.628000000001	1445.56	1191.53	2130.35
THBS2	3747.5	9497.97	386.28	915.238	1895.12	1503.77	3631.73	369.607	3420.32	1528.35	1370.42	2085.22	2584.65	1720.58	2662.84	3608.71	1281.39	244.474	1106.92	733.552	3317.44	11875.4	954.986	1513.84	748.865	1228.39	2306.96	1167.92	1392.73	3636.07	1515.94	4154.81	1865.59	1638.18	1618.97	1143.38	739.499	1000.11	1155.29	1484.65	2418.74	1628.53	1416.56	848.925	1712.63	2710.91	741.409	1061.8	876.46	2729.66	2846.94	1304.43	1823.24	544.019	1073.88	1121.96	740.792	2407	1342.43	826.206	728.881	785.555	211.832	1933.54	1372.31	1998.18	496.936	2219.99	1072.58	2620.58	4353.85	867.651999999999	881.001	841.61	1396.53	390.138	783.001	1026.52	1247.4	955.733	1744.16	6174.74	858.965	412.141	1688.85	1225.1	605.401	1392.98	938.173	1310.03	418.947	2868.41	3076.22	1333.33	1517.86	714.47	2183.97	2677.66	1964.31	1314.22	784.183	969.711	710.683	797.063	958.974	5230.5	1819.67	2155.7	1381.6	1730.67	3234.9	2285.95	2280.23	4331.86	2791.69	1090.48	3028.53	922.569	885.349	766.582	648.876	1482.63	745.572	2673.1	729.208	630.26	1637.88	1654.18	2796.61	774.023	1450.52	1124.52	585.485	832.425	4122.29	3373.11	10747.2	654.088	2561.21	1054.73	885.509	906.264	6109.8	4032.05	1326.87	2049.53	937.063000000001	2039.22	807.256	1028.16	3045.45	1412.13	1463.36	3850.84	1065.91	2283.53	585.89	1161.92	805.647	1085.07
WRN	204.063	381.219	290.449	255.367	120.122	320.623	278.284	504.096	234.657	125.452	143.746	218.173	303.082	270.197	103.211	238.845	290.232	136.929	180.481	218.151	323.087	346.455	241.53	214.182	291.553	234.792	296.278	433.083	223.858	349.088	202.823	347.873	246.802	160.932	180.71	279.228	145.1	296.844	87.0307	160.993	322.216	201.455	315.651	286.546	268.798	355.194	261.352	264.219	444.13	419.387	525.816	338.752	783.481	154.463	263.722	195.577	174.148	246.423	309.501	287.564	296.921	283.879	391.45	247.152	299.958	304.467	298.75	296.201	167.277	235.754	312.663	311.768	184.584	230.497	154.942	231.327	133.451	229.38	138.389	207.547	262.401	279.181	322.041	575.08	153.53	294.157	147.787	269.231	247.31	195.757	237.895	233.312	135.817	304.673	312.84	266.58	226.329	200.549	286.746	215.903	233.923	311.32	584.594	232.947	287.832	285.558	303.279	153.165	257.919	237.601	329.167	274.809	215.468	324.654	310.114	190.364	228.741	242.758	335.497	83.8449	95.5056	295.255	222.792	229.368	265.86	174.699	168.198	121.945	181.185	187.159	270.015	351.533	351.736	198.91	311.445	207.114	862.839	265.866	222.571	112.02	292.353	241.901	284.187	260.868	400.604	256.289	131.469	304.676	100.804	146.492	141.752	182.655	298.034	357.223	265.537	200	229.623	284.757	235.294	165.672
RNF112	497.864	105.396	434.829	686.191	276.219	283.561	302.731	620.545	286.746	515.078	399.447	725.873	476.133	200.815	403.67	219.473	506.304	323.659	344.777	394.99	308.753	244.459	437.077	448.276	236.603	211.313	176.806	1159.4	446.943	254.911	238.892	715.464	770.85	628.191	809.221	148.526	406.873	502.326	798.635	742.054	634.894	209.785	1697.57	690.686	647.475	892.97	470.986	589.789	287.434	543.692	114.796	1526.72	1229.97	768.913	751.85	329.327	877.072	444.091	500.47	100.824	228.881	659.717	467.557	516.14	509.26	269.827	308.412	528.155	180.744	808.327	280.438	395.506	603.786	445.205	95.1157	340.101	136.51	133.02	626.178	374.456	70.7517	512.628	309.001	102.236	427.946	333.333	196.549	759.197	163.414	127.29	403.158	684.092	483.095	378.816	478.274	368.217	525.747	224.359	1470.45	799.49	865.349	95.0232	523.154	1422.65	740.651	504.138	842.213	879.747	1010.56	224.409	628.646	202.187	1320.99	767.867	497.656	870.74	663.617	793.92	737.463	283.875	561.798	104.712	512.031	336.549	533.849	317.134	1307.43	227.361	363.514	384.771	718.779	111.111	360.641	435.967	354.62	303.349	74.1099	993.138999999999	642.507	727.381	310.942	159.395	404.72	317.215	830.246000000001	178.066	365.035	153.343	813.145	566.858	362.319	692.249	740.515	261.895	330.979	275.502	310.692	1190.4	682.823	319.403
ZNF217	345.432	930.624	311.979	456.19	390.854	573.64	554.486	323.046	1437.85	518.697	440.912	747.433	592.145	491.468	559.633	1467.12	419.062	87.6417	723.884	604.072	845.761	1151.34	628.267	574.065	879.655	855.389	218.561	316.291	213.38	738.265	607.946	627.662	722.915	174.251	416.004	382.926	341.536	877.595	223.549	350.839	1021.77	861.668	1139.24	992.628	361.616	547.219	719.437	793.551	969.439	938.558999999999	842.687	975.454	1275.28	319.611	791.165	792.125	174.033	596.714	421.449	652.413	627.283	125.838	410.305	534.999	822.613	579.763	535.71	662.936	128.133	152.789	957.136	527.499	181.88	199.486	399.743	724.438	253.059	546.193	557.759	502.177	1116.23	692.15	485.33	1210.86	987.476	1849.93	846.212	66.8896	205.727	506.75	422.632	328.977	280.802	943.302000000001	143.279	669.681	891.196	459.707	200.516	647.889	253.486	800.57	1234.75	248.034	686.918	390.77	385.246	262.025	803.922	563.855	589.062	542.191	1123.18	592.244	531.815	440.658	836.383	341.007	553.392	479.712	401.685	499.286	363.992	533.762	475.09	1169.84	196.315	730.419	279.201	505.728	644.795	520.594	816.563	659.4	325.75	232.917	1268.25	588.336	700.294	308.779	532.319	693.736	702.741	1355.62	606.061	713.837	401.399	579.186	123.65	544.282	538.208	817.345	167.606	897.128	374.294	459.438	773.883	852.596	309.647	617.413
ALMS1	433.941	317.309	466.069	410	276.219	413.934	492.588	797.726	490.975	138.721	116.793	187.372	217.523	448.31	334.862	440.321	338.88	126.85	145.169	350.654	246.451	461.755	333.495	428.849	332.425	264.141	165.715	966.416	171.28	349.631	225.301	488.181	265.587	225.305	261.261	291.11	240.136	378.446	164.96	315.919	502.403	300.833	558.793	414.079	292.929	487.933	472.113	322.884	351.622	477.681	645.833	429.285	723.54	343.898	570.293	182.051	225.599	195.548	275.165	355.433	349.886	285.927	616.412	278.418	249.816	693.254	327.577	598.515	247.78	390.024	549.02	543.111	197.431	196.062	80.9769	478.608	173.213	254.491	203.768	330.189	386.608	294.88	162.155	536.741	328.957	651.394	272.318	399.666	113.806	202.989	404.737	490.311	247.565	368.847	529.968	570.629	394.518	328.755	430.738	325.737	761.707	330.681	1187.99	414.263	556.214	331.076	807.377	269.62	458.522	370.614	395.833	99.0303	446.201	606.648	427.327	397.18	412.81	287.697	306.785	188.052	105.056	382.199	349.334	448.017	470.068	337.675	271.733	264.956	422.487	449.978	445.524	326.628	562.333	162.125	470.528	379.361	413.726	391.652	496.572	194.18	148.711	576.242	533.494	227.687	795.668	372.248	248.951	202.112	191.363	212.953	385.375	306.984	406.521	503.215	315.913	388.755	341.805	681.742	455.059	278.607
DDX39B	4204.19	5029.29	6465.01	8173.33	4365.4	6593.6	2867.1	7746.22	4958.74	3010.25	5436.77	4556.47	6691.96	6208.02	3052.75	3366.07	6311.14	8857.87	5510.05	5188.27	6999.31	5280.57	6303.48	4555.12	6500.59	5492.53	5528.62	5972.29	8017.16	3488.88	5109.78	6043.3	4057.65	7451.72	6642.82	8309.87	5131.52	6686.33	4138.23	4808.08	5093.99	3749.85	9013.05	5709.06	5620.2	7506.22	3361.13	6256.16	7815.16	6629.52	9016.16	7513.74	6733.85	8101.52	6121.76	2798.26	4757.21	4130.9	5422.77	4997.85	5212.14	4595.98	5131.68	6055.66	5566.63	4950.77	3603.93	7909.23	7802.52	7386.88	7896.8	5898.05	5432.05	6961.05	4669.36	5590.28	4673.54	4277.16	4673.77	4989.11	3848.28	6228.18	5101.63	9479.23	3771.84	5649.4	3846.21	5660.54	3807.4	3829.8	6735.98	4675.3	5515.76	3846.73	9146.46	5360.9	5948.09	4813.54	9253.59	6218.71	4049.95	5774.08	5546.08	5994.95	8536.37000000001	6046.95	5719.26	6256.96	7758.67	5764.92	6931.84	4701.46	3480.41	4073.92	4590.09	6365.45	4254.95	5370.64	6505.08	6004.18	4050	4844.36	5704.17	6220.79	4106.57	4366.39	4659.04	3767.87	4551.06	5749.67	4281.36	5583.46	5538.74	4317.44	4081.79	5795.17	3270.68	2945.17	6943.68	3285.15	6550.06	5718.79	4103.86	5127.38	7099.71	5575.99	3320.28	4967.37	7714.57	5909.6	4681.77	3432.85	5513.29	4788.68	5278.72	4943.78	5070.55	3158.01	7248	5310.45
KAT6A	1422.29	940.715000000001	1209.5	1275.71	371.951	1435.73	1755.53	2159.55	804.023	673.703	644.782	752.053	1064.41	1462.51	896.789	2054.07	1409.98	355.949	621.874	1307.4	930.668	1100.34	1279.77	1771.25	1458.67	946.105	434.513	2969.42	767.013	822.771	857.292	1502.67	862.834	895.672	676.736	915.998	695.8	1302.33	574.516	650.934	1383.2	1058.78	1364.51	1695.77	1226.26	1598.11	1379.72	1080.16	1199.29	1774.3	1855.02	1607.06	2994.69	889.375	1304.91	769.624	748.158	750.398	854.657	1266.77	1180.37	1092.33	1614.5	1108.71	1260.63	1428.44	1254.15	1423.64	913.901	1650.04	1282.72	1363.45	1094.66	733.733	437.018	1455.4	604.636	1012.4	745.166	880.261	1492.74	979.522000000001	522.183	1428.12	817.866	869.19	456.864	1459.87	401.24	699.614	1036.84	1755.3	828.653	1343.3	2644.55	1196.81	1712.62	1290.29	1270.35	706.788	1161.29	855.208	2607.52	1338.75	1163.74	1524.45	1473.36	1086.71	981.9	729.895	1336.98	448.112	982.274	1795.57	1064.97	1153.94	897.74	1004.08	1249.56	288.067	381.461	1303.19	1201.42	1425.51	1057.65	1048.6	985.032	754.289	1179	1471.39	1502.36	1070.88	1760.91	450.954	1971.31	961.653	3014.02	794.168	1333.5	680.162	834.812	1212.1	1059.63	1130.7	1551.06	1214.62	641.958	769.231	947.393	657.775	991.436	1178.05	1497.49	1722.67	1257.53	1110.84	977.213	1480.74	1468.24	1133.33
PABPN1	1518.42	1563.18	2771.01	2698.58	1275.88	2829.27	1009.32	4595.31	2367.92	1140.93	1821.84	2745.18	2629.97	2463.99	1515.96	1387.04	2332.75	2629.58	2578.57	1754.07	2484.53	2373.1	2360.8	1775.18	2166.57	1985.18	1419.47	3018.53	3521.51	1121.07	2097.73	1634.79	1573.8	3304.28	2961.07	3895.54	1614.19	3964.2	2544.12	2227.66	1579.51	2211.09	3401.03	3472.74	2296.63	3359.81	2107.08	2252.28	2667	2661.92	3724.66	2212.27	2424.97	4075.55	1482.73	1642.28	1628.47	1982.74	2237.53	1550.81	2736.1	1878.58	1667.88	2233.77	1935.58	1760.42	1386.41	2312.02	2321.69	3908.06	3421.3	1694.33	1674.16	2075.61	1611.27	1477.96	744.636	1336.85	2139.48	2922.08	1482.77	2165.06	1661.05	3627.35	1277.84	2147.65	1378.14	1692.46	636.754	1378.8	4237.08	1849.3	2780.85	1563.66	2442.77	1779.78	2282.24	2418.8	6342.63	2152.14	1913.52	2485.39	2287.62	3458.79	3093.42	2038.58	2620.61	2521.98	5240.78	2217.36	2571.55	1348.12	2693.03	1818.84	3182	1952.06	1584.02	2168.53	2542.82	1824.38	1181.64	1802.85	2617.46	2762.09	942.577	1492.29	2628.98	1327.56	1686.44	1723.63	1650.1	2006.9	1899.45	1119.86	1261.88	1490.07	1609.29	1196.68	2125.31	1623.44	2371.04	1769.68	1785.86	2283.39	1774.48	2007.98	1274.95	1703.91	2214.1	2417.22	1530.31	1893.65	2508.54	2972.56	2031.75	1791.37	1865.92	1548.59	3665.08	2103.86
AKAP17A	543.963	933.987	617.203	664.286	562.195	891.016	538.882	1019.82	1031.46	316.043	567.381	904.518	567.009	921.281999999999	334.862	637.801	672.213999999999	338.266	708.19	688.713	923.501	1258.88	935.624	707.625	692.552	635.539	295.547	759.9	511.534	488.462	768.427	1026.54	702.834	943.396	1002.65	838.225	762.834	1254.23	907.85	967.944	738.766	620.439	1780.03	1072.79	621.717	828.961	744.789	890.73	657.463	680.515	985.544	898.948	68.4366	660.109	768.194	501.662	622.928	535.241	500	548.843	663.242	624.721	196.565	455.096	806.729	782.133	513.426	904.626	604.176	879.026	1487	868.598	447.6	641.267	525.707	614.213	242.112	512.404	665.84	644.412	701.832	581.57	506.875	1099.04	411.649	887.118	276.819	578.595	191.136	522.662	1004.74	607.03	616.046	614.33	1217.46	1438.42	822.258999999999	805.861	1060.34	938.287	600.208	807.222	1038.06	798.112	1516.64	826.185	1182.38	853.798	1339.37	744.629	1103.12	295.44	904.595	1039.89	793.703999999999	694.477	482.777	597.863	590.757	581.524	188.764	544.979	669.354	930.332	599.136	910.822	800.806	528.718	574.987	501.746	577.292	406.609	497.329	396.458	576.527	678.526	808.12	461.406	879.04	415.419	772.286	1215.98	813.119	777.01	1327.63	911.95	353.846	397.185	1795.28	1094.05	1049.41	1210.28	1017.22	846.121	541.902	485.944	646.363	1196.54	929.412	566.169
RBM10	1180.74	1162.72	1719.89	2189.52	1091.46	1498.06	1265.02	1999.26	1675.09	889.023	935.038	808.522	1464.17	1451.5	1490.83	1011.68	2110.44	1244.67	1413.93	1692.31	1324.33	1210.1	1177.64	1783.39	1558.13	1347.39	810.308	1810.53	1600.35	1473.28	1379.51	1825.29	1279.35	2109.88	1395.87	2022.11	1542.64	2019.74	1574.52	1486.29	1337.62	1133.4	1864.79	1765.13	1442.42	1611.75	1270.42	1223.02	1246.49	1436.64	1333.76	1699.71	1556.11	2029.39	2065.6	1081.56	1141.8	1082.14	1441.67	1321.3	1393.26	1743.86	917.939	1253.13	1647.15	1607.11	1878.55	1951.8	1938.11	1955.22	2128.59	2060.32	1396.89	1717.47	1041.77	2034.81	1096.59	1715.14	1158.65	1850.51	1358.81	1237.54	1195.18	2750.8	1513.81	1583	1084.02	1528.43	441.364	1477.82	2109.47	1414.6	1715.76	1137.07	2327.47	2321.71	1539.04	1227.11	2310.47	1902.69	2104.06	1084.21	2032.1	1351.34	1928.11	1877.6	2094.26	2498.73	1787.33	1443.92	1593.75	425.005	1832.22	1389.47	1779.64	1768.51	1380.52	1805.04	1616.91	1658.33	1233.71	1290.34	1565.41	1722.4	1306.25	1736.47	1263.67	1198.27	1490.45	1659.05	1546.65	1315.13	1688.78	806.539	1627.46	1633.21	2094.41	1301.89	2193.93	991.593	1240.39	1675.59	1595.33	1726.44	1716.73	1386.01	974.825	921.569	2278.1	1394.87	1411.07	1317.73	2095.99	1605.23	1362.05	1449.8	1581.95	1936.35	1996.71	1690.05
DGKZ	502.167	470.918	611.293	1069.05	567.073	1105.72	659.558	614.364	744.714	1341.38	600.553	603.696	578.61	710.778	1275.23	690.951	546.142	252.931	617.46	703.827	715.093	721.181	587.609	611.462	860.581	587.513	571.522	1589.47	550.173	624.043	806.064	661.779	488.421	925.638	954.425	944.623	883.75	932.501	1436.29	824.444	669.871	956.470999999999	571.692	826.498	743.939	760.755	827.606	842.365	1819.47	757.728	794.218	507.916	701.829	523.619	657.316	673.996	1474.22	579.756	473.189	970.577	894.121	553.239	85.8779	782.15	434.171	543.756	501.393	634.609	378.458	554.203	683.082	594.678	638.945	963.185	1082.26	1537.35	846.748	644.14	557.263	850.508	634.87	1188.4	496.669	70.2875	445.45	379.15	209.302	381.271	166.332	445.516	1302.63	309.148	861.318	545.171	631.729	692.076	1152.41	980.769	1206.39	1100.13	703.85	686.067	379.184	654.955	649.159	451.969	698.77	1123.42	539.97	1201.38	408.854	426.656	794.851	483.103	949.766	974.148	490.85	311.048	681.613	934.272	651.685	675.393	665.445	889.603	521.294	594.689	2031.66	786.514	1033.87	684.923	757.662	560.824	544.969	297.003	415.806	354.256	457.548	373.928	1560.72	1734.89	594.846	758.099	657.854	1052.78	675.216	911.557	648.951	458.019	907.943	1563.28	540.843	950.115	630.2	555.937	725.518	569.478	810.254	387.493	873.412	1043.28
API5	1197.95	2089.98	2353.98	1759.52	2130.49	2146.26	2318.86	1960.53	2552.35	2216.53	1878.37	2284.91	1843.63	1724.1	1451.83	2079.27	2104.39	2497.02	1790.09	1675.18	2358.65	2354.23	2220.72	1694.03	2011.35	2066.17	3091.18	1933.83	2059.98	2308.59	1824.36	1870.44	1761.3	1611.54	1536.83	2279.19	1626.64	2078.73	1598.41	1951.71	2219.48	1925.61	1720.14	1652.16	2264.14	2260.76	1842.25	2303.18	2045.07	2458.82	1818.03	2410.8	1482.48	1074.44	1864.61	2231.14	1858.2	2292.53	2246.47	2089.84	1896.69	2046.17	1704.2	2560.35	1691.44	2077.94	1634.76	2373.96	1730.22	1752.16	1684.91	1908.93	1547.67	2012.84	2033.42	1852.79	2115.26	2130.88	1970.75	1933.96	2068.86	1947.44	1975.9	351.438	2104.12	2835.33	2308.33	2135.45	4310.78	2451.3	1543.68	2260.93	1318.62	1530.84	2061.67	1514.64	1919.85	2222.53	1426.3	1711.66	1784.39	2946.67	1176.98	1533.82	1864.21	1527.97	1694.67	1163.92	2057.32	2200.45	1758.33	3635.24	1591.96	2239.34	1673.14	1876.62	1824.54	756.912	2160.87	1823.63	2470.79	2005.71	1875.17	1849.95	1546.81	2045.09	1870.47	2188.87	1862.26	1883.54	1802.62	2411.4	2121.55	2343.32	2138.49	1559.29	1626.55	1898.8	1821.74	1889.28	1781.16	1557.67	1699.46	1736.94	2013.11	2063.29	1966.43	2546.51	1306.57	1477.86	1666.67	1713.74	1689.47	2654.52	2084.75	2117.27	2079.32	2075.94	1836.71	2142.79
PRPF18	260.549	396.53	403.073	183.781	269.171	261.014	246.746	313.622	290.872	210.579	205.066	276.33	120.266	158.652	160.619	278.071	196.969	251.071	208.249	120.774	195.931	333.124	204.511	204.731	142.779	175.112	216.043	268.993	281.868	232.762	213.68	179.358	152.726	255.805	158.304	142.385	162.77	162.455	218.293	192.127	222.722	176.008	146.102	177.132	221.732	371.988	212.389	186.704	149.928	191.208	152.058	159.154	397.286	291.22	213.067	316.768	254.217	299.56	242.634	159.054	212.571	487.587	461.832	182.659	220.397	312.707	159.18	167.347	193.226	169.623	216.53	218.252	137.363	130.394	128.637	128.811	195.177	178.015	219.871	189.906	165.351	123.645	185.043	255.815	185.387	307.59	217.652	191.221	231.377	173.65	165.984	340.915	266.367	232.754	300.283	252.282	260.561	151.639	202.397	207.919	217.07	350.312	206.323	265.344	199.351	225.969	96.3525	176.367	194.872	195.445	217.464	176.604	183.096	168.277	171.527	152.961	177.739	261.223	157.392	191.077	247.753	196.749	185.846	229.668	173.88	228.677	233.921	180.51	166.544	197.767	227.066	212.682	180.414	275.3	193.438	269.402	241.224	209.909	162.693	218.469	229.32	168.181	284.651	237.436	166.08	149.08	149.65	253.313	113.97	156.792	211.166	199.386	325.089	208.367	147.039	192.988	214.15	152.635	160.024	143.841
