TCGA-3H-AB3K-01	TCGA-3H-AB3L-01	TCGA-3H-AB3M-01	TCGA-3H-AB3O-01	TCGA-3H-AB3S-01	TCGA-3H-AB3T-01	TCGA-3H-AB3U-01	TCGA-3H-AB3X-01	TCGA-3U-A98D-01	TCGA-3U-A98E-01	TCGA-3U-A98F-01	TCGA-3U-A98G-01	TCGA-3U-A98H-01	TCGA-3U-A98I-01	TCGA-3U-A98J-01	TCGA-LK-A4NW-01	TCGA-LK-A4NY-01	TCGA-LK-A4NZ-01	TCGA-LK-A4O0-01	TCGA-LK-A4O2-01	TCGA-LK-A4O4-01	TCGA-LK-A4O5-01	TCGA-LK-A4O6-01	TCGA-LK-A4O7-01	TCGA-MQ-A4KX-01	TCGA-MQ-A4LC-01	TCGA-MQ-A4LI-01	TCGA-MQ-A4LJ-01	TCGA-MQ-A4LM-01	TCGA-MQ-A4LP-01	TCGA-MQ-A4LV-01	TCGA-MQ-A6BL-01	TCGA-MQ-A6BN-01	TCGA-MQ-A6BQ-01	TCGA-MQ-A6BR-01	TCGA-MQ-A6BS-01	TCGA-NQ-A57I-01	TCGA-NQ-A638-01	TCGA-SC-A6LM-01	TCGA-SC-A6LN-01	TCGA-SC-A6LP-01	TCGA-SC-A6LQ-01	TCGA-SC-A6LR-01	TCGA-SC-AA5Z-01	TCGA-SH-A7BC-01	TCGA-SH-A7BD-01	TCGA-SH-A7BH-01	TCGA-SH-A9CT-01	TCGA-SH-A9CU-01	TCGA-TS-A7OU-01	TCGA-TS-A7OY-01	TCGA-TS-A7OZ-01	TCGA-TS-A7P0-01	TCGA-TS-A7P1-01	TCGA-TS-A7P3-01	TCGA-TS-A7P6-01	TCGA-TS-A7P7-01	TCGA-TS-A7P8-01	TCGA-TS-A7PB-01	TCGA-TS-A8AF-01	TCGA-TS-A8AI-01	TCGA-TS-A8AS-01	TCGA-TS-A8AV-01	TCGA-TS-A8AY-01	TCGA-UD-AABY-01	TCGA-UD-AABZ-01	TCGA-UD-AAC1-01	TCGA-UD-AAC4-01	TCGA-UD-AAC5-01	TCGA-UD-AAC6-01	TCGA-UD-AAC7-01	TCGA-UT-A88C-01	TCGA-UT-A88D-01	TCGA-UT-A88E-01	TCGA-UT-A88G-01	TCGA-UT-A97Y-01	TCGA-XT-AASU-01	TCGA-YS-A95B-01	TCGA-YS-A95C-01	TCGA-YS-AA4M-01	TCGA-ZN-A9VO-01	TCGA-ZN-A9VP-01	TCGA-ZN-A9VQ-01	TCGA-ZN-A9VS-01	TCGA-ZN-A9VU-01	TCGA-ZN-A9VV-01	TCGA-ZN-A9VW-01
E2F3	114.634	665.741	581.949	641.091	172.555	756.569	188.608	463.183	449.946	269.812	632.175	571.269	422.398	660.444	460.182	607.826	713.845	196.016	492.963	724.485	540.296	461.321	602.449	263.893	238.542	203.862	802.598999999999	378.723	672.072	454.111	635.938	430.171	131.182	198.986	198.637	472.649	718.249	229.211	551.407	577.726	298.452	675.397	597.739	447.522	501.301	141.433	152.381	442.818	421.017	528.413	498.56	425.904	857.078	307.009	556.626	165.387	320.915	472.958	168.594	433.374	763.132	574.394	595.846	718.938	390.855	1105.98	253.464	648.386	848.034	882.818	940.051	605.286	351.792	288.505	486.348	821.703	564.246	654.175	384.909	609.451	317.791	455.724	358.331	504.55	258.114	257.08	770.308
EPHA2	3565.85	5015.05	1708.08	1759.59	4485.43	4410.7	1675.28	1100.24	3235.04	2044.78	577.509	2129.8	3011.48	3093.33	2775.92	1819.92	2065.88	2416.93	793.838	4053.94	4328.95	1925	1659.87	1698.38	3049.85	1958.04	1287.07	2205.53	1282.97	4336.73	6517.84	1476.07	2241.19	3846.66	2584.38	3415.55	5960.14	1924.42	1988.64	2099.28	1298.58	6628.01	1060.73	1190.69	2233.57	2257.94	216.45	2711.8	1536.95	1624.8	1026.15	4402.07	1582.54	8140.19	3592.99	2612.52	2876	887.730000000001	6388.66	3570.32	3445.19	4311.42	998.702	4222.25	2321.36	6260.11	2883.5	1769.5	2331.56	1429.19	4896.68	1966.33	3743.04	2232.01	2707.62	4054.82	1507.58	2573.51	1224.99	5191.84	4865.97	4334.53	4217.97	2216.56	2052.31	2369.95	1567.58
NR2F6	917.683	2242.34	1100.45	648.399	1650.68	1277.93	710.451	1028.5	1030.47	416.25	552.909	769.154	887.577	593.778	1186.25	783.015	858.981	1014.49	801.445	1113.88	478.25	1046.79	988.392	883.043	929.518	923.505	1054.71	735.319	839.577	1624.96	1175.88	1179.77	2380.7	1226.69	906.184	520.633	642.438	1623.18	1160.17	2227.29	1482.74	1186.84	1427.21	580.776	721.535	2684.74	1838.1	847.21	817.627	1316.61	769.497	831.545	1019	1260.75	502.187	1624.93	668.973	448.092	1084.17	624.026	949.62	462.185	578.105	712.041	655.475	2609.83	680.101	1542.52	607.333	735.011	1685.8	724.211	629.886	880.718	844.438	1221.09	864.725	833.303	662.288	586.026	1623.7	760.734	864.605	508.189	575.792	1085.36	740.546
FLT4	65.8537	53.3789	73.6405	448.666	174.042	803.334	46.3596	31.829	252.448	57.9318	274.502	3331.56	312.466	567.111	71.5838	664.74	102.934	364.418	332.065	127.829	483.191	32.3447	1099	35.077	167.245	211.288	106.563	139.575	393.308	354.789	944.056	237.726	51.3621	56.1842	235.325	225.528	688.941	71.6285	172.619	111.483	504.3	280.316	54.0856	241.194	159.076	173.832	154.978	125.343	48.8136	92.1033	717.89	373.461	160.561	115.421	1299.81	78.5588	574.242	199.926	74.1017	87.3309	504.698	112.704	2229.34	59.9115	376.066	127.886	59.8237	77.1888	215.728	70.7405	162.415	194.8	314.367	139.881	147.196	2541.18	501.995	98.3891	79.4257	278.271	349.973	63.5063	269.624	103.276	69.4922	147.821	238.796
GAS1	1856.1	947.155	3751.89	1940.81	2490.14	1440.44	3098.96	8582.41999999999	3476.61	12609.3	223.35	1874.86	1627.86	6099.56	10564.7	1257	8236.23	3047.99	3066.57	581.14	81.8131	2588.23	7169.77	1874.17	4376.81	4996.66	15728.7	7821.7	512.368	2098.17	469.513	1114.8	1132.74	2992.2	1383.65	9423.7	69.5584	1944.71	427.489	3038.85	1069.98	5048.89	12795.9	2259.1	3284.65	1540.19	180.952	2545.75	16051.5	2225.83	6520.91	2502.19	4192.67	2243.46	2602.69	4052.57	1119.21	2492.11	1588.96	2250.92	1024.79	2226.4	489.399	25605	2207.27	2515.89	1127.83	3205.21	1679.06	4588.35	1800.17	2307.33	1163.62	250.113	3452.21	979.443	1439.74	3193.14	5846.34	1002.83	910.953	3006.71	1029.76	9453.59	9748.76	273.147	1724.79
GCNT1	109.146	155.439	317.976	1039.09	119.003	345.873	128.777	560.095	1143.09	225.29	82.7802	1020.48	285.389	626.667	1271.63	145.398	664.436	190.131	969.951	318.463	229.516	194.068	325.542	271.643	262.055	319.718	792.722	862.128	548.496	338.554	345.846	1617.33	87.4545	261.412	298.742	273.992	801.094	592.129	270.563	226.744	453.499	406.278	1568.95	876.418	492.518	122.741	433.766	365.508	745.763	218.45	610.529	340.882	464.496	242.056	285.653	443.001	243.214	621.162	135.77	372.284	593.11	239.249	500.216	472.827	406.7	73.4162	545.97	181.915	629.118	170.812	628.401	156.863	398.429	150.144	523.362	236.051	496.01	364.64	532.763	1135.7	378.131	57.2451	93.0843	458.599	546.392	19.281	1792.37
GNAQ	1344.51	753.283	1060.42	958.714	1116.65	1117.72	1036.55	999.999999999999	1868.88	1288.98	1443.19	1678.42	1329.47	2046.22	1105.46	891.507	1053.01	1520.6	1339.67	1075.46	2337.99	1563	1626.93	2064.24	1868.9	1153.36	900.845	1792.34	1043.62	1423.93	1881.82	1390.92	1091.79	1070.62	995.807	1789.35	873.388	1110.24	1078.46	1779.94	992.195	980.106	1030.89	1341.61	978.204	1364.49	1111.69	1102.47	2016.27	1215.06	1503.97	1398.09	1033.02	2353.27	1335.9	1308.92	1625.86	881.762	1419.37	2403.44	1800.45	1799.31	1289.05	1352.53	1757.26	1104.4	908.376	777.73	1697.13	1185.33	2748.3	1835.46	1815.38	1447.08	967.101	1345.27	2797.29	1456.31	2010.08	2108.24	964.345	1171.29	1419.32	1646.95	2184.42	400.08	4512.96
GRK5	114.024	257.5	614.426	724.394	250.899	419.03	575.731	305.938	532.644	50.4221	2162.44	1011.1	869.707	487.111	792.535	625.167	442.1	1166.14	263.598	240.879	1633.52	883.109	588.329	584.073	891.973000000001	145.191	425.731	702.979	304.629	519.052	250.686	492.187	183.932	141.241	512.054	781.67	320.438	476.33	267.857	782.741	584.204	244.327	152.465	377.791	493.494	800.623	243.29	289.57	342.373	547.306	498.099	940.007999999999	559.928	82.7103	753.586	788.541	159.659	669.9	577.396	845.428	259.508	487.395	816.962	422.828	733.645	262.877	716.31	564.104	1110.52	425.018	201.956	663.257	1819.41	101.87	810.006	791.498	802.474	221.188	385.52	439.014	636.314	108.229	1225.85	115.56	81.7106	259.49	472.689
GTF2H4	578.421	511.148	600.136	431.567	461.391	562.94	312.63	562.195	419.385	514.171	392.296	443.437	419.436	399.04	558.865	468.791	480.808	338.257	513.834	476.269	376.263	476.346	465.407	252.868	482.121	494.764	330.012	454.74	694.599	442.636	612.701	479.882	585.806	364.92	342.977	422.265	551.774	404.068	635.882	724.165	530.261	522.955	562.038	370.813	373.546	622.43	1174.89	394.382	638.624	426.863	535.726	572.114	915.943	400.935	474.423	308.447	300.883	420.132	559.592	303.403	326.858	360.277	464.029	590.71	450.217	439.708	444.204	578.29	419.819	528.69	521.892	612.029	375.87	410.323	379.106	488.704	528.731	476.075	310.371	399.564	868.075	395.72	329.98	415.5	332.726	528.66	540.333
H2AX	702.439	1420.31	569.864	1362.56	1224.74	1778.45	591.58	589.549	756.257	203.298	1154.63	595.102	723.492	533.333	734.756	1038.68	700.463	637.845	1085.2	1831.72	1343.05	1149.05	927.206	957.682999999999	615.507	649.462	1000.13	880.851000000001	1369.6	2877.47	1334.76	1615.36	1719.94	566.914	1025.16	682.342	1830.4	991.657	1681.82	3156.95	3397.8	1760.27	761.393999999999	611.821	725.439	1390.65	4458.01	781.336	926.102	939.926	1460.66	1391.74	1023.97	1165.89	543.781	2843.47	1486.43	1089.64	1135.4	833.538	1002.95	467.622	822.588	759.022	657.587	5848.04	695.529	1386.48	729.543	1116.32	1007.65	457.8	660.401	2054.12	2021.57	1392.81	854.749	640.28	570.032	1317.45	1409.03	636.404	1530.78	606.46	454.372	791.324	1304.27
