TCGA-3H-AB3K-01	TCGA-3H-AB3L-01	TCGA-3H-AB3M-01	TCGA-3H-AB3O-01	TCGA-3H-AB3S-01	TCGA-3H-AB3T-01	TCGA-3H-AB3U-01	TCGA-3H-AB3X-01	TCGA-3U-A98D-01	TCGA-3U-A98E-01	TCGA-3U-A98F-01	TCGA-3U-A98G-01	TCGA-3U-A98H-01	TCGA-3U-A98I-01	TCGA-3U-A98J-01	TCGA-LK-A4NW-01	TCGA-LK-A4NY-01	TCGA-LK-A4NZ-01	TCGA-LK-A4O0-01	TCGA-LK-A4O2-01	TCGA-LK-A4O4-01	TCGA-LK-A4O5-01	TCGA-LK-A4O6-01	TCGA-LK-A4O7-01	TCGA-MQ-A4KX-01	TCGA-MQ-A4LC-01	TCGA-MQ-A4LI-01	TCGA-MQ-A4LJ-01	TCGA-MQ-A4LM-01	TCGA-MQ-A4LP-01	TCGA-MQ-A4LV-01	TCGA-MQ-A6BL-01	TCGA-MQ-A6BN-01	TCGA-MQ-A6BQ-01	TCGA-MQ-A6BR-01	TCGA-MQ-A6BS-01	TCGA-NQ-A57I-01	TCGA-NQ-A638-01	TCGA-SC-A6LM-01	TCGA-SC-A6LN-01	TCGA-SC-A6LP-01	TCGA-SC-A6LQ-01	TCGA-SC-A6LR-01	TCGA-SC-AA5Z-01	TCGA-SH-A7BC-01	TCGA-SH-A7BD-01	TCGA-SH-A7BH-01	TCGA-SH-A9CT-01	TCGA-SH-A9CU-01	TCGA-TS-A7OU-01	TCGA-TS-A7OY-01	TCGA-TS-A7OZ-01	TCGA-TS-A7P0-01	TCGA-TS-A7P1-01	TCGA-TS-A7P3-01	TCGA-TS-A7P6-01	TCGA-TS-A7P7-01	TCGA-TS-A7P8-01	TCGA-TS-A7PB-01	TCGA-TS-A8AF-01	TCGA-TS-A8AI-01	TCGA-TS-A8AS-01	TCGA-TS-A8AV-01	TCGA-TS-A8AY-01	TCGA-UD-AABY-01	TCGA-UD-AABZ-01	TCGA-UD-AAC1-01	TCGA-UD-AAC4-01	TCGA-UD-AAC5-01	TCGA-UD-AAC6-01	TCGA-UD-AAC7-01	TCGA-UT-A88C-01	TCGA-UT-A88D-01	TCGA-UT-A88E-01	TCGA-UT-A88G-01	TCGA-UT-A97Y-01	TCGA-XT-AASU-01	TCGA-YS-A95B-01	TCGA-YS-A95C-01	TCGA-YS-AA4M-01	TCGA-ZN-A9VO-01	TCGA-ZN-A9VP-01	TCGA-ZN-A9VQ-01	TCGA-ZN-A9VS-01	TCGA-ZN-A9VU-01	TCGA-ZN-A9VV-01	TCGA-ZN-A9VW-01
ALMS1	211.585	296.787	489.804	229.448	444.279	393.101	349.876	664.133	303.591	253.72	1331.51	479.548	346.583	662.222	168.733	443.308	337.622	483.477	786.231	355.038	244.89	328.021	412.615	650.556	350.039	208.689	416.894	408.085	426.563	475.121	463.224	457.241	192.261	189.231	347.484	521.593	474.404	255.475	462.121	637.247	310.094	227.932	359.483	335.761	402.407	98.4424	364.502	776.304	233.22	316.458	358.945	513.707	393.487	476.635	579.87	206.734	572.113	397.862	181.027	420.664	359.374	233.317	364.344	638.768	521.844	471.285	547.23	471.895	505.845	362.904	357.143	429.241	548.127	304.089	490.652	526.919	380.686	582.448	363.525	433.36	244.286	679.785	485.848	342.584	396.334	490.862	525.21
DDX39B	6039.02	3508.99	4778.7	4618.55	4849.88	4442.86	4865.78	4432.38	3071.87	7820.25	6940.48	4155.66	5081.23	4436.44	3412.4	4037.47	6010.11	6006.34	3899.2	4266.37	5012.01	6818.2	7426.28	3285	4732.92	4536.2	3783.76	3463.4	5464.57	6076.3	5285.22	3253.85	5805.74	3898.17	3854.3	6156.81	6499.53	3302.08	7379.61	5646.88	4935.04	5402.43	7528.56	2985.13	2913.62	6098.38	6544.59	3884.72	6287.04	5315.42	4609.39	6119.34	5775.39	3770.56	5527.59	3440.05	3279.19	6990.88	6907.8	4036.93	3732.26	5594.66	4874.05	4436.28	4823.29	5153.35	3863.98	6007.79	5345.91	5960.38	4135.2	4734.02	6487.13	3447.99	5942.48	6343.73	4338.79	4305.58	4264.55	5163.86	5922.84	3674.19	4494.16	4521.84	3594.31	8262.7	4353.67
KAT6A	639.024	646.525	968.656	838.875	728.4	639.889	1042.1	1044.18	933.079	925.835	2688.01	1008.21	1135.6	1533.33	753.164	1254.34	942.872	919.873	627.995	565.992	1433.1	1122.26	884.846	1190.58	1025.09	721.871	1281.35	771.915	736.529	1085.38	715.587	599.975	369.946	708.935	517.82	1590.21	933.959	632.321	920.455	781.324	392.115	949.715	927.847	598.448	1239.43	401.246	521.212	1054.44	790.509	669.52	694.39	1163.69	1062.87	914.019	1305.32	399.291	989.356	1302.5	605.744	1160.72	1123.22	1088.98	945.045	1039.18	1297.22	843.892	546.6	581.211	865.568	809.776999999999	907.313	1540.92	1677.2	946.476999999999	2351.69	1004.61	1251	1255.02	864.518	1039.18	454.196	1742.84	1680.48	855.323	1521.19	926.29	1326.33
PABPN1	3897.13	1712.2	2136.17	2296.76	1926.53	3037.39	2589.48	1953.87	1565.97	3158.64	3962.61	2617	2643.33	2022.99	1705.7	2697.84	4097.46	3116.35	3285.82	2403.76	3100.82	2059.14	4071.26	1679.94	2475.29	2791.56	1932.48	2025.6	3403.24	4100.51	3203.78	2680.47	4047.66	3065.55	3135.01	1867.5	3586.59	2252.08	3722.74	2989.12	4105.41	2237.92	2970.57	1790.61	1646.05	4166.57	4220.59	1554.48	2894.22	3223.52	2520.54	3164.22	2404.43	2238.68	3161.77	3067.98	3140.84	3783.23	5259.68	1843.4	2191.5	2576.4	2403.09	1942.29	2605.29	4256.32	2260.65	2801.07	2042.31	2586.25	1729.79	2201.03	2501.86	1976.01	2833.66	2730.84	1754.96	1437.09	1478.44	2243.82	3559.92	1234.72	2979.73	1984.66	1883.11	4768.48	2148.86
AKAP17A	1475	1592.4	1479.61	1146.75	1426.06	597.754	1248.14	1166.27	614.799	1032.58	1501.76	1086.2	1478.39	824	869.743000000001	1663.85	1066.39	1432.32	1156.71	906.253	1747.72	1478.38	1623	911.186	1456.66	2106.57	1003.25	1824.26	704.506000000001	2025.59	1349.01	1085.27	1342.36	1602.03	942.348	900.192	660.414	1190.23	1564.39	2125.26	936.632	1528.34	1640.28	944.716	1116.46	1406.85	903.03	1364.14	2113.9	1516.16	767.654	1744.14	1233.83	1095.33	1515.74	1069.11	997.339	2230.51	2282.23	1319.39	715.168	1421.16	1131.54	893.931	1638.42	1329.39	1294.71	1499.13	624.867	2155.57	1981.29	1635.12	1784.29	917.589	859.932	1500.21	685.156	1312.86	1122.35	947.496	2067.29	2079.16	1275.46	1364.88	1105	1749.75	701.681
RBM10	1943.29	1631.69	1371.6	1377.18	1670.51	1485.82	1237.05	1387.17	1459.19	1386.07	2540.8	1224.87	1374.96	1438.22	1229.2	1308.58	1406.07	1556.36	1323.7	1580.12	1476.48	1174.21	2110.14	1681.25	1409.26	1557	1157.12	1409.79	1817.1	1854.64	2277.97	1441.12	2526.46	1443.23	1864.78	1265.83	1643.22	1370.09	1735.39	2430.42	2294.48	1455.96	1216.92	1141.97	1342.88	2123.36	5775.76	1128.55	1473.22	1552.77	1497.52	1997.62	1664.41	1350	1301.65	1975.78	1860.03	1500.44	1604.87	1033.21	1541.3	1073.16	1288.62	1151.25	1522.75	1779.36	1768.26	1615.96	1238.58	1745.51	1775.94	1084.83	1392.2	1187.47	1381.14	1669.14	1470.07	1375.57	1314.19	1351.37	1509.97	1589	1914.5	1429.48	1364.64	2063.87	1667.37
ANXA9	3226.83	210.099	362.16	32.152	408.082	8.3343	1655.87	896.436999999999	115.887	4996.08	65.5994	10.1109	114.806	32	352.295	919.964	233.145	208.692	8.7486	172.901	17.0215	430.283	885.631	311.614	664.808	1202.38	513.58	671.489	9.8532	194.346	46.1128	31.0078	156.169	3607.88	90.6709	1007.68	12.5049	2193.03	43.29	235.72	7.9376	257.923	690.99	122.269	209.174	137.072	11.2554	237.877	162.034	565.019	47.46	86.611	282.678	160.28	25.0788	83.2841	16.4981	152.182	279.995	166.052	153.915	467.622	10.8178	366.796	113.559	289.718	143.262	47.9822	246.015	651.042	78.6565	277.494	94.4253	71.4609	83.4969	20.6964	13.5674	156.972	2284.41	51.6963	146.645	112.254	256.493	1646.95	705.995	181.563	17.507
DGKZ	831.707	1171.77	1124.24	2362.68	960.456	1222.36	764.735	829.929	733.95	570.735	988.676	722.211	900.033	707.556	957.178	940.862999999999	756.047	894.522	1115.63	1283.09	644.621	1039.61	1224.51	973.182	904.488	777.2	924.236	665.106	1490.3	1009.45	1668.87	1399.29	1327.78	758.486	792.453	599.328	985.932	1427.8	1626.62	1613.67	1618.73	1355.59	703.112	654.806	889.07	1103.43	2230.3	749.314	774.237	1147.16	1119.69	1322.21	1027.14	571.963	699.147	1136.44	1022.88	821.088	603.258	722.837	862.998	592.19	1337.95	596.529	873.086	1566.21	698.993	1100.67	701.913	850.036000000001	1130.95	638.534	1031.19	786.07	1371.67	1151.73	1029.93	791.619	504.048	1105.82	1435.73	999.999999999999	943.098999999999	778.434999999999	497.136	675.638	1164.57
API5	1621.95	2412.73	2413.14	2050.42	1908.52	2012.27	2188.01	2515.44	2023.39	1676.8	2167.9	1384.48	1921.37	1911.11	1675.57	1458.87	1996.91	1835.22	2729.55	1965.46	1979.44	2254.98	1456.7	2616.5	1569.3	1795.77	1910.33	2024.26	1945.6	1551.43	2063.76	1683.77	1509.63	1975.03	1479.56	1185.22	1840.56	2623.99	1840.91	2174.86	1298.06	2120.16	2412.4	2789.73	2050.42	1465.42	1305.63	2657.37	2436.61	1513.8	1869.37	1135.88	2572.14	2454.67	1796.5	1704.67	1706.23	2058.44	1547.18	2530.14	2466.22	2360.85	1643.01	2383.1	1929.45	1522.01	1543.77	1922.21	2370.88	1545.36	2524.23	1964.19	2187.9	1523.11	1948.83	2227.94	2007.18	2391	2454.25	1937.4	1566.28	2421.74	1659.76	1996.82	2393.28	1969.87	2459.73
PRPF18	371.213	288.746	404.558	286.274	429.761	409.483	260.156	328.974	278.585	449.588	493.647	395.215	335.308	254.258	409.971	317.417	216.866	405.84	522.723	468.654	484.778	349.793	299.914	269.285	369.376	373.932	353.892	358.749	292.222	219.592	225.706	356.707	356.8	347.425	264.366	264.669	346.753	236.712	318.788	487.359	420.87	340.666	313.561	440.177	237.846	321.695	232.035	416.546	317.119	263.492	424.076	352.491	199.521	242.14	389.241	369.209	359.755	328.574	442.452	349.02	303.578	420.025	492.735	367.059	292.803	246.513	386.483	526.086	334.825	345.651	321.901	293.014	359.496	218.591	206.069	287.988	312.917	363.953	387.292	326.292	434.339	389.208	154.222	448.294	405.185	304.784	231.39
CDK13	691.463	972.35	1029.46	913.409	915.83	880.194	1145.91	1027.55	1126.22	1125.38	1478.72	1040.71	1305.1	1201.78	760.322	1088.48	830.674	872.340000000001	760.745	1068.44	758.281	975.896	655.006	1132.25	936.724	953.211999999999	930.994	1024.68	920.866	934.962	954.955	799.803	409.509	789.7	540.88	1401.63	920.672	974.944	877.164	831.397	488.424	1150.06	1082.18	1046.93	1303.51	448.598	378.355	1145.47	997.288	683.1	895.749	934.445999999999	1268.2	1002.8	1042.91	594.212	949.440999999999	902.649	683.824	1227.55	929.217	821.552	727.823	976.686	1059.53	707.322	1384.76	932.523999999999	848.034	1284.26	1482.57	1601.02	1455.53	924.431	1661.76	1057.19	798.085	1372.19	1121.74	993.942	878.771	1563.95	1260.87	1043.68	1373.81	560.755	1173.32
STK19	437.841	636.511	783.199	599.24	659.864	619.451	394.679	407.914	718.341	775.481	458.481	634.65	483.315	629.556	443.876	377.866	343.881	502.54	362.594	579.662	463.644	661.322	852.794	249.858	458.907	603.208	544.005	435.421	436.974	687.317	568.592	584.55	878.862	443.543	822.495	861.041000000001	331.786	359.516	576.634	782.826	925.788999999999	483.843	958.746	619.788	297.222	1097.68	1056.46	452.493	478.875	454.979	467.992	717.616	479.543	942.953	608.674	474.247	389.015	466.458	1176.91	632.095	554.706	484.266	516.988	595.486	673.845	908.388	972.973	796.585	379.883	762.628	720.349	452.396	431.334	634.874	356.527	664.785	451.524	329.761	486.8	320.113	724.787	366.735	422.194	397.561	399.305	793.067	418.603
PRPF4B	1238.41	1351.55	1892.75	1315.31	1298.13	1626.58	1204.95	1547.74	1608.81	2000.25	2918.39	1368.59	1461.61	1583.11	1516.55	1154.74	1855.89	1421.46	1421.83	1202.55	2059.6	1576.72	1004.08	1104.52	1452.11	1578.91	1641.07	1499.57	1506.72	1675.58	1200.61	1153.69	825.265	1326.18	996.855	2012.96	1449	1093.53	1630.95	1284.41	782.114	1422.77	1947.55	1197.85	1552.37	808.1	735.065	1889.75	1467.8	1185.54	1313.21	1512.12	1339.67	1668.69	1945.74	616.657	1615.75	1840.61	1454.18	1734.32	1825.15	1950.57	1465.17	2227.5	1681.73	1465.96	882.872	1370.21	1948.99	1843.85	1498.72	1574.6	1897.14	1234.6	1683.28	1729.55	1618.91	1891.55	1441.88	1613.89	1347.23	1540.7	1860.23	1804.37	1875.53	1362.52	1419.12
MBD4	825.61	1005.23	970.166	828.157	703.111	919.551	760.773	729.691	480.413	726.293	523.233	609.546	615.185	598.222	652.435	711.872	761.708999999999	689.452	1000.38	1259.81	886.217	798.49	742.079	482.512	646.984	750.093	649.253	715.319	591.194	645.592	568.026	878.553	1008.5	782.677	560.797	932.822	624.072	596.109	777.597	851.709	817.039	702.589	254.575	958.09	783.995	800.623	1218.18	1238.79	830.509	700.221	803.594	594.756	704.659	605.14	686.913	841.111	757.318	1008.58	664.429	647.807	728.412	818.092	834.704	844.795	579.416	611.802	630.983	828.215	1014.88	1104.82	911.139	862.745	876.313	737.036	852.185	726.612	474.461	655.301	872.461	645.396	905.833	571.109	702.072	785.258999999999	767.85	797.751	743.697
SART1	2219.51	2257.29	1958.46	1854.1	1860.42	2220.63	2081.82	1806.65	1825.35	1612.97	2550.18	1613.42	2148.27	1554.67	1687.84	1512.67	2324.76	1937.98	2292.89	1929.25	1998.11	1685.19	2780.05	1780.36	1741.47	1874.86	1606.24	1422.55	2815.97	2636.8	3362.88	2673.56	3076.87	1570.43	2406.71	1836.37	1692.07	3160.01	2599.03	2832.42	3043.79	1840.25	2025.41	1634.87	1462.91	2864.17	4284.85	1182.53	2199.32	1911.73	2248.59	2944.78	2432.38	1803.27	1693.73	3313.64	2346.46	2119.61	3148.58	1998.77	2157.67	1572.42	1847.25	1455.12	1918.36	1887.51	2072.42	2488.82	1515.41	1777.71	2006.38	1506.39	1543.05	4094.18	1852.43	1830.23	2256.19	1701.53	1708.87	1469.31	2753.7	3000.45	2130.14	1388.99	1783.89	3673.03	1674.02
PRPF4	723.171	732.785	778.701	718.548	905.913	834.356	681.525	853.207	950.490000000001	747.749	1201.09	619.657	847.504	1000.89	826.281999999999	741.218	829.13	801.72	1199.7	917.706	1046	789.995	777.378	1023.35	711.076	897.141	404.418	662.979	867.084	1203.8	1044.67	926.787	815.548	831.447	676.625	693.858	1388.43	532.041	653.139	829.507	1029.77	918.924	673.272	491.463	885.817	806.854	691.775	518.756	869.830999999999	737.417	531.736	827.97	511.533	932.71	782.946	832.841	1156.47	592.814	958.349	1010.25	949.62	1242.71	598.442	838.761	696.144	814.683	712.217	1346.01	1196.07	994.393	1448.98	772.805	650.038	559.524	654.633	837.925	1137.27	874.987	672.674	1005.25	531.724	318.873	1142.98	1115.56	1026.35	839.526	1620.8
CBFA2T2	539.024	692.644	688.822	494.459	585.596	506.077	720.753	328.266	435.8	545.524	877.782	409.493	604.895	477.333	472.453	590.485	453.423	650.521	317.611	436.686	200.415	729.553	642.455	1027.43	738.002	571.482	493.827	450.213	365.801	560.118	562.577	417.374	467.118	554.038	434.486	797.025	384.916	486.278	896.645	784.158	328.615	615.815	470.451	572.179	572.219	649.844	245.022	789.57	632.542	518.967	367.7	607.866	819.991	612.617	558.461	180.154	1394.36	532.14	285.466	502.665	487.517	299.061	385.547	603.856	752.132	738.109	352.96	594.145	385.76	465.852	767.857	935.209	929.283	615.4	1037.26	703.678	439.745	750.686	405.071	549.273	653.867	1067.53	1091.92	554.14	242.459	402.49	463.936
FIBP	1392.07	1548.41	1510.95	1425.89	1392.84	1566.38	880.040000000001	1162.47	1532.1	843.765	1185.47	1354.87	965.016999999999	1235.56	1310.49	1192.53	1112.2	904.934	1531.38	1433.08	776.4	1063.78	1677.91	1359.85	1053.53	1073.52	1124.37	1153.19	1973.11	1398.15	1483.16	1680.82	2404.3	1089.74	2102.2	789.827	1466.98	2482.33	2110.93	1962.28	2718.88	1308.41	1195.94	1089.43	1211.45	1823.68	3114.29	987.649	1234.58	1327.23	1806.24	1523.24	1367.25	1101.4	1083.28	2916.13	2582.76	1246.3	1483.53	1231.24	1075.62	824.024	1202.51	1459.86	1291.93	1541.74	1228.91	1819.15	1199.26	1204.31	1205.36	907.076	778.433	1554.28	851.753999999999	1414.63	1741.42	1685.76	1119.9	899.031	1308.83	1913.24	1298.8	1075.07	1081.33	1311.11	886.555
STK17A	403.049	916.836	621.224	1798.08	657.494	1555.74	270.233	377.672	1398.26	281.076	400.625	1230.65	1194.63	1122.67	685.159	559.804	654.658	516.976	654.241	1442.69	3075.4	580.571	407.123	590.191	758.86	433.717	1202.34	604.681	954.532	525.26	1521.72	1310.2	491.411	618.416	538.784	285.029	2418.52	975.74	537.879	761.011	982.14	1154.85	229.397	800.955	910.214999999999	508.411	557.576	584.172	622.373	399.114	1077.3	614.621	929.444	1086.45	748.081	1373.3	781.267	1399.48	942.932	880.278999999999	853.690999999999	1211.07	1504.54	659.457	673.433	485.494	894.522	551.17	458.023	618.26	1442.18	1008.53	1018.53	1049.11	577.592	922.389	740.223	624.508	564.533	1225.36	872.92	872.093	294.135	963.148	471.172	465.154	1848.04
SRSF11	2379.27	2878.62	1890.86	2194.13	2993.43	2228.96	3041.9	3049.41	1464.64	3000.65	2440.06	2434.57	3228.09	3088.89	2415.95	2789.68	5753.47	3032.59	2632.56	2138.73	3099.56	3595.82	2396.46	2481.49	2269.37	2445.97	1602.08	2674.89	2517.09	3537.86	2210.06	1170.91	1483.26	2218.88	1526.21	2280.71	3112.15	2312.41	3231.06	1351.49	1244.61	2438.87	2221.7	1747.58	3206.57	1477.88	1026.84	3043.92	2810.85	2323.25	2090.54	2665.47	3135.69	2532.71	3273.69	1014.77	3473.66	3159.02	3487.26	3317.75	1835.88	3686.11	2896.15	3460.64	4018.41	3288.73	1545.66	3007.86	4308.71	2939.47	3905.19	3453.54	4313.62	2992.24	5914.51	4512.94	2292.9	2542.34	2311.9	3013.33	3019.93	3330.05	2863.44	2549.59	3157.69	2547.5	3229.69
SOCS6	414.024	618.768	458.082	345.39	506.756	279.199	386.726	1032.3	1287.27	622.23	616.166	420.327	603.271	616.889	399.847	505.558	505.404	658.216	357.17	515.009	818.68	521.436	259.649	402.57	414.889	516.153	331.124	637.872	323.514	605.959	367.226	311.554	247.094	537.261	405.66	500.96	579.523	573.028	508.117	549.383	402.699	597.421	552.046	543.522	1041.64	241.744	161.039	469.808	713.898	543.764	883.307999999999	455.701	1001.81	660.28	827.599	454.223	850.452	301.38	614.199	537.515	472.125	706.871	408.481	670.233	529.767	447.602	586.587	1479.52	873.539	678.649	860.969	480.392	518.763	431.426	531.539	611.942	2096.17	896.016	455.781	540.792	483.452	654.741	594.397	346.224	613.211	494.878	768.207
TRIP12	2165.85	2045.05	1584.59	3659.97	2580.89	3903.23	4475.88	2932.07	2548.97	2677.73	5774.7	3405.95	3703.56	3423.11	2898.12	2661.63	1238.29	2636.94	2774.44	2431.33	3313.15	3232.84	1742.24	3074.54	3438.19	3157.45	2861.08	2836.17	2945.29	2685.99	3704.12	2323.12	2361.27	3288.72	1565.51	3773.51	4714.34	2783.17	3259.74	2548.99	2087.58	2142.16	2279.99	2990.81	3693.56	2163.86	1381.82	3924.52	2611.53	2978.01	2923.17	2201.43	2395.75	3991.12	3254.12	1360.9	3060.14	2456.3	2610.97	3195.57	3943.45	3381.61	2687.15	3254.18	3148.5	1893.03	2379.1	3458.89	3849.1	2623.72	3525.94	3874.25	2833.91	3861.55	3671.28	3045.17	2679.17	3958.09	2652.82	4750	2586.58	3880.59	3188.21	3719.29	5583.05	2108.86	3956.93
UBE4A	1120.73	1835.38	1003.78	1279.75	1141.94	1541.38	1872.21	973.872	1421.11	1253.58	2575.56	1394.59	1612.15	1580.44	1245.05	1680.75	1848.17	1117.7	1060.1	1335.18	1384.23	1256.22	1357.86	2128.28	1238.98	1251.39	1348.41	1163.4	1024.33	1690.86	834.223	1216.69	1282.67	1174.4	1680.29	1409.31	1352.87	886.602	1850.11	1270.71	1314.99	1301.21	1364.26	2202.27	1552.7	1138.32	1740.26	1847.21	1750.51	912.177	1312.29	839.888999999999	1333.33	1392.52	1637.46	1349.08	1577.43	1703.84	1046.38	1875.36	1766.09	1238.75	1244.92	1629.68	1460.95	1998.82	1138.85	1469.93	1259.83	1322.79	1777.64	1753.2	1650.14	3761.96	1799.06	1542.16	1554.27	1665.85	1355.74	2029.48	1192.17	2530.86	1557.63	2549.14	2255.44	1510.34	1400.56
PPIG	619.512	1058.61	836.103	795.031	636.172	780.183	906.191	822.803	921.654	1000.4	1384.22	934.541	838.839	889.778	751.63	1021.34	784.354	840.652	919.361	734.46	916.416	823.973999999999	708.348	895.279	870.357	763.832	806.758	905.106	1074.82	951.675	848.057	878.061	633.698	756.145	573.899	1206.33	876.514	861.532	786.255	824.311	525.466	856.543	706.842	631.881	947.625	561.371	558.442	1201.28	932.203	1025.54	836.309	754.47	864.315	937.851	960.944	564.087	892.496	947.906	950.889	927.018999999999	1008.68	1094.41	1122.46	1099.53	725.195	559.7	736.147	909.994	1009.56	934.579	903.486000000001	819.267	846.373000000001	706.627	1106.55	712.628	954.11	805.138	1018.48	865.509	1143.54	947.674	804.785	1047.77	1421.92	878.088	929.272
LPXN	843.293	267.321	276.435	1558.88	263.295	482.926	267.855	504.988	256.257	354.027	218.274	379.883	570.237	328.889	337.466	279.235	205.867	299.683	496.767	570.426	829.661	503.14	238.469	193.331	559.38	285.184	196.491	357.021	562.044	356.221	428.43	908.576	206.837	475.615	393.082	191.939	1553.34	432.159	550.325	290.044	372.536	363.091	236.391	279.403	654.522	256.075	564.502	270.357	159.322	439.852	930.308	338.498	400.724	190.187	288.712	490.845	359.766	963.323	309.835	215.662	244.474	278.794	1370.84	303.005	361.805	231.301	307.305	210.705	227.949	629.188	357.993	416.88	787.645	187.395	294.822	194.099	218.675	112.284	454.559	670.84	582.922	407.424	210.68	380.801	452.463	270.737	410.014
SNRNP40	932.927	1120.1	441.465	831.567	854.345	1340.43	519.861	818.052	985.31	634.567	506.833	551.769	700.206	696	624.824	546.465	544.519	769.126	1128.19	631.754	758.83	386.176	371.039	446.62	711.455	722.243	306.173	540.426	1301.04	887.211	982.623	490.71	710.741	696.84	609.539	530.71	1320.05	698.776	1049.24	699.129	774.706	734.58	552.046	447.522	756.343	890.343	1057.14	664.227	608.136	679.557	822.025	1040.13	374.943	852.336	682.02	1105.14	1096.86	670.398	760.413	1175.89	958.568	871.478	709.217	982.289	622.199	328.399	591.625	2099.95	578.108	904.673	1028.49	620.631	683.432	612.36	921.909	1048.8	423.384	545.646	254.773	772.617	775.644	960.644	666.18	808.916999999999	682.322	1189.8	1016.46
CDYL	434.756	494.075	689.955	496.894	561.795	1056.14	349.084	595.725	861.262	921.544	1382.27	597.99	577.277	599.111	529.72	417.964	597.015	392.485	551.54	552.323	384.906	703.089	355.351	394.004	405.408	406.981	569.721	650.638	567.382	662.305	716.426	590.624	260.975	424.112	344.864	1431.86	442.751	378.835	546.537	533.322	420.161	480.656	700.781	406.925	551.399	279.751	208.658	456.999	574.915	371.956	440.041	595.55	516.508	739.72	598.832	289.427	523.151	579.884	439.637	529.725	704.429	734.553	493.726	746.092	753.188	435.761	520.781	507.36	740.701	777.57	716.837	453.964	635.068	517.712	471.714	610.264	889.464999999999	762.327	388.575	558.966	385.445	586.762	798.658	627.843	629.63	464.35	524.86
MED17	406.098	543.611	365.937	431.129	656.998	465.795	824.963	670.309	645.811	665.679	816.868	477.381	517.708	577.778	524.607	315.251	510.551	812.585	350.704	421.169	691.842	407.086	453.405	860.202	518.422	449.684	437.687	520.851	482.808	672.332	361.776	526.64	348.43	596.176	712.788	917.466	526.768	393.559	604.437	565.917	508.533	449.465	587.947	628.537	489.59	308.411	186.147	291.857	553.898	563.838	465.845	314.263	637.268	524.766	551.121	469.581	459.819	486.884	416.76	606.396	627.83	797.331	472.523	537.048	755.829	352.082	483.628	516.122	573.326	525.09	678.571	511.083	636.219	941.536	698.533	569.99	709.896000000001	360.134	539.484	579.16	521.119	518.336	764.225	584.622	889.271000000001	682.868	541.317
ADAMTS4	56.0976	237.429	222.432	603.093	244.453	1563.14	22.1892	84.5606	1560.39	188.815	3829.75	4574.48	283.223	5157.33	279.688	691.863	164.694	30.3305	798.783	299.991	10962.4	191.781	6290.41	198.634	120.219	48.2733	234.958	665.106	1498.51	905.357	610.366	777.163	188.096	80.7647	254.193	93.5701	1187.96	229.211	661.797	849.347	729.197	1133.66	110.502	418.866	302.863	33.6449	179.221	767.155	75.9322	128.118	1716.85	1815.26	164.179	229.439	4983.94	506.202	791.378	8487.39	1168.72	1084.87	933.512	13822.5	4827.78	511.187	935.411	145.254	123.111	167.312	1105.21	161.61	539.541	81.8414	244.7	75.6422	171.728	1915.82	4518.76	671.073	43.9896	333.199	399.707	206.172	1360.08	166.06	122.566	29.7248	198.529
CIR1	3210.98	852.780999999999	1147.66	824.747	930.705	687.58	989.401	1034.2	800.326	1145.76	1030.46	678.156	797.682	613.333	874.345	803.024	1649	1056.13	818.562	519.442	488.133	926.235	1447.29	973.182	909.418	878.203	869.136000000001	870.213	785.384	788.367	702.173	1002.58	1026.55	1135	869.497	1274.95	543.181	1021.9	767.316	926.346	732.901	690.193	663.481	679.642	795.054999999999	1180.06	699.567	870.997	951.186	1594.1	1095.73	481.526	843.962	886.916	779.276	696.397	708.356	582.868	1189.61	724.886999999999	879.821	730.598	873.648	917.206	858.825	623.643	661.839	1039.34	639.745	926.528	679.422	743.819	759.433	653.412	742.434	772.478999999999	619.713	616.622	1227.43	613.49	910.953	563.059	801.576	886.715	877.816	1405.9	806.723
RBM39	4706.1	3168.57	5415.41	3111.44	4520.64	3568.93	4178.7	5549.64	3980.41	5537.85	5500.59	3221.06	4646.92	3920.89	4423.37	3116.05	5823.47	4461.75	3139.6	3032.05	5556.7	3658.87	4566.22	5307.64	3121.91	4079.09	4359.19	4284.26	3085.29	4777.48	2793.6	3162.79	2921.4	4200.16	3125.79	4172.74	4160.22	3818.99	3564.39	3900.95	2619.39	3622.91	3178.46	3793.67	3224.79	3112.15	1958.44	4528.36	5861.02	3927.38	3213.92	4550.66	6070.56	3162.15	4993.73	2823.98	4969.66	5358.7	5519.33	3978.68	4139.96	5953.53	3802.25	3951.14	4459.44	4291.3	2730.48	4410.19	4431.46	3815.38	4511.9	4910.91	4922.21	3522.49	8038.08	4763.53	3558.26	4486.09	3872.31	3668.82	4099.1	3372.99	3928.51	4503.18	3141.66	4296.45	3977.94
