TCGA-4C-A93U-01	TCGA-BJ-A0YZ-01	TCGA-BJ-A0Z0-01	TCGA-BJ-A0Z2-01	TCGA-BJ-A0Z3-01	TCGA-BJ-A0Z5-01	TCGA-BJ-A0Z9-01	TCGA-BJ-A0ZA-01	TCGA-BJ-A0ZB-01	TCGA-BJ-A0ZC-01	TCGA-BJ-A0ZE-01	TCGA-BJ-A0ZG-01	TCGA-BJ-A0ZH-01	TCGA-BJ-A0ZJ-01	TCGA-BJ-A18Y-01	TCGA-BJ-A18Z-01	TCGA-BJ-A190-01	TCGA-BJ-A191-01	TCGA-BJ-A192-01	TCGA-BJ-A28R-01	TCGA-BJ-A28S-01	TCGA-BJ-A28T-01	TCGA-BJ-A28V-01	TCGA-BJ-A28W-01	TCGA-BJ-A28X-01	TCGA-BJ-A28Z-01	TCGA-BJ-A290-01	TCGA-BJ-A291-01	TCGA-BJ-A2N7-01	TCGA-BJ-A2N8-01	TCGA-BJ-A2N9-01	TCGA-BJ-A2NA-01	TCGA-BJ-A2P4-01	TCGA-BJ-A3EZ-01	TCGA-BJ-A3F0-01	TCGA-BJ-A3PR-01	TCGA-BJ-A3PT-01	TCGA-BJ-A3PU-01	TCGA-BJ-A45C-01	TCGA-BJ-A45D-01	TCGA-BJ-A45E-01	TCGA-BJ-A45F-01	TCGA-BJ-A45G-01	TCGA-BJ-A45H-01	TCGA-BJ-A45I-01	TCGA-BJ-A45J-01	TCGA-BJ-A45K-01	TCGA-BJ-A4O8-01	TCGA-BJ-A4O9-01	TCGA-CE-A13K-01	TCGA-CE-A27D-01	TCGA-CE-A3MD-01	TCGA-CE-A3ME-01	TCGA-CE-A481-01	TCGA-CE-A482-01	TCGA-CE-A483-01	TCGA-CE-A484-01	TCGA-CE-A485-01	TCGA-DE-A0XZ-01	TCGA-DE-A0Y2-01	TCGA-DE-A0Y3-01	TCGA-DE-A2OL-01	TCGA-DE-A3KN-01	TCGA-DE-A4M8-01	TCGA-DE-A4M9-01	TCGA-DE-A4MA-01	TCGA-DE-A4MB-01	TCGA-DE-A4MC-01	TCGA-DE-A4MD-01	TCGA-DE-A69J-01	TCGA-DE-A69K-01	TCGA-DE-A7U5-01	TCGA-DJ-A13L-01	TCGA-DJ-A13M-01	TCGA-DJ-A13O-01	TCGA-DJ-A13P-01	TCGA-DJ-A13R-01	TCGA-DJ-A13S-01	TCGA-DJ-A13T-01	TCGA-DJ-A13U-01	TCGA-DJ-A13V-01	TCGA-DJ-A13W-01	TCGA-DJ-A13X-01	TCGA-DJ-A1QD-01	TCGA-DJ-A1QE-01	TCGA-DJ-A1QF-01	TCGA-DJ-A1QG-01	TCGA-DJ-A1QH-01	TCGA-DJ-A1QI-01	TCGA-DJ-A1QL-01	TCGA-DJ-A1QM-01	TCGA-DJ-A1QN-01	TCGA-DJ-A1QO-01	TCGA-DJ-A1QQ-01	TCGA-DJ-A2PN-01	TCGA-DJ-A2PO-01	TCGA-DJ-A2PP-01	TCGA-DJ-A2PQ-01	TCGA-DJ-A2PR-01	TCGA-DJ-A2PS-01	TCGA-DJ-A2PT-01	TCGA-DJ-A2PU-01	TCGA-DJ-A2PV-01	TCGA-DJ-A2PW-01	TCGA-DJ-A2PX-01	TCGA-DJ-A2PY-01	TCGA-DJ-A2PZ-01	TCGA-DJ-A2Q0-01	TCGA-DJ-A2Q1-01	TCGA-DJ-A2Q2-01	TCGA-DJ-A2Q3-01	TCGA-DJ-A2Q4-01	TCGA-DJ-A2Q5-01	TCGA-DJ-A2Q6-01	TCGA-DJ-A2Q7-01	TCGA-DJ-A2Q9-01	TCGA-DJ-A2QA-01	TCGA-DJ-A2QB-01	TCGA-DJ-A2QC-01	TCGA-DJ-A3UK-01	TCGA-DJ-A3UM-01	TCGA-DJ-A3UN-01	TCGA-DJ-A3UO-01	TCGA-DJ-A3UP-01	TCGA-DJ-A3UQ-01	TCGA-DJ-A3UR-01	TCGA-DJ-A3US-01	TCGA-DJ-A3UT-01	TCGA-DJ-A3UU-01	TCGA-DJ-A3UW-01	TCGA-DJ-A3UX-01	TCGA-DJ-A3UY-01	TCGA-DJ-A3UZ-01	TCGA-DJ-A3V0-01	TCGA-DJ-A3V2-01	TCGA-DJ-A3V3-01	TCGA-DJ-A3V4-01	TCGA-DJ-A3V5-01	TCGA-DJ-A3V7-01	TCGA-DJ-A3V8-01	TCGA-DJ-A3V9-01	TCGA-DJ-A3VA-01	TCGA-DJ-A3VB-01	TCGA-DJ-A3VD-01	TCGA-DJ-A3VE-01	TCGA-DJ-A3VF-01	TCGA-DJ-A3VG-01	TCGA-DJ-A3VI-01	TCGA-DJ-A3VJ-01	TCGA-DJ-A3VK-01	TCGA-DJ-A3VL-01	TCGA-DJ-A3VM-01	TCGA-DJ-A4UL-01	TCGA-DJ-A4UP-01	TCGA-DJ-A4UQ-01	TCGA-DJ-A4UR-01	TCGA-DJ-A4UT-01	TCGA-DJ-A4UW-01	TCGA-DJ-A4V0-01	TCGA-DJ-A4V2-01	TCGA-DJ-A4V4-01	TCGA-DJ-A4V5-01	TCGA-DO-A1JZ-01	TCGA-DO-A1K0-01	TCGA-DO-A2HM-01	TCGA-E3-A3DY-01	TCGA-E3-A3DZ-01	TCGA-E3-A3E0-01	TCGA-E3-A3E1-01	TCGA-E3-A3E2-01	TCGA-E3-A3E3-01	TCGA-E3-A3E5-01	TCGA-E8-A242-01	TCGA-E8-A2EA-01	TCGA-E8-A3X7-01	TCGA-E8-A413-01	TCGA-E8-A414-01	TCGA-E8-A415-01	TCGA-E8-A416-01	TCGA-E8-A417-01	TCGA-E8-A418-01	TCGA-E8-A419-01	TCGA-E8-A432-01	TCGA-E8-A433-01	TCGA-E8-A434-01	TCGA-E8-A436-01	TCGA-E8-A437-01	TCGA-E8-A438-01	TCGA-E8-A44K-01	TCGA-E8-A44M-01	TCGA-EL-A3CL-01	TCGA-EL-A3CM-01	TCGA-EL-A3CN-01	TCGA-EL-A3CO-01	TCGA-EL-A3CP-01	TCGA-EL-A3CR-01	TCGA-EL-A3CS-01	TCGA-EL-A3CT-01	TCGA-EL-A3CU-01	TCGA-EL-A3CV-01	TCGA-EL-A3CW-01	TCGA-EL-A3CX-01	TCGA-EL-A3CY-01	TCGA-EL-A3CZ-01	TCGA-EL-A3D1-01	TCGA-EL-A3D4-01	TCGA-EL-A3D6-01	TCGA-EL-A3GO-01	TCGA-EL-A3GP-01	TCGA-EL-A3GQ-01	TCGA-EL-A3GR-01	TCGA-EL-A3GS-01	TCGA-EL-A3GU-01	TCGA-EL-A3GV-01	TCGA-EL-A3GW-01	TCGA-EL-A3GX-01	TCGA-EL-A3GY-01	TCGA-EL-A3GZ-01	TCGA-EL-A3H1-01	TCGA-EL-A3H2-01	TCGA-EL-A3H3-01	TCGA-EL-A3H4-01	TCGA-EL-A3H5-01	TCGA-EL-A3H7-01	TCGA-EL-A3H8-01	TCGA-EL-A3MW-01	TCGA-EL-A3MX-01	TCGA-EL-A3MY-01	TCGA-EL-A3MZ-01	TCGA-EL-A3N2-01	TCGA-EL-A3N3-01	TCGA-EL-A3T0-01	TCGA-EL-A3T1-01	TCGA-EL-A3T2-01	TCGA-EL-A3T3-01	TCGA-EL-A3T6-01	TCGA-EL-A3T7-01	TCGA-EL-A3T8-01	TCGA-EL-A3T9-01	TCGA-EL-A3TA-01	TCGA-EL-A3TB-01	TCGA-EL-A3ZG-01	TCGA-EL-A3ZH-01	TCGA-EL-A3ZK-01	TCGA-EL-A3ZL-01	TCGA-EL-A3ZM-01	TCGA-EL-A3ZN-01	TCGA-EL-A3ZO-01	TCGA-EL-A3ZP-01	TCGA-EL-A3ZQ-01	TCGA-EL-A3ZR-01	TCGA-EL-A3ZS-01	TCGA-EL-A3ZT-01	TCGA-EL-A4JV-01	TCGA-EL-A4JW-01	TCGA-EL-A4JX-01	TCGA-EL-A4JZ-01	TCGA-EL-A4K0-01	TCGA-EL-A4K1-01	TCGA-EL-A4K2-01	TCGA-EL-A4K4-01	TCGA-EL-A4K6-01	TCGA-EL-A4K7-01	TCGA-EL-A4K9-01	TCGA-EL-A4KD-01	TCGA-EL-A4KG-01	TCGA-EL-A4KH-01	TCGA-EL-A4KI-01	TCGA-EM-A1CS-01	TCGA-EM-A1CT-01	TCGA-EM-A1CU-01	TCGA-EM-A1CV-01	TCGA-EM-A1CW-01	TCGA-EM-A1YA-01	TCGA-EM-A1YB-01	TCGA-EM-A1YC-01	TCGA-EM-A1YD-01	TCGA-EM-A1YE-01	TCGA-EM-A22I-01	TCGA-EM-A22J-01	TCGA-EM-A22K-01	TCGA-EM-A22L-01	TCGA-EM-A22M-01	TCGA-EM-A22N-01	TCGA-EM-A22O-01	TCGA-EM-A22P-01	TCGA-EM-A22Q-01	TCGA-EM-A2CJ-01	TCGA-EM-A2CK-01	TCGA-EM-A2CL-01	TCGA-EM-A2CN-01	TCGA-EM-A2CO-01	TCGA-EM-A2CP-01	TCGA-EM-A2CQ-01	TCGA-EM-A2CR-01	TCGA-EM-A2CT-01	TCGA-EM-A2CU-01	TCGA-EM-A2OV-01	TCGA-EM-A2OW-01	TCGA-EM-A2OX-01	TCGA-EM-A2OY-01	TCGA-EM-A2OZ-01	TCGA-EM-A2P0-01	TCGA-EM-A2P1-01	TCGA-EM-A2P2-01	TCGA-EM-A2P3-01	TCGA-EM-A3AI-01	TCGA-EM-A3AJ-01	TCGA-EM-A3AK-01	TCGA-EM-A3AL-01	TCGA-EM-A3AN-01	TCGA-EM-A3AO-01	TCGA-EM-A3AP-01	TCGA-EM-A3AQ-01	TCGA-EM-A3AR-01	TCGA-EM-A3FJ-01	TCGA-EM-A3FK-01	TCGA-EM-A3FL-01	TCGA-EM-A3FM-01	TCGA-EM-A3FN-01	TCGA-EM-A3FO-01	TCGA-EM-A3FP-01	TCGA-EM-A3FQ-01	TCGA-EM-A3FR-01	TCGA-EM-A3O3-01	TCGA-EM-A3O6-01	TCGA-EM-A3O7-01	TCGA-EM-A3O8-01	TCGA-EM-A3O9-01	TCGA-EM-A3OA-01	TCGA-EM-A3OB-01	TCGA-EM-A3ST-01	TCGA-EM-A3SU-01	TCGA-EM-A3SX-01	TCGA-EM-A3SY-01	TCGA-EM-A3SZ-01	TCGA-EM-A4FF-01	TCGA-EM-A4FH-01	TCGA-EM-A4FK-01	TCGA-EM-A4FM-01	TCGA-EM-A4FN-01	TCGA-EM-A4FO-01	TCGA-EM-A4FQ-01	TCGA-EM-A4FR-01	TCGA-EM-A4FU-01	TCGA-EM-A4FV-01	TCGA-EM-A4G1-01	TCGA-ET-A25G-01	TCGA-ET-A25I-01	TCGA-ET-A25J-01	TCGA-ET-A25K-01	TCGA-ET-A25L-01	TCGA-ET-A25M-01	TCGA-ET-A25N-01	TCGA-ET-A25O-01	TCGA-ET-A25P-01	TCGA-ET-A25R-01	TCGA-ET-A2MX-01	TCGA-ET-A2MY-01	TCGA-ET-A2MZ-01	TCGA-ET-A2N0-01	TCGA-ET-A2N3-01	TCGA-ET-A2N4-01	TCGA-ET-A2N5-01	TCGA-ET-A39I-01	TCGA-ET-A39J-01	TCGA-ET-A39K-01	TCGA-ET-A39L-01	TCGA-ET-A39M-01	TCGA-ET-A39N-01	TCGA-ET-A39O-01	TCGA-ET-A39P-01	TCGA-ET-A39R-01	TCGA-ET-A39S-01	TCGA-ET-A39T-01	TCGA-ET-A3BN-01	TCGA-ET-A3BO-01	TCGA-ET-A3BP-01	TCGA-ET-A3BQ-01	TCGA-ET-A3BS-01	TCGA-ET-A3BT-01	TCGA-ET-A3BU-01	TCGA-ET-A3BV-01	TCGA-ET-A3BW-01	TCGA-ET-A3BX-01	TCGA-ET-A3DO-01	TCGA-ET-A3DP-01	TCGA-ET-A3DQ-01	TCGA-ET-A3DR-01	TCGA-ET-A3DS-01	TCGA-ET-A3DT-01	TCGA-ET-A3DU-01	TCGA-ET-A3DV-01	TCGA-ET-A3DW-01	TCGA-ET-A40P-01	TCGA-ET-A40Q-01	TCGA-ET-A40R-01	TCGA-ET-A40S-01	TCGA-ET-A40T-01	TCGA-ET-A4KN-01	TCGA-ET-A4KQ-01	TCGA-FE-A22Z-01	TCGA-FE-A230-01	TCGA-FE-A231-01	TCGA-FE-A232-01	TCGA-FE-A233-01	TCGA-FE-A234-01	TCGA-FE-A235-01	TCGA-FE-A236-01	TCGA-FE-A237-01	TCGA-FE-A238-01	TCGA-FE-A239-01	TCGA-FE-A23A-01	TCGA-FE-A3PA-01	TCGA-FE-A3PB-01	TCGA-FE-A3PC-01	TCGA-FE-A3PD-01	TCGA-FK-A3S3-01	TCGA-FK-A3SB-01	TCGA-FK-A3SD-01	TCGA-FK-A3SE-01	TCGA-FK-A3SG-01	TCGA-FK-A3SH-01	TCGA-FK-A4UB-01	TCGA-FY-A2QD-01	TCGA-FY-A3BL-01	TCGA-FY-A3I4-01	TCGA-FY-A3I5-01	TCGA-FY-A3NM-01	TCGA-FY-A3NN-01	TCGA-FY-A3NP-01	TCGA-FY-A3ON-01	TCGA-FY-A3R6-01	TCGA-FY-A3R7-01	TCGA-FY-A3R8-01	TCGA-FY-A3R9-01	TCGA-FY-A3RA-01	TCGA-FY-A3TY-01	TCGA-FY-A3W9-01	TCGA-FY-A3WA-01	TCGA-FY-A3YR-01	TCGA-FY-A40K-01	TCGA-FY-A40L-01	TCGA-FY-A40M-01	TCGA-FY-A40N-01	TCGA-FY-A4B0-01	TCGA-FY-A4B3-01	TCGA-FY-A4B4-01	TCGA-FY-A76V-01	TCGA-GE-A2C6-01	TCGA-H2-A26U-01	TCGA-H2-A2K9-01	TCGA-H2-A3RH-01	TCGA-H2-A3RI-01	TCGA-H2-A421-01	TCGA-H2-A422-01	TCGA-IM-A3EB-01	TCGA-IM-A3ED-01	TCGA-IM-A3U2-01	TCGA-IM-A3U3-01	TCGA-IM-A41Y-01	TCGA-IM-A41Z-01	TCGA-IM-A420-01	TCGA-IM-A4EB-01	TCGA-J8-A3NZ-01	TCGA-J8-A3O0-01	TCGA-J8-A3O1-01	TCGA-J8-A3O2-01	TCGA-J8-A3YD-01	TCGA-J8-A3YE-01	TCGA-J8-A3YF-01	TCGA-J8-A3YG-01	TCGA-J8-A3YH-01	TCGA-J8-A3YH-06	TCGA-J8-A42S-01	TCGA-J8-A4HW-01	TCGA-J8-A4HY-01	TCGA-KS-A41F-01	TCGA-KS-A41I-01	TCGA-KS-A41J-01	TCGA-KS-A41L-01	TCGA-KS-A4I1-01	TCGA-KS-A4I3-01	TCGA-KS-A4I5-01	TCGA-KS-A4I7-01	TCGA-KS-A4I9-01	TCGA-KS-A4IB-01	TCGA-KS-A4IC-01	TCGA-KS-A4ID-01	TCGA-L6-A4EP-01	TCGA-L6-A4EQ-01	TCGA-L6-A4ET-01	TCGA-L6-A4EU-01	TCGA-MK-A4N6-01	TCGA-MK-A4N7-01	TCGA-MK-A4N9-01	TCGA-MK-A84Z-01	TCGA-QD-A8IV-01
BNIP3L	1559.42	2793.42	1538.64	1998.34	1714.81	1812.08	3307.73	2194.98	1404.72	2351.86	2374.45	1881.39	1636.75	1591.08	1919.35	1978.07	1408.26	1478.42	2720.75	1857.18	1502.61	1597.69	2002.75	1264.65	1891.51	1636.88	1884.75	2051.95	1699.99	1826.04	1032.43	2171.47	1394.74	2090.86	2147.69	1720.67	1535	1632.21	1801.33	1210.17	1582.91	1938.69	1728.65	1740.57	1820.41	1817.97	1625.21	1938.79	1936.31	1395.58	1708.43	1466.31	2191.54	1542.96	1416.61	1773.32	1442.76	1541.33	1628.5	2148.87	1940.16	1666.07	1659.69	1804.76	2596.69	1357.04	1531.7	1522.52	1395.92	1925.75	1577.86	2334.47	2267.14	1534.29	2087.72	1776.67	2093.37	1900.57	1635.07	1699.5	1656.32	1272.45	1572.24	2187.86	2087.87	1856.57	2117.36	2146.88	1923.13	1543.27	1849.99	1547	2161.9	2340.46	2173.77	1817.82	3211.9	1740.84	2234.99	1784.75	2054.77	1687.14	1860.34	1823.87	2028.69	2255.79	1901.57	980.068	2426.07	2840.51	1956.27	2054.52	1736.27	1969.46	1796.27	2564.65	1350.6	2056.27	1269.48	1506.96	1637.97	1325.99	1174.02	1412.08	1934	1386.74	1522.93	1805.34	1648.67	1709.86	1603.42	1638.96	1588.02	1746.31	1701.68	1368.06	1908.16	1858.67	1351.76	1832.4	1523.11	1508.54	1756.96	1771.73	1855.94	1833.12	1631.08	1461.08	1550.25	1551.95	1385.36	1683.69	1435.44	1488.26	1732.99	1593.38	1642.59	1847.58	1677.95	2060.37	1812.56	1906.45	1589.72	1635.34	2233.67	1718.55	1702.55	1729.56	2064.04	1569.18	1822.01	1434.01	2687.71	2157.28	1441.49	1865.43	1767.98	1724.45	1559.78	1226.96	1443.35	1568.75	1644.46	1536.61	1528.31	1677.97	1439.24	1053.58	1449.78	1405.45	1931.84	1874.9	2606.62	2230.64	2049.09	2452.04	2604.17	2769.84	2185.15	2205.36	1972.84	4243.94	2258.24	1864.49	1173.19	2037.12	2710.99	2555.92	2678.34	2039.32	2465.79	2653.38	2073.75	2191.43	1922.88	2258.93	1739.19	1758.34	2131.35	1660.7	2253.69	2519.17	2531.29	2035.28	1772.15	1895	1821.34	2898.45	1558.45	1666.45	2132.77	1626.48	1718.76	2191.44	2026.14	2340.59	1645.96	1616.32	2475.49	1518.52	1344.16	1668.65	2202.77	1680.76	1373.82	1892.97	1565.08	1877.91	1774.87	1201.94	1221.35	1647.87	1588.56	1527.35	2131.21	1939.97	1777.59	1618.6	1633.59	1662.22	2416.09	1104.71	1777.98	1519.01	2043.86	2011.52	1162.32	1846.96	1499.71	1729.97	2443.93	1708.79	1851.78	2033.93	1226.92	967.64	1936.62	1801.76	1962.24	2574.24	1849.51	2153.13	1630.44	1537.35	1691.33	1834.77	1292.04	2648.15	1665.2	1793.89	3039.51	2003.52	2028.22	1949.2	1019.44	2156	1854.14	2121.61	1594.94	1440.27	1487.67	2024.73	2265.24	2434.49	1773.53	1946.08	1719.91	2840.56	1561.22	2007.53	2266.38	1436.65	1942.83	1438.53	2159.96	1778.7	2705.57	1808.51	1591.6	2371.7	2248.22	1741.09	2292.24	1388.64	1901.43	1932.1	1469.51	1575.73	836.954	2496.03	1438.35	1205.92	1766.11	1362.31	1098.96	1707.47	1654.76	2129.86	2081.25	2272.2	1672.82	1566.75	1544.13	1128.95	1855.58	1622.18	1990.83	2463.24	1508.87	1237.91	1486.87	1508.35	1433.95	2563.04	1485.94	1726.74	1625.58	1842.54	1498.7	1711.56	1316.67	1376.67	1615.14	1581.84	2074.18	1813.54	1106.24	2134.4	1478.53	1871.13	2318.16	1747.6	1751.04	1588.98	2385.27	2929.76	1842.04	1556.84	1786.67	2002.81	2025.62	2003.02	2750.61	1577.19	2792.33	2386.26	2000.59	2407.33	2498.25	2168.28	1929.72	1744.68	1944.01	2193.67	1491.02	1882.58	1465.84	2249.91	1501.67	1170.79	1845.37	1529.49	2149.13	1349.21	1552.01	1876.77	1917.15	1390.39	2626.45	1549.03	1612.75	2324.32	1774.3	1286.9	1597.35	1407.23	1489.59	1477.55	1385.74	2070.96	2038.88	1455.81	1275.42	1561.85	2876.38	1471.27	1717.58	1562.34	1337.64	2131.26	2166.67	1838.85	1747.65	1707.77	1766.21	1957.65	1951.94	2374.69	1784.34	1349.4	2038.17	1466.73	1569.66	1280.82	1249.03	1961.53	1899.27	1659.27	1674	1545.73	1667.59	2544.68	1251.35	1463.48	1374.64	1964.21	2421.29	2257.43	1890.83	1525.84	1611.91	2019.13	1932.08	2329.45	2073.46	2037.04	2113.19	2077.43	1683.69	2400.85	1690.65	1955.54	1281.26	1204.78	1435.34	2231.73	1605.3	1081.97	1227.15	1338.72	1871.63	1084.51	1986.14	1421.39	1556.02	1915.59	1272.24	1647.99	1999.49	1436.43	1584.53	1404.06	1721.81	2326.18	1861.32	1673.56	1694.2	1437.36
CDK11B	610.01	878.413	700.701	1107.1	948.904	964.896	827.875	726.184	855.638	681.711	770.658	1118.23	1146.41	951.448	950.083	789.51	908.209	1041.64	1025.12	864.186	1114.36	872.947	872.004	1781.53	831.199	1000.88	913.359999999999	1020.74	873.783	585.778	1016.97	767.132	979.366	821.658	913.874	1276.76	1155.25	1046.83	1048.4	1162.24	1236.67	1019.43	1023.78	933.721	1045.87	1109.26	1072.88	947.041	847.125	1061.86	985.161999999999	1311.71	881.263999999999	1088.88	954.153	809.447	1080.36	857.471	1204.74	628.591	837.5	795.967	866.13	957.701	784.888	1202.18	845.533	784.975	754.748999999999	977.689	1010.55	934.592	1041.57	1006.2	946.908	864.46	1095.56	753.654	693.629	753.201	878.687	877.639	828.148	695.285	692.812	781.311	724.556	800.811	879.197	1236.48	853.459	1186.12	1097.79	699.402	681.649	788.352	658.163	881.748	927.86	835.497	896.525	832.161000000001	813.079	1087.98	871.38	726.487	777.618	652.248	828.692	620.065	735.674	1051.9	979.812	939.975	1004.54	586.469	985.363	690.434	1163.03	1048.77	969.745	1054.16	1038.52	871.56	934.962	1150.2	827.676	775.64	844.304	1126.29	920.895	843.47	926.597	1095.22	1112.74	1159.13	844.05	794.535	1068.95	924.175	1014.43	887.728999999999	935.569	1008.47	899.958000000001	817.133	1029.14	936.453	893.751999999999	833.301	1154.73	858.014	945.743000000001	946.031	872.226	842.142	941.028	916.444	804.582	767.837	914.191	901.914	776.858999999999	592.989	884.261000000001	948.329	800	799.184999999999	961.756	1224.12	947.875	962.135	862.886	816.536999999999	979.346	993.532	807.817	1051.69	836.473	850.684	871.019	1166.2	835.461	1079.49	910.989	1038.21	1156.96	1640.93	1100.94	999.373	793.972	834.102	887.449	750.059	927.426	1130.73	958.544	770.101	664.038	686.055	794.164	995.833	770.689	543.991	1235.47	1269.6	663.258	840.73	931.732	832.428	709.368	641.813	778.658	789.766	844.799	867.289	766.888	1229.18	742.39	767.933	940.411	715.658	641.305	1055.73	628.366	1095.41	1024.71	1054.25	864.808	759.079	818.248	941.059	1052.82	721.821	971.584	874.428	974.573	946.156	1005.04	986.855	995.303	1051.06	823.412	853	955.362	1356.53	1196.03	1305.88	964.911	640.292	1015.53	1016.75	1052.39	926.715	677.88	925.621	891.995	872.221	1066.54	988.569	697.316	1540.14	1318.45	901.694	889.412	998.381	1056.42	1494.3	771.489	843.747	874.951	715.138	716.86	810.125	542.486	644.576	715.968	1005.09	801.045	777.123	889.418	698.104	1297.26	676.951	933.009	821.889	450.251	785.444	773.013	942.611	1145.48	618.245	974.213	693.199	719.801	763.111	1105.19	592.433	615.717	1060.59	882.738000000001	938.086	812.046	792.692	1099.49	909.596	1029.3	637.203	1009.99	798.085	976.594999999999	1493.87	798.15	1279.49	1224.93	1078.67	722.232	720.415	1207.49	772.857	959.896	1116.46	804.481	859.883999999999	1219.34	1027.32	802.888	849.195000000001	832.533	864.039	1010.63	1154.76	997.458	981.333999999999	727.394	901.141	1057.87	838.69	708.749	1135.12	1036.06	1188.93	877.247	1344.9	1071.73	1073.72	674.771	1112.45	895.172	761.339	870.042	873.904	826.372	717.821	1019.97	1187.29	935.117	827.319	926.654	796.743	953.914	951.619	852.529	873.144	685.01	797.206	1085.14	807.39	1145.41	933.972	565.125	753.896999999999	897.315	813.559	632.752	632.339	924.646	1223.6	912.72	719.11	786.654	664.327	734.297	856.114	696.769	872.328999999999	1056.41	745.47	714.206	640.825	865.038000000001	1153.79	784.636	982.115	912.143999999999	944.565	1216.6	941.355	888.877	642.067	792.326	946.289999999999	776.508	742.955	1013.47	888.393	752.494	1163.07	812.746	923.618	782.965	845.691	1151.32	1366.3	988.418	939.982000000001	1064.49	1129.4	854.058	756.895	824.11	1199.08	1159.08	1013.81	690.883	980.97	1129.35	774.17	970.439	792.628	655.372	694.854	730.012	782.644	775.571	590.259	750.58	720.463	1219.97	853.299	903.983999999999	812.534	1040.03	1168.03	894.559	884.005	728.759	1012.21	980.753	818.802	1007.68	886.993	1077.35	926.529	1022.59	692.41	782.535	793.667	986.987000000001	1038.67	996.949	705.708	990.473	963.42	832.648	913.589	847.169	750.204	953.306	707.103	1027.22	900.403000000001	959.355	1032.74	1022.06	756.977	856.922	774.518	1318.16	1074.82	1035.54	1278.59	1005.06	1143.3	1141.36	1117.79	768.23	899.570000000001	1037.64	1096.83	1213.7	1002.6	1135.53	846.412	815.341	993.334	1026.92	754.455
