TCGA-2A-A8VL-01	TCGA-2A-A8VO-01	TCGA-2A-A8VT-01	TCGA-2A-A8VV-01	TCGA-2A-A8VX-01	TCGA-2A-A8W1-01	TCGA-2A-A8W3-01	TCGA-2A-AAYF-01	TCGA-2A-AAYO-01	TCGA-2A-AAYU-01	TCGA-4L-AA1F-01	TCGA-CH-5737-01	TCGA-CH-5738-01	TCGA-CH-5739-01	TCGA-CH-5740-01	TCGA-CH-5741-01	TCGA-CH-5743-01	TCGA-CH-5744-01	TCGA-CH-5745-01	TCGA-CH-5746-01	TCGA-CH-5748-01	TCGA-CH-5750-01	TCGA-CH-5751-01	TCGA-CH-5752-01	TCGA-CH-5753-01	TCGA-CH-5754-01	TCGA-CH-5761-01	TCGA-CH-5762-01	TCGA-CH-5763-01	TCGA-CH-5764-01	TCGA-CH-5765-01	TCGA-CH-5766-01	TCGA-CH-5767-01	TCGA-CH-5768-01	TCGA-CH-5769-01	TCGA-CH-5771-01	TCGA-CH-5772-01	TCGA-CH-5788-01	TCGA-CH-5789-01	TCGA-CH-5790-01	TCGA-CH-5791-01	TCGA-CH-5792-01	TCGA-CH-5794-01	TCGA-EJ-5494-01	TCGA-EJ-5495-01	TCGA-EJ-5496-01	TCGA-EJ-5497-01	TCGA-EJ-5498-01	TCGA-EJ-5499-01	TCGA-EJ-5501-01	TCGA-EJ-5502-01	TCGA-EJ-5503-01	TCGA-EJ-5504-01	TCGA-EJ-5505-01	TCGA-EJ-5506-01	TCGA-EJ-5507-01	TCGA-EJ-5508-01	TCGA-EJ-5509-01	TCGA-EJ-5510-01	TCGA-EJ-5511-01	TCGA-EJ-5512-01	TCGA-EJ-5514-01	TCGA-EJ-5515-01	TCGA-EJ-5516-01	TCGA-EJ-5517-01	TCGA-EJ-5518-01	TCGA-EJ-5519-01	TCGA-EJ-5521-01	TCGA-EJ-5522-01	TCGA-EJ-5524-01	TCGA-EJ-5525-01	TCGA-EJ-5526-01	TCGA-EJ-5527-01	TCGA-EJ-5530-01	TCGA-EJ-5531-01	TCGA-EJ-5532-01	TCGA-EJ-5542-01	TCGA-EJ-7115-01	TCGA-EJ-7123-01	TCGA-EJ-7125-01	TCGA-EJ-7218-01	TCGA-EJ-7314-01	TCGA-EJ-7315-01	TCGA-EJ-7317-01	TCGA-EJ-7318-01	TCGA-EJ-7321-01	TCGA-EJ-7325-01	TCGA-EJ-7327-01	TCGA-EJ-7328-01	TCGA-EJ-7330-01	TCGA-EJ-7331-01	TCGA-EJ-7781-01	TCGA-EJ-7782-01	TCGA-EJ-7783-01	TCGA-EJ-7784-01	TCGA-EJ-7785-01	TCGA-EJ-7786-01	TCGA-EJ-7788-01	TCGA-EJ-7789-01	TCGA-EJ-7791-01	TCGA-EJ-7792-01	TCGA-EJ-7793-01	TCGA-EJ-7794-01	TCGA-EJ-7797-01	TCGA-EJ-8468-01	TCGA-EJ-8469-01	TCGA-EJ-8470-01	TCGA-EJ-8472-01	TCGA-EJ-8474-01	TCGA-EJ-A46B-01	TCGA-EJ-A46D-01	TCGA-EJ-A46E-01	TCGA-EJ-A46F-01	TCGA-EJ-A46G-01	TCGA-EJ-A46H-01	TCGA-EJ-A46I-01	TCGA-EJ-A65B-01	TCGA-EJ-A65D-01	TCGA-EJ-A65E-01	TCGA-EJ-A65F-01	TCGA-EJ-A65G-01	TCGA-EJ-A65J-01	TCGA-EJ-A65M-01	TCGA-EJ-A6RA-01	TCGA-EJ-A6RC-01	TCGA-EJ-A7NF-01	TCGA-EJ-A7NG-01	TCGA-EJ-A7NH-01	TCGA-EJ-A7NJ-01	TCGA-EJ-A7NK-01	TCGA-EJ-A7NM-01	TCGA-EJ-A7NN-01	TCGA-EJ-A8FN-01	TCGA-EJ-A8FO-01	TCGA-EJ-A8FP-01	TCGA-EJ-A8FS-01	TCGA-EJ-A8FU-01	TCGA-EJ-AB20-01	TCGA-EJ-AB27-01	TCGA-FC-7708-01	TCGA-FC-7961-01	TCGA-FC-A4JI-01	TCGA-FC-A5OB-01	TCGA-FC-A66V-01	TCGA-FC-A6HD-01	TCGA-FC-A8O0-01	TCGA-G9-6329-01	TCGA-G9-6332-01	TCGA-G9-6333-01	TCGA-G9-6336-01	TCGA-G9-6338-01	TCGA-G9-6339-01	TCGA-G9-6342-01	TCGA-G9-6343-01	TCGA-G9-6347-01	TCGA-G9-6348-01	TCGA-G9-6351-01	TCGA-G9-6353-01	TCGA-G9-6354-01	TCGA-G9-6356-01	TCGA-G9-6361-01	TCGA-G9-6362-01	TCGA-G9-6363-01	TCGA-G9-6364-01	TCGA-G9-6365-01	TCGA-G9-6366-01	TCGA-G9-6367-01	TCGA-G9-6369-01	TCGA-G9-6370-01	TCGA-G9-6371-01	TCGA-G9-6373-01	TCGA-G9-6377-01	TCGA-G9-6378-01	TCGA-G9-6379-01	TCGA-G9-6384-01	TCGA-G9-6385-01	TCGA-G9-6494-01	TCGA-G9-6496-01	TCGA-G9-6498-01	TCGA-G9-6499-01	TCGA-G9-7509-01	TCGA-G9-7510-01	TCGA-G9-7519-01	TCGA-G9-7521-01	TCGA-G9-7522-01	TCGA-G9-7523-01	TCGA-G9-7525-01	TCGA-G9-A9S0-01	TCGA-G9-A9S7-01	TCGA-H9-7775-01	TCGA-H9-A6BX-01	TCGA-H9-A6BY-01	TCGA-HC-7075-01	TCGA-HC-7077-01	TCGA-HC-7078-01	TCGA-HC-7079-01	TCGA-HC-7080-01	TCGA-HC-7081-01	TCGA-HC-7209-01	TCGA-HC-7210-01	TCGA-HC-7211-01	TCGA-HC-7212-01	TCGA-HC-7213-01	TCGA-HC-7230-01	TCGA-HC-7231-01	TCGA-HC-7232-01	TCGA-HC-7233-01	TCGA-HC-7736-01	TCGA-HC-7737-01	TCGA-HC-7738-01	TCGA-HC-7740-01	TCGA-HC-7742-01	TCGA-HC-7744-01	TCGA-HC-7745-01	TCGA-HC-7747-01	TCGA-HC-7748-01	TCGA-HC-7749-01	TCGA-HC-7750-01	TCGA-HC-7752-01	TCGA-HC-7817-01	TCGA-HC-7818-01	TCGA-HC-7819-01	TCGA-HC-7820-01	TCGA-HC-7821-01	TCGA-HC-8213-01	TCGA-HC-8216-01	TCGA-HC-8256-01	TCGA-HC-8257-01	TCGA-HC-8258-01	TCGA-HC-8259-01	TCGA-HC-8260-01	TCGA-HC-8261-01	TCGA-HC-8262-01	TCGA-HC-8264-01	TCGA-HC-8265-01	TCGA-HC-8266-01	TCGA-HC-A48F-01	TCGA-HC-A4ZV-01	TCGA-HC-A631-01	TCGA-HC-A632-01	TCGA-HC-A6AL-01	TCGA-HC-A6AN-01	TCGA-HC-A6AO-01	TCGA-HC-A6AP-01	TCGA-HC-A6AQ-01	TCGA-HC-A6AS-01	TCGA-HC-A6HX-01	TCGA-HC-A6HY-01	TCGA-HC-A76W-01	TCGA-HC-A76X-01	TCGA-HC-A8CY-01	TCGA-HC-A8D0-01	TCGA-HC-A8D1-01	TCGA-HC-A9TE-01	TCGA-HC-A9TH-01	TCGA-HI-7168-01	TCGA-HI-7169-01	TCGA-HI-7170-01	TCGA-HI-7171-01	TCGA-J4-8198-01	TCGA-J4-8200-01	TCGA-J4-A67K-01	TCGA-J4-A67L-01	TCGA-J4-A67M-01	TCGA-J4-A67N-01	TCGA-J4-A67O-01	TCGA-J4-A67Q-01	TCGA-J4-A67R-01	TCGA-J4-A67S-01	TCGA-J4-A67T-01	TCGA-J4-A6G1-01	TCGA-J4-A6G3-01	TCGA-J4-A6M7-01	TCGA-J4-A83I-01	TCGA-J4-A83J-01	TCGA-J4-A83K-01	TCGA-J4-A83L-01	TCGA-J4-A83M-01	TCGA-J4-A83N-01	TCGA-J4-AATV-01	TCGA-J4-AATZ-01	TCGA-J4-AAU2-01	TCGA-J9-A52B-01	TCGA-J9-A52C-01	TCGA-J9-A52D-01	TCGA-J9-A52E-01	TCGA-J9-A8CK-01	TCGA-J9-A8CL-01	TCGA-J9-A8CM-01	TCGA-J9-A8CN-01	TCGA-J9-A8CP-01	TCGA-KC-A4BL-01	TCGA-KC-A4BN-01	TCGA-KC-A4BR-01	TCGA-KC-A4BV-01	TCGA-KC-A7F3-01	TCGA-KC-A7F5-01	TCGA-KC-A7F6-01	TCGA-KC-A7FA-01	TCGA-KC-A7FD-01	TCGA-KC-A7FE-01	TCGA-KK-A59V-01	TCGA-KK-A59X-01	TCGA-KK-A59Y-01	TCGA-KK-A59Z-01	TCGA-KK-A5A1-01	TCGA-KK-A6DY-01	TCGA-KK-A6E0-01	TCGA-KK-A6E1-01	TCGA-KK-A6E2-01	TCGA-KK-A6E3-01	TCGA-KK-A6E4-01	TCGA-KK-A6E5-01	TCGA-KK-A6E6-01	TCGA-KK-A6E7-01	TCGA-KK-A6E8-01	TCGA-KK-A7AP-01	TCGA-KK-A7AQ-01	TCGA-KK-A7AU-01	TCGA-KK-A7AV-01	TCGA-KK-A7AW-01	TCGA-KK-A7AY-01	TCGA-KK-A7AZ-01	TCGA-KK-A7B0-01	TCGA-KK-A7B1-01	TCGA-KK-A7B2-01	TCGA-KK-A7B3-01	TCGA-KK-A7B4-01	TCGA-KK-A8I4-01	TCGA-KK-A8I5-01	TCGA-KK-A8I6-01	TCGA-KK-A8I7-01	TCGA-KK-A8I8-01	TCGA-KK-A8I9-01	TCGA-KK-A8IA-01	TCGA-KK-A8IB-01	TCGA-KK-A8IC-01	TCGA-KK-A8ID-01	TCGA-KK-A8IF-01	TCGA-KK-A8IG-01	TCGA-KK-A8IH-01	TCGA-KK-A8II-01	TCGA-KK-A8IJ-01	TCGA-KK-A8IK-01	TCGA-KK-A8IL-01	TCGA-KK-A8IM-01	TCGA-M7-A71Y-01	TCGA-M7-A71Z-01	TCGA-M7-A720-01	TCGA-M7-A721-01	TCGA-M7-A722-01	TCGA-M7-A723-01	TCGA-M7-A724-01	TCGA-M7-A725-01	TCGA-MG-AAMC-01	TCGA-QU-A6IL-01	TCGA-QU-A6IM-01	TCGA-QU-A6IN-01	TCGA-QU-A6IO-01	TCGA-QU-A6IP-01	TCGA-SU-A7E7-01	TCGA-TK-A8OK-01	TCGA-TP-A8TT-01	TCGA-TP-A8TV-01	TCGA-V1-A8MF-01	TCGA-V1-A8MG-01	TCGA-V1-A8MJ-01	TCGA-V1-A8MK-01	TCGA-V1-A8ML-01	TCGA-V1-A8MM-01	TCGA-V1-A8MU-01	TCGA-V1-A8WL-01	TCGA-V1-A8WN-01	TCGA-V1-A8WS-01	TCGA-V1-A8WV-01	TCGA-V1-A8WW-01	TCGA-V1-A8X3-01	TCGA-V1-A9O5-01	TCGA-V1-A9O7-01	TCGA-V1-A9O9-01	TCGA-V1-A9OA-01	TCGA-V1-A9OF-01	TCGA-V1-A9OH-01	TCGA-V1-A9OL-01	TCGA-V1-A9OQ-01	TCGA-V1-A9OT-01	TCGA-V1-A9OX-01	TCGA-V1-A9OY-01	TCGA-V1-A9Z7-01	TCGA-V1-A9Z8-01	TCGA-V1-A9Z9-01	TCGA-V1-A9ZG-01	TCGA-V1-A9ZI-01	TCGA-V1-A9ZK-01	TCGA-V1-A9ZR-01	TCGA-VN-A88I-01	TCGA-VN-A88K-01	TCGA-VN-A88L-01	TCGA-VN-A88M-01	TCGA-VN-A88N-01	TCGA-VN-A88O-01	TCGA-VN-A88P-01	TCGA-VN-A88Q-01	TCGA-VN-A88R-01	TCGA-VN-A943-01	TCGA-VP-A872-01	TCGA-VP-A875-01	TCGA-VP-A876-01	TCGA-VP-A878-01	TCGA-VP-A879-01	TCGA-VP-A87B-01	TCGA-VP-A87C-01	TCGA-VP-A87D-01	TCGA-VP-A87E-01	TCGA-VP-A87H-01	TCGA-VP-A87J-01	TCGA-VP-A87K-01	TCGA-VP-AA1N-01	TCGA-WW-A8ZI-01	TCGA-X4-A8KQ-01	TCGA-X4-A8KS-01	TCGA-XA-A8JR-01	TCGA-XJ-A83F-01	TCGA-XJ-A83G-01	TCGA-XJ-A83H-01	TCGA-XJ-A9DI-01	TCGA-XJ-A9DK-01	TCGA-XJ-A9DQ-01	TCGA-XJ-A9DX-01	TCGA-XK-AAIR-01	TCGA-XK-AAIV-01	TCGA-XK-AAIW-01	TCGA-XK-AAJA-01	TCGA-XK-AAJP-01	TCGA-XK-AAJR-01	TCGA-XK-AAJT-01	TCGA-XK-AAJU-01	TCGA-XQ-A8TA-01	TCGA-XQ-A8TB-01	TCGA-Y6-A8TL-01	TCGA-Y6-A9XI-01	TCGA-YJ-A8SW-01	TCGA-YL-A8HJ-01	TCGA-YL-A8HK-01	TCGA-YL-A8HL-01	TCGA-YL-A8HM-01	TCGA-YL-A8HO-01	TCGA-YL-A8S8-01	TCGA-YL-A8S9-01	TCGA-YL-A8SA-01	TCGA-YL-A8SB-01	TCGA-YL-A8SC-01	TCGA-YL-A8SF-01	TCGA-YL-A8SH-01	TCGA-YL-A8SI-01	TCGA-YL-A8SJ-01	TCGA-YL-A8SK-01	TCGA-YL-A8SL-01	TCGA-YL-A8SO-01	TCGA-YL-A8SP-01	TCGA-YL-A8SQ-01	TCGA-YL-A8SR-01	TCGA-YL-A9WH-01	TCGA-YL-A9WI-01	TCGA-YL-A9WJ-01	TCGA-YL-A9WK-01	TCGA-YL-A9WL-01	TCGA-YL-A9WX-01	TCGA-YL-A9WY-01	TCGA-ZG-A8QW-01	TCGA-ZG-A8QX-01	TCGA-ZG-A8QY-01	TCGA-ZG-A8QZ-01	TCGA-ZG-A9KY-01	TCGA-ZG-A9L0-01	TCGA-ZG-A9L1-01	TCGA-ZG-A9L2-01	TCGA-ZG-A9L4-01	TCGA-ZG-A9L5-01	TCGA-ZG-A9L6-01	TCGA-ZG-A9L9-01	TCGA-ZG-A9LB-01	TCGA-ZG-A9LM-01	TCGA-ZG-A9LN-01	TCGA-ZG-A9LS-01	TCGA-ZG-A9LU-01	TCGA-ZG-A9LY-01	TCGA-ZG-A9LZ-01	TCGA-ZG-A9M4-01	TCGA-ZG-A9MC-01	TCGA-ZG-A9N3-01	TCGA-ZG-A9ND-01	TCGA-ZG-A9NI-01
BNIP3L	3347.06	2192.59	684.191	2301.92	839.4	733.326	873.441	1474.96	1718.41	1561.15	2417.93	2274.61	2372.51	1792.93	2878.89	1589.95	2243.36	1501.62	3317.1	2359.03	2257.3	1384.97	1219.63	1195.36	1169.94	1252.53	1553.86	1874.76	2749.74	1566.8	1518.54	1303.76	1133.06	1551.43	3769.18	1809.4	2372.33	2138.53	2970.92	1858.3	1616.18	1589.53	1820.77	1545.65	2221.9	2904.69	2832.47	2696.68	1806.86	1776.13	2301.2	2174.35	2264.7	2568.93	3063.78	2836.96	2229.56	2031.43	2197.46	1176.33	2594.9	1998.15	4714.63	3510.27	3498.43	1776.28	1787.33	2466.07	3110.61	2595.59	1747.65	4275.16	2686.09	1904.79	1929.14	1486.68	3656.17	1676.79	1210.91	2690.26	1661.73	1406.68	2919.65	2170.38	1323.39	1409.92	1015.02	2613.54	1725.24	2209.81	2439.05	1551.16	2094.96	1771.57	2053.84	2521.23	2695.13	1455.89	1151.22	2378.88	2439.65	2677.84	2611.28	1462.76	2675.75	1756.31	1802.16	1966.12	1499.56	2248.47	1804.2	1517.36	1419.05	1153.26	2020.95	1840.72	1766.51179958235	1318.49156260098	1272.28	2099.67	2606.25	2133.95	2357.11	2260.3	2021.97	2294.03	2014.68	1833.33	2547.6	2119.41	1761.35	1387.35	2185.7	2877.87	2455.65	1069.65	1874.06	2240.13	2377.76	1633.41	2312.7	1296.73	2298.02	2434.09508743283	1449.7767392908	1976.46	2108.82	1473.66	1315.95	2435.82	1156.18	1720.97	1451.77	1531.81	2265.11401679334	2241.75	2952.76	2405.7	1582.48	1820.71	1397.46	2059.2	3181.91	1987.15	2495.94	1337.5	2547.01	2106.17	2227.37	1541.16	1449.63	1466.27	2001.19	1579.44051187516	1790.41	2690.02	1428.81	1125	1789.18	1800.25	2074.91	1634.71	2569.7	1136.67	2185.48	3128.63	2580.2	1862.95	1245.51	1706.33	1808.68	2029.82562607154	2925.48	1183.52	1547.92	1846.71	1594.18	1625.06	2848.24	2389.96	1179	1663.87	1520.3	3017.06	1940.98	2229.09	2041.77	2826.67	2483.09	1848.22	1913.43	1265.67	1256.74	1835.61	2057.85	1989.55	1364.16	1976.59	1625.65	3144.63	1860.07	1392.73	1644.58	1316.24	2419.02	2142.27	1689.67	1766.36	2060.33	2223.92	2372.48	1849.29	1416.36	1878.41	1408.84	1398.82	2096.27	889.813	2575.58	1219.07	1225.64609674691	2254.20715363402	931.423396868879	1697.94023366904	1912.63151278667	1851.73413057041	1676.74938066179	2412.1952801356	1565.09	2908.19	820.074	1932.79	2082.34	1579.63	1659.99	1765.59	2242.72	2053.03	1747.24	1462.6	1947.16	1192.92869883826	2362.09945471169	1672.24717513446	1511.88632909714	2240.9307923937	1999.01897089912	2108.44071074269	1731.24947877763	1656.38	1694.85	1241.99	3057.27666100215	1098.17	1769.36	1856.31	1967.79	1691.45	1315.18	1933.25	967.908	1962.89	2746.4	1956.18	1729.66	1467.41	1493.46	1204.6	1419.01	1269.27	1385.92	1327.23	1982.84	1684.41	1312.11	1608.84	1044.4	1289.75	1030.68	822.703	1791.53	2473.44	3418.12	1151.96	1713.79	1702.33	2024.86	1782.16	1186.62	2014.79	3326.15568738175	1679.9459571978	1465.05	2972.53	5807.93531630599	1027.77455869789	679.751	989.407	1078.5	1435.56	635.294	1910.48	746.66	1155.39	1850.96	1477.43	1510.93	1071.71	1347.92	1470.34	1810.42	1336.43	969.399	956.757	1135.51	2150.4	1473.33	888.003	1057.68	1445.32	1900.87	1895.27	1347.29	519.22	1724.99	1440.1	1644.53	5866.4	2388.42	1914.27	1466.75	2383.23	1751.77	821.43	3477.78	737.78084207066	1740.62699444268	1188.83485475586	1195.76409437786	2409.74425570194	1466.81	2068.64	1470.89	911.177	1726.21	1257.68	1349.74	2172.52	1814.6	978.41	2045.56	1443.51	2758.99	1362.74	663.692	1898.35	1663.28	1374.55	1191.93	1373.96	1221.69	2128.4	1181.1	923.197000000001	2050.29	1796.54	1892.38	1803.1	1179.91	1522.44	1929.44	2034.12	839.688	1882.82	1634.46	1705.17	1176.54	2612.73	2268.53	1870.71	1959.31	1259.96	2310.86	916.37	1897.76	3498.14	835.766	2418.72	1330.64	1816.14	1371.36	1613.35	1139.74	2523.92	1817.04	1730.54	926.785	1634.87	1225.65	2376.53	2054.59	1946.8	1619.03	1363.87	1303.77	1262.59	1885.73	1956.29	1617.5	1085.02	1429.85	1661.24	1689.64	1180.76	1223.77	1749.3	2276.51	1140.55	1409.11	2018.41	1316.18	1092.81	1915.54	1556.43	1248.11	807.294	2287.2	1262.82	623.253	1179.26	2482.91	1035.03	647.009	1255.29	2826.51	1154.34	1553.73	1144.67	1129.6	991.959	1553.85	1202.88	1471.21	2885.88	1590.82	940.531	1340.41	1566.1	1450.32	2408.44	1357.31	1378.41	1707.12	1170.59	1627.46	3298.45	1940.04	1857.63	862.382	2041.21	1482.78	1265.38	2291.96	2549.94	1483.79	1436.31	1368.33	1574.14	848.355	1666.67	1280	823.102	1227.18
CDK11B	941.02	1003.61	941.598999999999	922.226	1101.8	615.469	711.846	743.366	1032.08	872.463	734.513	671.622	566.383	537.444	673.473	753.141	667.549	904.704	637.415	740.583000000001	535.15	518.133	671.812	538.24	547.238	803.809	753.314	551.921	611.503	551.893	716.501	547.432	558.876	577.995	643.573	771.033	676.949	787.908	695.202	635.418	588.397	876.092	897.012	631.684	581.256	491.921	515.735	573.639	554.836	740.125	715.028	713.23	653.929	611.086	608.333	758.907	592.326	586.925	708.511	717.454	538.085	594.944	572.442	571.149	669.764	676.528	606.358	851.465	521.823	480.096	720.948	773.01	524.342	746.605	716.99	632.331	534.919	726.911	652.693	799.884	722.401	634.765	721.951	859.106	989.545	646.231	1224.59	651.421	833.976	557.388	640.982	697.601	734.638	557.433	495.405	657.641	645.094	666.594	679.42	753.68	653.219	645.631	609.604	804.003	740	571.162	700.282	1005.86	681.823	777.042	903.788	1030.59	902.679	528.587	972.138	818.771	791.303206297934	830.210960853119	761.408	677.908	685.401999999999	756.795	688.811	891.774	1005.6	785.366	795.699	1027.75	928.917999999999	979.694000000001	940.726	1020.54	855.715	886.006	799.682	794.289	745.761	1432.33	1102.37	843.958	615.114	544.766	595.108	1179.10165898778	647.693578487925	921.892	1115	676.212	993.381	886.313	1250.52	987.369	861.028	983.252	1078.28371106755	836.712	758.156999999999	1030.15	786.194	878.287	611.301	960.654	440.73	692.366	968.351	701.79	898.845	1038.98	879.989	745.927	1095.51	944.816	833.319	843.337010455187	651.323	790.226	697.903	1070.57	861.342	872.317	976.509999999999	728.429	840.436	750.162	807.452	905.865	1143.37	1119.95	1058.62	836.849	1196.88	685.070999367659	858.95	649.538	831.956	678.876	732.13	716.642	607.48	560.124	674.913	611.279	718.13	851.437	640.626	795.848	596.154	663.219	580.899	680.943	781.976	837.077	705.477	760.246	827.595	580.329	687.07	805.126	1210.14	802.948	766.247	835.346	737.402	652.347	596.543	1015.21	548.431	711.279	978.396	773.714	847.097	893.544	704.514	615.163	987.566	861.639	912.556	665.211	653.052	544.489	777.355704884085	824.551167401797	922.518355521701	892.602578630242	719.43063159581	862.13130429407	1122.73655826884	673.294760978083	784.101	836.418	812.128	1262.72	719.466	948.556	874.219	779.475	1253.94	851.048	844.706	725.968	658.58	749.490427606444	862.948489878025	780.451141814825	1097.4472451566	887.22147373326	930.292818974365	833.734072889773	770.792408825875	846.675	979.396	795.892	531.098935221308	617.71	921.172	786.689	721.989	651.688	849.53	864.098000000001	601.452	972.143	935.997	822.668	774.492	877.027	1216.08	829.837	854.323	902.257	996.244	1074.6	808.994	1022.96	740.783	713.912	1063.98	1027.17	1277.06	879.886	915.091	831.601	878.362	898.03	694.797	627.642	937.216	479.397	915.293	694.942	936.448869382067	685.8457997482	769.905	651.801	1058.90463610681	507.758022743929	658.4	1107.13	974.551	1095.08	908.597	754.379	1130.95	1257.03	1121.41	1157.84	930.077	1322.06	841.478	876.728999999999	874.799	880.916	801.481	958.039	794.013999999999	1000.81	832.874	847.589	907.051	657.143	940.448999999999	908.846	816.374	769.772	1025.5	814.327	1263.21	917.303	1032.21	728.071	641.063	987.9	1053.83	613.74	1174.35	658.481727875797	534.686196312637	867.797603663191	762.535382180827	748.595422957549	839.199	984.774	670.872	909.496	978.201	882.203	943.152	1034.5	954.186	1165.5	982.701	1043.05	658.145	887.166	1019.15	1068.08	765.028	792.879	750.413	751.771	732.396	806.935	741.169	854.55	859.759	1234.83	1194.71	441.725	815.5	979.519	857.144	1024.88	1034.06	576.063	788.963	1050.84	1012.92	971.176	909.107	960.213999999999	1010.77	782.61	987.362	1268.08	722.282	1328.76	806.843	653.199	785.596	943.867000000001	790.129	1065.62	776.695	923.402	700.583	734.57	794.763	907.560999999999	435.522	831.133	1223.04	853.643	1024.99	1122.83	469.17	1189.82	982.456	955.37	1522.13	661.23	931.698	764.551	1065.74	600.697	899.861	1095.15	1081.27	686.875	893.608	875.926	845.535	621.05	875.619	817.322	865	562.536	1042.25	727.791	610.31	863.233	900.629	741.783	759.075	911.808	813.455	765.181	803.752	989.037999999999	936.059	790.546	693.528	807.324	571.284	795.135	704.737	903.056	954.023	1034.75	760.346	907.412	1039.31	808.548	868.584	660.18	724.144	651.69	986.03	779.172	541.243	1034.15	923.467	947.998000000001	911.743	828.93	1142.91	1270.56	684.687	1124.64	897.326	1053.22	884.99	959.633	1050.43
