TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RF-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A4RU-01	TCGA-N5-A4RV-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4V9-01	TCGA-N6-A4VC-01	TCGA-N6-A4VD-01	TCGA-N6-A4VE-01	TCGA-N6-A4VF-01	TCGA-N6-A4VG-01	TCGA-N7-A4Y0-01	TCGA-N7-A4Y5-01	TCGA-N7-A4Y8-01	TCGA-N7-A59B-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PM-01	TCGA-N8-A4PN-01	TCGA-N8-A4PO-01	TCGA-N8-A4PP-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N9-A4PZ-01	TCGA-N9-A4Q1-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q4-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q8-01	TCGA-NA-A4QV-01	TCGA-NA-A4QW-01	TCGA-NA-A4QX-01	TCGA-NA-A4QY-01	TCGA-NA-A4R0-01	TCGA-NA-A4R1-01	TCGA-NA-A5I1-01	TCGA-ND-A4W6-01	TCGA-ND-A4WA-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-NF-A4WU-01	TCGA-NF-A4WX-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QM-A5NM-01	TCGA-QN-A5NN-01
DHX15	3990.53	2150.53	2654.28	1677.16	1441.88	1421.88	2809.94	4768.17	1705.88	4081.2	3642.97	3056.6	1686.02	1865.27	3460.17	3477.38	2842.67	3631.14	2790.07	3217.32	2956.2	1578.26	1211.5	2224.63	2649.14	3356.63	3036.15	2915.01	3564.21	3365.83	3373.38	3158.78	3245.79	2537.24	2231.69	3036.63	1981.55	4491.32	2712.81	2838.81	4175.06	4044.48	2871.72	2555.59	2778.83	2209.95	2144.11	3279.01	2278.58	3866.98	4110.6	3042.89	2568.77	2677.14	3983.34	1618.65	1863.1
DOCK1	2443	1164.89	1415.94	1322.22	791.031999999999	1160.16	3545.35	3626.3	1526.52	1063.27	1561.58	2687.02	2145.68	1817.25	1476.27	1493.54	1386.85	1339.23	1297.16	2476.83	1110.86	1959.44	808.837	246.345	537.26	3569.66	646.13	4063.7	1472.08	2506.24	2114.69	1878.52	1897.52	2039.34	3396.22	1272.09	587.844	822.544	3197.73	1913.27	1381.44	3258.18	1366.1	1542.39	2118.29	1016.15	1984.03	1759.37	1886.17	3566.7	1699.14	1558.32	1198.22	1811.53	1219.72	231.995	1430.13
TSC22D3	2653.45	3409.19	1477.49	1799.87	7978.67	1915.36	1274.93	1335.64	2807.62	2927.94	2962.07	3860.6	1784.85	1862.61	1761.04	1531.39	521.911	7122.39	1047.58	1647.48	837.135	4737.91	1807.96	1105.01	1413.72	4402.64	1454.18	3968.68	1245.01	4351.4	4038.94	2410.73	1367.35	2319.44	4115.16	1931.57	1790.99	1595.76	11268.2	2142.36	3088.74	3653.37	7053.84	1745.12	4772.37	12863	3380.86	885.327	3103.27	1410.1	1577.37	4549.1	1262.54	2429.45	645.655	1317	2158.22
E2F3	1193.62	775.128	947.955	908.118	508.489	1329.43	986.052	1113.32	1412.73	1251.67	1521.2	682.426	1002.97	806.136	613.702	1542.01	697.558	1028.14	801.336	1784.36	1623.63	834.633	483.997	385.911	807.274	1225.82	671.079	848.734	1441.85	751.95	487.976	1179.7	1274.18	820.609	1763.57	1116.78	473.721	1780	423.801	832.676	732.97	992.842	1339.89	479.78	819.582	613.049	984.704	651.467	711.335	1416.55	1019.28	1543.09	819.175	1112.26	790.185	393.743	1490.29
EPHA2	930.901	366.806	675.341	1464.44	1168.48	925.13	650.917	249.567	2602.22	678.735	1077.89	594.894	951.949	2167.63	2651.67	4018.01	531.25	661.891	723.289	2107.03	528.741	349.974	1229.57	885.689	659.814	2786.11	2101.83	1258.2	752.912	1168.1	1023.46	796.005	933.452	403.747	1951.92	730.767	387.59	1423.75	1249.95	982.041	675.561	2095.6	1838.48	958.716	862.325999999999	1209.95	1411.06	2645.6	1053.31	2132.77	807.205	3896.99	465.21	452.626	1045.02	1159.98	779.251
NR2F6	846.72	1991.79	747.212	2106.99	3333.48	878.255	1207.43	614.619	2396.82	611.951	1837.42	3002.57	2809.88	4582.93	614.94	3447.37	1404.81	2104.37	820.534	1322.11	1133.67	1178.89	2063.51	10242.8	1535.88	2204.52	5343.69	1868.18	1774.72	3553.43	1664.49	1522.59	1514.64	1702.11	1352.88	1584.26	3122.79	2607.18	1077.51	948.314	3097.23	1911.55	3711.61	353.078	791.253	2100.13	1339.49	2041.08	2038.42	1813.13	3053.27	1420.44	2247.57	996.910000000001	1222.87	3690.67	2273.8
MECOM	110.137	55.6802	957.869	351.794	816.717	219.401	6307.62	2935.99	2750.72	3448.15	1495.27	103.742	1697.97	1914.18	426.744	3789.01	4156.97	5614.16	2719.53	6490.74	87.135	58.7624	567.34	5354.01	2471.63	1924.16	3321.28	121.593	6926.3	2572.93	978.288	2295.04	7279.06	173.77	2580.82	307.584	433.885	3263.19	4259.87	165.572	136.244	76.1759	4421.82	374.195	8565.11	713.178	6248	1744.47	557.637	1085.49	1197.87	1338.68	2027.1	142.637	9863.58	4248.52	1627.66
FLT4	197.825	57.1455	443.618	251.101	1041.79	371.745	471.077	558.391	165.863	405.975	230.369	233.959	461.036	165.851	157.656	134.349	81.8966	216.659	1343.49	287.221	359.489	171.087	138.572	70.0044	360.546	77.9719	318.737	251.641	466.089	176.287	280.401	302.919	374.002	126.932	327.541	153.792	84.5161	160.208	231.937	159.001	182.333	188.65	388.109	832.014	170.477	342.377	119.673	148.533	469.741	78.4216	260.274	177.956	413.835	387.745	130.572	142.857	367.125
GAS1	3365.49	3734.97	1833.95	1404.03	1142.36	6272.14	3988.11	2309.69	1053.04	597.539	4355.75	568.958	2559.37	1201.42	293.851	101.108	246.408	455.381	659.432	347.807	56.1131	4159.65	791.264	64.2446	186.598	2194.29	485.743	2865.48	914.251	1624.81	4415.15	802.736	714.286	2226.23	175.944	3862.12	194.871	14.3344	743.574	1580.81	3010.71	354.806	2569.29	42.6565	1003.98	1622.74	1100.53	325.959	5564.36	118.625	637.24	634.068	1233.41	3714.21	61.6839	86.7769	1675.04
GCNT1	30.5156	39.5623	257.745	143.487	657.379	378.255	147.743	230.536	770.974	282.25	705.982	101.04	413.231	228.546	323.978	807.018	2409.48	238.722	535.893	495.456	275.547	80.6032	67.2775	571.998	853.133	750.32	252.546	35.0284	1137.8	224.649	177.198	162.819	2865.13	11.2412	201.21	56.5262	419.889	678.778	335.56	51.2484	52.5571	306.748	865.637	29.1416	318.589	201.55	293.988	156.208	69.1643	4308.23	561.644	490.982	4484.22	34.5005	1610.09	2156.43	385.599
GNAQ	666.082	408.322	912.846	1095.66	1057.03	595.703	416.322	1308.82	952.748	1211.25	1174.37	513.305	894.950999999999	887.506	1019.81	838.411999999999	1470.55	648.654	1301.75	1385.84	625.456	574.103	455.88	767.39	1079.66	1044.31	756.619	808.069	1136.75	517.941	1319.44	776.231	838.953	478.688	895.339	475.126	631.448	969.261000000001	834.649	575.12	941.985	966.769	2027.62	672.368	1137.67	551.68	645.31	1292.55	805.956	1142.57	599.188	1447.29	1505.26	949.022	2203.96	952.184000000001	845.571
GRK5	456.331	267.168	691.45	444.934	321.724	157.552	1486.87	205.017	223.24	371.529	433.96	111.847	319.921	479.769	161.37	115.42	109.195	245.341	385.225	222.596	69.3431	534.581	492.03	54.4971	145.879	359.608	265.784	407.859	289.636	246.88	722.422	490.982	257.32	338.642	107.036	185.365	294.46	90.6442	777.575	245.729	308.874	374.233	272.94	346.743	728.131	485.788	225.108	73.5892	305.956	130.537	302.892	163.527	387.945	682.286	76.9923	49.5868	500.237
GTF2H2	519.116	23.9327	205.287	153.556	23.0736	340.495	165.207	89.5329	127.772	214.06	78.2064	34.0403	65.7309	85.8159	47.4618	190.674	228.448	150.911	317.613	43.5319	298.814	138.326	114.472	62.9154	364.499	142.309	56.5173	267.746	168.017	351.794	156.557	241.494	72.3159	115.222	188.347	9.1664	636.293	83.8986	298.32	315.375	170.608	152.352	256.086	228.487	29.8211	206.718	105.435	76.298	282.421	39.2108	416.033	210.822	270.226	312.564	214.768	170.602	181.904
GTF2H4	325.619	639.722	926.365	886.948	1014.09	1200.52	2047.88	677.63	524.185	713.181	755.286	1607.51	620.817	716.51	644.296	990.346	538.438	1397.64	524.265	1022.47	739.457	492.73	1133.68	805.937	838.79	1032.36	915.311	825.885	916.704	722.948	451.703	744.5	560.923	1078.13	1180.46	531.652	1434.62	909.976	587.25	456.754	433.362	692.27	703.624	831.633	683.618	771.318	888.284999999999	688.727	718.242	1132.15	1154.53	1502.19	372.168	568.177	559.406	684.179	809.119
H2AX	3743.25	1261.6	1183.4	4631.21	2940.36	6815.1	2396.45	2137.98	5793.64	1487.87	1601.53	3868.7	4824.55	3453.09	1231.12	1088.64	1594.83	3358.44	2022.12	1136.32	5709.85	1292.77	9430.9	4871.51	1697.17	1558.16	5177.19	1620.57	2511.47	1278.08	1754.45	1887.36	1171.69	2282.9	1862.8	3632.45	2649.61	3746.35	758.146	2225.58	2054.98	1474.95	1701.31	1104	1558.15	2399.87	2288.79	2342.21	2723.34	2088.6	1552.51	3292.99	1167.07	639.032	1581.27	4515.35	2625.77
HAS2	144.437	266.362	82.1974	226.369	63.1258	35.7487	217.285	208.395	314.147	217.726	991.393	20.5322	233.299	25.7892	161.605	222.382	218.358	135.026	185.931	131.48	7.2993	242.995	29.8431	45.1927	2648.99	155.944	27.4949	140.025	219.947	375.359	1489.33	64.2526	240.461	133.925	70.2857	89.3777	8.0748	24.0313	608.456	173.785	1196.88	437.597	85.6742	248.7	467.957	310.032	129.047	362.907	555.404	443.896	159.777	592.425	737.913	761.967	1687.7	129.929	235.661
IK	3695.55	2866.56	3475.01	2290.75	1996.08	3135.42	1826.25	3802.77	1526.04	1677.68	2107.75	3653.65	2206.35	3239.22	2194.39	2610.8	3931.03	2763.18	2965.78	2116.46	2098.54	2021.84	2478.22	2112.54	2049.81	2276.1	2541.75	2066.27	1576.12	2291.34	4330.25	2937.48	2273.29	1814.52	2488.02	2059.9	2498.34	1807.83	1951.43	2530.88	3279.97	1964.21	1880.62	2681.03	2407.06	2468.35	1745.84	1994.58	2057.64	1114.78	2084.22	1415.23	1503.64	1807.41	2639.8	2347.11	2614.4
ITGA7	574.535	2364.94	2694.34	1005.66	272.529	300.13	921.385	311.419	534.233	1001.76	408.033	1477.24	371.862	322.365	351.63	355.032	202.945	916.058	1912.77	853.136	1264.14	3663.03	114.472	194.063	953.548	653.174	533.096	4731.65	922.687	1420.05	235.225	480.885	269.743	2050.12	339.944	995.065	151.268	740.753	675.976	4335.96	1620.78	303.681	731.273	548.2	407.058	797.804	712.65	734.989	1557.64	1289.49	654.49	900.601	169.903	3115.34	176.497	131.641	114.164
