TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RF-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A4RU-01	TCGA-N5-A4RV-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4V9-01	TCGA-N6-A4VC-01	TCGA-N6-A4VD-01	TCGA-N6-A4VE-01	TCGA-N6-A4VF-01	TCGA-N6-A4VG-01	TCGA-N7-A4Y0-01	TCGA-N7-A4Y5-01	TCGA-N7-A4Y8-01	TCGA-N7-A59B-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PM-01	TCGA-N8-A4PN-01	TCGA-N8-A4PO-01	TCGA-N8-A4PP-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N9-A4PZ-01	TCGA-N9-A4Q1-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q4-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q8-01	TCGA-NA-A4QV-01	TCGA-NA-A4QW-01	TCGA-NA-A4QX-01	TCGA-NA-A4QY-01	TCGA-NA-A4R0-01	TCGA-NA-A4R1-01	TCGA-NA-A5I1-01	TCGA-ND-A4W6-01	TCGA-ND-A4WA-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-NF-A4WU-01	TCGA-NF-A4WX-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QM-A5NM-01	TCGA-QN-A5NN-01
PNN	2327.25	2083.12	1646.01	1906.23	1340.88	1042.32	3224.85	2678.2	3427.19	1397.19	1694.19	2677.83	1433.67	1401.96	2950.89	2402.12	2666.67	2889.82	2520.87	3181.42	2714.87	1455.02	1792.9	924.236	2639.65	1957.82	2493.38	3811.65	2737.13	2344.77	1940.61	2121.7	2744.9	2113.35	3284.13	1505.33	1554.66	3957.15	2810.36	2345.16	1932.89	3284.76	2038.86	3790.52	2330.52	1169.9	2111.78	2332.73	2442.84	2454.9	3704.72	2620.84	1766.59	1960.35	2042.77	2334.12	1266.7
POLR2D	1617.68	1518.51	1458.08	900.566	682.194	1049.48	1106.42	1335.64	786.885	1300.53	1146.32	1028.23	917.015	1166.74	921.997	1225.76	515.445	852.957	672.788	810.95	785.128	907.956	4204.85	952.592	640.838	1153.81	1165.48	1123.32	726.901	886.115	836.141	986.171000000001	1053.24	927.869	571.473	2150.03	1697.86	549.346	750.051	1438.02	1024.46	1132.41	630.618	1355.72	805.666	830.749	748.822	851.919	1025.94	991.686	727.549	805.611	660.599	1008.75	680.774	1069.66	666.982
PPP1R8	2171.17	1816.45	1313.92	1349.28	1116.67	1350.26	1618.09	1784.6	1256.03	1382.07	1564.98	1975.96	1328.41	1627.39	1086.67	1060.94	695.043	1008.72	1432.8	1512.85	1671.99	1696.83	1527.3	1246.34	1186.4	1520.24	1430.24	1411.6	1194.04	1351.79	1146.14	1261.74	984.916000000001	1143.33	944.493000000001	1848.05	1362.49	1293.89	1394.86	1369.25	1498.69	1589.47	1330.06	1684.72	780.318	1543.93	1349.11	1181.49	1236.31	1182.78	1404.87	1622.85	1194.17	1052.01	1381.36	1105.67	1012.32
PRCC	3017.19	2708.31	3249.07	2302.08	2079.67	3336.59	3773.81	2367.21	2011.09	2506.5	2762.3	4015.13	2824.13	2465.54	1905.08	3494	1828.66	2525.34	2772.95	3267.59	1073.45	1397.3	5275.76	3063.8	1762.01	3373.24	4555.5	3074.04	2319.9	1440.33	1444.07	2562.19	3734.25	3207.49	3156.42	2383.78	3753.7	2592.85	2815.62	2106	2611.68	2468.81	1953.65	2053	2287.77	2245.48	1750.84	1842.44	2565.32	1653.8	3394.22	4065.73	1743.12	4225.54	3966.68	3371.31	4270.96
PRKAA1	919.327	502.099	624.948	640.654	690.466	725.912	704.727	835.64	813.404	1904.04	1076.19	354.991	1027.33	742.108	1249.28	633.887	907.328	736.023	964.942	1242.68	930.657	959.438	215.388	297.74	1280.89	572.646	392.566	593.067	1162.76	1439.16	974.005	1053.07	920.586	513.817	791.059	544.893	478.565	1889.19	610.403	964.082	999.393999999999	737.73	1098.31	756.414	1531.31	799.742	539.875	1324.61	533.141	1288	779.807	503.407	2116.5	835.736	1113.46	495.868	1072.48
PRKAA2	586.812	536.289	364.312	91.2524	225.947	106.12	224.682	226.211	423.337	282.25	146.637	105.363	145.251	291.241	485.762	431.21	165.23	284.613	83.4725	580.725	60.6752	488.82	397.138	158.618	189.365	381.764	151.731	804.042	212.306	221.529	148.379	385.801	109.139	560.656	338.566	1020.02	408.046	233.567	120.623	1092.42	1050.33	481.595	208.802	71.7981	190.358	176.357	185.474	588.713	315.562	435.29	200.913	53.3066	181.634	692.585	97.7037	199.528	29.37
MAPK1	2190.46	3424.33	1298.22	3156.7	4494.12	1604.82	1371.69	4493.94	1320.64	3591.21	2789.08	1709.04	1728.31	1436.19	1745.77	2057.71	2693.97	1279.66	1629.38	2878.04	2044.71	3157.05	565.834	1056.27	3048.03	1292.29	882.892	2586.06	1984.57	3052.65	2407.56	2664.43	2082.08	1457.61	1108.03	1326.07	1258.05	1533.79	1706.54	2755.15	2385.69	3364.01	1833.8	2204.62	1598.41	2841.09	1962.48	2791.42	2568.68	2858.92	2228.31	2385.17	3076.86	2597.32	3410.63	927.981	2711.04
MAPK9	540.512	552.407	595.622	957.206	964.300999999999	852.865	395.082	978.806	871.745	530.404	751.461	791.571	503.784	818.141	1047.87	1211.45	1242.1	873.697	1006.68	1399.75	1611.77	628.185	210.87	372.175	664.953	806.135	575.356	676.41	465.386	693.838	1217.02	1034.97	676.131	448.244	1293.62	396.702	420.427	677.513	665.048	805.957	847.382	1011.76	721.91	1490.87	1081.01	582.041	644.925	788.713	1015.85	628.862	652.461	644.088	775.485	967.044	869.878	513.577	887.257
PRPS2	848.474	460.095	444.444	1511.64	650.414	720.052	448.892	970.155999999999	415.622	1661.16	490.49	491.152	880.242	1365.5	767.643	585.411	1284.84	1164.93	2165.69	579.378	1131.84	270.411	593.448	376.163	370.034	645.505	756.11	428.393	1147.3	383.775	785.902	744.256	338.509	660.89	770.386	771.507	1323.73	1833.96	619.713	435.83	230.038	1056.24	859.081999999999	860.31	564.115	453.488	415.584	938.601	393.852	581.214	409.944	1492.59	1149.68	842.945	1800.54	1078.51	2540.5
PSKH1	1019.99	737.519	644.775	683.449	989.116	1480.47	1048.83	674.308	1985.26	700.879	1229.62	903.418	991.939	1018.23	593.479	1103.88	1333.33	504.361	551.336	1589.14	664.234	1067.08	727.501	493.575	1675.43	1391.99	1297.35	790.353	494.827	833.073	1701.49	1402.71	740.018	870.258	1202.21	592.762	312.225	819.955	1682.25	462.111	1181.54	844.069	884.363	364.903	3546.22	762.92	1555.75	605.869	1135.93	1505.4	1072.04	948.296999999999	643.204	649.331	1074.29	1018.3	1031.74
PSMD8	3759.73	13318.3	3869.48	3616.11	4983.89	5246.74	3095.51	2593.86	1078.59	25986.6	2668.37	8233.96	2824.59	3456.2	3891.46	2666.2	2853.09	3397.27	2410.68	2861.89	3074.82	9400.42	10562.1	5695.61	2859.46	6836.39	5005.6	1989.37	2796.18	2552.65	4155.78	5588.02	3670.81	3347.07	15221.2	5736.65	4518.65	2327.24	6315.32	3237.41	19087.5	4061.35	8692.42	5651.36	5068.09	6660.85	6185.67	3006.77	4243.52	3554.78	2299.85	4981.16	2766.18	2431	2261.59	3970.48	6258.65
PSMD13	3622.59	3395.52	2486.58	4120.2	3521.11	6056.64	3441.5	4334.78	2728.06	9118.8	2847.31	5710.66	4449.02	3147.62	1415.19	2960.3	2802.08	3747.19	2864.36	1952.2	3825.73	2521.58	7318.69	3980.95	2744.02	2566.25	4447.05	2043.32	3166.66	3148.21	3285.76	1817.94	2416.59	3991.57	5384.44	1925.46	5926.89	4585.33	2612.43	2079.72	3145.74	2611.45	2089.89	1215.92	1688.87	5121.45	2304.18	3021.67	5754.08	1984.37	1579.91	4388.38	1548.54	1962.41	2023.41	5690.08	2907.15
RAD52	248.685	155.319	215.2	66.0793	128.864	113.281	193.529	192.907	298.457	84.3585	50.1541	655.95	437.133	105.38	135.369	186.057	102.73	356.539	94.3239	334.343	138.686	281.331	213.38	50.9526	133.793	311.887	193.483	182.792	446.053	95.1638	153.831	206.995	109.583	203.279	290.33	157.866	156.651	72.0938	104.837	171.704	175.056	75.1534	177.435	328.582	183.897	37.4677	199.327	124.605	51.8732	468.048	607.813	139.078	113.269	167.353	94.1018	155.844	46.4235
RBBP6	1240.62	1046.2	1257.74	743.864	1118.85	1330.73	1169.2	1543.69	1403.09	907.557	1148.44	816.425999999999	1150.98	1161.41	1598.02	1351.34	1155.17	1066.97	1004.17	1997.08	1064.32	1076.44	797.791	557.377	1002.97	1318.28	895.621	2138.74	1901.61	930.967	1150.42	1897.03	1459.18	2119.44	1049.69	1407.04	652.442	1637.5	1314.71	1924.22	1849.2	1667.18	1660.11	2314.86	1240.06	835.271	1116.31	1126.86	1524.5	2417.67	1842.72	1079.36	1129.45	1688.47	1394.42	1033.65	1022.26
RFXAP	282.357	232.978	184.634	97.5456	132.346	112.63	120.837	184.689	113.308	182.074	71.4058	136.701	239.021	282.792	138.671	131.117	167.026	174.739	195.743	154.83	196.624	100.884	136.563	77.5366	128.484	150.405	110.998	413.496	164.15	124.805	210.301	182.593	124.667	238.407	150.678	180.273	97.4357	184.24	94.7177	306.176	115.626	352.25	98.3146	135.149	231.113	87.2093	297.451	222.122	146.013	92.3191	296.296	153.106	155.34	223.481	71.1391	71.4286	61.5822
BRD2	4470.36	7436.73	4963.24	4898.68	4673.05	6565.1	7937.03	7183.39	4108	4617.57	6175.75	7887.61	5471.29	4283.68	7924.06	10792.7	5151.58	12169.5	5820.12	7518.46	5255.47	4220.49	4465.92	3844.48	4715.95	4836.39	4918.53	6914.68	7843.36	5444.23	3287.7	6192.6	4340.28	5487.59	6657.39	5091.94	5690.57	7793.3	4658.17	6670.17	6637.15	3536.81	5733.61	8670.26	6128.23	2946.38	6007.89	4926.41	3765.13	4456.14	7144.6	5130.26	3550.16	3966.53	5965.33	3514.76	4464.71
RPLP2	20763.2	29394.8	10797.6	29081.2	21168.5	32573.6	21254.6	36071.8	22679.8	7617.93	8731.48	39469.4	27781.2	31751	7265.37	11707.8	15576.5	15897.8	10708.7	36723.4	37635.5	23351	70165.4	48865.3	11335	14489.6	41443	11984.1	18946.5	13140.4	10918.5	21195.5	15482.7	36345.2	42470.9	12605.9	74528.1	22379.9	9815.83000000001	7547.96	16773.8	18838.4	11897.5	8272.41	8813.62	45716.4	16837.7	17238.4	13147	8815.98000000001	14722.5	6957.11	4646.84	18810	13340.4	61162.3	10983.4
RREB1	717.643	457.652	318.877	387.665	493.252	140.625	569.257	453.287	651.398	480.141	554.67	117.79	485.857	453.09	704.499	812.558	842.672	572.757	713.272	998.093	561.588	827.353	116.983	179.442	579.561	459.31	315.682	1257	550.097	739.47	698.666	686.617	596.717	545.199	730.42	362.073	141.578	644.207	642.785	1360.49	842.531	824.131	1093.16	503.009	564.115	330.103	409.428	538.149	357.829	940.067	665.652	556.713	1438.51	1053.55	841.063	225.502	370.914
S100A11	5188.71	15169	5333.75	9597.86	9760.56	3561.85	2126.45	4886.68	13764.7	6514.59	4748.49	4117.79	11908.8	7177.86	7646.72	7919.21	5795.26	8565.32	11681.1	4806.01	4378.65	4599.58	14520.9	25850.2	6082.23	5410.74	10831	3273.74	2958.92	11133.8	4409.31	2834.4	9553.24	7548.95	12874.2	8317.5	8339.1	25915.4	6025.1	2229.52	6418.03	5971.88	10060.4	1461.3	6753.98	12646.6	2921.4	7984.65	7427.95	6485.17	3984.78	9015.23000000001	12497.6	5717.3	11497.1	31658.8	20852.7
SALL1	35.4262	41.516	204.874	51.6048	249.02	6.5104	77.8835	221.886	1526.04	143.41	166.189	744.023	191.677	449.089	596.368	728.532	456.897	257.255	264.19	3612.7	20.5292	17.6807	193.799	315.906	72.7416	849.169	457.23	308.008	175.398	74.883	406.971	1253.33	702.751	46.8384	218.667	117.126	39.8356	375.647	548.067	172.58	514.251	540.389	446.629	19.4277	229.622	369.509	468.302	775.621	559.558	323.117	577.879	126.653	1229.77	43.7693	1196.31	311.688	131.217
MAPK12	577.043	568.827	626.192	548.458	230.34	660.566	249.515	687.258	355.829	1046.51	161.339	605.025	679.354	390.045	118.192	76.7082	236.986	121.426	212.187	406.094	2084.14	432.756	3189.56	34.1294	358.268	665.935	1609.22	793.993	224.359	418.202	411.901	443.053	84.6939	832.267	685.699	714.69	589.168	114.823	408.836	390.197	215.448	792.551	376.714	868.99	144.369	931.699	533.749	181.332	617.089	1308.95	251.339	563.194	1158.11	213.074	85.6866	340.083	575.078
SRSF4	2303.4	2470.93	1924.82	2858.4	2343.06	3132.16	2672.58	3041.95	2616.68	2093.5	1978.96	3542.89	2154.41	2614.05	1708.63	1747	2248.56	2666.98	2980.38	2278.02	3071.62	2212.17	2496.8	2059.37	2574.82	2376.65	2713.34	2105.73	2153.99	2705.93	1699.54	1699.71	1363.35	1703.98	3234.98	2988.76	1705.93	2645.97	2041.29	2011.83	1932.08	2702.45	2560.39	5169.46	1994.53	2180.88	2023.28	2812.64	2671.95	2773.55	2414.51	3335.87	2055.42	1464.98	1567.76	2371.31	1261.01
SRSF6	5370.05	4234.14	4856.26	2740.72	7073.57	3873.7	5855.89	6300.61	6795.08	2969.42	3539.69	4793.19	5695.14	5206.76	4947.59	5265.93	4188.94	4882.99	3420.7	7926.85	6524.18	3527.3	3627.46	1980.06	6753.9	5085.22	5929.23	9654.55	6575.86	4492.59	4421.38	5066.75	4826.53	3437.94	4001.23	5026.76	3539.99	8119.62	4402.75	4772.67	6803.32	5314.42	4110.49	3989.02	4814.61	2416.67	4956.61	3101.13	3786.74	5263.18	8597.67	3622.85	3126.21	4141.09	3876.63	4445.1	3026.53
SGK1	496.317	578.293	648.492	2404.66	788.855	287.76	1484.03	393.166	328.833	860.105	6077.99	2063.49	932.183	349.044	1984.32	238.689	1072.56	2270.29	1151.5	476.607	827.098	553.302	73.3024	609.659	430.125	718.79	167.006	277.811	634.808	615.835	1946.06	364.345	825.643	690.866	670.7	289.251	641.676	771.53	964.582	674.551	878.108	599.693	1892.32	162.602	936.879	722.222	305.531	411.738	1074.93	286.884	419.077	488.978	1545.31	954.686	328.231	377.214	1347.7
SNRPA1	1327.6	953.89	1149.53	795.468999999999	996.951999999999	830.078	803.852	892.301	614.754	1122.67	728.084	1264.89	1369.32	978.656999999999	664.466	728.994	526.94	749.261	607.262	563.671	1228.56	478.939	1253.67	902.525	442.38	681.295	1276.48	446.511	575.405	617.395	444.358	696.294	548.802	1769.09	1475.08	1304.69	3178.23	921.198	551.305	704.774	712.351	567.996	665.73	626.755	559.642	845.607	455.219	830.7	606.148	798.61	559.614	632.064	728.56	536.045	519.135	1284.53	798.674
SNRPB2	2915.82	1964.93	3426.68	2239.14	1549.85	2164.06	2375.68	2078.72	1575.22	2872.76	2123.9	3094.42	3563.26	3487.77	1453.16	2456.14	1374.28	1857.71	1385.23	1314.93	3332.57	2251.69	3438.68	2116.97	1508.6	1896.89	2375.76	1243.71	1842.91	1039.78	1919.19	1214.62	1924.58	3196.25	2172.88	4293.45	3189.54	2721.01	1170.61	642.138	2774.21	2897.75	948.502	1156.79	1924.95	2240.31	1560.75	1032.05	2378.48	1459.73	1476.41	1944.69	1271.84	1259.01	1043.67	2655.25	1739.93
SON	2607.51	3163.52	3391.99	2047.2	3183.72	2083.98	2651.34	6380.62	2826.9	4009.84	2730	3159.26	1863.45	2498.89	6270.74	3546.17	4656.61	3831.91	3781.3	6334.12	2782.85	2600.1	1311.41	1253.88	3709.43	2789.94	2262.73	9856.67	4538.56	6513.65	5796.12	4582.5	3489.35	3405.15	3021.83	2465.26	1762.99	3264.88	5983.4	5570.74	5772.79	3782.72	4599.72	7446.31	5296.72	3332.04	3719.87	3593.23	3706.05	3931.51	3527.65	3190.38	3709.55	5110.71	4319.68	2059.62	2642.35
TADA2A	218.871	188.531	101.198	112.65	176.317	5.8594	205.329	177.768	108.486	189.104	212.942	100.5	86.4154	117.385	75.5262	168.052	253.233	280.642	198.664	143.162	168.339	249.09	54.2237	65.5738	264.875	130.805	195.519	314.45	275.927	247.27	179.924	218.775	163.709	122.248	115.305	284.668	168.494	172.013	212.508	326.325	700.222	176.38	116.105	548.2	167.495	57.4935	434.824	160.722	131.124	153.865	219.178	234.87	163.026	183.831	305.718	75.5608	128.849
TARBP1	1014.73	344.338	691.45	244.179	910.318	518.88	839.725	884.948	2223.72	657.645	582.722	440.362	1100.42	693.197	615.766	878.578	852.011000000001	599.232	404.007	1926.62	444.343	680.187	1187.9	327.869	1168.61	614.827	676.171	887.788	978.575	659.126	510.174	791.377	2176.57	470.258	1551.8	815.811	1025.5	804.415	498.685	416.557	486.76	757.669	555.243	789.357	789.264	370.801	788.071	444.695	569.164	3657.03	1333.33	667.736	771.845	763.131000000001	683.926	609.799	452.866
ELOA	3982.3	3080.1	2021.64	1985.05	1262.48	2980.52	2061.29	3522.61	1425.66	3501.16	1894.65	2038.27	1245.17	1645.63	1595.74	706.791	805.061	1153.05	1821.12	1470.21	1793.61	1562.17	3144.85	1448.03	1701.56	1320.78	2667.92	1867.79	1504.07	1784.58	1369.19	1716.68	1673.15	1335.83	1070.57	1786.75	1862.92	1499.7	3024.31	2086.18	2262.39	1645.51	1989.56	2485.71	1082.68	1639.54	1431.61	1440.93	2093.99	1692.86	2225	2777.62	2119.5	2001.58	2045.85	1770.77	1309.7
TCF12	3631.71	2115.36	3341.59	1349.28	829.343000000001	517.578	2922.75	2632.35	1404.53	1649.91	2590.16	1886.8	2080.41	2593.3	2639.29	1621.42	2251.84	1110.65	2372.7	1608.44	1166.51	2892.88	508.598	729.287	1592.41	2041.33	1153.77	2503.93	1410.22	1091.26	2951.61	2552.1	2318.99	2252.93	2013.63	1860.27	601.302	989.498000000001	2596.24	2964.52	3712.96	1655.93	2061.8	2906.13	2709.24	1901.81	1786.63	1450.11	3009.61	865.616000000001	1558.09	1942.36	2360.91	2486.61	2354.34	1112.75	1257.7
VPS72	2219.92	3055.58	2251.96	1509.13	1760.56	2431.64	3387.22	1798.01	1313.4	1899.82	1780.47	2897.2	1897.92	1860.83	1480.81	2309.79	1180.32	1348.49	1892.32	2053.63	1456.2	1121.16	4281.66	2692.07	1363.91	2150.4	4421.08	1737.73	1904.07	4435.65	1369.68	1083.78	2500.44	2843.09	2768.25	2271.74	2677.06	1941.89	1243.88	1175.21	1385.49	1585.89	1376.4	1088.8	1097.91	1972.87	1260.99	1266.82	2469.26	2216.65	2250.13	1860.92	859.628	2591.14	2168.84	2295.75	2655.61
THBS2	1166.26	1234.73	478.315	4480.81	3422.29	335.286	541.88	534.602	727.097	1722.32	6905.11	287.451	1441.02	660.293	1121.75	527.239	142.96	1276.57	10472	928.531000000001	828.011	808.112	110.958	144.44	968.571	653.174	823.32	1487.7	1459.08	1067.08	4163.57	2004.32	5996.89	1192.97	281.143	1033.77	294.999	302.288	12645.2	1222.95	2687.69	844.581	22682.6	298.173	5407.06	2726.74	243.579	1108.8	575.889	281.425	1225.77	4533.47	3976.13	6749.23	811.797	312.279	2346.76
WRN	152.276	341.896	309.376	151.668	119.286	150.391	315.503	67.4957	220.829	365.202	145.787	120.492	171.525	253.908	374.329	192.059	353.732	341.095	386.06	328.06	630.931	241.29	172.712	77.9796	528.168	311.035	193.483	378.629	249.916	134.945	326.745	530.95	302.573	178.96	177.781	346.287	142.116	873.979	93.5033	710.469	292.298	257.669	229.869	527.927	297.217	110.465	426.744	305.192	375.12	531.083	574.835	373.146	180.016	258.496	552.004	246.753	235.907
ZNF217	623.992	453.257	417.596	705.475	912.93	751.302	766.562	805.796	2856.8	594.376	1043.88	927.732	722.58	1499.33	1235.25	1671.28	2349.14	787.21	775.876	1423.54	1037.41	459.698	201.833	253.434	855.11	829.996	823.829	798.406	1149.05	1059.28	1025.8	708.074	922.360000000001	390.164	1743.36	563.225	327.836	3518.68	698.239	655.716	985.244	1058.79	1181.18	4995.46	416.004	786.822	974.315	648.307	505.764	1497.95	784.373	450.1	3383.9	571.576	2244.48	511.216	1117.48
ALMS1	643.985	693.561	782.321	370.044	708.75	448.568	706.615	1641	805.689	1415.11	913.399	365.798	711.548	966.651999999999	633.925	1180.06	681.034	444.35	755.008	945.585	418.339	619.865	647.17	439.965	405.218	809.118	462.831	1048.44	595.441	842.824	859.118	842.705	808.341	1151.29	1029.48	733.822	443.036	655.168	846.791999999999	1076.22	608.045	1090.49	723.783	1422.45	573.062	421.189	708.418	443.792	801.153	443.728	681.38	755.11	930.825	738.929	1058.08	475.797	453.34
DDX39B	7666.43	10079.8	10613.8	8473.47	6874.18	9114.58	12431.1	10654.2	7816.78	5979.01	6679.84	14495.7	11140.7	8475.32	6563.35	8520.78	7207.61	13071	5560.93	9927.07	14381.5	5943.32	14042.8	6541.87	7724.06	9484.45	11325.4	8638.5	8933.01	7220.36	5090.84	9561.09	6336.73	9211.24	14418.2	6301.4	8736.38	14312.5	5339.4	8393.34	7072.05	5841.51	7664.79	7711.12	8056.18	6821.06	6498.12	8027.99	7206.53	10219.1	10742.3	8347.09	4423.95	6132.34	5173.8	8455.13999999999	7331.12
KAT6A	1018.24	911.398	1027.67	1030.21	398.781	729.167	3929.1	1330.45	1665.38	979.965	1389.01	926.111	3627.15	2734.99	1414.36	1251.62	1032.69	1096.97	1455.76	1477.84	1386.86	1786.27	713.945	572.441	873.691	874.734	777.495	1331.48	1597.92	397.816	1029.7	1275.21	932.564	1814.05	1079.09	961.455	317.07	2193.59	1118.4	3146.74	538.104	1422.29	1302.43	3590.75	3209.74	1611.76	538.721	840.181	980.307	1031.89	1408.42	1176.75	756.472	2517.51	2475.46	1087.96	1635.72
PABPN1	4229.43	3909.81	3339.3	5678.32	4171.67	5791.06	5521.83	3201.4	7866.72	2603.82	4079.58	7435.65	5115.85	6246.47	2905.67	4183.13	3405.47	4711.83	3672.08	3963.55	7902.62	3723.89	5575.53	3228.99	4012.46	3048.49	8283.58	3987.43	4479.15	3622.82	3346.31	3039.82	3213.92	3357.81	6622.4	3733.17	4004.36	5340.56	2793.19	3377.51	2993.94	4830.99	3364.97	4127.8	3710	3484.41	3996.4	3534.79	4900.26	3813.69	5120.16	3660.67	2793.51	2943.21	2525.86	8543.06	3529.35
AKAP17A	1734.13	1374.42	1576.62	1426.05	927.297	1255.86	658.941	1890.57	960.463000000001	1073.11	927.850000000001	2160.75	1566.97	1259.23	1406.11	718.375	999.999999999999	1360.41	764.608	788.96	1032.39	509.62	1126.15	921.577	421.032	512.143	796.334	1736.92	498.427	589.314	731.38	1588.22	1847.38	938.642	2197.69	1392.79	981.355	1153.5	957.701	1712.66	1861.33	899.795	1997.66	2684.41	1413.52	346.899	1112.07	1146.28	1030.74	1591.26	739.219	1410.82	893.608	728.115	746.06	1651.12	869.256
RBM10	1793.41	3138.61	5270.96	3347.39	3322.16	3407.55	3416.49	4027.25	2479.27	2394.73	1422.17	3069.57	3988.9	4311.25	2373.5	1806.56	2176.01	2976.75	2428.21	1841.36	2088.05	2069.16	4503.08	2126.72	1322.79	2002.13	3992.87	2513.59	1503.01	1690.72	2006.04	2566.82	5803.02	2431.85	3498.67	1782.36	2291.62	1733.2	2599.88	1919.4	1619.57	2411.55	1793.54	2374.83	2792.74	4771.96	1883.98	2316.93	2344.86	2155.11	2445.97	3902.2	1383.09	2312.56	2105.36	3298.11	2847.94
DGKZ	894.774	1054.02	972.739	1239.14	1251.63	1418.62	1010.6	1791.09	2113.31	1094.2	934.651	2286.1	1567.43	1094.26	765.993	790.859	960.848	1232.88	1219.95	648.94	1170.62	1023.4	1719.59	1395.66	1073.33	686.834	2269.86	1927.37	1211.97	1172.39	1222.86	519.17	1490.68	1266.51	1183.83	922.243	1955.71	827.182	979.154	1124.84	1200.32	807.771	845.974	1001.79	1475.65	1127.26	558.345	1302.48	1057.16	1134.63	782.343999999999	1890.18	680.825	989.186	884.286	1608.03	1046.42
API5	1075.06	1313.86	931.433	1465.07	1160.21	1157.55	2006.56	1830.02	1481.2	1474.52	1636.81	1705.25	1494.34	1227.21	1500.21	1807.94	2502.87	1770.78	2267.95	1723.33	1456.66	672.387	1515.25	1957.47	1752.12	1144.87	2132.89	1908.85	2754	1647.43	1185.86	951.672	1440.99	816.862	933.008	872.846	2424.05	2261.47	1895.57	1908.45	1837.07	1463.7	1456.93	1080.35	664.513	1491.6	1384.51	2175.62	1027.38	983.249	1404.36	1588.38	2011.33	2011.84	2391.72	2088.55	1414.97
PRPF18	424.868	437.647	659.657	354.437	427.91	348.359	322.164	405.614	256.851	862.341	327.863	379.387	274.695	410.298	308.659	717.775	458.883	345.018	274.303	441.252	291.524	466.87	353.563	537.071	657.616	426.839	545.825	542.976	518.863	738.097	549.415	350.831	355.586	452.979	428.031	512.871	374.315	349.086	2049.41	148.984	661.16	263.323	311.47	280.988	298.221	531.04	393.628	433.995	477.565	488.363	508.336	517.19	499.741	581.426	425.732	306.399	546.755
CDK13	1180.99	791.245	970.673	688.483	632.129	420.573	2156.19	1402.68	803.761	991.564	1542.88	456.031	988.721	1446.87	1216.26	866.113	890.086	614.677	659.432	1349.04	685.219	1026.52	830.928	429.331	891.085	971.027	631.874	1192.17	959.243	966.849	970.888999999999	1172.55	1129.99	526.932	813.109	1011.87	591.074	792.189	1052.42	926.851	1246.01	1336.91	1081.46	983.212	1047.22	733.85	746.898	759.368	989.913	740.538	1269.41	1006.41	1089.4	970.134	857.722	592.09	709.143
STK19	311.841	626.32	840.76	939.937	602.764	1527.24	887.947	541.518	453.51	511.8	451.455	1070.04	663.822	499.622	396.438	565.619	505.639	985.724	492.22	490.389	335.059	342.325	1053.42	752.592	760.949	757.993	749.374	476.156	584.46	529.548	342.884	428.58	585.967	802.918	651.774	416.7	1019.49	468.5	396.612	592.006	578.702	358.441	539.972	202.023	416.317	656.667	441.093	400.808	393.401	502.013	593.841	367.772	314.955	322.76	361.36	497.444	594.458
PRPF4B	2384.43	1626.45	917.803	1020.14	1243.8	1531.25	2799.56	2708.05	1871.26	1617.57	1771.97	1592.87	1749.91	1755.89	1877.01	2105.26	1678.88	2380.16	1432.8	2453.49	1628.65	1205.41	1084.47	614.09	1685.31	1944.61	1579.94	3088.54	3147.68	1797.97	1424.59	2266.01	1608.7	1606.56	1956.51	1655.56	1209.6	1963.82	1062.13	2402.54	1527.39	1716.77	2059.93	1949.11	1849.4	1052.97	1702.74	1339.5	1638.33	1828.51	2583.46	2016.83	1226.54	2593.2	1298.96	889.02	1385.6
MBD4	557.348	968.055	674.515	384.519	508.489	561.849	874.655	740.052	408.872	439.367	514.292	533.297	393.926	488.217	853.9	1086.8	715.158	1172.87	725.793	736.452	619.982	773.791	665.244	756.314	806.484	363.869	697.047	825.381	1312.85	1255.07	556.129	592.376	1207.19	773.77	855.832	579.012	950.133	895.481	1383.12	624.179	1096.02	359.407	604.401	895.365	530.815	707.364	1202.5	1051.47	635.447	409.48	782.343999999999	825.651	722.896	623.069	974.336	1012.99	1140.69
