TCGA-2G-AAEW-01	TCGA-2G-AAEX-01	TCGA-2G-AAF1-01	TCGA-2G-AAF4-01	TCGA-2G-AAF6-01	TCGA-2G-AAF8-01	TCGA-2G-AAFG-01	TCGA-2G-AAFH-01	TCGA-2G-AAFI-01	TCGA-2G-AAFJ-01	TCGA-2G-AAFL-01	TCGA-2G-AAFM-01	TCGA-2G-AAFN-01	TCGA-2G-AAFO-01	TCGA-2G-AAFV-01	TCGA-2G-AAFY-01	TCGA-2G-AAFZ-01	TCGA-2G-AAG0-01	TCGA-2G-AAG3-01	TCGA-2G-AAG5-01	TCGA-2G-AAG6-01	TCGA-2G-AAG7-01	TCGA-2G-AAG8-01	TCGA-2G-AAG9-01	TCGA-2G-AAGA-01	TCGA-2G-AAGC-01	TCGA-2G-AAGE-01	TCGA-2G-AAGF-01	TCGA-2G-AAGG-01	TCGA-2G-AAGI-01	TCGA-2G-AAGJ-01	TCGA-2G-AAGK-01	TCGA-2G-AAGM-01	TCGA-2G-AAGN-01	TCGA-2G-AAGO-01	TCGA-2G-AAGP-01	TCGA-2G-AAGS-01	TCGA-2G-AAGT-01	TCGA-2G-AAGV-01	TCGA-2G-AAGW-01	TCGA-2G-AAGX-01	TCGA-2G-AAGY-01	TCGA-2G-AAGZ-01	TCGA-2G-AAH0-01	TCGA-2G-AAH2-01	TCGA-2G-AAH3-01	TCGA-2G-AAH4-01	TCGA-2G-AAH8-01	TCGA-2G-AAHA-01	TCGA-2G-AAHC-01	TCGA-2G-AAHG-01	TCGA-2G-AAHL-01	TCGA-2G-AAHN-01	TCGA-2G-AAHP-01	TCGA-2G-AAHT-01	TCGA-2G-AAKD-01	TCGA-2G-AAKG-01	TCGA-2G-AAKH-01	TCGA-2G-AAKL-01	TCGA-2G-AAKM-01	TCGA-2G-AAKO-01	TCGA-2G-AAL5-01	TCGA-2G-AAL7-01	TCGA-2G-AALF-01	TCGA-2G-AALG-01	TCGA-2G-AALN-01	TCGA-2G-AALO-01	TCGA-2G-AALP-01	TCGA-2G-AALQ-01	TCGA-2G-AALR-01	TCGA-2G-AALS-01	TCGA-2G-AALT-01	TCGA-2G-AALW-01	TCGA-2G-AALX-01	TCGA-2G-AALY-01	TCGA-2G-AALZ-01	TCGA-2G-AAM2-01	TCGA-2G-AAM3-01	TCGA-2G-AAM4-01	TCGA-2X-A9D5-01	TCGA-2X-A9D6-01	TCGA-4K-AA1G-01	TCGA-4K-AA1H-01	TCGA-4K-AA1I-01	TCGA-4K-AAAL-01	TCGA-S6-A8JW-01	TCGA-S6-A8JX-01	TCGA-S6-A8JY-01	TCGA-SB-A6J6-01	TCGA-SB-A76C-01	TCGA-SN-A6IS-01	TCGA-SN-A84W-01	TCGA-SN-A84X-01	TCGA-SN-A84Y-01	TCGA-SO-A8JP-01	TCGA-VF-A8A8-01	TCGA-VF-A8A9-01	TCGA-VF-A8AA-01	TCGA-VF-A8AB-01	TCGA-VF-A8AC-01	TCGA-VF-A8AD-01	TCGA-VF-A8AE-01	TCGA-W4-A7U2-01	TCGA-W4-A7U3-01	TCGA-W4-A7U4-01	TCGA-WZ-A7V3-01	TCGA-WZ-A7V4-01	TCGA-WZ-A7V5-01	TCGA-WZ-A8D5-01	TCGA-X3-A8G4-01	TCGA-XE-A8H1-01	TCGA-XE-A8H4-01	TCGA-XE-A8H5-01	TCGA-XE-A9SE-01	TCGA-XE-AANI-01	TCGA-XE-AANJ-01	TCGA-XE-AANR-01	TCGA-XE-AANV-01	TCGA-XE-AAO3-01	TCGA-XE-AAO4-01	TCGA-XE-AAO6-01	TCGA-XE-AAOB-01	TCGA-XE-AAOC-01	TCGA-XE-AAOD-01	TCGA-XE-AAOF-01	TCGA-XE-AAOJ-01	TCGA-XE-AAOL-01	TCGA-XY-A89B-01	TCGA-XY-A8S2-01	TCGA-XY-A8S3-01	TCGA-XY-A9T9-01	TCGA-YU-A90P-01	TCGA-YU-A90Q-01	TCGA-YU-A90S-01	TCGA-YU-A90W-01	TCGA-YU-A90Y-01	TCGA-YU-A912-01	TCGA-YU-A94D-01	TCGA-YU-A94I-01	TCGA-YU-AA4L-01	TCGA-YU-AA61-01	TCGA-ZM-AA05-01	TCGA-ZM-AA06-01	TCGA-ZM-AA0B-01	TCGA-ZM-AA0D-01	TCGA-ZM-AA0E-01	TCGA-ZM-AA0F-01	TCGA-ZM-AA0H-01	TCGA-ZM-AA0N-01
SNRPA1	504.651	1235.7	550.927	711.915	746.378	581.677	693.249	853.71	1173.58	556.994	1133.84	1747.01	2752.31	1411.2	671.808	1329.35	650.246	1450.45	552.578	277.103	360.392	1476.15	1639.58	945.943	2732.93	1241.04	2016.69	1220	696.739	749.184	1072.23	1586.07	589.143	3060.54	1480.35	633.6	909.704	842.131	394.318	2779.28	648.938	551.584	1123.26	835.349	712.271	532.175	884.301	929.158	536.871	1034.24	532.666	1664.48	756.357	1052.69	664.26	1772.96	1895.37	1059.82	1314.85	1316.33	737.753	700.033	1903.76	1580.12	874.408	1494.79	560.733	1593.2	829.066	747.6	1207.49	1241.59	492.621	505.287	1281.27	443.709	1256.07	533.377	1334.28	573.96	542.895	695.106	664.44	800	878.428	738.638	564.622	848.198	1044.22	806.521	699.071	410.442	785.285	1338.66	435.583	1879.63	1023.5	830.984	570.329	1191.85	1650.66	1102.79	1191.42	666.125	1996.26	1013.79	775.962	557.429	815.103	1172.75	1616.62	659.04	1104.21	862.678	559.725	906.383	1038.8	688.35	1203.67	1431.39	1401.52	999.999999999999	396.774	595.252	765.05	942.822	903.169	661.736	1810.09	1378.46	476.526	1481.7	508.929	512.716	667.718	1492.07	844.092	539.642	561.904	1081.83	749.567	405.966	732.601	1135.8	797.79	639.394	720.817	931.818	1250.83
SNRPB2	931.235000000001	1688.02	777.756	1307.19	1481.29	1459.87	1175.45	1377.74	1935.37	1015.93	2309.32	2783.17	1641.98	2609.27	1240.36	1765.4	1642.36	1718.36	806.37	867.283	841.847	1516.32	2893.81	1060.16	2290.35	1711.02	1743.9	2295.84	1327.72	1611.58	1543.67	1832.32	2125.95	1794.4	1784.2	895.467	1147.38	2476.83	1096.59	1422.44	748.696	1033.3	1562.67	1773.68	1527.03	943.126	1323.96	2117.7	1135.89	1189.2	1360.39	1570.64	1537.72	2266.67	1024.82	2744.07	2016.69	2108.81	2516.15	1713.78	1128.8	1145.21	2372.46	2853.42	1788.31	2417.41	1035.91	1647.06	1561.75	1680	1476	1447.02	1137.03	1004.14	2339.93	782.782	1616.34	1224.72	2259.44	1319.32	740.727	1233.47	1267.21	1129.22	1980.8	1099.94	1074.47	703.427	1591.58	1062.84	1228.35	941.262	2195.95	1497.5	1028.97	2285.49	2474.36	1013.31	1147.5	917.682	2241.05	2374.98	1343.47	1422.19	1732.83	893.997	854.507	1461.04	996.796	2247.72	1057.11	1372.36	1451.74	1300.28	964.194	1219.31	1036.86	841.365	1487.68	1570.98	2050.17	1490.81	1418.67	1381.37	1070.23	2050.71	2181.34	964.72	1184.93	1862.01	844.878	2207.1	848.214	1099.16	1374.74	1499.07	932.321	1218.41	1533.83	2423.9	1429.31	832.685	1251.83	1630.23	1519.89	1264.65	1778.21	1482.58	951.165
SON	8597.66	7993.15	10782.5	9782.81	9342.14	8144.07	6609.79	8448.8	8131.49	10150.8	3238.29	2373.43	2787.04	2849.49	5188.95	5678.41	9860.1	7132.01	9733.57000000001	6887.21	8242.13	9776.57	3251.61	7717.88	5062.91	7958.96	7439.02	3964.56	6371.74	9821.41	6989.42	7694.61	9795.46	5621.36	7042.45	7289.6	9140.62999999999	6056.68	8073.3	4208.46	10816.1	9201.64	3440.11	6850.92	7774.8	9272.45	6085.3	8860.75999999999	7523.84	10964	10577	4361.76	4719.99	5020.43	9597.47	3721.36	3874.67	6433.35	5242.73	5828.27	9747.04	5656.9	4560.25	1986.34	2221.96	3273.81	6521.77	5497.38	6242.47	5231.2	4579.02	4033.91	7063.25	6820.23	5221.2	4022.52	7695.36	5586.91	7401.72	8498.56	11993.9	14805.6	6887.46	8661.15	4212.07	15407.9	11622.8	11605.4	11308.8	14315.6	10348.5	13396.3	3871.98	8859.14	13137	5131.69	6509.4	7682.78	4476.7	5657.29	4471.28	3933.23	10679.7	7658.8	9179.73	9632.43	10291	10543.4	7616.02	5973.27	6299.96	7536.11	10110.1	7660.4	8969.71	6664.81	4807.95	10819.1	10379.2	5482.93	5692.58	4463.24	4929.3	7962.41	7069.4	8735.79	7992.96	10170.9	8284.58	8683.34999999999	11154.3	8861.04	14243.8	5260.97	12733.2	5623.13	10785.4	6595.15	11454.5	4990.18	8255.62999999999	3303.5	4336.08	3311.65	3984.53	5450.51	5604.09	4555.3	6951.17
TADA2A	950.751999999999	554.034	854.295	428.859	693.202	500.971	416.172	429.467	477.131	319.064	296.893	243.247	292.438	270.319	406.17	345.25	343.842	367.923	468.15	352.455	314.206	514.644	533.898	658.45	509.681	573.65	477.535	402.463	296.196	261.088	426.312	413.933	355.958	549.4	518.475	297.067	295.278	302.12	254.546	474.555	373.075	319.306	456.825	737.636	274.095	957.268	250.454	660.004	848.572	470.588	925.216	599.395	561.443	266.129	861.462	389.061	398.851	446.538	435.414	303.722	717.061	357.919	434.272	147.205	154.028	283.482	319.328	297.661	179.97	355.2	298.25	146.597	234.013	308.506	262.897	177.483	322.296	260.41	458.127	888.34	865.132	776.455	344.81	580.881	403.108	872.811	720.472	479.609	534.294	854.401	363.056	336.838	342.367	407.093	709.952	347.737	390.171	824.661	514.322	786.064	596.516	208.048	401.996	254.212	364.128	579.54	746.442	586.483	281.007	379.4	382.659	515.029	386.283	339.031	235.101	352.864	681.862	827.254	533.418	665.916	334.858	231.618	279.878	348.958	653.01	262.284	262.324	522.996	580.995	370.761	469.287	314.197	1136.68	393.924	460.512	398.321	684.85	248.741	452.09	379.16	319.677	176.394	390.11	183.68	397.238	235.353	175.097	193.182	197.558
TARBP1	1148.09	1717.36	913.295	1076.92	1053.02	1699.6	1145.4	1088.3	611.862	655.052	681.108	811.218	814.815	689.344	1098.11	956.913	463.547	1066.46	1166.84	479.825	371.589	361.506	565.329	1313	775.587	722.246	1036.59	451.119	1022.28	508.313	829.254	612.799	592.553	720.731	860.456	473.6	694.862	699.001	476.136	757.204	495.737	999.592	825.209	1737.28	638.458	2002.22	650.182	1769.49	906.418	1010.54	1625.43	848.133	710.896	883.871	1213.9	796.698	615.726	652.85	593.111	809.729	1176.1	935.463000000001	920.97	353.416	818.325000000001	639.137	820.474	866.336	989.458	901.6	479.031	581.401	864.371000000001	725.517	605.654	458.278	864.901	656.312	702.38	945.612	1125.36	1164.02	735.868	682.847	979.89	1200.69	748.08	1464.29	1250.1	1419.46	1709.9	802.03	783.814	853.146999999999	1198.7	532.407	1423.5	1292.58	1016.25	974.155	692.561	703.567	1018.77	804.114	958.252	1466.66	1395.89	1360.09	735.927	437.418	1113.58	842.530000000001	1335.47	1405.13	787.163	715.548	901.067	1304.38	1496.43	1436.9	1676.51	474.877	1150.1	996.265000000001	907.191	687.533	1301.06	942.277	684.898	799.76	1255.86	936.580999999999	1506.18	983.103000000001	1539.73	569.496	895.738	1329.9	1824.05	673.213	676.284	1570.69	2573.26	2391.45	1923.76	2192.93	2406.61	1965.15	2846.84
ELOA	1813.56	2206.65	2421.7	2851.12	2213.66	2421.28	2563.38	2684.92	2626.94	2021.18	1987.87	2341.41	2804.1	2351.6	1300.78	1750.15	1484.07	3768.15	1823.2	1314.56	1506.21	2944.57	2802.95	2903	3288.09	3388.3	2542.76	3144.66	1593.97	1464.16	4073.39	3101	1545.75	2732.32	2802.41	1303.2	2249.5	1686.34	1809.52	1816.71	2061.08	2121.13	2188.05	1452.44	1370.94	3300.04	1751.33	2667.35	2131.79	2025.67	2798.39	2373.45	1927.95	1801.78	2865.7	2958.51	3323.45	3090.32	2360.31	2956.67	1854.24	2102.8	1938.29	1141.18	945.513	1849.91	1039.25	2274.43	1503.39	1287.63	2312.64	1730.43	1503.69	1514	2163.41	1586.49	2481.91	1349.23	1687.95	1303.3	2639.61	1861.49	1724.11	2314.58	1613.07	2232.85	2574.43	2427.64	2500.53	1682.52	2248.55	1343.15	1408.97	3098.16	2369.16	2204.45	1902.02	1896.21	2085.51	2156.96	2354.39	1372.79	2137.74	1332.14	2866.18	2184.84	2383.29	2321.77	2505.75	1967.56	3308.05	2602.67	2928.62	2765.81	1286.5	1609.82	2110.17	2006.39	2927.79	2179.98	1649.39	1762.89	1280.84	1967.99	2173.29	1345.15	3142.2	3083.29	3247.2	2737.68	2559.96	2512.4	2841.35	1597.42	3466.92	1725.27	3142.04	1702.38	1250.98	1713.01	1692.99	1772.96	2757.99	2166.24	1669.06	1797.32	1552.68	1781.67	1939.29
TCF12	1646.86	926.161	1571.86	1484.16	1313.49	1157.97	1005.19	923.197000000001	902.598	3498.76	437.951	281.624	384.259	376.881	1476.44	770.603	1954.19	564.322	1692.62	2455.52	2582.93	865.272	492.134	1034.78	447.221	1196.11	890.244	502.178	1292.39	1541.69	562.506	829.486	1995.5	788.692	783.176	1291.73	1420.34	996.76	1679.55	707.541	2574.37	6471	782.73	833.912	1937	1901.61	2411.98	1331.56	1782.72	1473.66	1628.02	678.103	754.084	608.064	2273.47	664.603	635.668	889.308	749.731	668.545	1460.73	2593.43	589.202	326.708	834.913	1090.03	1316.27	700.213000000001	1607.68	1421.6	805.504	857.641	1820.8	3577.01	874.205	1092.72	816.336	1003.97	559.798	1272.76	2254.14	2630.95	1206.06	1408	622.486	1589.93	1600.08	2027.09	1065.06	1534.64	1605.32	3796.95	827.468	1174.33	1540.56	636.831	1007.69	1107.1	798.204	881.248	550.847	513.794	1261.56	2087.66	969.128	711.474	1288.98	1143.91	725.858	863.103	1039.34	908.928	1295.45	1271.79	2983.32	1176.1	830.621	1325.99	1179.41	1136.71	772.834	871.322999999999	2980.2	1046.87	1153.01	3184.47	876.761	1641.42	1159.39	877.276	1100.23	768.752	2201.92	848.608999999999	1664.93	1067.16	1519.8	2667.76	1461.45	1018.55	1899.6	609.598	652.015	833.52	824.862	815.152	1157.57	776.515	1091.01
VPS72	1450.14	1489.98	957.942999999999	1371.04	1112.56	3399.79	896.513	1389.24	1220.18	1034.35	1679.26	2196.9	3171.3	1580.98	1540.7	1421.23	933.99	1657.21	1485.34	899.853999999999	1030.09	1180.75	1049.71	1224.16	1290.27	1007.34	1498.07	1804.48	741.304	936.335	1421.58	1159.17	1036.76	1471.73	1434.75	1149.33	1954.85	1051.08	936.932	2440.83	890.19	1374.06	1556.41	1338.28	1017.87	1083.34	1337.57	1427.94	1171.75	1012.29	2273.38	1852.17	1587.16	2029.03	1910.2	1560.37	1546.38	1287.33	1192.68	1225.57	852.618	2361.54	1662.75	1166.46	1614.53	1749.26	967.914	1986.68	1604.67	1946.8	1176.98	943.406	962.052000000001	1117.7	1689.05	854.967	1568.65	1174.49	2509.37	1139.27	790.184	1038.36	885.406	1191.59	1390.31	849.914	1137.26	1003.63	1029.74	1385.62	1546.86	1013.78	1985.53	1665.33	1093.05	2620.37	2202.14	1081.28	1211.2	1410	1387.95	1921.63	1265.86	1044.77	1248.27	941.348	911.439	1436.42	1475.51	1252.28	1247.44	1071.78	1961.91	1935.61	1315.03	1811.13	1360.81	802.56	2243.46	1881.68	1693.69	1022.67	2063.48	1536.57	1178.09	1701.7	2283.45	978.322	1224.76	1162.32	1422.74	1270.95	921.703	716.163	1246.63	918.843	1432.1	1473.24	1058.56	1392.8	1016.16	822.309	1420.33	1649.5	900	932.323	672.179	1099.24	2056.6
THBS2	716.859	973.105	661.351	278.029	180.226	938.574	697.329	942.529	45.5858	4110.5	1684.63	912.768	90.2778	843.468	1700.09	4755.21	677.832	1362.35	1418.1	7135.63	5296.71	1522.18	739.707	909.335	508.254	1146	1731.07	5215.2	1199.46	647.521	1369.2	229.648	316.313	1098.8	888.365	3440.53	1731.71	201.017	1061.93	256.898	7453.37	1574.77	812.674	688.78	4709.92	966.966	84.392	20.4308	490.976	295.435	259.846	248.739	656.343	610.215	445.397	2513.93	521.83	896.844	1221.21	6208.51	584.882	350.675	496.088	539.13	1726.7	999.999999999999	2699.01	250.035	332.078	59.6	779.569	6227.87	508.082	3202.3	2792.23	10135.8	87.4172	1945.8	415.19	546.766	1168.35	244.048	1258.99	944.814	963.437	911.277	617.611	231.811	310.053	238.985	648.172	6088.83	905.457	145.355	1456.03	153.807	438.889	228.165	1035.91	228.168	945.857	263.574	527.124	1185.64	572.776	130.316	549.288	1208.91	965.675	53.455	1777.14	482.728	107.371	1511.68	6659.43	136.498	546.072	928.236000000001	73.1909	413.759	187.942	3038.6	1392.69	1025.67	230.769	1769.54	107.394	269.999	660.221	285.453	238.464	418.5	676.511	611.026	517.287	688.433	494.404	463.286	455.299	41.4621	2697.63	813.23	361.722	237.88	327.624	491.919	662.451	915.152	240.844
WRN	1107.82	1339.36	998.588999999999	1486.17	1700.62	1275.13	1263.35	1387.15	1068.72	903.768	232.88	309.963	483.025	356.412	343.946	697.568	759.113000000001	840.477	1381.54	407.389	665.5	1050.99	615.253	1001.1	969.394	1199.09	799.743	639.135	425.543	854.832	658.406	610.774	871.352	703.598	963.837	523.024	1556.79	158.593	607.386	576.947	1010.82	813.166	360.028	966.112	1167.84	1248.09	391.279	1542.08	776.383	1033.78	1776.98	659.939	379.599	946.774	903.881000000001	506.708	716.27	631.653	1012.38	661.427	683.699	353.968	672.144	143.478	190.363	489.583	485.103	450.177	317.191	403.6	327.236	282.224	419.536	828.478	331.449	369.536	1172.6	636.253	767.538	875.154	868.541	953.029	521.069	1121.58	1034.73	1575.24	1695.63	1268.6	1116.97	1279.54	1080.82	1024.88	297.972	1060.44	1622.28	556.07	964.53	682.914	737.495	903.108	444.915	384.467	1647.23	502.263	1316.74	1855.58	1716.37	631.767	1014.19	445.893	979.712	928.668	1790.37	1124.75	641.861	1128.6	749.758	835.62	1235.47	1165.23	1970.01	391.544	233.422	604.41	1168.06	546.249	2399.65	937.506	1041.63	572.547	908.759999999999	1027.15	936.813	393.924	1910.95	683.769	1211.53	833.217	427.101	236.225	482.25	599.222	1355.31	987.052	669.613	787.879	971.79	1146.21	1360.71
ZNF217	6254.4	5582.4	6562.09	7771.74	5066.71	6664.47	4834.57	7389.76	3483.26	1538.08	1514.69	809.447	1087.96	1467.19	2125.11	2752.21	2273.4	2871.36	5335.69	885.756	1494.05	3671.13	2177.79	4889.81	2932.45	3518.79	3792.04	1593.03	1772.28	2289.14	3134.08	3572.7	1906.83	2616.22	3801.49	1500.27	3042.03	1930.08	857.955	1584.3	1786.49	1119.41	1665.74	5008.26	1943.11	4297.4	1150.18	7257.38	5531.73	8868.31	7834.68	1959.64	2207.13	5831.72	6262.18	2450.98	2435.48	4692.89	2747.58	2904.94	6276.6	752.716	2278.56	504.348	424.961	1165.18	1342.25	1765.56	1059.49	1144.4	1500.4	576.415	1237.53	675.862	1494.7	823.179	3672.41	890.284	3020.15	7850.02	6507.13	8134.26	3017.99	3505.36	3425.05	8287.12	7690.08	5410.11	6927.11	9471.47	8786.11	1175.13	1595.1	3597.9	10625.4	1706.28	6020.09	5001.19	3726.81	3439.83	2540.02	2682.83	8369.37	1504.74	4458.95	5719.32	6063.26	4412.66	4494.28	1735.33	4290.08	4377.75	7299.04	6068.95	1018.23	6101.15	3265.76	6610.98	8638.51	3420.64	3002.08	1533.09	808.212	4678.15	4101.17	1442.91	3244.72	4926.97	3209.32	3021.86	7204.58	4239.94	8614.7	2616.15	10589.3	3045.71	5864.53	4343.37	2659.06	1221.49	2039.82	1053.18	1638.28	4729.9	3176.8	3467.68	2153.7	1858.33	2995.56
ALMS1	1884.78	931.54	1477.38	1350.93	1323.99	1248.24	1030.42	981.191	765.841	846.192	675.063	547.306	450.617	482.842	1623.39	722.034	1002.46	690.245	1382.71	692.756	902.729	1743.93	540.357	943.014	662.086	908.855	669.448	536.417	698.37	1372.44	635.439	861.482	2093.97	420.331	917.846	862.4	1406.85	993.588	587.5	581.239	1021	1558.53	608.635	680.158	900.329	1421.96	918.33	1137.46	1254.45	1160.23	1946.44	712.412	809.774	664.516	1633.12	456.14	309.109	670.278	785.791	468.634	988.176	948.304000000001	410.016	882.609	550.553	519.345	585.943	393.48	581.325	746	533.952	281.227	814.476	1274.02	624.028	403.311	1273.73	440.185	1079.9	1230.74	1321.29	1518.52	796.506000000001	1134.1	553.016	1861.93	1379.49	1066.98	1231.03	1251.06	1247.43	1206.67	578.295	774.725	2210.97	609.568	919.231	524.305	695.169	1083.46	555.556	457.565	1267.76	1513.77	777.799	1058.31	1211.39	896.221	842.563	529.987	1095.81	1061.46	2038.15	815.954	1137.19	937.151999999999	964.112	963.513	1305.9	1146.22	572.696	416.667	1093.96	836.727	1081.94	842.804999999999	786.972	1059.25	1119.56	1266.08	1115.11	1084.24	1630.49	557.774	1153.95	683.302	1000.11	1615.18	1850.79	970.540000000001	815.926	1112.84	966.117	830.473	565.193	808.081	1095.33	587.121	782.463999999999
DDX39B	6832.47	7414.18	6788.59	9653.38	6751.15	4633.69	7456.97	8752.35	8675.99	7722.9	8212.26	12739.2	16075.6	8086.65	7785.35	9364.7	6572.67	11413.7	7488.37	7211.1	5351.11	10926.4	9251.94	9140.20999999999	11918	9338.73	8351.09	11717.7	8448.91	8512.51	8527.05	8876.05999999999	9053.7	11447.7	9551.90000000001	8729.24	11549	7437.87	7590.34	9992.78	8842.86	11418.5	10180	6693.4	7992.92	8372.23	10266.9	7353.7	6254.77	6538.08	8102.68	9161.45000000001	8635.32	12111.8	6462.55	12396.3	11727	10048.5	12264.9	7674.06	7261.4	11982.2	11360.7	8650.93	9246.45	10951	6026.74	12181.4	8691.7	10837.6	8131.09	9705.30999999999	8177.04	9114.27	10972.6	7148.34	11317.4	8721.51	16354.7	7845.26	10352.7	5652.12	5462.49	7729.37	7648.99	7819.39	11255.4	9628.69	6117.72	11307.8	7234.99	8960.52	8108.89	11385.1	9504.77000000001	15427.1	7049.53	7363.1	6045.32	8192.19	11061.2	8156.74	10039.5	6614.43	10248.9	8018.86	10339.2	8313.06999999999	7965.59	8443.95	8905.76	8932.41	10115.6	9309.97	9338.33	8890.51	5757.52	7671.48	7835.87	7735.33	8092.96	7520.76	11648.9	6771.42	7651.34	11737	9940.14	9481.77	11558.8	10510.1	5758.52	8903.5	7157.28	5763	7017.83	10426.3	8019.14	11792.8	9885.02	10702.7	7547.03	13194.6	8986.26	8492.02	7485.89	8467.67999999999	8946.5	7254.55	8238.62
KAT6A	2232.67	1998.53	2450.87	3284.57	2502.47	1910.03	2041.17	2265.41	1881.17	2315.58	703.275	726.79	563.272	671.884	981.148	1445.7	2080.79	1048.84	2954.5	1483.71	2440.87	1363.18	989.003	1456.01	993.665000000001	2326.13	1440.31	880.011999999999	1025	1441.18	1204.8	1377.48	1874	1379.21	1209.91	1929.07	1854.7	364.765	1860.23	852.851	2523.99	3334.94	684.54	1592.62	2355.9	2375.19	1179.67	2294.03	1699.06	2856.89	2376.05	953.078	980.821	1696.77	1586.19	1004.13	1196.55	1124.35	1462.33	1418.36	1955.66	1248.27	1010.95	318.012	549.763	578.869	1193.28	522.75	1011.3	1302.4	852.797	657.193	1056.22	1888.28	606.36	861.589	1499.78	1361.53	931.646000000001	1812.94	2356.1	1911.38	1760.53	1997.56	1246.8	2553.41	3062.23	1832.58	2388.26	2263.13	2213.33	2515.23	1089.88	1772.23	3343.9	869.856	1359.83	1166.64	1162.89	1285.67	647.364	1009.31	3080.07	1172.91	2313.66	2507.97	2005.27	1326.6	1791.76	863.755	1786.31	1531.18	3062.95	2006.84	2159.46	1967.92	1169.74	1768.28	2923.26	1003.13	1566.18	890.931	1190.74	1190.99	1289.3	1456.2	2535.21	2151.83	1898.41	1063.07	3239.57	1804.49	2680.63	1093.7	3291.52	2010.73	2072.84	2234.92	891.702	521.549	1158.68	987.03	1167.58	1205.06	1059.67	969.697	1119.65	818.182	1586.02
PABPN1	2841.18	3521.18	2415.74	2675.95	3233.84	3324.02	3852.84	2679.91	5254.6	2975.99	6472.27	9070.32	6378.66	5409.75	3806.32	4459.33	2649.81	4865.29	3199.21	2765.78	2582.04	5349.92	5920.51	3361.45	7049.85	4604	4665.28	6605.06	2652.85	3135.35	5015.31	5299.28	4949.87	6816.38	5690.55	4127.72	3225.8	4339.67	2917.43	5907.77	2646.06	3798.31	6027.16	5213.12	3048.24	3368.88	3579.28	3525.84	2870.34	2422.5	3271.23	4397.4	2814.47	4329.29	2376.7	9381.71999999999	5700.79	5251.59	4457.56	3671.69	2996.67	5070.54	8692.94	5878.45	3822.95	5867.94	2375.82	8049.43	5001.3	6091.77	4984.41	3585.12	2744.27	2766.21	7167.63	3406.78	5313.51	3489.44	7099.43	2765.6	2090.51	2419.52	3324.04	4530.36	4563.2	3069.74	3131.32	3853.81	2617.1	1816.32	2685.51	2051.49	3006.43	4847.5	2131.22	8405.20999999999	3522.09	3240.98	3269.08	3663.73	5819.13	4031.99	2452.6	3480.29	5434.68	3584.21	2892.84	3155.5	3918.64	4990.86	6505.88	3283.54	2971.17	2648.42	2904.78	3911.82	3226.54	2564.63	2876.31	5711.82	7212.06	3957.93	3840.78	3423.91	3970.13	6153.52	10527.8	3087.04	5396.64	6019.53	2357.06	4245	2121.21	2856.97	1821.06	3998.23	2942.39	5283.19	4878.54	4781.92	3175.66	9827.22	8057.65	5484.95	5380.57	5231.24	6770.79	5313.25	7781.3
AKAP17A	1415.44	2211.25	1856.89	2229.76	1867.22	1595.58	2815.65	3328.63	1948.54	1756.1	2181.7	1735.2	2467.59	2141.48	1467.01	2205.79	1329.56	2929.39	1596.56	1251.82	2195.24	1979.08	2761.63	2063.21	2546.62	2196.98	1975.61	1976.27	2362.5	1206.67	2036.87	2817.74	2122.53	1672.76	766.903	4773.33	1675.66	1703.29	1456.25	1255.06	1583.41	2373.65	1580.08	1836.43	1878.23	1543.99	2706.44	2274.04	1567.59	2004.83	2301.54	1880.42	1738.32	3023.66	1997.74	2209.48	2657.34	2108.81	988.159	1843.1	2520.69	1842.28	2676.06	873.913	1612.95	1703.12	1779.98	3253.86	3250	2363.2	1868.83	2717.53	1536.19	1390.8	2392.93	1839.74	2119.65	2062.13	2498.84	2404.61	2075.33	1406.08	1642.34	2429.83	2655.39	2404.58	2103.97	3056.47	3540.54	2013	2363.64	2955.76	1969.34	2405.09	2288	2534.98	2606.84	2258.99	1461.74	1760.22	2376.65	1918.12	2915.66	1313.77	4477.08	1979.02	2122.83	1945.09	2554.69	1952.41	2642.49	2462.54	3173.81	2924.79	1709.42	2097.22	1293.89	2304.93	3119.76	2096.31	3190.01	1937.5	1847.28	1634.41	2108.7	1540.83	3019.37	2234.46	2681.15	2445.63	2335.18	3181.03	1932	1671.96	2312.26	2467.35	2525.82	1917.32	1130.94	1138.03	1582.23	1911.8	4419.41	2265.58	1981.22	2258.59	2152.72	1943.18	1653.72
