TCGA-RZ-AB0B-01	TCGA-V3-A9ZX-01	TCGA-V3-A9ZY-01	TCGA-V4-A9E5-01	TCGA-V4-A9E7-01	TCGA-V4-A9E8-01	TCGA-V4-A9E9-01	TCGA-V4-A9EA-01	TCGA-V4-A9EC-01	TCGA-V4-A9ED-01	TCGA-V4-A9EE-01	TCGA-V4-A9EF-01	TCGA-V4-A9EH-01	TCGA-V4-A9EI-01	TCGA-V4-A9EJ-01	TCGA-V4-A9EK-01	TCGA-V4-A9EL-01	TCGA-V4-A9EM-01	TCGA-V4-A9EO-01	TCGA-V4-A9EQ-01	TCGA-V4-A9ES-01	TCGA-V4-A9ET-01	TCGA-V4-A9EU-01	TCGA-V4-A9EV-01	TCGA-V4-A9EW-01	TCGA-V4-A9EX-01	TCGA-V4-A9EY-01	TCGA-V4-A9EZ-01	TCGA-V4-A9F0-01	TCGA-V4-A9F1-01	TCGA-V4-A9F2-01	TCGA-V4-A9F3-01	TCGA-V4-A9F4-01	TCGA-V4-A9F5-01	TCGA-V4-A9F7-01	TCGA-V4-A9F8-01	TCGA-VD-A8K7-01	TCGA-VD-A8K8-01	TCGA-VD-A8K9-01	TCGA-VD-A8KA-01	TCGA-VD-A8KB-01	TCGA-VD-A8KD-01	TCGA-VD-A8KE-01	TCGA-VD-A8KF-01	TCGA-VD-A8KG-01	TCGA-VD-A8KH-01	TCGA-VD-A8KI-01	TCGA-VD-A8KJ-01	TCGA-VD-A8KK-01	TCGA-VD-A8KL-01	TCGA-VD-A8KM-01	TCGA-VD-A8KN-01	TCGA-VD-A8KO-01	TCGA-VD-AA8M-01	TCGA-VD-AA8N-01	TCGA-VD-AA8O-01	TCGA-VD-AA8P-01	TCGA-VD-AA8Q-01	TCGA-VD-AA8R-01	TCGA-VD-AA8S-01	TCGA-VD-AA8T-01	TCGA-WC-A87T-01	TCGA-WC-A87U-01	TCGA-WC-A87W-01	TCGA-WC-A87Y-01	TCGA-WC-A880-01	TCGA-WC-A881-01	TCGA-WC-A882-01	TCGA-WC-A883-01	TCGA-WC-A884-01	TCGA-WC-A885-01	TCGA-WC-A888-01	TCGA-WC-A88A-01	TCGA-WC-AA9A-01	TCGA-WC-AA9E-01	TCGA-YZ-A980-01	TCGA-YZ-A982-01	TCGA-YZ-A983-01	TCGA-YZ-A984-01	TCGA-YZ-A985-01
CDK13	1087.84	1070.68	578.832	362.916	721.702	340.089	642.182	299.774	539.632	665.028	1267.73	819.314	577.472	952.215	612.729	938.923	1109.41	723.903	892.192	613.802	791.974	531.575	1343.81	1174.74	755.873	1248.61	261.812	283.854	837.112	885.446	710.664	1281.1	829.518999999999	606.238	932.95	662.661	1095.02	1106.91	794.898	740.523	682.24	1084.23	636.702	1924.37	527.178	813.142	627.172	844.386999999999	767.622	710.25	948.073	994.919	1050.71	539.86	662.835	826.449	872.717	467.647	715.83	407.878	1470.8	1105.95	743.163	1177.26	1074.33	659.055	712.095	446.198	788.177	623.212	344.817	734.958	1041.67	805.256000000001	598.139	994.657	482.301	689.039	673.626	804.24
STK19	357.211	572.499	1116.08	1520.02	574.375	845.576	1157.46	1196.75	794.849	760.988	428.14	577.321	702.21	537.712	1107.44	594.381	427.691	722.979	479.743	599.655	516.398	828.05	359.27	374.02	848.426	541.43	1539.93	805.859	618.945	341.055	780.452	531.556	850.309	468.101	983.333	677.416	958.303	421.242	1314.51	909.128	1105.43	435.917	766.192	445.03	960.104	666.271	805.981000000001	773.416	575.275	722.074	419.538	527.82	761.036	849	527.778	350.578	367.551	590.721	686.029	1108.91	405.143	632.938	877.307999999999	482.14	462.519	967.159	842.998	566.93	454.379	706.304	1297.09	536.603	718.047	587.658	1151.6	437.234	611.929	923.615000000001	672.429	735.148
PRPF4B	1604.19	1359.45	452.555	537.242	841.886	514.088	365.091	247.738	416.988	588.229	2402.53	566.585	542.544	2027.53	988.201	2168.24	1860.42	764.345	1232.48	483.051	1143.45	623.178	2532.21	1479.14	1084.55	2425.38	301.563	371.094	812.124	1173.05	578.214	2700.92	1969.11	598.438	1895.34	427.468	3796.38	1249.7	2572.63	1268.28	1061.52	1682.57	683.511	2047.97	482.814	1282.96	594.702	2209.8	542.215	546.408	1096.97	890.244	2408.94	327.273	344.828	469.083	646.119	389.706	784.17	453.695	2000.36	2148.86	1541.56	2372.53	1192.31	1055.76	1489.78	342.898	980.296000000001	746.425	563.664	917.746000000001	911.07	1227.59	2704.47	877.518	750.442	1346.06	376.711	474.15
MBD4	199.694	213.151	239.416	150.555	138.629	104.795	199.273	132.353	347.036	137.102	265.517	130.474	370.622	224.051	371.511	458.634	256.235	261.714	253.327	76.8765	257.841	176.96	243.204	271.346	276.019	192.469	119.254	188.802	162.888	222.493	240.238	224.791	374.714	116.993	465.095	87.5536	476.018	200.389	440.026	308.975	289.297	271.263	263.298	205.272	191.047	213.552	92.851	407.456	142.525	144.471	372.821	190.041	402.944	219.58	134.1	153.53	147.26	313.235	345.588	146.389	227.784	531.086	427.346	436.394	207.865	355.284	456.559	114.778	213.465	388.889	210.307	261.234	216.418	187.705	477.182	293.465	257.522	437.808	77.0123	89.6121
SART1	2664.45	3048.22	6121.9	10541.2	5814.67	6649.53	6720.73	10517	7139.68	6067.74	2172.86	4797.74	4230.91	2249.37	4694.06	2912.83	2943.28	2887.52	4847.83	6890.44	4313.19	7195.7	2122.88	2884.42	3161.05	2222.11	10039.3	8656.25	4679.78	2898.68	6809.77	2273.17	3361.56	6194.26	3252.9	12236.1	2679.19	3411.57	2743.69	4988.01	5025.11	3529.7	4623.94	2355.23	7926.86	2928.95	6299.63	2631.56	7074.36	8715.90000000001	3426.63	3748.48	3703.38	4410.49	5511.49	5629.65	4452.05	8726.47	3302.77	6923.87	3758.8	2791.16	3683.11	3060.62	2844.43	3594.8	5080.92	7454.81	4334.98	4295.93	7207.01	4725.82	3476.37	4569.22	3628.27	3158.24	9789.38	3182.88	11209.5	7504.73
PRPF4	795.71	1023.01	659.123999999999	673.534	835.936	642.61	824.727	783.937	604.134	628.051	796.203	952.356	725.332	1063.29	737.299	621.877	892.196	1132.94	622.893	865.617	1232.93	850.798	845.856	697.746	885.257	1062.41	583.936	578.125	850.069	843.315000000001	454.898	894.883	913.616	805.481	668.89	794.85	632.579	872.949	823.033	761.337	755.133999999999	744.845	1197.34	712.619	684.253	659.959	855.597	862.159000000001	620.449	459.241	634.059	786.077	708.288	716.084	670.498	475.616	880.708	395.588	673.875	882.246	560.754	540.718	523.861	643.702	713.051	779.607	605.622	860.832	688.013	780.528	734.472	584.92	1009.33	601.126	912.273	679.408	622.124	641.626	655.068	902.927
CBFA2T2	767.109	728.219	657.664	438.193	675.294	824.518	461.818	538.462	630.479	796.441	817.779	882.496	1773.55	561.076	654.105	928.373000000001	689.863	793.809	924.578	756.659	1132.84	798.057	921.29	887.482999999999	804.903	790.098000000001	581.194	679.688	745.951	688.022	857.73	854.207	859.268	470.1	1026.8	807.725	866.968	709.668	663.228000000001	796.49	897.504999999999	837.181	834.043	1049.7	728.617	704.723	571.917	775.466	645.236	695.722	644.237	886.687	825.518	741.958	503.831	919.22	724.886	810.294	792.82	897.332	970.62	1069.18	757.641	1047.85	896.716	808.285	705.281	701.578	1295.02	573.157	470.788	609.292	562.189	703.426	801.063	1019.73	866.372	852.832	943.633	932.419
FIBP	1576.61	2025.21	2436.5	3545.96	3045.07	4990.61	3864.73	3688.91	2031.34	2214.11	1573.96	2326.44	2402.25	1916.46	1952.63	1005.55	1552.7	1656.37	1725.38	4275.42	2227.86	2439.97	1141	1257.98	1409.15	1848.67	4528.93	3897.14	2633.04	1866.64	3322.22	1350.46	1156.75	3275.81	1142.73	5301.29	691.855	1731.05	1523.02	1607.32	1771.66	1472.04	1788.3	994.382	2560.35	2154.41	3034.46	1351.54	3160.34	3443.1	1586.66	1510.16	1463.47	2693.01	3459.77	3746.13	2800.23	4179.41	1794.98	1633.75	1112.44	1073.99	1282.57	987.959	1548.4	1465.75	2017.89	4025.82	2426.93	2385.59	2134.03	1927.65	2098.26	2169.87	1910.94	1712.29	2701.77	1617.61	3360.71	2427.47
SRSF11	1779.37	1334.79	413.139	268.621	437.9	368.759	243.636	193.439	678.628	563.198	2575.13	537.819	586.398	2102.85	825.335	2240.98	3282.38	394.594	1152.17	341.404	1113.47	299.792	3937.02	2927.27	1026.44	4762.9	156.264	178.385	1229.99	1873.61	892.441	3220.72	1378.15	348.144	2976.42	193.133	4086.43	1770.64	1923.29	561.058	1010.26	2786.09	659.043	3322.39	372.502	1322.38	386.215	1943.65	1357.86	637.611	1461.88	1366.87	3260.63	358.741	454.023	312.287	418.95	916.177	906.142	378.824	5929.27	4440.02	2145.31	1985.97	1903.2	1015.4	1577.51	218.077	1341	637.514	338.412	1923.08	641.791	1420.46	1169.69	1104.4	460.177	1920.57	475.064	429.911
SOCS6	4763.53	5448.77	2050.36	1152.93	2220.44	1224.91	1332.36	427.602	2148.54	1807.35	5817.71	2145.11	2820.22	3959.18	3236.19	5317.05	4441.27	2781.8	4385.98	1339.59	2928.51	1335.88	5210.75	4558.6	2088.75	5015.69	904.689	1216.15	2666.36	2974.93	1991.32	7025.48	4577.23	1469.15	5226.45	1236.05	3022.62	4264.73	4225.83	2716.02	2952.2	3790.29	2436.7	5694.47	1810.55	2834.91	2726.86	4292.59	1729.67	2154.16	3068.51	4053.35	4747	2422.38	2331.42	1452.33	2553.65	1689.71	3883.22	1906.41	4233.22	3783.71	4582.84	3853.42	3437.34	4079.66	3323.68	1536.59	2808.43	1967.55	1673.91	2716.68	2807.21	2953.07	4422.24	2324.29	1807.96	3198.28	1649.73	1632.3
TRIP12	2958.12	2907.95	1749.63	1587.16	1886.06	1526.45	1345.45	893.665	1985.92	2152.67	3508.1	2389.11	2061.12	2203.16	2181.53	4483.06	2195.09	2654.12	3178.35	1519.98	2012.92	1371.96	3461.74	2608.18	2575.42	2871.34	1266.56	1143.23	2345.21	2680.71	1521.81	3039.61	2876.43	1414.56	2218.75	2059.23	3222.62	2696.95	1280.32	2298.81	1918.59	2595.26	2331.91	3153.41	2020.78	2519.1	1745.94	2660.6	1512.78	2088.78	2693.43	2862.8	3101.96	2030.77	1798.85	2638.76	3020.55	1075	2894.03	2107	2857.45	1382.22	1766.76	2862.11	2975.8	2521.51	1153.32	1423.24	1842.91	2619.91	1345.11	1798.93	2031.09	1476.3	1989.81	2289.35	3653.1	2304.19	1967.06	2200.6
UBE4A	1957.61	1692.05	1140.88	1354.99	1714.71	1011.37	997.818	341.629	1094.71	1381.26	2055.58	1540	1479.77	1497.15	1436.3	1649.64	1581.26	1995.5	2218.72	1174.33	1720.48	947.258999999999	2014.47	1887.18	1701.06	1656.56	710.044	850.26	1688.11	1941.16	1756.57	1918.22	1352.4	1113.21	1592.18	1882.4	1590.5	1720.8	1261.93	1506.95	1187.37	1922.64	1435.11	1925.24	1569.14	1995.07	1109.66	1301.26	1272.66	1438.26	1776.27	1741.87	2468.38	1111.89	1101.53	1536.61	1554.79	1041.18	1641	1214.14	1789.63	1742.99	1491.69	1800.44	1895.42	697.823	1563.03	1160.69	1737.82	1109.46	996.021	1693.07	1256.84	2049.27	1584.85	1525.28	1430.97	1299.26	820.227	1489.38
PPIG	372.319	440.548	100.73	83.2013	235.609	76.1246	76.3636	62.2172	151.715	115.484	762.1	103.763	118.366	674.051	161.546	794.559	853.58	140.968	193.878	121.671	372.694	97.8487	776.605	442.722	251.958	445.955	46.6052	67.7083	210.551	452.298	104.133	782.274	229.405	104.939	510.178	126.18	1272.4	428.699	533.808	232.194	214.695	645.122	169.681	870.786999999999	55.1559	377.002	129.877	750.325	161.89	137.207	244.275	172.764	886.587	48.2517	80.4598	49.6523	75.3425	91.1765	170.848	57.5499	914.036999999999	1008.76	671.85	816.25	460.242	277.748	227.428	197.991	215.107	173.817	89.6739	349.581	133.707	385.265	409.393	233.046	178.761	410.714	126.189	149.732
LPXN	127.681	254.794	200	227.417	175.517	330.203	136.727	217.195	216.216	249.172	196.615	203.93	246.822	131.329	166.828	217.657	294.047	358.774	150.399	171.308	214.483	165.163	170.655	558.605	185.223	177.824	265.924	180.99	254.049	215.529	200.046	333.976	142.448	131.883	184.934	294.421	165.611	302.175	146.3	99.4456	137.815	456.756	226.596	245.462	192.646	177.413	134.435	120.503	245.546	128.329	754.688	263.719	120.502	188.112	237.548	329.273	82.1918	201.471	136.246	148.065	208.56	290.718	188.204	89.6241	268.366	186.405	178.876	381.636	147.783	300.33	129.173	533.892	192.164	221.023	154.187	192.355	136.283	263.547	254.233	246.15
SNRNP40	463.738	933.699	431.387	416.799	392.682	405.339	606.545	446.833	464.229	543.856	513.635	708.874	548.365	949.683	609.647	503.054	845.535	530.939	381.544	366.223	822.878	406.662	671.079	633.684	549.313	763.25	268.665	244.792	640.444	623.955	329.756	724.898	742.563	312.691	541.001	228.326	600	720.978	629.466	315.451	604.221	307.377	476.596	689.283	593.125	340.041	454.571	719.549	442.293	485.069	618.226	613.313	534.351	419.58	503.831	464.51	289.384	232.353	583.045	459.841	284.73	552.977	489.008	408.334	685.393	651.62	314.31	268.293	366.721	522.552	511.355	538.462	702.114	321.445	376.163	713.933	317.699	527.094	514.034	438.986
CDYL	929.009	1448.77	686.131	628.368	776.439	463.668	586.182	337.104	625.937	590.504	1079.82	727.88	542.932	1162.34	1234.7	1394.78	780.37	633.776	1132.65	483.051	703.413	745.316	955.092	727.532	1282.03	1120.99	320.753	584.635	762.61	506.964	765.472	1420.25	2303.78	441.029	1249.91	593.991	1383.26	648.173	2054.96	1597.14	1336.58	782.6	1076.06	802.506	1370.9	605.75	770.721	1720.85	405.887	698.144	1064.93	886.179	1608.51	555.944	630.268	552.055	756.849	204.412	840.398	1281.74	661.226	1056.48	956.568	1713.75	794.296000000001	1570.37	883.305	268.293	671.593	933.993	914.887	479.056	1098.88	633.975	1920.25	589.807	955.752	1133	447.228	402.687
MED17	510.725	523.288	248.175	236.133	376.618	211.567	154.182	105.204	283.443	306.63	693.894	390.908	308.528	514.557	394.84	526.929	550.684	369.751	574.534	271.792	481.089	260.93	556.484	534.122	486.664	594.84	98.6933	175.781	403.517	529.596	398.264	563.905	561.785	281.493	559.402	266.094	708.597	528.01	537.56	365.405	281.324	555.658	335.638	590.752	395.284	585.216	251.21	537.061	265.685	312.349	412.025	472.053	862.05	302.797	329.502	307.06	386.986	225	415.225	251.99	578.165	477.671	438.606	692.284	483.146	455.656	463.373	176.471	398.467	278.878	245.536	412.795	385.572	502.112	463.447	426.223	300	458.744	205.985	271.105
CIR1	494.382	539.178	197.08	178.288	357.579	153.238	157.818	162.896	354.304	366.932	647.959	281.495	372.174	537.025	382.075	950.583	889.38	243.227	532.831	171.913	761.07	133.935	572.973	767.112	461.696	485.007	89.0982	214.844	422.952	570.683	229.276	588.739	406.751	277.948	493.617	206.867	729.412	625.908	561.943	375.118	245.447	856.469	213.83	657.303	140.688	868.994	233.552	554.4	334.624	313.156	556.404	379.573	557.252	128.671	151.341	252.835	172.945	332.353	343.858	221.819	853.827	793.345	686.327	782.745	700.951	393.521	607.325	391.679	495.895	311.881	257.279	811.881	373.756	988.738	721.755	409.782	305.31	384.236	204.129	288.12
RBM39	3875.38	3380.27	1767.15	1434.23	2044.92	1373.21	1269.09	848.416	1904.16	1761.27	4980.45	1933.99	3940.62	3537.97	2354.96	3403.66	4774.74	1231.73	3837.18	1622.88	4065.96	1426.79	5370.28	4513.31	3028.49	3944.91	700.449	1002.6	2545.58	2853.76	1738.3	4514.24	3494.28	2185.29	4682.69	1195.71	5619.46	3198.46	3532.96	2755.34	2481.8	4626.65	2371.28	3842.26	1587.93	4521.97	1452.58	3687.91	2553.83	1520.58	2819.72	2876.52	4737.73	1602.1	1446.36	1569.27	1735.16	3376.47	2069.64	1138.15	6668.84	4886.16	3421.98	4301.54	3248.92	2590.02	5539.18	905.308	6112.21	2517.05	1602.39	3255.9	2047.26	5645.71	3294.2	2863.95	1714.16	3285.1	1529.11	2023.65
WTAP	1347.29	896.438	823.358000000001	629.952	461.104	223.43	257.454	238.688	715.875	759.463000000001	1474.09	982.663	832.444	803.481	1007.13	1101.06	1092.52	1002.95	1499.56	472.155	1229.7	208.883	895.321	1402.43	720.009	864.714	378.325	253.906	671.448	1220.75	641.242	832.37	1018.88	370.833	1157.91	542.489	1567.87	1490.37	652.349	756.712	409.458	1622.65	1054.79	1351.34	529.177	1281.31	340.644	582.575	780.015	550.444	1461.5	873.476	1326.06	606.993	323.755	678.799	660.959	595.588	1105.97	491.689	1420.02	1512.26	1019.84	1251.81	1406.22	1123.74	694.208	352.941	1229.34	757.976	651.203	1099.77	533.582	1295.64	580.86	1084.26	499.115	1058.5	571.561	708.956
SETD1A	1149.13	1077.26	2232.12	2987.32	1556.45	1586.75	1946.18	3455.88	2243.92	1781.75	1231.54	1847.69	1818.96	1028.16	1307.77	871.738	927.996999999999	1602.64	1519.96	2267.55	1446.96	2403.19	1140.17	1078.45	1461.81	1115.06	3483.05	2617.19	1481.26	930.014	1737.38	964.676	1692.79	1483.33	1461.99	2867.81	1133.94	1396.72	1056.74	1929.71	2174.85	1189.29	1988.3	1146.5	1620.7	1072.69	1557.39	1177.29	1941.13	1991.12	1343.89	1544.72	1266.09	1983.22	1392.72	1259.6	1764.27	2048.53	1603.81	1668.95	1271.67	1085.81	1360.32	1568	977.528	1459.9	1418.23	2479.2	1428.57	1641.36	1798.82	1272.66	1312.19	1504.46	1346.03	1147.97	2121.24	1387.32	1942.01	2093.97
HDAC4	5939.73	2593.42	1097.81	1357.37	2932.62	1360.36	1846.55	1351.81	898.478000000001	2409.23	6752.42	3663.03	1022.99	2249.37	934.059	823.431	2518.91	1431.05	2830.52	3496.37	2993.08	1439.28	4445.69	2662.04	2295.77	3935.15	664.809	747.396000000001	3656.18	2903.55	1845.17	2906.02	1518.31	1553.53	1194.25	3141.63	2027.15	3615.85	740.129	1399.18	1091.13	2898.53	1707.45	4586.86	2808.15	1654.21	2228.99	2772.87	2508.13	2719.13	1749.51	3475.1	2359.87	1379.02	2168.58	1827.33	3563.36	777.941	1971.45	2374.07	4533.19	1418.56	1130.29	3756.67	2906.22	3041.95	1268.31	1553.8	5756.43	998.35	1305.61	1822.54	2377.49	3205.07	1530.79	2046.03	3082.3	2439.66	3360.71	2664.54
BCLAF1	2395.81	1823.01	880.292	841.521	1304.18	506.179	568	579.186	1265.5	1128.67	3028.22	1365.87	1132.05	1501.58	1638.79	2690.17	1650.04	1250.22	2626	958.838	2618.08	739.764	1988.5	2439.25	1833.62	2211.65	456.457	524.74	1592.78	2512.19	1319.02	2327.55	1643.02	983.452	2300.63	1043.78	3609.95	2323.74	1856.89	1843.68	965.842	2663.38	1616.49	3152.98	780.176	2757.29	804.899	1820.55	1365.61	1037.93	1968.15	1673.78	3474.92	873.427	827.586	1240	2025.68	995.588	1599.91	626.903	3006.53	2667.25	2137.8	3378.08	2479.69	1757.3	1330.49	985.652999999999	1950.19	1495.05	1034.45	1583.4	1225.75	2796.81	2206.03	2217.84	1280.53	1955.05	938.065	1886.39
TATDN2	850.357	913.424999999999	1932.85	2559.43	862.71	1235.79	1826.91	3035.07	1475.36	797.01	851.534	1077.18	2054.53	902.848	1555.59	1169.91	806.919	1481.31	850.488	1016.95	689.114	2151.98	723.842	963.378999999999	1611.62	774.059	2094.49	2587.24	1008.79	742.34	1315.37	843.074	1926.77	882.058	1916.04	1307.3	1201.36	917.48	1372.6	1586.97	1675.42	812.558	2029.79	614.952	1634.69	1477.62	990.601	1233.64	833.462	1229.22	1101.5	879.573	1470.01	2150.35	963.601000000001	905.501	1221.46	1300	1835.21	1932.11	724.338	1301.66	1424.66	1699.51	922.213	1873.61	1358.6	992.826	915.162	1751.38	1630.14	840.061	1194.65	771	1555.6	859.022	2012.39	1709.36	1224.77	1152.48
DAZAP2	4969.87	4919.45	4934.31	4068.94	5253.61	4291.65	4741.82	3650.45	3506.7	4623.91	3809.46	4824.96	6229.94	3185.44	6369.38	3203.78	5161.71	5248.73	6915.26	4252.42	3604.24	4050.66	4192.18	4568.4	5297.47	3214.44	5593.99	3985.68	4458.12	4611.77	3579.81	4125.03	3932.49	3136.13	5518.57	3497	3883.26	5494.28	4763.01	4615.2	4681.72	4707.5	5238.3	4181.07	5881.69	3833.68	3504.98	3698.31	3084.43	4460.86	4968.05	4014.74	4038.17	5525.87	3877.39	3739.6	4477.74	3089.71	4959.78	5361.08	3893.36	4981.17	4599.46	4383.21	5066.55	5720.13	2747.87	3542.32	4321.29	5526.95	5155.18	4569.69	4299.13	4308.78	4976.52	4507.19	4639.82	4602.83	5625.61	4099.47
ZC3H11A	4814.1	3038.36	1348.18	1027.73	2663.69	1088.48	1115.64	666.29	1560.75	2083.26	3904.46	1947.86	1811.2	2943.35	1790.65	5148.25	3974.26	1964.3	3245.34	1464.29	2256	1662.04	4681.89	3458.53	2603.56	3683.4	796.4	1089.84	2755.21	2242.34	1696.28	3430.1	2523.46	2441.97	3169.18	1337.34	3466.97	3135.9	2994.65	2376.06	1915.17	3617.11	2085.64	3809.85	1153.88	2273.51	1731.7	2798.01	2036.41	1671.51	2475.17	2697.66	3291.71	1144.76	1770.11	1811.65	2802.51	1761.76	1899.22	1097.36	4319.19	3715.41	2637.53	3667.89	3181.07	2051.51	2833.05	1384.51	5238.1	2002.2	1308.81	2771.52	1940.92	3567.34	2114.31	2371.56	2072.57	2677.96	1833.45	2106.45
DDX46	939.224	1088.22	448.175	447.702	927.562	362.827	405.818	177.602	1082.9	481.847	1194.65	662.129	701.271	1007.91	607.006	1258.19	1035.4	865.448	1108.25	439.467	876.384	608.605	1253.94	781.802	1002.84	1106	215.206	403.646	987.506000000001	922.006	406.486	1258.83	1106.41	473.646	1118.34	630.901	1748.87	828.771	1117.51	944.502	806.387	917.204999999999	776.596	1261.88	419.664	899.383999999999	466.534	1475.51	446.166	484.262	669.117	783.029	1562.16	537.063	371.647	380.885	414.384	344.118	933.823	326.861	1113.17	1353.77	1006.43	850.173	759.723	1129.58	629.472	381.636	694.581	789.328999999999	451.572	583.397	940.92	1021.59	1071.33	750.925	523.894	1138.55	452.795	845.076
UBAP2L	5934.63	4315.62	5601.46	3469.89	3377.66	4258.03	4550.55	7821.27	4981.15	4365.07	4477.6	4449.47	4133.11	3237.34	3731.39	4445.86	3398.63	4837.38	3916.59	5573.24	4233.39	6795.28	4374.38	3961.24	5093.63	4527.55	4886.69	5380.21	4617.77	3683.84	5088.83	3886.96	5173.91	4345.77	4274.18	4970.82	4036.2	4302.9	4415.27	5143.42	5299.6	3745.56	5282.45	3835.78	4309.75	3181.11	4305.9	4288.69	4539.12	4357.55	3364.06	4360.26	4598.69	5431.47	4021.07	3787.29	6599.89	4755.88	3833.48	5533.73	3328.98	3665.06	4018.77	3792.69	4025.93	4054.17	3832.2	4350.07	5983.58	5836.63	4262.71	3818.74	4096.39	2436.41	4015.51	3841.35	4550.44	3579.43	5362.1	5341.56
AP5Z1	1760.98	1721.1	2578.1	1055.47	2044.92	2350.96	4461.09	2648.19	1759.71	2312.52	1213.79	2017.72	2220.63	1536.39	1468.44	1308.72	1971.84	2313.83	1359.36	2491.53	1133.76	1682.17	1695.83	1411.81	1474.52	1737.8	4220.51	1782.55	1726.98	1668.52	2687.37	1598.8	1283.18	1320.25	1250.37	2296.14	1343.89	1653.3	1300.95	1759.03	2036.47	1509.8	2382.98	2269.23	2284.97	1126.49	1978.92	1732.12	1974.44	2912.03	1526.34	1820.63	1008.18	1967.13	1482.76	2081.48	1342.47	2248.53	1295.42	3102.11	1606.09	1491.68	1503.49	1291.17	1897.58	1300.05	1297.27	2743.19	1690.75	1698.57	2087.05	2083.78	2170.4	923.041	1370.4	1478.01	2570.8	1546.8	2652.75	1484.84
RBM8A	2304.81	1783.72	1373.6	1390.52	1536.06	1225.8	1443.85	1265.4	1492.65	1165.29	2512.27	1407.64	1446.24	1675.83	1786.21	1355.61	1453.35	1629.5	1794.09	1048.78	1419.05	1505.27	1470.87	1637.83	1853.48	1796.13	1153.68	1153.5	1392.03	1545.3	1276.57	1599.36	1946.25	1283.66	1955.4	1240.11	1373.33	1813.76	2115	1666.59	1678.55	1498.42	1661.11	1257.97	1565.16	1689.45	1419.7	1745.75	1203.56	1354.4	1514.24	1311.08	2012.47	1454.11	1338.58	1513.79	1811.81	937.647	1656.94	1241.25	1301.15	1543.82	1502.79	1482.58	1567.68	1953.4	1584.89	1011.35	1875.53	2051.95	1482.97	1454.01	1450.13	1393.88	2016.58	1454.59	1180.33	1744.86	1195.69	1575.29
THRAP3	3335.55	4784.66	3924.09	3259.11	2907.63	2812.65	3896.73	4179.86	3861	3813.81	3110.69	4332.35	4345.01	4013.29	7492.28	5317.05	4260.26	11945.3	3549.69	3145.88	2536.9	3335.18	4553.28	4296.24	4655.09	4434.1	4164.31	1980.47	4348.45	3752.44	2939.48	4158.42	4881.01	2066.17	4822.08	3282.4	4278.73	4011.68	5198.91	3730.37	5234.68	2710.99	5325.53	4335.78	3917.67	2609.03	3384.22	4711.75	3401.24	3827.28	3710.49	4174.29	4146.13	5016.08	3126.44	3838.25	2494.86	3389.71	4408.74	3359.13	2621.69	4189.58	4667.02	3071.93	3960.24	4801.91	2284.5	3189.38	2658.46	6560.51	4797.55	4291.7	3943.41	2579.54	2735.05	4290.59	3742.48	3863.3	3678.03	5676.19
THOC1	290.603	276.164	87.5912	57.8447	240.369	86.9995	84.3636	52.0362	96.298	162.133	454.476	165.404	195.207	360.127	148.78	377.013	466.613	75.1057	382.431	67.1913	355.627	58.2929	368.516	382.74	177.959	355.649	13.7074	44.2708	277.187	330.432	150.719	340.826	237.414	174.426	444.393	79.8283	461.538	323.38	264.841	191.028	138.954	429.671	178.191	367.329	93.5252	373.717	145.258	360.208	309.063	127.522	292.15	222.053	337.514	92.3077	120.69	118.904	144.406	213.235	177.768	43.5815	557.853	522.329	394.102	331.274	323.25	199.681	626.065	55.9541	431.308	172.717	95.0116	417.365	203.358	569.216	313.691	206.741	126.549	267.857	126.189	133.851
HDAC5	6334.01	5635.62	7605.11	9536.45000000001	8664.58	10051.4	6957.09	16038.5	6529.18	9800.20999999999	3993.89	9012.97	7120.6	4750.63	6162.5	8341.48	5470.64	9491.62	6411.71	11746.4	6473.71	5817.49	6310.53	5332.25	6055.16	4947.7	10735.6	7989.58	6747.34	4800.84	5868.92	4389.64	6373	9775.67	4243.36	12069.5	4356.11	6861.66	3798.93	8518.55999999999	7748.95	5634.55	6637.23	5718.67	4859.31	5508.01	8927.94	3572.61	8709.53000000001	7668.28	3097.54	6543.7	2851.14	3871.33	6986.59	7027.1	7478.88	5373.53	3807.09	8976.11	5770.77	3833.63	4529.22	5219.56	5831.03	3366.44	5183.13	11185.1	6218.94	2754.13	6219.52	6011.42	6547.26	7061	5705.8	5895.6	8602.65	3914.41	9701.69	6785.56
SMC4	391.726	310.685	116.788	100.634	196.341	44.4884	69.8182	49.7738	187.145	67.6975	566.877	111.468	120.307	467.721	201.602	283.176	438.053	120.169	179.681	116.223	416.052	86.7453	416.745	371.315	284.644	256.974	52.0882	78.125	188.802	270.543	113.268	476.129	323.226	121.248	497.297	94.4206	610.407	323.026	434.399	288.624	207.292	556.068	100.532	610.631	50.3597	263.244	48.4193	563.502	210.689	99.2736	264.631	127.032	880.589	104.895	70.8812	152.223	168.95	108.823	222.751	72.0771	614.436	444.396	425.201	676.788	217.373	188.529	378.194	44.4763	361.795	182.618	119.565	182.026	192.164	635.852	365.973	186.601	161.947	407.02	61.2387	116.836
