TCGA-RZ-AB0B-01	TCGA-V3-A9ZX-01	TCGA-V3-A9ZY-01	TCGA-V4-A9E5-01	TCGA-V4-A9E7-01	TCGA-V4-A9E8-01	TCGA-V4-A9E9-01	TCGA-V4-A9EA-01	TCGA-V4-A9EC-01	TCGA-V4-A9ED-01	TCGA-V4-A9EE-01	TCGA-V4-A9EF-01	TCGA-V4-A9EH-01	TCGA-V4-A9EI-01	TCGA-V4-A9EJ-01	TCGA-V4-A9EK-01	TCGA-V4-A9EL-01	TCGA-V4-A9EM-01	TCGA-V4-A9EO-01	TCGA-V4-A9EQ-01	TCGA-V4-A9ES-01	TCGA-V4-A9ET-01	TCGA-V4-A9EU-01	TCGA-V4-A9EV-01	TCGA-V4-A9EW-01	TCGA-V4-A9EX-01	TCGA-V4-A9EY-01	TCGA-V4-A9EZ-01	TCGA-V4-A9F0-01	TCGA-V4-A9F1-01	TCGA-V4-A9F2-01	TCGA-V4-A9F3-01	TCGA-V4-A9F4-01	TCGA-V4-A9F5-01	TCGA-V4-A9F7-01	TCGA-V4-A9F8-01	TCGA-VD-A8K7-01	TCGA-VD-A8K8-01	TCGA-VD-A8K9-01	TCGA-VD-A8KA-01	TCGA-VD-A8KB-01	TCGA-VD-A8KD-01	TCGA-VD-A8KE-01	TCGA-VD-A8KF-01	TCGA-VD-A8KG-01	TCGA-VD-A8KH-01	TCGA-VD-A8KI-01	TCGA-VD-A8KJ-01	TCGA-VD-A8KK-01	TCGA-VD-A8KL-01	TCGA-VD-A8KM-01	TCGA-VD-A8KN-01	TCGA-VD-A8KO-01	TCGA-VD-AA8M-01	TCGA-VD-AA8N-01	TCGA-VD-AA8O-01	TCGA-VD-AA8P-01	TCGA-VD-AA8Q-01	TCGA-VD-AA8R-01	TCGA-VD-AA8S-01	TCGA-VD-AA8T-01	TCGA-WC-A87T-01	TCGA-WC-A87U-01	TCGA-WC-A87W-01	TCGA-WC-A87Y-01	TCGA-WC-A880-01	TCGA-WC-A881-01	TCGA-WC-A882-01	TCGA-WC-A883-01	TCGA-WC-A884-01	TCGA-WC-A885-01	TCGA-WC-A888-01	TCGA-WC-A88A-01	TCGA-WC-AA9A-01	TCGA-WC-AA9E-01	TCGA-YZ-A980-01	TCGA-YZ-A982-01	TCGA-YZ-A983-01	TCGA-YZ-A984-01	TCGA-YZ-A985-01
EPHA2	748.723	1590.68	1687.59	1916.01	714.562	1568.96	1460.36	3181	1101.98	2001.91	1017.87	2518.56	652.372	1681.01	1434.54	318.712	1105.39	1501.54	973.824000000001	1209.44	213.1	544.067	1244.46	1468.53	1542.16	2164.57	1490	604.167	979.175999999999	1431.06	920.758	1428.39	1378.72	562.277	549.281	606.009	1614.48	1930.03	2371.57	648.478	1092.84	918.847	942.021	1894.55	884.093	825.873	1468.53	1104.03	2257.94	2619.85	962.774	1274.39	2304.25	778.322	1582.38	659.199	297.374	477.941	628.893	911.859	687.341	1530.65	706.702	359.753	1657.3	822.092	816.865	1248.21	840.175	1055.01	1198.85	1406.7	1133.71	308.775	233.496	1641.18	427.434	2268.47	1181.16	2214.21
NR2F6	1234.42	1211.51	2291.24	2062.6	2178.79	1479.98	2798.55	1861.99	2894.39	2169.73	1122.97	2362.91	1399.05	1539.56	1735.62	947.251	1248.19	2219.08	1304.79	2549.03	1592.71	2272.73	1197.47	1028.26	1148.56	1524.06	1735.36	1803.39	1334.57	1310.24	2376.8	1124.81	1363.27	2709.99	1079.7	2520.17	952.488999999999	1338.4	1241.3	2154.5	2210.73	1009.13	1293.09	936.042	1366.11	1420.94	1521.5	1580.41	2486.44	2029.06	792.008	1470.53	770.447	1834.96	1906.13	1555.55	1564.5	1938.24	801.903	1406.9	1261.15	1012.26	1495.98	1187.73	1289.97	980.881999999999	2372.23	2319.94	2200.88	1434.54	1769.99	1453.92	1254.35	2187.24	1038.99	1539.66	1180.53	1104.06	2156.34	2234.63
GAS1	113.892	175.89	320.438	290.016	233.824	76.1246	233.454	93.8914	228.935	250.31	117.969	166.431	154.458	219.62	300.202	287.618	158.89	113.236	399.29	147.094	656.827	697.432	238.67	156.687	720.917	171.897	445.491	390.625	188.339	171.657	189.998	174.267	521.167	229.732	639.908	236.052	358.371	121.93	449.404	637.377	613.333	151.021	575.532	154.278	411.671	549.487	156.65	234.504	122.386	99.2736	121.007	160.569	806.434	262.937	105.364	37.8925	257.42	332.353	309.689	1338.18	199.855	400.613	527.614	1305.83	156.439	613.383	565.588	173.601	258.894	282.178	286.102	217.822	141.169	269.826	566.681	301.685	304.425	621.921	290.42	163.344
GNAQ	1920.84	1316.16	751.825	898.574	1297.04	485.418	798.545	352.941	1063.82	1191.25	1326.19	1344.81	1020.28	1021.52	1222.38	2085.51	1202.74	1131.78	2447.65	780.266	2962.64	478.834	2564.77	1704.38	1984.34	1466.88	640.136	415.365	1739.01	1585.31	1161.91	1571.83	1627	1100.45	2118.92	621.459	1653.85	1556.82	1407.48	1620.73	903.199	2014.57	1805.32	1874.24	686.251	2030.39	558.245	1313.83	1170.41	634.383	1114.69	1656.5	2360.96	1002.1	1137.93	973.446	1579.34	1441.18	1976.64	761.559	2088.86	1789.84	1717.96	1938.65	2280.9	1274.03	1101.36	651.363	1517.79	1066.01	800.66	1239.15	1081.47	1944.16	1420.03	1126.18	1128.32	1746.92	677.337	1264.78
GRK5	285.495	246.575	167.153	50.7132	149.933	345.032	59.6364	109.728	68.1354	249.172	223.062	204.443	251.48	226.899	163.306	153.248	378.922	161.766	71.8722	242.131	394.834	97.1548	208.166	304.397	140.279	266.736	146.669	125	237.39	226.671	213.747	312.139	160.755	183.644	218.056	201.717	102.262	213.113	111.788	201.667	147.496	233.508	171.809	192.308	126.699	282.546	133.295	168.184	137.103	57.3043	390.915	260.671	69.7928	156.643	224.138	107.144	233.447	110.294	137.543	125.157	203.845	140.105	149.062	147.838	256.266	150.292	121.806	131.994	256.705	190.319	51.2422	239.147	223.259	128.578	276.916	265.516	91.1504	299.877	154.025	99.8211
GTF2H4	437.063	706.608	1514.52	2190.97	478.358	943.154	1480.73	1886.88	1017.2	596.193	556.253	547.066	829.89	751.301	1191.56	760.694	528.721	1231.81	444.765	711.864	673.727	1977.61	506.12	453.837	1234.07	721.011	1256.71	1352.86	452.716	445.073	580.041	639.675	1919.34	523.038	1063.23	715.021	1163.12	477.192	1226.2	960.432	1593.66	434.185	1390.45	502.351	1169.06	514.936	610.47	1196.78	642.138	673.931	551.126	574.411	1012.63	1074.13	170.498	384.152	450.913	1052.51	551.471	1097.38	451.73	645.473	808.043	753.885	442.053	934.679000000001	1267.39	946.914999999999	599.146	1305.28	1630.14	617.144	692.991	454.04	1570.12	439.807	873.451	1179.76	483.414	843.942
H2AX	848.825	757.26	885.402	1682.25	1085.23	979.733000000001	1154.18	763.575	1198.27	971.658	812.907	1126.49	491.317	1062.66	938.021	356.469	769.509	987.351000000001	693.434	1872.28	1406.83	997.918	586.988	583.903	547.951	929.568	767.615	1253.91	680.241	1137.88	874.172	534.361	541.762	1793.9	369.408	2225.75	265.611	913.239	508.3	1114.72	857.641	473.171	444.149	330.164	1237.01	746.612	1092.57	720.416	2268.78	1506.86	774.291	729.167	660.305	583.916	852.49	855.848	1413.24	879.412	228.374	919.682	548.059	305.604	613.405	614.386	640.017	212.958	883.305	1486.37	2584.56	1258.53	1432.65	707.54	555.97	1555.61	516.615	1060.42	1800	477.217	712.596	932.419
HSF4	650.996	352.696	392.073	244.215	460.092	533.01	1105.16	880.882	650.502	757.398	748.557	459.838	596.5	442.351	1046.41	646.896	959.915	454.129	765.373	601.029	1114.78	623.366	856.396	736.244	581.178	762.256	604.839	578.333	664.776	534.07	427.449	1037.82	464.491	676.845	676.191	585.914	1262.9	634.044	506.064	933.29	1462.74	1096.83	469.878	1267.68	544.417	815.799	694.469	796.888	832.006	688.483	256.051	586.743	409.575	286.951	354.234	733.305	600.257	879.221	305.744	561.028	2635.79	1276.45	938.531	815.429	746.465	244.424	583.876	961.349	1309.64	189.752	838.547	1252.3	195.84	640.038	312.481	565.812	621.69	458.042	747.353	1172.69
IK	2097.55	2509.59	2051.09	1950.87	2686.3	1875.43	2210.18	1248.87	2511.02	2513.91	2131.1	2603.83	2596.29	1940.19	2387.53	2413.66	2392.2	2687.63	2819.88	1806.9	3364.39	1961.83	2205.33	2419.67	2388.83	1940.38	1177.47	1828.12	2512.26	2269.5	1849.74	2035.97	2498.86	1917.98	2156.18	2454.94	2415.84	2544.63	2167.5	2573.1	2163.46	2632.19	2230.32	2199.22	2192.65	2271.05	1921.39	2056.35	2593.34	2050.85	2103.48	2352.64	1949.29	1723.08	1886.97	2494.37	1309.36	2322.06	1818.77	1757.23	2386.65	2086.69	2183.91	1293.27	2157.3	1990.44	2327.94	2750.36	2382.59	2550.05	2251.46	2607.77	2190.92	3154.86	3067.79	2466.91	1596.46	1901.48	2778.01	2556.78
IL16	201.226	839.452	538.686	89.5404	254.648	448.838	86.5455	459.276	188.962	448.851	448.212	267.625	518.871	234.494	282.595	1006.66	487.128	146.745	921.473	177.361	103.321	193.615	591.522	809.548	123.028	332.287	361.876	199.219	342.897	251.393	332.496	836.652	514.302	582.13	525.359	476.395	215.837	401.839	333.49	475.952	226.085	652.098	364.362	379.43	244.205	67.7618	912.561	337.668	511.232	959.645	2700.97	518.293	264.995	304.895	568.966	155.49	261.416	250	562.716	609.582	810.664	270.578	473.458	421.317	882.887	169.942	204.429	631.277	96.3328	479.648	274.359	668.698	310.323	89.6293	124.058	320.181	1387.61	336.207	499.188	939.225
KIF22	727.273	1068.49	1083.94	1816.96	1388.07	1051.9	1365.09	1906.11	1231.89	851.054	778.108	891.229	762.2	1111.71	1089.88	605.775	1075.22	1485.94	795.918	1199.76	1233.39	1062.46	711.888	797.715	761.321	902.72	1636.66	1069.01	926.886000000001	1010.45	534.369	755.299	826.087	1300.4	822.082	1356.22	546.154	863.406999999999	763.387	1031.46	1125.3	755.514	945.213000000001	469.749	858.913	929.363000000001	1103.39	821.847	1202.17	874.092	958.627999999999	885.670999999999	709.378	721.678	806.513	946.006	872.146000000001	975	452.855	1002.93	628.582	775.832	809.652	679.301	654.711	831.652	1368.82	1202.3	2010.95	1187.57	1227.68	952.018	894.9	1377.29	1323.88	804.768	994.69	1008.62	896.312	1011.82
LIMK1	1268.64	1431.78	2520.44	2284.47	1859.29	2986.65	1677.09	3383.48	2162.16	2226.05	964.979	1456.27	2006.79	1374.68	1472.84	1604.66	1580.05	2037.67	529.725	2864.41	1516.14	3065.23	1438.61	1894.93	1260.24	1175.38	3577.63	4855.47	2180.01	1701.6	3893.13	1401.84	1573.8	1803.11	1400.35	1490.13	722.624	1407.67	858.67	1656.81	1960.73	1258.64	2019.15	1462.4	2664.27	779.466	1544.29	1413.09	2307.51	2398.71	2261.8	1671.24	947.655	2469.93	2235.63	2701.48	2126.71	3464.71	1871.97	3455.79	1033.73	1276.71	1730.29	1742.64	1609.33	1321.83	1959.97	2787.66	1422.55	2337.73	2262.13	1839.3	2427.86	1111.22	1350.47	1501.03	3192.92	1077.59	2886.57	1941.97
LMNA	42237.5	23110.1	28102.2	47579.2	38541.7	31388	42801.5	58380.1	34516.5	30868.9	30293.7	33264.7	20566.6	18693.7	38105.8	9967.8	22700.3	36656.8	27335.4	54611.4	55279.5	50000.7	17330.6	21842.7	26220.4	17436.5	41739.1	44902.3	34600.6	29367.3	29517.2	20809.7	21700.8	36649.4	16105.3	58602.6	17718.6	32081.4	21771	34406.3	30138.7	25009.1	25361.7	17555.3	42135.5	27509.7	40379.9	19037.7	39447.7	30745	23954	26829.3	13614.5	24503.5	31693.5	67246.8	42309.4	25433.8	11659.6	39864.8	21927.8	15749.6	15004.3	14455	21910.5	24039.3	18556.2	39561	60584	27255.8	38731.6	33007.6	23067.8	35512	13112.5	17169.7	22561.1	22051.1	31269.8	37462.4
