TCGA-OR-A5J1-01	TCGA-OR-A5J2-01	TCGA-OR-A5J3-01	TCGA-OR-A5J5-01	TCGA-OR-A5J6-01	TCGA-OR-A5J7-01	TCGA-OR-A5J8-01	TCGA-OR-A5J9-01	TCGA-OR-A5JA-01	TCGA-OR-A5JB-01	TCGA-OR-A5JC-01	TCGA-OR-A5JD-01	TCGA-OR-A5JE-01	TCGA-OR-A5JF-01	TCGA-OR-A5JG-01	TCGA-OR-A5JI-01	TCGA-OR-A5JJ-01	TCGA-OR-A5JK-01	TCGA-OR-A5JL-01	TCGA-OR-A5JM-01	TCGA-OR-A5JO-01	TCGA-OR-A5JP-01	TCGA-OR-A5JQ-01	TCGA-OR-A5JR-01	TCGA-OR-A5JS-01	TCGA-OR-A5JT-01	TCGA-OR-A5JV-01	TCGA-OR-A5JW-01	TCGA-OR-A5JX-01	TCGA-OR-A5JY-01	TCGA-OR-A5JZ-01	TCGA-OR-A5K0-01	TCGA-OR-A5K1-01	TCGA-OR-A5K2-01	TCGA-OR-A5K3-01	TCGA-OR-A5K4-01	TCGA-OR-A5K5-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K9-01	TCGA-OR-A5KO-01	TCGA-OR-A5KT-01	TCGA-OR-A5KU-01	TCGA-OR-A5KV-01	TCGA-OR-A5KW-01	TCGA-OR-A5KX-01	TCGA-OR-A5KY-01	TCGA-OR-A5KZ-01	TCGA-OR-A5L3-01	TCGA-OR-A5L4-01	TCGA-OR-A5L5-01	TCGA-OR-A5L6-01	TCGA-OR-A5L8-01	TCGA-OR-A5L9-01	TCGA-OR-A5LA-01	TCGA-OR-A5LB-01	TCGA-OR-A5LC-01	TCGA-OR-A5LD-01	TCGA-OR-A5LE-01	TCGA-OR-A5LG-01	TCGA-OR-A5LH-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LK-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LR-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OU-A5PI-01	TCGA-P6-A5OF-01	TCGA-PA-A5YG-01	TCGA-PK-A5H8-01	TCGA-PK-A5H9-01	TCGA-PK-A5HA-01	TCGA-PK-A5HB-01
TSC22D3	21320.4	2248.29	8422.46	6828.04	10138.8	4213.4	13886.9	12715.3	9456.13	2333.52	6295.8	7753.64	6988.69	8240.18	8617.49	4254.39	7581.44	7556.06	13245	5094.83	11223.8	5927.98	5318.2	15106.1	9869.77	15019.3	26862.4	15135.6	23899.5	8527.09	14338.9	5077.17	16291.2	9237.75	13807.2	21471.2	3961.41	6984.86	9551.52000000001	4332.01	15044	10866.1	18679.1	6080.99	10190.9	6056.41	6277.81	3144.24	6513.39	14695.5	6109.23	5179.44	3700.72	12822.6	10542.1	13737.3	5375.17	2791.04	10276	8711.64	28131.3	3725.14	4620.34	10472.3	18210.4	8972.25	16467.1	8921.84	19826.8	5165.51	6676.87	11669.9	19041.5	7804.44	17717.1	4112.36	9686.33	2140.74
E2F3	247.358	386.928	336.543	408.211	232.484	558.764	602.569	648.342	498.414	901.415	736.005	331.311	337.67	365.672	255.811	458.834	225.346	266.972	1276.49	694.828	202.468	204.655	297.402	460.094	949.316	382.802	542.575	587.538	467.002	695.925	397.649	80.3383	225.243	479.378	223.803	268.368	161.231	363.453	211.901	316.623	674.789	126.204	251.916	225.993	469.286	411.568	885.888	378.788	550.223	292.96	320.59	289.72	258.18	419.355	416.149	450.402	128.222	222.524	108.246	260.721	492.273	398.691	815.254	83.7446	562.509	460.116	718.405	283.408	235.983	666.102	425.17	516.534	311.302	235.321	484.072	367.094	318.633	752.606000000001
NR2F6	1010.57	821.366	1603.32	1553.06	1980.03	3629.76	1048.9	1383.04	2206.66	806.951	1627.86	1358.01	3531.67	1305.53	1354.83	1452.36	884.427	1520.21	508.339	2710.34	822.831	2697.85	1386.28	758.684999999999	1180.17	885.941	437.695	1266.78	1657.21	2047.02	716.709	1096.19	1002	2603.33	1979.3	824.154	3995.87	830.894	2239.48	2085.75	1441.89	1507.71	1396.37	2291.55	1536.92	1398.18	1106.36	1636.97	1104.91	1313	961.769	786.916	812.849	1080.65	1254.66	1080.31	1997.96	2309.36	1132.28	1548.86	872.013	1644.1	2140.68	946.314	1451	1300.58	1133.59	1205.92	733.054	1082.84	1739.8	1356.33	1387.95	1181.69	1030.61	760.01	827.453	986.367
FLT4	364.553	679.64	250.63	862.897	480.058	827.918	573.56	1231.41	135.307	187.145	713.74	509.102	334.842	440.969	370.818	740.056	249.442	357.742	543.575	99.1379	450.829	655.687	490.495	357.277	281.169	308.895	456.386	369.899	458.57	291.088	300.924	37.5264	935.75	240.121	253.558	135.585	193.845	210.5	329.463	139.842	268.978	1238.92	122.594	254.531	203.051	259.56	617.598	669.697	409.598	779.571	680.503	641.121	353.551	1123.66	896.185	306.329	310.041	497.965	203.577	257.991	402.895	231.06	762.712	289.517	440.042	658.96	236.425	764.276	608.368	305.607	103.742	279.361	247.947	315.303	331.668	1367.88	805.953999999999	597.835
GNAQ	1517.77	2356.6	751.296	1478.7	1188.13	1361.41	1116.87	1433.36	1146.41	1093.91	875.318	1549.15	718.891	1785.11	451.968	1963	2351.18	937.451999999999	1464.88	1362.93	1865.41	898.99	2320.29	1145.54	1500.18	1206.68	1440.81	1839.4	1386.09	1962.38	1263.48	1590.91	1352.28	1260.2	1335.06	1108.21	767.111	1114.08	1422.35	864.556	2191.66	750.482	947.113	391.438	909.95	1057.36	1824.02	1314.55	1214.29	1168.29	1564.17	1269.16	1478.45	1677.42	1063	1393.64	467.435	2321.57	996.973999999999	1826.41	914.618	1190.03	1635.59	2214.45	769.623	1254.34	995.194999999999	1555.88	1317.15	1967.14	2032.31	1523.38	1647.63	1750.35	912.555000000001	2021.81	1352.26	1629.51
GRK5	68.2037	231.915	204.414	212.239	2289.64	1851.18	510.568	161.491	693.975	129.665	443.384	177.791	487.557	439.811	791.616	322.849	121.821	266.972	1087.15	408.19	2090.55	744.4	216.582	239.906	353.681	307.947	352.544	820.974	144.641	211.375	253.233	190.275	516.733	381.775	148.771	361.373	356.913	176.678	339.623	2056.73	383.318	1564.55	121.099	93.3282	345.079	1735.66	250.581	789.697	183.036	1046.99	268.159	302.804	40.7023	408.602	306.122	342.231	904.342	134.328	200.502	427.71	580.261	403.725	193.22	780.021	599.73	135.26	590.582	247.266	582.427	628.155	118.197	627.138	472.429	283.865	642.723	2319.46	927.784	1760.22
GTF2H2	60.5187	38.6525	130.944	120.062	295.635	233.855	10.775	153.331	588.266	201.404	201.018	292.476	173.643	320.88	94.5855	71.2303	133.869	222.731	122.622	344.397	9.1786	121.212	76.8389	350.704	45.505	314.58	117.342	181.22	112.859	387.819	80.6045	94.6089	246.773	200.389	241.915	365.855	141.479	112.065	132.076	161.39	174.789	54.9133	387.217	196.298	260.834	114.723	265.634	166.667	100.446	363.894	240.306	108.411	202.314	215.054	220.941	41.9629	134.328	73.27	732.508	196.11	67.1491	63.4281	103.39	352.325	77.4426	100.578	105.718	160.877	199.163	660.003	32.3129	306.157	80.5632	258.9	447.221	114.106	108.049	175.22
GTF2H4	484.63	412.463	458.534	607.018	371.735	616.053	448.943	391.892	672.394	724.964	534.109	296.723	429.299	246.225	361.118	358.27	296.448	432.494	400.752	442.582	648.978	332.455	237.285	290.61	449.312	295.63	316.719	414.261	533.997	423.515	200.168	524.477	274.1	381.775	360.931	302.808	540.919	515.901	269.957	424.367	654.48	233.141	280.321	577.324	367.852	580.186	386.223	836.745	380.212	370.463	333.151	558.262	349.477	129.032	241.349	247.171	302.578	515.604	216.493	524.96	226.918	442.789	562.864	309.855	372.685	486.046	466.91	219.476	257.741	323.388	349.983	244.014	388.514	205.27	538.601	815.528	728.49	564.282
H2AX	1545.15	360.757	595.467	1855.15	450.997	2548.34	1265.64	808.473	1365.22	1939.62	968.193	384.709	2370.48	443.286	460.567	753.006	1638.55	1229.6	489.077	2575.86	749.942	1274.48	592.018	462.441	1547.54	632.477	307.373	232.997	1011.19	1680.25	403.694	651.163	540.748	1248.11	639.069	1053.3	1265.04	457.345	910.014	1523.31	1261.95	755.299	734.068	1105.67	661.536000000001	598.47	1426.45	3832.12	791.295	536.975	557.619	1198.13	221.069	1274.19	703.638	465.322	1795.12	4382.63	1531.44	1019.68	522.837	626.73	1059.32	242.859	621.342	705.202	469.966	372	500.418	430.29	896.259	379.133	321.079	298.197	603.373	299.049	321.94	598.637
HSF4	401.21	131.64	290.185	1611.53	197.427	36.2014	120.845	54.9374	205.492	228.709	149.892	243.459	31.6346	197.853	139.293	62.3959	257.697	220.427	34.4797	151.004	218.347	9.2227	103.637	95.4883	614.28	299.893	108.121	305.331	910.654	139.086	108.218	60.4123	150.648	182.06	128.59	197.797	88.7	134.998	211.19	221.878	392.488	121.936	72.7565	559.02	167.296	225.488	226.621	244.594	1112.89	48.5831	293.026	852.393	276.062	323.333	89.3611	92.2205	462.219	975.17	161.718	732.322	118.104	469.514	22.0339	445.521	49.2091	144.358	181.201	366.764	133.13	285.692	447.015	126.773	473.508	242.95	221.455	106.199	235.402	8.5646
