TCGA-OR-A5J1-01	TCGA-OR-A5J2-01	TCGA-OR-A5J3-01	TCGA-OR-A5J5-01	TCGA-OR-A5J6-01	TCGA-OR-A5J7-01	TCGA-OR-A5J8-01	TCGA-OR-A5J9-01	TCGA-OR-A5JA-01	TCGA-OR-A5JB-01	TCGA-OR-A5JC-01	TCGA-OR-A5JD-01	TCGA-OR-A5JE-01	TCGA-OR-A5JF-01	TCGA-OR-A5JG-01	TCGA-OR-A5JI-01	TCGA-OR-A5JJ-01	TCGA-OR-A5JK-01	TCGA-OR-A5JL-01	TCGA-OR-A5JM-01	TCGA-OR-A5JO-01	TCGA-OR-A5JP-01	TCGA-OR-A5JQ-01	TCGA-OR-A5JR-01	TCGA-OR-A5JS-01	TCGA-OR-A5JT-01	TCGA-OR-A5JV-01	TCGA-OR-A5JW-01	TCGA-OR-A5JX-01	TCGA-OR-A5JY-01	TCGA-OR-A5JZ-01	TCGA-OR-A5K0-01	TCGA-OR-A5K1-01	TCGA-OR-A5K2-01	TCGA-OR-A5K3-01	TCGA-OR-A5K4-01	TCGA-OR-A5K5-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K9-01	TCGA-OR-A5KO-01	TCGA-OR-A5KT-01	TCGA-OR-A5KU-01	TCGA-OR-A5KV-01	TCGA-OR-A5KW-01	TCGA-OR-A5KX-01	TCGA-OR-A5KY-01	TCGA-OR-A5KZ-01	TCGA-OR-A5L3-01	TCGA-OR-A5L4-01	TCGA-OR-A5L5-01	TCGA-OR-A5L6-01	TCGA-OR-A5L8-01	TCGA-OR-A5L9-01	TCGA-OR-A5LA-01	TCGA-OR-A5LB-01	TCGA-OR-A5LC-01	TCGA-OR-A5LD-01	TCGA-OR-A5LE-01	TCGA-OR-A5LG-01	TCGA-OR-A5LH-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LK-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LR-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OU-A5PI-01	TCGA-P6-A5OF-01	TCGA-PA-A5YG-01	TCGA-PK-A5H8-01	TCGA-PK-A5H9-01	TCGA-PK-A5HA-01	TCGA-PK-A5HB-01
PRPF4B	1342.94	1447.05	899.422	718.048	1339.58	1162.05	925.404	935.285999999999	1072.94	1150.5	1081.42	954.49	747.738	745.632	891.039	763.182	752.789	842.868	1180.64	1965.52	955.65	653.931	726.187	1127.23	1488.72	1180.62	1244.03	1803.42	1129.24	1241.38	1640.3	855.708	948.172000000001	766.141	890.039	1449.41	691.778	1019.18	653.12	1310.47	1660.73	550.096	724.351	863.093	872.148	1102.77	952.739	2316.36	777.902	993.793000000001	1067.18	1242.99	1531.92	467.742	496.894	901.27	945.048	962.008	776.791	1479.7	785.876	1040.02	1281.36	2130.1	924.509	1146.82	1069.2	1435.99	1183.26	856.514	971.088	1101.48	1498.63	1233.47	1397.88	1684.72	1557.33	1490.38
MBD4	577.81	1035.16	553.399	415.957	273.281	957.882	590.966	381.458	493.129	1074.3	395.674	785.194	401.018	433.247	539.567	556.892	480.589	523.265	422.363	491.81	727.806	296.003	903.752	758.684999999999	658.528	463.342	656.283	373.848	503.973	403.493	497.061	338.795	457.11	481.106	350.582	481.27	645.843	566.381	425.254	391.821	1049.67	786.127	343.113	527.189	389.901	554.015	560.487	536.97	407.366	272.389	524.304	618.692	780.527	370.968	450.754	459.727	529.851	363.636	214.033	768.058	440.406	1356.15	900	558.098	413.027	590.751	389.236	543.896	607.531	710.825	592.687	795.325000000001	375.44	513.639	397.252	546.454	901.874	319.968
SART1	2013.93	931.687	1307.66	1812.55	1406.08	1318.89	2106.51	1175.99	1471.46	2708.25	1487.91	838.592	1615.95	967.275	1486.5	1100.83	1409.64	1438.6	990.369	1191.38	1777.4	2040.84	1110.78	1000.47	1627.08	1021.91	1109.03	991.224	2974.54	1173.31	838.287	1798.1	1276.1	1726.62	1424.32	838.721	1866.33	1241.8	1238.03	1055.41	998.126	2257.23	982.246000000001	2089.09	1637.91	1987.09	1355.17	1434.55	2578.12	1269.02	1437.47	1783.18	978.053	2123.66	1651.29	1086.84	1728.63	2919.95	1559.12	2030.71	1017.89	1298.26	1649.15	1490.06	1575.87	1255.49	795.771	1052.97	1017.57	723.022	816.327	957.811	926.476	1052.24	1227.98	919.829	1173.65	1033.28
PRPF4	902.978	426.386	673.086	693.261	516.384	963.097000000001	863.655	972.004	1018.5	1078.31	411.578	707.524	1261.31	1201.27	1690.18	488.437	1903.17	418.002	619.215	786.638	568.531	731.225	787.897	541.784	904.180999999999	441.075	583.593	809.126999999999	675.207	711.151	524.601	1361.52	508.452	872.382	442.432	644.308	804.777	620.899	615.385	852.243000000001	966.26	594.412	562.138	689.163	707.979	376.195	1444.16	1170.91	463.17	493.705	395.959	398.131	489.625	317.204	421.473	886.35	890.773	620.081	830.299	566.033	466.339	1057.64	301.695	679.526999999999	458.052	403.468	469.486	491.005	461.088	944.604	617.347	967.503	822.839	426.722	510.306	580.302	605.843	1301.12
CBFA2T2	451.969	981.613000000001	371.5	657.63	429.761	313.277	750.518	600.745	385.835	604.211	674.936	547.937	442.308	479.583	489.587	388.529	471.218	627.765	342.025	601.724	566.371	290.733	356.325	694.836	467.998	623.475	463.655	458.973	793.254	451.858	674.391	567.125	441.376	285.899	608.021	1161.44	261.369	474.003	577.649	397.537	349.578	235.067	540.46	266.872	317.538	1009.56	447.593	634.545	460.938	506.473	572.911	781.308	438.947	688.172	528.838	429.421	519.674	500.678	268.771	404.505	420.029	941.857000000001	774.576	631.075	497.073	649.711	493.993	713.588	805.858	695.917	529.762	637.4	587.016	518.724	885.696	795.952	717.2	477.145
FIBP	1306.92	710.24	1486.59	923.315	1306.05	1887.69	1255.28	1338.16	1331.92	1533.25	1245.55	666.262	2688.91	830.196	1590.22	1100.83	1186.08	1272.31	1240.31	1175.86	1154.34	1761.97	853.19	1012.68	1033.3	1113.35	887.851	899.078	1357.55	852.217	1024.35	480.444	1073.21	1671.35	1249.68	1890.34	2030.32	657.244	944.848	1013.19	634.489	1723.51	1031.58	1334.75	1269.61	560.707	1457.44	1055.15	1349.33	920.731000000001	1078.1	1585.05	786.512	1241.94	1355.81	1131.13	1023.07	1564.45	1253.44	1223.98	1190.62	1157.31	1005.08	599.372	1590.27	717.919	819.318	968.347	748.954	792.817	755.102	688.141	777.474	944.521	1351.03	788.623999999999	571.114	1030.07
STK17A	489.913	622.064	537.994	804.028	1254.63	912.555000000001	901.782	349.16	1234.14	1946.31	1280.53	2352.55	391.403	870.353999999999	1091.5	1181.31	858.545	1067.89	973.456	776.724	772.619	678.963	2171.39	2271.83	347.392	1687.08	756.49	1127.69	709.583	751.008	1270.86	482.558	2257.39	727.273	1407.5	1213.54	791.456	143.867	1788.1	534.74	1259.61	857.418	781.91	456.228	1530.98	1183.08	776.978	1243.03	154.018	1057.63	1434.74	930.841	714.286	634.409	1413.49	762.327	538.67	434.193	509.25	668.866	1112.36	497.357	1437.29	784.806	692.781	2228.9	2276.31	1988.7	2144.77	711.503	402.211	844.356	1120.06	1870.09	940.662	1104.07	1976.3	1010.42
SRSF11	3446.21	2257.95	2127.68	3130.91	1740.84	1815.88	1293.83	2252.03	2216.7	3650.22	2104.96	1509.1	1174.77	1649.19	1938.47	1846.44	1619.81	1864.99	1434.81	1986.64	1879.98	1847.61	1481.04	1786.85	1384.02	1718.82	1629.8	1652.92	2318.79	1725.48	1829.72	1058.14	1464.9	1414.81	1560.16	1667.92	1152.04	1140.33	1539.91	1979.77	2657.92	1271.68	1875.54	2155.42	1812.88	2070.75	2325.62	3531.52	2726.56	1513.74	2225.01	2657.94	2139.66	2016.13	1205.86	1900.45	1402.31	3709.63	2324.22	1469.23	1387.44	2358.92	2005.08	907.432	1458.8	2393.06	2932.24	1521.5	1868.62	1831.61	2940.48	1414.48	2162.69	1486.82	2391.63	2933.61	1662.62	3127.11
SOCS6	483.67	450.141	343.06	319.907	240.308	195.347	321.591	339.64	359.408	398.797	188.931	433.859	126.697	344.049	224.103	402.405	231.593	460.717	428.471	542.241	569.611	253.404	429.183	378.873	285.978	215.089	454.309	462.045	122.588	366.771	456.087	430.761	286.522	135.608	345.408	282.935	255.857	440.182	267.054	319.701	462.043	394.99	338.628	341.689	417.983	283.461	345.767	292.121	321.429	306.437	439.651	252.336	438.947	215.054	317.658	419.629	305.97	431.479	88.5652	216.585	357.511	600.554	444.068	660.386	301.366	522.543	360.884	565.053	396.653	361.172	341.837	277.651	294.095	583.449	384.76	1039.17	285.557	354.852
TRIP12	2260.33	3187.62	1596.8	759.876	3824.82	3922.58	2329.88	1840.31	1735.2	3169.43	1488.55	1293.08	3054.86	1303.21	2254.47	1572.62	1195.89	1181.54	2194.97	2407.33	1878.37	2620.55	1473.87	1692.02	1756.94	1698.92	2958.98	2166.3	1018.32	2691.45	2237.45	955.602000000001	989.576	1807.82	1238.03	1416.92	3445.11	2190.31	915.82	3261.65	1382.38	2164.74	1525.7	2418.43	1777.24	3561.66	1661.1	2210.91	1251.12	1788.26	1328.24	1403.74	2924.58	553.763	940.55	1707.43	1862.96	2103.12	2284.25	1764.08	1822.75	1427.13	1481.36	3648.87	1619.09	1001.16	2228.26	2204.68	1560.67	2025.41	1051.02	1976.62	1641.77	1647.25	1397.88	2649.92	1738.7	5380.51
UBE4A	2665.23	1354.05	1144.13	1140.98	1296.55	1197.35	1082.06	1294.64	1385.84	1421.41	1246.82	983.01	904.411999999999	959.552	810.426	1053.65	879.072	1155.61	1551.33	1384.91	1248.28	806.324	1302.68	1416.9	1234.18	1513.68	1810.49	820.974	1785.63	1513.21	1675.23	517.97	1401.14	919.887999999999	1478.65	1723.94	1222.32	637.557	1063.86	711.961	1141.99	956.647	947.86	1091.4	1505.06	1416.35	960.266	1079.39	1186.38	1349.88	1529.77	1467.29	1165.6	1505.38	1476.49	887.283	679.783	1983.72	1816.2	1390.97	1268.89	982.633	1250.85	1737.1	932.913	894.798	962.038000000001	1028.29	1681.17	987.295	1100.34	913.341	847.477	1023.58	1418.49	1491.76	976.295	1155.57
PPIG	763.689	979.197	654.125	524.4	634.302	931.408000000001	552.424	786.373999999999	858.88	1158.52	620.865	462.379	518.1	490.009	778.181	635.523	589.023	630.816	730.092	920.690000000001	592.287	914.361	510.401	803.286	791.343	584.153	949.637	699.868	472.839	568.742	843.661	728.858	681.524	812.783	817.594	490.795	983.004	757.698	484.76	861.917	915.183	561.657	491.123	860.779	881.328	1089.39	839.402	955.151999999999	526.786	903.706	652.649	693.458	984.436999999999	435.484	500.444	808.02	836.498999999999	716.418	915.789	840.86	565.905	516.99	605.085	1100.64	872.28	643.931	1006.25	770.005	553.975	557.683	492.347	622.577	538.522	761.905	712.68	912.501	555.127	1561.35
SNRNP40	379.443	309.22	318.175	79.7831	448.203	389.491	1046	309.722	568.71	1131.34	313.613	301.578	676.471	349.068	610.506	265.495	488.621	335.622	348.602	325.431	618.203	493.632	436.349	378.873	257.862	373.801	323.988	363.756	145.289	417.824	347.943	309.725	358.566	485.424	183.7	386.585	329.352	314.992	213.353	328.496	323.805	819.846	446.272	849.595	269.475	313.575	397.565	822.424	137.277	361.766	409.612	158.879	332.801	91.3978	263.531	378.599	420.624	113.976	436.061	215.22	387.613	290.461	371.186	146.553	258.142	239.306	284.479	406.38	383.264	243.266	274.66	289.054	241.298	512.714	290.443	519.236	305.954	969.126
CDYL	361.191	500.067	251.222	211.464	416.348	323.706	779.528	778.215	433.932	568.119	389.949	288.228	320.136	289.989	255.811	277.521	230.254	151.792	641.297	766.809999999999	293.714	232.323	331.243	326.291	511.654	326.424	380.062	513.383	327.55	429.467	205.542	328.224	240.148	275.534	192.756	265.567	504.823	568.4	158.2	890.940999999999	532.802	206.166	258.643	327.42	313.757	435.947	263.863	384.849	226.562	283.738	241.944	160.748	639.665	129.032	158.829	311.925	318.86	371.777	274.921	245.251	276.932	406.745	445.763	690.893	668.168	298.266	338.299	361.863	223.431	286.634	246.599	440.707	351.975	360.148	342.911	242.868	706.726	725.742
MED17	361.671	361.965	373.278	279.628	379.464	337.746	424.782	205.008	314.482	635.847	365.14	425.364	253.394	410.464	317.614	301.573	346.72	357.742	336.387	491.81	499.962	274.484	373.047	394.366	373.659	557.148	392.523	427.38	273.066	408.419	558.858	381.607	370.988	359.318	377.749	415.159	361.507	293.791	316.401	297.274	457.357	405.588	450.009	470.883	372.08	410.134	460.432	549.091	243.304	375.244	470.781	441.122	517.159	263.441	258.208	491.433	226.594	301.221	491.414	427.255	340.84	331.236	405.085	601.166	386.613	331.792	332.052	443.403	655.23	393.698	339.286	472.634	305.045	453.537	385.384	535.636	354.465	329.591
ADAMTS4	130.163	649.845	420.678	110.767	100.035	590.453	2464.98	188.009	1020.61	498.608	119.593	182.646	312.217	183.802	849.12	145.236	80.3213	300.534	456.66	288.793	481.604	754.501	258.386	342.723	680.355	391.804	1638.63	160.158	379.439	612.181	589.085	84.0381	1459.11	1039.08	461.837	194.413	141.938	570.419	377.358	436.236	525.773	719.653	122.594	156.961	282.976	379.541	486.995	1041.82	299.107	3247.38	49.6996	891.589	20.3512	182.796	90.5058	342.697	818.86	107.191	159.91	198.84	372.33	124.843	391.525	212.951	825.454	408.092	148.006	644.83	97.0711	79.9593	66.3265	58.1528	708.252	297.272	1416.61	257.524	1022.6	1543.7
CIR1	701.249	411.086	668.938	821.069	1086.42	790.614	661.417	739.457	763.742	983.402	1104.33	657.767	774.321	827.879	884.052	1186.86	666.667	819.222	612.168	489.655	940.532	616.601	801.433	590.141	717.351	560.938	567.497	628.346	610.994	373.489	697.229	829.809999999999	642.604	719.499	988.357	601.728	903.078	1198.89	833.091	738.786	746.017	656.069	812.558	779.791999999999	691.778	1782.98	725.623	705.455	1014.51	649.761	915.892999999999	1018.69	685.156	1096.77	743.567	891.945	701.492	1644.5	674.695	834.945	873.402	824.062	911.864	915.209	1131.02	819.653	841.422	561.527	678.661	666.78	769.558	798.746000000001	438.404	662.968	753.279	651.487	705.072	778.268
RBM39	4554.76	3577.37	3037.18	5582.49	4155.1	3119.13	3796.52	3961.79	3123.15	3604.77	6106.23	4669.3	3401.02	4618.98	3987.64	3952.82	4189.2	5478.26	2907.68	6112.93	3217.89	2890.65	4432.37	5332.86	4259.71	6315.76	5232.61	5057.48	8161.5	4265.56	6566.58	3633.19	4550.39	3354.78	4855.11	7463.89	4056.5	3534.58	6165.46	4505.28	3886.13	3329.48	4413.38	3350.17	3112.73	12192.6	4963.36	8836.36	4351.56	3405.57	6225.01	9710.28	2807.66	6467.74	3715.17	4298.4	7532.56	6533.24	4304.02	6285.52	3065.24	6342.31	4684.75	5901	5078.19	6049.71	4693.9	4363.07	6605.86	3454.51	7491.5	3967.5	6147.83	3194.17	7971.89	4548.9	6154.35	2923.82
WTAP	1552.83	1119.72	1125.17	1230.83	2291.87	1090.25	2818.48	1245.01	2578.22	1188.82	1662.85	1029.13	1890.84	1157.64	1338.17	1343.2	1072.74	1102.21	2358	2578.45	2296.8	1844.97	1043.5	1225.82	1204.22	1114.77	1704.05	2096.09	1592.35	1146.89	1223.17	1556.03	1097.23	1498.6	996.118999999999	1218.02	1231.05	1775.37	1473.15	1736.59	1143.86	1920.04	1482.34	1644.43	1028.22	1979.92	1103.27	3139.39	982.142999999999	1666.25	1090.66	1398.13	1189.55	978.495	894.41	1004.78	1008.14	845.319	1490.85	798.544	1443.47	1323.43	1847.46	1447.58	1371.15	1568.79	1224.41	1139.36	1432.64	1081.48	964.285999999999	1128.85	1318.73	1193.71	2352.28	1681.58	2748.62	1686.45
SETD1A	1587.42	1012.62	1617.54	2747.48	607.477	777.377	1017.41	1605.39	1404.86	823.883	1452.29	1099.51	1136.31	1422.53	1115.14	2051.8	1498.88	1890.92	537.468	886.638	924.875	1037.33	1297.9	1817.84	1413.61	1896.96	1330.74	1581.83	1620.24	790.864	1992.28	1690.8	1782.07	722.954	1702.46	4026.09	963.712	1171.63	1583.45	1245.38	1318.65	757.225	1575.78	844.582	1397.06	1176.86	1840.84	889.091	1588.17	1207.31	1359.91	2252.34	1276.94	2784.95	1599.82	1571.74	1268.66	2614.65	880.117	1309.98	982.23	665.492	994.915	1099.45	1610.69	1458.96	1133.11	1365.47	1946.44	1630.36	1596.09	1561	1087.21	1069.35	1479.08	1219.23	1471.89	1035.28
HDAC4	830.932	816.132	356.095	823.393	338.667	579.222	636.138	518.81	261.099	596.19	465.649	219.66	460.973	418.573	393.39	370.028	485.498	522.502	320.413	470.259	428.153	494.51	269.931	384.976	544.21	233.093	133.437	293.989	402.789	313.032	286.818	281.184	203.712	445.692	244.502	503.121	477.262	535.588	464.441	997.361	352.39	284.2	371.519	389.125	353.719	572.658	753.957	692.121	310.268	139.741	291.644	355.14	950.12	397.849	334.516	192.097	462.008	1754.41	530.161	536.913	275.08	742.512	149.153	565.276	233.528	209.249	498.799	332.773	282.008	546.841	125	496.579	434.885	145.169	259.213	370.235	194.598	701.283
BCLAF1	2879.92	2490.67	2353.43	1979.86	2399.17	2281.99	1820.14	2882.69	3022.73	1715.05	3517.81	1745.15	2017.53	2465.88	2920.87	2378.35	2481.48	1504.2	2362.23	3111.21	2059.24	3476.94	2135.16	2294.84	2341.47	1749.62	2216.51	4003.51	2884.38	2712.05	3100.59	2600.42	1965.9	2476.36	2437.26	2470.22	2085.44	3145.89	2177.07	2930.08	2254.45	1957.61	2233.6	2064.79	2412.85	2788.72	2875.93	4466.67	1768.97	2535.91	2185.14	1714.02	3486.43	2145.16	2125.11	2718.73	2278.83	3485.75	3485.41	1581.62	2039.48	2292.98	2523.73	3110.51	2227.22	1786.13	2186.45	2381.42	2846.86	3327.12	2048.47	1764.54	2195.15	2022.19	3138.66	2594.43	2727.12	3719.33
TATDN2	1336.22	2384.38	877.5	658.404	660.569	874.046999999999	1451.72	1122.95	863.108	777.988	863.868	1486.04	821.267	1040.64	741.636	701.203	819.277	916.857	834.86	1300.86	1294.72	616.162	1530.41	1411.74	1525.71	990.169	1126.69	666.959	984.595	1348.41	826.197	2091.97	769.302	1195.42	763.26	1000.64	1601.29	1137.3	537.01	825.418	681.818	1010.6	1030.09	736.213	826.785	935.468	888.987000000001	1153.94	1111.61	604.362	769.525	506.542	1735.43	629.032	574.978	790.302	1210.31	914.518	1290.35	1183.48	1270.74	1591.74	1389.83	799.163	546.901	1027.75	791.927	865.208999999999	768.201	630.866	986.395	651.083	965.585	706.889	1035.6	1311.7	1022.05	449.078
DAZAP2	5762.25	12355.5	8088.88	4223.08	6852.14	5538.31	8398.67	9869.63	11362.6	4473.65	7657.12	7926.58	4201.36	7752.49	8405.20999999999	6453.28	9219.99000000001	5812.36	8816.54	30575	7526.96	7926.66	7276.6	7462.91	4458.75	8530.14	9360.33	8756.91000000001	6167.02	17309.9	7875.06	7083.51	9518.98	6888.36	8200.52	8709.93	7676.16	7550.23	6269.96	8598.5	3425.49	16394	9674.45	6758.2	8147.43	5842.73	7221.25	4664.85	3628.35	11942.5	6411.25	5095.33	8405.03	3736.56	5951.2	9990.91	6163.5	2833.11	5753.05	5391.88	9889.91	8139.94	7837.29	4376.85	9985.89	4854.34	8927.55	7702.26	9555.65	8355.07	8482.14	12227.5	7731.33	8490.52	7754.53	5474.31	6259.65	7671.61
ZC3H11A	2976.46	4000.13	3011.11	5919.44	2014.68	3549.14	3215.91	2805.86	2873.15	3890.39	2226.46	1833.74	3642.53	2473.21	2669.89	1785.38	2296.3	2885.58	1629.32	3753.45	2666.1	3327.62	2101.72	1943.66	3665.56	1902.64	2510.9	2557.7	2253.93	2913.57	2446.35	2279.07	1769.64	2362.34	1593.79	2091.48	3143.32	4047.96	2937.59	4492.08	2680.41	2650.29	1858.34	2099.88	1804.24	3457.93	2787.83	2387.88	3324.78	1781.88	2528.13	2102.8	2692.74	1930.11	1419.7	2328.48	2763.91	2523.74	4877.85	4103.74	1840.81	3350.11	2320.34	3441.9	1809.4	2942.2	2532.44	1494.17	2030.13	4306.96	2925.17	2130.56	2988.27	1725.38	2490.32	3175.09	3114.11	2880.11
DDX46	707.013	1109.65	836.617	693.261	667.275	1324.51	796.103999999999	654.802	910.148	1007.91	855.598	1165.66	997.738	803.166	1779.93	548.566	1179.38	800.915	1081.51	1352.59	827.69	1116.82	769.981	991.08	600.074	851.83	1205.09	1830.63	597.373	1702.64	1028.38	1105.71	615.276	626.215	1003.88	1042.1	1196.6	729.934	851.959	1226.47	1090.44	802.505	1050.27	580.023	1071.96	719.885	1375.1	1189.09	574.777	1146.3	818.678	736.449	1207.5	763.441	553.682	1094.3	1358.21	530.529	801.392	678.421	928.046999999999	1212.18	835.593	2347.84	705.988	566.474	1135.03	1146.85	981.59	1828.22	977.891	1532.5	1107.55	1283.4	828.857	1141.76	1177.51	1577.79
UBAP2L	2784.34	4926.99	2125.31	1570.88	2287.96	3288.81	2701.2	2578.07	2663.32	5305.56	2213.74	1325.85	2326.36	1836.47	2737.07	2185.01	1672.91	2490.47	2285.65	2299.14	2417.2	3762.85	2044.79	2871.83	2949.69	2969.56	3806.85	1964.02	2023.03	3539.63	2496.73	3605.71	2459.45	2622.33	2001.29	2799.1	2443.27	2187.28	1478.95	4362.8	2261.01	1743.74	1389.65	3831.08	2472.26	2881.45	2975.98	3683.03	2238.84	2184.08	2055.71	1902.8	2478.85	1935.48	1457.85	1825.85	2527.14	3343.28	3848.28	2795.13	1865.82	1799.14	2276.27	9357.86	2333.48	4487.86	2044.21	2343.51	2404.18	1550.4	1901.36	1503.42	1842	1835.88	2503.44	3030.27	3849.5	3425.42
AP5Z1	826.128999999999	1820.29	1272.7	2130.91	2230.96	2284	2902.2	1024.36	1471.46	917.901	1242.37	1684.47	733.032	2692.15	2612.92	581.869	1226.24	1777.27	1841.67	759.483	1089.01	932.806	1050.66	1938.97	1600.44	1756.72	1417.96	1593.68	958.002	1435.74	1006.88	905.92	2480.98	1383.72	3292.37	910.996	1024.8	1626.96	1593.61	968.778	1189.78	1432.56	897.029	2508.29	1700.55	819.312	2260.54	1306.06	1636.16	1723	1023.48	999.999999999999	1621.71	962.366	1590.95	2674.44	1584.8	1823.61	1861.72	1895.58	3190.74	1530.83	1535.59	1452.37	1492.42	1431.21	2815.95	1958.29	1071.13	1866.17	437.925	1657.92	1692.22	2110.49	2036.85	956.12	1910.69	995.99
RBM8A	1487.81	2202.67	1933.78	1044.55	1015.41	2599.84	1688.87	1873.17	1934.29	4159.71	1416.51	893.277	1973.6	1088.48	1664.62	886.457	1141.62	1462.13	1323.37	2039.64	1266.48	2785.03	1063.31	1178.27	1172.71	1085.79	1509.56	1142.47	850.845	1810.17	1179.56	1308.9	1086.58	1924.59	923.778	1235.37	2799.11	1589.68	809.869	2609.52	1308.6	1330.93	1282.15	2484.39	1565.85	1846.42	1802.06	1930.51	738.605	1240.81	1024.1	951.924999999999	1333.42	742.634	1258.38	1049.81	2075.01	811.804999999999	2933.25	1577.29	1006.08	1218.92	834.22	4123	1173.37	1080.83	1061.08	1150.35	1526.85	1336.94	1056.22	960.838	1374.1	938.04	1297.23	1172.81	1277.63	2362.95
THRAP3	2841.5	2997.58	2348.1	2108.44	1862.11	1853.99	2293.83	2563.11	2442.92	2476.11	2255.73	1937.5	1885.18	1843.04	2193.74	1854.76	2053.55	1713.96	2129.2	1946.55	2770.31	2473.87	2336.62	2449.77	1692.56	2458.84	5952.23	2392.28	1701.31	1600.09	2865.49	1537	1914.56	1643.71	2033.64	3435	1628.39	1872.29	1519.59	2120.49	2530.93	2018.3	2065.41	2807.94	2464.16	1949.81	2649.7	2633.33	1152.9	2622.45	1807.21	1379.44	2988.43	1365.59	1824.31	2485.14	1493.22	1742.2	2197.53	1595.27	2383.56	1927.51	1866.1	1257.96	1871.83	1594.22	3246.52	2396.41	2353.97	3236.32	1948.13	2618.59	1553.38	2300.51	1379.14	2882.32	1878.72	3564.55
THOC1	382.325	152.194	354.91	747.483	151.45	239.872	591.794	202.288	230.972	396.123	207.379	254.854	238.688	265.277	234.851	216.466	332.887	441.648	232.088	246.121	390.899	120.334	258.784	221.127	220.126	126.495	192.627	220.272	244.527	263.771	231.738	247.357	292.318	153.746	265.2	246.518	185.577	344.775	328.012	262.533	369.728	181.118	266.118	287.698	298.636	565.966	298.395	524.242	579.241	109.949	537.411	684.112	276.137	612.903	306.122	231.729	447.761	761.194	307.518	657.491	354.733	430.909	355.932	245.252	322.377	470.52	200.865	194.815	328.034	197.188	459.184	202.965	188.893	197.873	434.104	300.794	230.981	78.9896
HDAC5	2589.82	1009.8	521.997	836.561	1579.33	425.993	2234.15	1687.66	1627.38	891.166	1449.11	2380.46	500.566	944.493000000001	676.609	1442.18	858.545	2385.2	685.459	963.792999999999	2485.77	281.511	1981.49	1501.41	588.975	1705.08	1247.14	849.057	2465.38	664.577	779.849	3774.31	1497.2	548.478	1653.3	2659.03	1414.33	1135.29	2483.31	368.953	1209.93	1047.21	1573.54	1743.54	863.508	2978.49	595.462	920.000000000001	1058.04	1218.66	1494.81	1007.48	604.15	1806.45	1669.92	1718.15	1864.31	978.289999999999	837.065	2214.99	2084.86	1266.05	2362.71	2190.52	578.718	2530.64	766.939	1738.35	1997.49	328.647	2037.41	1043.9	1828.31	2003.7	976.889	1755.91	3861.08	996.391000000001
SMC4	2317.48	2692.39	483.484	2867.54	273.281	3495.79	1876.92	1247.39	2691.86	3661.36	2369.59	492.718	1303.73	512.405	984.548999999999	420.907	1748.77	1277.65	1014.33	2903.02	475.665	909.53	997.711	1087.79	1878.65	895.416	4620.98	930.233	2157.94	2308.11	1076.74	609.937	736.178	1288.71	1818.89	2026.49	1178.23	1044.93	1301.89	1582.23	5308.34	964.355	2232.11	438.488	1097.34	1882.89	1566.8	3686.67	257.812	1644.26	377.936	1755.14	3380.29	1129.03	218.279	579.555	1820.22	2776.12	1624.31	1681.72	585.818	2393.15	2110.17	819.5	1777.58	752.601	1011.05	459.271	768.201	1656.11	1210.03	1169.9	1091.51	611.188	5783.26	574.719	642.778	1503.21
PQBP1	2863.11	757.75	2563.77	4718.82	960.675	1652.23	1955.24	2361.84	2332.98	1828.23	5637.4	1183.86	2221.15	1899.8	2202.88	2142.46	2578.31	3784.9	2593.38	1125.86	1200.77	1772.95	982.184	1333.8	1512.39	1807.89	1123.57	1456.34	6112.53	875.056	2571.28	1959.83	3994.74	2598.14	4548.51	4022.72	1333.95	1660.78	2831.64	1465.26	1704.31	1611.75	1444.96	12003.9	2403.13	2676.86	2660.32	1648.48	3243.3	3738.25	4393.77	2889.72	1054.27	10064.5	3546.58	1716.75	2987.11	3898.24	1745.47	2605.39	2057.54	2247.67	2747.46	1192.16	7085.7	3293.64	2406.05	1645.79	2815.9	1401.32	1811.22	1694.41	1800.55	1574.2	4582.14	838.873000000001	1735.39	1387.73
NAMPT	1463.5	4217.55	5438.6	491.867	1944.26	1744.48	4208.04	1000.56	4794.4	5616.13	789.44	1764.56	751.131	1342.99	2297.46	671.6	2651.94	1549.96	4523.37	1146.12	1991.21	1479.14	1064.6	1957.75	2192.01	2627.5	5170.3	2444.93	832.82	2815.05	1567.09	1201.37	2389.06	1241.2	4443.73	2147.51	533.303	1160.02	2011.61	2591.47	2348.17	2447.01	1433.75	2301.97	4807.34	1882.41	1787.27	2276.97	929.688	6047.88	949.753999999999	1394.39	1738.63	1086.02	1854.48	1811.87	1051.56	734.057	1869.1	1567.97	5822.06	2416.31	2015.25	1649.17	3139.73	1367.63	2119.65	2946.91	1129.71	1458.92	787.415	2057.58	3211.18	2173.37	2812.62	576.115	1745.87	5015.64
