TCGA-3G-AB0O-01	TCGA-3G-AB0Q-01	TCGA-3G-AB0T-01	TCGA-3G-AB14-01	TCGA-3G-AB19-01	TCGA-3Q-A9WF-01	TCGA-3S-A8YW-01	TCGA-3S-AAYX-01	TCGA-3T-AA9L-01	TCGA-4V-A9QI-01	TCGA-4V-A9QJ-01	TCGA-4V-A9QL-01	TCGA-4V-A9QM-01	TCGA-4V-A9QN-01	TCGA-4V-A9QR-01	TCGA-4V-A9QS-01	TCGA-4V-A9QT-01	TCGA-4V-A9QU-01	TCGA-4V-A9QW-01	TCGA-4V-A9QX-01	TCGA-4X-A9F9-01	TCGA-4X-A9FA-01	TCGA-4X-A9FB-01	TCGA-4X-A9FC-01	TCGA-4X-A9FD-01	TCGA-5G-A9ZZ-01	TCGA-5K-AAAP-01	TCGA-5U-AB0D-01	TCGA-5U-AB0E-01	TCGA-5U-AB0F-01	TCGA-5V-A9RR-01	TCGA-X7-A8D6-01	TCGA-X7-A8D7-01	TCGA-X7-A8D8-01	TCGA-X7-A8D9-01	TCGA-X7-A8DB-01	TCGA-X7-A8DD-01	TCGA-X7-A8DE-01	TCGA-X7-A8DF-01	TCGA-X7-A8DG-01	TCGA-X7-A8DJ-01	TCGA-X7-A8M0-01	TCGA-X7-A8M1-01	TCGA-X7-A8M3-01	TCGA-X7-A8M4-01	TCGA-X7-A8M5-01	TCGA-X7-A8M6-01	TCGA-X7-A8M7-01	TCGA-X7-A8M8-01	TCGA-XH-A853-01	TCGA-XM-A8R8-01	TCGA-XM-A8R9-01	TCGA-XM-A8RB-01	TCGA-XM-A8RC-01	TCGA-XM-A8RD-01	TCGA-XM-A8RE-01	TCGA-XM-A8RF-01	TCGA-XM-A8RG-01	TCGA-XM-A8RH-01	TCGA-XM-A8RI-01	TCGA-XM-A8RL-01	TCGA-XM-AAZ1-01	TCGA-XM-AAZ2-01	TCGA-XM-AAZ3-01	TCGA-XU-A92O-01	TCGA-XU-A92Q-01	TCGA-XU-A92T-01	TCGA-XU-A92U-01	TCGA-XU-A92V-01	TCGA-XU-A92W-01	TCGA-XU-A92X-01	TCGA-XU-A92Y-01	TCGA-XU-A92Z-01	TCGA-XU-A930-01	TCGA-XU-A931-01	TCGA-XU-A932-01	TCGA-XU-A933-01	TCGA-XU-A936-01	TCGA-XU-AAXW-01	TCGA-XU-AAXX-01	TCGA-XU-AAXY-01	TCGA-XU-AAXZ-01	TCGA-XU-AAY0-01	TCGA-XU-AAY1-01	TCGA-YT-A95D-01	TCGA-YT-A95E-01	TCGA-YT-A95F-01	TCGA-YT-A95G-01	TCGA-YT-A95H-01	TCGA-ZB-A961-01	TCGA-ZB-A962-01	TCGA-ZB-A963-01	TCGA-ZB-A964-01	TCGA-ZB-A965-01	TCGA-ZB-A966-01	TCGA-ZB-A969-01	TCGA-ZB-A96A-01	TCGA-ZB-A96B-01	TCGA-ZB-A96C-01	TCGA-ZB-A96D-01	TCGA-ZB-A96E-01	TCGA-ZB-A96F-01	TCGA-ZB-A96G-01	TCGA-ZB-A96H-01	TCGA-ZB-A96I-01	TCGA-ZB-A96K-01	TCGA-ZB-A96L-01	TCGA-ZB-A96M-01	TCGA-ZB-A96O-01	TCGA-ZB-A96P-01	TCGA-ZB-A96Q-01	TCGA-ZB-A96R-01	TCGA-ZB-A96V-01	TCGA-ZC-AAA7-01	TCGA-ZC-AAAA-01	TCGA-ZC-AAAF-01	TCGA-ZC-AAAH-01	TCGA-ZL-A9V6-01	TCGA-ZT-A8OM-01
AKAP17A	2488.31	2562.14	1440.19	2416.25	1421.91	1769.86	970.488	2607.86	3314.89	2884.03	1568.32	2350.42	2193.72	1773.8	2577.35	1376.36	2009.62	2391.85	1667.92	2539.55	1719.77	3811.95	1702.98	2261.21	2482.36	1351.67	3686.96	1026.69	2134.79	903.863	2462.17	1694.43	3398.7	2660.69	2832.9	1792.76	1543.85	3121.98	2197.48	2589.27	2267.55	2812.85	2984.99	1608.91	2132.73	2650.75	1091.53	1647.84	2187.26	2358.53	2025.23	2408.2	2400.08	3434.83	2085.7	2958.42	2791.92	2951.78	2035.15	2283.19	2380.29	2203.5	2838.09	4682.43	2642.63	4083.65	2831.95	2559.77	1997.76	2695.66	1822.26	2517.63	1728.09	2446.06	1355.48	1851.54	1111.38	1703.72	2007.81	1956.36	1649.19	311.062	1501.42	1624.41	1934.92	2444.33	2251.86	2326.6	2656.61	2466.2	3125.67	2739.05	3738.84	2879.28	1591.23	2023.16	2307.11	2398.35	2573.75	2264.48	3895.4	3309.81	2412.46	2965.24	2034.63	2467.09	2264.24	2332.79	1925.95	2199.39	2271.61	1948.09	1330.16	1280.38	2658.67	2376.71	1590.66	2658.73	1525.12
RBM10	3088.51	2582.25	3814.12	2664.98	2120.67	2597.05	2021.75	2779.49	2313.86	2560.43	2578.72	3337.59	2569.95	2303.06	3860.48	2668.22	2794.81	2821.93	5351.54	2844.91	3866.76	2693.88	2202.98	2883.54	2497.49	2019.13	2898.37	5952.12	3823.24	5241.2	4049.57	2283.89	2715.15	2246.2	2464.66	2882.65	4629.42	2790.69	3005.25	2647.77	2413.69	1875.5	2214.34	2020.56	2903.18	3073.5	4456.11	4293.91	2894.77	2464.76	1866.85	1827.23	2823.58	2811.82	2291.15	3275.12	1844.79	2243.45	2510.13	1748.02	2792.53	3318.46	2345.15	2233.27	3088.64	2167.31	2110.59	2792.92	2416.95	3080.29	3893.01	2621.64	1942.55	2637.09	1939.71	3323.81	1745.54	2921.69	2003.22	2924.21	3939.21	5079.78	3852.67	3753.01	1776.57	3157.38	2090.28	2343.7	2863.51	1936.16	2134.09	2149.21	2363.93	2038.99	2108.72	1689.06	3451.61	2825.73	1982.95	2523.34	2391.15	3264.22	3240.06	2000.34	1871.38	1998.42	1899.69	2090.73	3322.78	2346.92	1935.09	3779.23	2432.92	3890.19	2778.08	3648.45	3786.95	1878.81	6826.6
DGKZ	3040.28	2123.15	6162.72	2789.35	1333.7	3086.81	3702.6	3030.41	3395.04	3546.75	2609.9	3420.11	1937.51	2030.68	3947.46	2928.29	3177.78	3005.13	5728.81	2956.48	4304.13	2072.44	2355.66	2367.51	2042.06	2808.2	3093	6525.37	3751.29	4364.81	3931.84	2493.41	3336.3	2015.97	2466.67	2954.43	4698.73	3537.55	3528.36	3074.57	2688.12	2722.97	1668.17	907.489	2694.09	3234.44	5721.65	3042.37	3895.84	2749.25	2496.15	2569.2	2953.5	2708.65	2691.91	4151.7	1604.61	1042.19	2658.23	1659.99	3155.59	4198.1	2218.07	2021.86	2437.31	1821.63	1369.71	2681.13	1557.3	2936.81	3446.65	3357.52	4062.55	1660.63	1492.44	3392.16	2188.82	4055.36	2460.02	2467.16	4977.69	11708.6	4424.53	4247.48	857.716	2849.74	1624.06	2404.19	3028.82	2245.17	1686.51	2743.26	1641.39	1984.74	4035.96	1080.78	2845.78	3249.45	1213.25	2235.09	3151.1	3184.19	3554.78	1527.95	1890.46	1591.25	1134.03	1588.82	3945.57	2405.01	1885.21	3240.69	4570.88	6067.16	3583.42	2990.65	3321.36	1769.31	8222.66
API5	2661.86	1767.39	1940.19	2081.23	2211.1	2627.35	1887.96	2683.01	2316.96	2055.96	2214.03	1922.36	2237.82	1471.74	1532.4	2372.09	2797.35	2164.8	2065.91	2131.61	2342.51	1694.63	2756.77	2596.1	2051.48	2883.35	1953.5	1299.58	1789.26	1543.35	1522.33	3258.39	2866.69	2193.61	2200.86	2527.47	2299.15	2209.65	2192.23	2144.67	2497.36	2070.31	2348.72	1495.84	2405.91	1680.79	1902.97	2267.43	2369.67	2207.55	2096.71	2093.79	2396.29	2074.3	2271.58	2222.22	2812.69	2800.39	2890.04	1982.3	3085.62	2282.74	1837.15	1855.49	1789.42	1757.69	2204.55	2351.88	1762.6	2451.71	1530.63	2183.11	2561.7	1938.02	2531.68	2026.33	2176.77	1939.46	2645.68	2390.45	2295.04	1715.31	2042.15	2150.97	1819.24	2297.67	2358.9	2489.69	2273.75	2199.03	2282.57	2414.71	2271.44	2085.97	1787.33	2562.25	2547.5	2305.11	2035.59	2316.77	2216.81	2145.26	2385.61	2251.87	2295.41	2074.5	2570.67	2112.28	2431.65	3061.69	2733.52	2165.18	2169.84	1877.4	2226.28	2081.24	2783.36	2339.78	2136.95
PRPF18	818.568	481.647	434.062	454.075	397.345	716.97	461.452	678.421	738.325	556.957	704.862	498.301	458.384	555.76	517.642	571.233	744.714	488.168	516.635	626.525	825.626	493.061	724.407	717.103	549.069	456.157	488.96	312	594.313	346.781	431.908	679.371	644.781	430.499	491.571	719.326	580.127	681.889	625.137	679.289	601.5	481.417	441.216	260.817	705.700000000001	398.739	547.465	618.058	732.223	605.111	560.666	418.622	578.412	478.881	587.336	728.077	385.279	216.456	670.769	409.287	747.861	678.687	444.274	479.353	510.951	457.192	451.464	635.807	372.333	619.894	479.425	477.982	443.17	524.257	464.029	486.403	638.453	476.06	592.707	582.866	514.646	165.363	469.482	600.19	349.667	576.94	489.653	519.83	601.924	414.978	431.799	585.629	413.356	365.168	539.087	535.052	680.323	678.66	396.568	507.303	509.955	490.836	675.924	459.686	435.866	424.868	565.905	469.087	752.202	696.032	534.479	686.051	386.061	373.529	538.691	570.151	824.261	380.355	511.537
CDK13	1259.08	654.664	755.927	627.811	1059.08	795.25	586.932	1118.61	1001.03	1283.44	518.945	668.399	889.489	738.308	1178.63	1209.3	969.961	936.439	472.065	874.266	543.085	542.366	1359.13	1082.7	1559.04	1382.75	529.243	238.784	774.213	368.24	599.535	1458.14	1095.62	973.899	1011.73	877.653	481.612	899.762	557.773	802.216	1121.13	977.795	1032.28	1246.7	764.091	440.451	430.333	619.594	756.611	957.526	1275.4	943.991000000001	1243.49	1397.73	888.124	835.329	825.906	1351.43	1117.76	1318.58	1299.5	826.813	816.442	883.14	594.346	828.365	1279.73	996.571	1006.35	1016.95	771.93	1192.15	1290.21	1302.96	2195.88	583.193	1053.98	823.645	1453.58	1244.83	668.712	240.447	533.89	548.438	1157.26	742.68	1356.47	1293.93	904.024	1100.86	1027.09	1308.23	1451.45	1015.13	727.068	1051.24	666.372	793.508	1092.52	1309.85	890.478	1146.11	663.802	1070.21	639.576	1117.86	1348.23	1281.49	705.063	1434.44	1484.11	990.561	831.589	531.983	1253	654.206	496.709	1462.26	392.118
STK19	480.353	709.201	588.249	462.244	373.293	566.863	407.795	436.851	498.087	452.073	452.085	692.165	490.26	301.09	502.394	318.392	480.686	342.254	927.194	359.845	889.327	705.422	462.842	452.301	473.39	144.622	765.412	490.047	833.103999999999	781.974	940.738	385.763	437.549	407.639	574.06	456.511	992.871	612.406	670.163	576.527	425.688	484.14	392.08	1048.39	595.827	1195.49	869.162	775.199	579.288	473.706	297.905	337.672	419.741	283.338	327.048	680.918	455.604	257.642	465.459	369.394	429.275	664.836	597.057	638.434	734.745	605.764	441.019	467.178	381.676	453.921	915.157	353.198	462.86	469.301	312.843	523.697	314.733	189.724	400.62	381.87	780.335	436.201	703.991	730.351	348.563	396.411	330.348	541.288	506.648	437.913	581.099	462.378	423.756	436.789	528.67	490.793	724.392	639.254	444.774	466.404	574.859	474.228	637.739	459.755	367.625	360.434	317.278	419.527	669.683	402.042	342.521	553.54	322.935	497.601	574.406	766.377	692.615	380.474	1089.25
PRPF4B	2108.4	1316.96	1138.47	868.288	1740.36	1875.51	1025.99	2239.13	2385.21	2051.44	1324.64	1084.81	1719.81	662.573	828.955	1492.25	2227.79	1522.09	1011.93	1559.59	1484.43	1269.37	2079.46	1874.76	1504.89	1540.56	923.298	627.327	1018.93	705.579	1198.04	2855.93	1949.76	1858.98	1561.66	1677.9	1189.53	1963.98	1144.43	1528.64	2126.62	1680.94	1911.04	819.383	1655.45	854.077	1117.85	1495.15	1586.62	1540.34	2420.46	1785.46	2069.39	1828.11	1312.8	1718.9	1566.09	2518.23	2114.69	1933.4	2634.59	1265.43	881.078999999999	1464.32	1131.71	1246.15	2016.26	1784.1	1677.12	1968.94	968.076	1507.92	1427.66	1442.51	1306.79	1030.25	2145.7	1185.11	2300.09	1989.43	1208.03	632.849	1181.7	1410.96	1890.05	1719.42	2357.18	1897.51	1590.84	929.184	1902.04	2168.83	2038.27	1556.6	1369.29	2056.46	1357.93	1677.06	1971.54	2199.65	1594.55	1197.04	1390.98	1976.82	1477.74	1911.71	2418.96	2240.34	1353.8	2735.8	2767	1477.71	1561.37	694.03	1870.77	1084.11	1509.87	2289.4	1364.53
MBD4	1302.83	764.931	829.741000000001	499.312	820.804	1202.29	586.103	1262.54	1156.15	1061.25	1065.78	789.668	766.127	1064.72	746.059	1036.82	1211	1022.33	927.181	1064.59	1075.31	749.225	1205.41	1161.63	989.243	967.72	855.225	608.191	621.266	666.094	708.495	1375.27	1173.83	791.196	987.697	1233.46	1121.64	1017.67	940.651	1031.13	1041.93	895.321	921.547	1279.49	1157.27	790.236	925.173	965.578	1168.92	1083.4	1117.03	1165.75	1093.75	739.107	887.037	681.304	938.444	687.713	1198.06	857.01	1257.92	865.632999999999	674.929	749.777	864.503999999999	803.846	730.755	1094.58	832.4	1052.93	553.351	734.182	648.511	612.362	1025.59	879.552	886.564	694.348	1134.19	1042.26	839.933	808.045	846.781999999999	1061.87	778.102	1127.85	938.275	864.52	1165.31	858.369	756.161	1010.51	667.966	624.289	1211.97	791.836	1072.91	1115.3	709.327	889.369	831.471	855.099	1083.24	743.695	814.841	846.275	1093.37	869.524	1095.57	1147.28	949.778	1093.86	671.741	930.704000000001	749.182	928.108999999999	1196.29	739.859	970.443
SART1	3772.25	3137.4	6458.51	2787.06	1955.06	4362.82	3280.52	3523.96	3150.98	4164.24	4062.54	3618.87	2693.31	1634.29	3766.49	2642.25	3694.71	4296.57	6713.75	4026.25	5506.15	3551.66	3071.48	3526.41	2085.79	1882.49	3721.96	4318.07	4107.16	5598.28	4959.98	2224.82	3906.81	2442.93	2929.9	4205.37	5350.78	3596.33	4481.09	4129.1	3106.08	2407.88	2503.75	1572.69	4051.36	4054.72	5626.58	5114.74	4534.27	3675.49	2609.67	2601.86	3636.4	2435.81	3303.2	4993.68	2297.96	1756.67	3265.78	1950.16	3858.92	4267.33	2442.11	2162.8	3742.42	3032.69	2705.1	3676.94	2458.01	3980.4	3841.24	2795.55	1701.28	1742.25	1629.39	4211.2	1811.81	2585.23	2419.58	3022.05	5395.98	9134.3	5277.39	5552.94	1837.27	4555.34	2196.63	2168.9	3684.35	2644.31	2107.15	2463.05	2111.27	2023.01	2513.27	1491.6	5131.24	4265.11	1882.09	2983.58	2862.76	3332.12	4631.58	2082.48	1731.45	2283.41	1836.94	2317.17	5292.41	3006.6	1992.14	4099.11	2306.37	2816.63	2831.52	4773.54	5706.16	1646.73	6752.71
PRPF4	878.667	536.769	637.392	659.018	642.441	744.472	939.008	828.849	550.155	488.961	1042.4	625.246	671.513	823.344	458.844	894.186	931.845	541.201	617.702	643.178	729.182	556.042	915.336999999999	762.861	926.007	842.698	594.439	704.703	858.657	636.052	448.748	830.004	815.235	526.685	715.308	762.172	736.916999999999	741.081	691.177	806.794	808.405	604.547	605.481	513.95	731.364	464.592	645.075	787.29	665.947	677.763	739.313	531.612	824.212	810.88	741.371	793.746	616.692	651.097	938.599	576.153	942.038	997.299	561.657	500.446	536.876	388.942	508.854	719.384	511.758	740.279	670.693	787.378	712.766	1189.16	916.392	903.081	994.055	751.496	930.147000000001	878.732	804.796	414.749	561.23	651.513	446.452	624.661	621.629	686.866	742.984	535.408	496.25	725.394	496.811	399.564	785.504	657.788	809.103	675.122	461.228	694.901	716.585	1038.44	726.101	453.988	749.823	538.825	558.011	596.549	865.19	756.764	718.825	908.757000000001	908.658	739.872	973.828	808.052	890.485	575.622	688.67
CBFA2T2	840.378	751.755	593.75	701.698	1137.59	546.274	1069.48	906.225	996.898	1012.8	1206.08	682.888	664.814	1125.4	1178.05	950.775	704.601	734.615	443.817	754.059	562.636	764.184	972.588	709.935	1387.16	1185.31	733.941	658.111	962.918999999999	410.3	674.929	905.652	972.446999999999	1011.69	801.717	999.999999999999	390.382	911.655	566.702	621.12	861.208000000001	1000.53	926.051000000001	2163	566.818	575.644	542.372	596.646	644.361	686.858	728.802	936.396000000001	885.374	1525.71	831.235	689.288	710.347	1409.89	754.515	1010.25	867.267000000001	916.458	983.056	735.95	736.793	878.365	984.098000000001	792.509	964.538999999999	853.377	1171.7	1632.39	1122.13	1560.71	1017.4	530.532	1583.51	981.873	1191.64	967.846	549.359	235.084	479.21	561.566	1054.33	672.56	1047.71	1363.6	742.629	1140.56	1140.67	1133.1	1175.05	1012.71	764.152	1116.97	594.786	663.238	1088.84	1044.94	851.14	931.248	570.355	910.702	1191.52	926.684999999999	1322.04	888.889	616.456	1058.65	1004.1	886.209	548.525	782.516	742.639	647.735	442.849	1212.73	389.163
FIBP	2011.93	1384.23	3161.1	2636.53	990.846	2337.43	2191.57	1984.72	1486.56	1057.37	2897.06	1966.45	1272.41	1772.47	1257.44	1834.11	2404.94	1732.32	4269.93	1435.58	3356.99	1591.2	1624.91	1804.49	1390.52	1224.25	1980.82	3879.61	2776.31	4635.19	1896.72	1238.42	1912.48	1157.38	1440.06	2161.05	3392.5	1867.48	2670.69	2238.27	1640.98	1203.28	1109.23	1358.79	2360	2065.99	4849.95	3324.8	2385.86	1897.23	1100.21	1266	2035.64	1453.41	2300.93	2511.31	1080.06	643.712	1925.3	1132.28	1902.87	2660.13	1219.01	1032.11	1859.17	1064.9	681.605	1618.71	1231.06	2080.16	2108.14	2212.43	1372.77	1079.42	857.695	3133.89	1287.99	1849.81	1328.12	1462.56	3129.95	4371.84	3034.74	2813.18	737.196	1883.86	900.196	1318.63	2190.56	1690.45	864.534	1109.98	649.539	858.7	1972.19	899.826	2760.49	2157.01	776.689	1185.39	1525.7	1689.83	2646.62	935.924	995.76	1065.43	539.184	955.415	3000	1626.43	931.671	2217.62	1634.63	1893.39	1759.54	2615.38	4020.95	645.443	4504.43
STK17A	1207.36	559.655	829.203	410.739	585.298	1427.52	666.045	811.654	933.816	697.593	562.84	1038.19	895.35	349.002	581.436	850.388	830.565	639.71	991.212	916.408	1042.72	655.198	1214.43	966.807	603.771	1021.35	694.152	328.639	715.619	569.957	462.174	1047.17	933.549	581.613	914.163	889.513	1289.25	915.393	1313.03	1490.99	1262.06	1311.39	848.723999999999	304.454	1534.55	767.704	667.143	1170.34	1155.42	1061.21	2393.83	1766.47	1070.13	687.124	594.981	1001	453.928	288.317	803.377	1049.37	908.051	641.921	505.805	256.913	620.871	442.308	470.907	1160.82	905.562	526.233	685.649	701.104	582.553	619.136	711.637	682.353	634.8	585.767	1497.7	1050.53	1129.39	1572.29	857.414	1100.28	649.225	813.294	638.096	583.947	996.097	526.288	869.738	886.165	428.42	547.282	1136.11	433.99	800.707	1502.46	558.774	1128.78	591.417	562.144	1105.26	401.159	545.583	925.897	377.374	792.379	1101.9	794.398	754.014	1102.25	995.243	1297.44	1317.88	547.807	1079.59	783.497	855.172
SRSF11	3888.61	1755.25	1732.76	2301.97	2446.32	3546.27	1790.2	4603.41	6145.29	4881.86	2374.43	1916.06	2627.72	1227.27	2591.36	2948.45	3800.71	4354.23	1328.31	3374.44	1992.03	1834.38	3571.48	3847.15	2873.21	4516.48	2068.07	1210.56	1790.12	1024.03	2960.5	4668.93	3773.1	3250.49	3809.16	2971.91	1718.53	3274.55	2236.34	2848.71	3802.55	2704.2	3361.11	1892.8	2741.36	1100.86	1278.27	2010.59	2863.46	2947.16	4612.47	4587.81	4067.91	3192.33	3236.53	3064.54	3333.08	2932.71	3733.94	3891.01	4623.02	2298.75	1914.97	2142.28	1570.35	2084.62	3784.6	2938.41	3011.57	3830.38	2035.09	2429.31	3735.32	2848.09	4249.8	1803.92	4350.06	2817.04	4404.87	3346.81	1871.72	416.536	1583.44	1952.11	3842.57	3457.61	4331.16	3916.62	2747.62	3446.35	3105.77	5096.32	3334.51	2301.49	3876.95	3248.41	2241.71	2839.44	3250.68	3496.54	2621.81	2555.11	2424.81	1628.49	3210.6	3648.4	3547.26	4185.84	2236.08	4257.79	4084.73	2311.48	3008.56	1863.54	3682.66	2054.64	1970.68	3417.24	1822.66
SOCS6	117.852	453.896	113.147	265.718	473.232	144.144	284.975	177.679	184.591	206.048	177.631	359.083	461.63	331.286	181.553	172.868	154.279	300.333	137.476	284.629	87.6177	374.399	152.325	256.872	349.817	465.243	254.075	115.648	180.089	103.863	240.124	305.992	131.28	483.444	487.84	116.729	134.371	257.9	204.307	98.6873	309.38	438.541	493.994	218.306	195.909	286.481	75.5417	116.505	160.82	271.032	121.934	271.122	166.192	288.676	85.8773	136.726	475.075	1124.65	220.067	448.999	115.556	139.67	490.744	545.049	288.823	512.019	986.99	303.987	636.432	255.172	263.445	213.469	539.574	538.865	255.261	138.375	585.018	362.175	210.938	357.373	123.257	25.9218	175.432	180.868	1094.36	256.284	544.44	292.29	205.476	148.605	649.319	364.974	808.646	599.588	285.995	806.312	222.271	185.579	740.615	387.208	322.754	376.379	131.042	633.265	371.025	752.858	788.583	664.324	94.3038	134.718	599.932	121.133	292.103	195.096	302.617	232.207	80.7899	938.61	108.374
TRIP12	2940.33	1932.09	1656.25	1925.65	2704.58	2625.72	2476.55	2980.1	2023.78	1411.98	1799.28	1899.99	2648.93	2348.24	1193.23	2514.73	2781.01	1419.37	1824.86	1767.53	2420.71	1699.33	3079.46	2198.24	2571.83	3963.45	1119.85	1855.36	2141.69	1993.99	1458.82	3906.5	3254.46	2629.53	2321.89	2388.26	2355.02	2387.36	1999.47	2328.31	2907.51	2324.87	2518.39	1286.83	2111.36	1543.99	2176.28	2522.51	2480.3	2249.75	3599.16	1945.7	2795.74	2250.83	2686.84	2423.15	1783.61	3979.2	3119.57	2290.17	3547.44	2307.95	1397.55	2122.21	1952.5	1746.63	2450.67	2385.95	1958.19	2315.24	1650.27	2420.1	3565.53	2474.51	3079.06	2099.16	2886.41	2448.43	3468.29	2943.96	2010.04	1365.81	1785.46	2049.84	2725.78	2041.38	3110.2	3219.94	2140.43	2880.36	2376.24	2938.7	3210.13	2544.13	2682.4	3250.72	2379.14	2451.83	1937.67	3239.84	2458.65	1918.27	2344.79	2555.9	2602.12	2432.01	3204.81	2850.63	2501.9	4092.8	3782.71	2266.91	2771.17	2111.94	2525.08	1746.23	3089.77	3494.59	2333.99
UBE4A	1586.77	1410.93	1116.92	1833.41	1947.85	1669.12	1215.7	2098.07	2959.15	2602.41	1465.76	1276.95	1353.63	893.322	2492.12	1488.76	1557.67	1970.19	1153.8	1573.4	1415.64	1335.61	1403.19	1569.07	1399.61	1439.45	1397.41	1113.21	1392.03	1250.64	2183.84	1978.33	1685.98	1922.87	1466.38	1364.54	1428.57	1497.11	1248.95	1496.08	1512.69	1535.29	2116.74	1110.62	1334.55	1463.52	1329.19	1508.38	1345.39	1391.54	1646.11	2051.26	1624.38	1391.66	991.394	1287.09	1881.04	2077.6	1478.35	1823.47	1654.16	1048.12	1496.39	1630.24	1475.55	1438.46	1871.7	1349.18	1553.94	1432.89	1328.73	1622.16	1292.77	1493.65	1982.48	1067.79	1236.31	890.794	1932.44	1519.52	1360.29	762.458	1353.33	1316.15	1778.33	1846.82	1854.59	1901.63	1355.15	1754.29	1313.33	1934.85	1807.94	1813.29	982.722	2194.85	1338.93	1519.37	1828.35	1642.18	1481.9	1339.15	1209.45	1982.96	1521.55	1583.37	1938.99	1788.08	1143.67	2113.76	1736.25	1188.78	975.262	942.431	1697.93	1355.86	1099.94	1840.33	1455.17
PPIG	1399.3	570.751	835.128999999999	1011.47	1189.18	1547.91	1241.79	1402.32	1280.25	1142.63	1016.15	818.647	844.275	1018.66	809.107	1322.48	1348.94	1128.05	816.07	1195.51	1088.34	712.897	1460.1	1534.39	1321.23	1452.78	805.369	375.231	930.606	338.197	451.33	1443.26	1467.99	981.301	1064.09	1475.66	1033.95	1118.25	1065.65	1282.43	1307.06	1097.54	1170.05	792.462	1233.18	639.485	768.149	1069.73	1145.71	1277.67	1448.49	1223.47	1229.99	1066.57	1236.34	1180.31	1241.31	1476.66	1517.74	1224.03	1457.44	1136.57	749.608	838.091	842.4	869.712	1170.58	1088.84	1088.09	1827.33	892.148	1119.52	1230.21	1280.95	1342.28	937.815	1140.55	892.221999999999	1407.63	1405.6	976.018	399.553	788.304	1034.64	1147.14	1296.23	1302.26	1466.83	1164.96	1309.55	866.065	1194.05	1132.88	925.052	942.829	1106.25	865.223	1218.15	1020.37	1125.32	1009.83	1082.58	1171.86	1111.45	987.986	986.992	1419.72	1151.56	1275.95	1514.62	1476.26	1272.16	1138.92	731.343	1239.37	1033.79	1052.06	1248.44	638.424
LPXN	3410.74	456.67	1783.41	905.461	619.972	3144.14	1746.71	2604.04	2887.28	3768.94	1159.73	1235.37	1228.87	128.883	1551.66	1601.94	2914.97	2408.67	1501.57	2616.93	2263.58	501.763	2666.9	2591.99	937.443	2012.98	860.499	391.871	875.89	1113.3	651.691	2656.61	3293.76	810.674	1385.69	3354.56	1798.44	2038.4	1744.22	3009.45	2105.42	1258.79	890.015	121.39	2032.73	682.403	1533.75	2285.97	2376.69	2184.99	2693.76	1790.01	2698.72	1191.38	1744.72	2473.72	600.453	230.469	2623.38	1117.84	3700.58	1499.95	399.435	267.618	871.38	463.462	276.473	2181.12	712.579	1745.54	858.211	1055.41	207.234	662.828	498.237	1584.31	566.627	1162.6	2547.33	2208.08	1844.39	537.207	1538.64	2156.31	715.203	2299.15	1183.56	1303.75	2357.29	646.996	240.318	1408.41	193.48	202.93	1851.95	232.484	2146.27	2529.08	484.05	1942.52	1094.32	1014.67	2287.33	321.404	607.774	1198.66	338.354	1240.26	2650	2761.44	1534.34	2627.69	1241.2	2030.92	1738.82	1654.21	2211.25	652.187	1306.4
SNRNP40	1523.12	998.641	780.172	1390.09	930.652	1175.27	1060.78	1409.01	757.497	492.837	1989.22	1127.65	1052.76	603.225	417.98	1242.64	1833.56	589.854	1204.65	820.725	1445.33	942.836	1597.5	1199.95	787.425	1095.13	1244.97	777.919	1457.09	819.742	420.862	1300.89	1509.72	991.43	1072.1	1470.04	1440.59	1318.04	1489.5	1346.52	1242.73	1036.48	891.892	577.092	1482.27	1068.67	1156.04	1117.39	1380.46	1302.77	853.539	844.504	1374.67	1361.05	1323.31	1555.89	799.471	898.182	1560.92	754.541000000001	1612.18	1611.21	1018.83	941.57	1148.91	863.942	729.31	1206.37	720.791	1130.51	965.2	1327.19	1089.36	835.902	902.741	1508.12	536.187	1099.38	1108.92	1283.88	1320.13	585.475	1170.31	1316.15	577.969	763.914	830.211	987.706	1393.18	1048.28	878.31	1000.7	692.062	584.574	1188.93	1060.51	1317.28	1395.04	713.744	1055.75	1169.42	1208.68	1551.56	882.413	969.611	821.048	839.882	836.73	1677.85	1303.27	1034.16	1620.35	1120.36	1093.82	1465.1	1414.81	1499.1	793.811	1075.86
CDYL	320.239	610.627	280.172	364.387	595.839	334.152	524.801	290.718	163.392	175.044	345.416	262.698	393.53	220.119	193.228	287.985	315.818	218.643	178.28	267.012	249.095	315.418	346.287	322.117	448.372	525.021	280.441	185.536	241.699	121.03	222.566	429.239	297.002	539.93	268.67	280.899	173.975	428.474	245.273	334.723	399.74	654.243	471.096	398.923	333.182	392.167	319.991	227.714	370.75	419.463	524.877	451.87	305.389	304.773	271.764	282.435	464.879	847.411	369.682	633.908	364.66	295.748	354.252	748.439	514.773	650.481	770.148	412.717	512.131	293.494	195.571	381.242	468.511	557.832	455.921	200	796.195	829.36	374.54	284.336	293.921	165.363	248.339	241.157	611.398	262.21	547.527	440.493	357.628	271.459	825.348	378.984	867.47	813.658	505.689	696.873	244.808	318.135	566.873	424.373	495.753	274.524	204.082	777.096	590.106	478.518	771.938	497.228	268.987	461.421	548.001	364.447	660.323	299.574	422.028	205.607	221.424	693.444	188.177
