TCGA-2J-AAB1-01	TCGA-2J-AAB4-01	TCGA-2J-AAB6-01	TCGA-2J-AAB8-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AABE-01	TCGA-2J-AABF-01	TCGA-2J-AABH-01	TCGA-2J-AABI-01	TCGA-2J-AABK-01	TCGA-2J-AABO-01	TCGA-2J-AABP-01	TCGA-2J-AABR-01	TCGA-2J-AABT-01	TCGA-2J-AABU-01	TCGA-2J-AABV-01	TCGA-2L-AAQA-01	TCGA-2L-AAQE-01	TCGA-2L-AAQI-01	TCGA-2L-AAQJ-01	TCGA-2L-AAQL-01	TCGA-2L-AAQM-01	TCGA-3A-A9I5-01	TCGA-3A-A9I7-01	TCGA-3A-A9I9-01	TCGA-3A-A9IB-01	TCGA-3A-A9IC-01	TCGA-3A-A9IH-01	TCGA-3A-A9IJ-01	TCGA-3A-A9IL-01	TCGA-3A-A9IN-01	TCGA-3A-A9IO-01	TCGA-3A-A9IR-01	TCGA-3A-A9IS-01	TCGA-3A-A9IU-01	TCGA-3A-A9IV-01	TCGA-3A-A9IX-01	TCGA-3A-A9IZ-01	TCGA-3A-A9J0-01	TCGA-3E-AAAY-01	TCGA-3E-AAAZ-01	TCGA-F2-6879-01	TCGA-F2-6880-01	TCGA-F2-7273-01	TCGA-F2-7276-01	TCGA-F2-A44G-01	TCGA-F2-A44H-01	TCGA-F2-A7TX-01	TCGA-F2-A8YN-01	TCGA-FB-A4P5-01	TCGA-FB-A4P6-01	TCGA-FB-A545-01	TCGA-FB-A5VM-01	TCGA-FB-A78T-01	TCGA-FB-A7DR-01	TCGA-FB-AAPP-01	TCGA-FB-AAPQ-01	TCGA-FB-AAPS-01	TCGA-FB-AAPU-01	TCGA-FB-AAPY-01	TCGA-FB-AAPZ-01	TCGA-FB-AAQ0-01	TCGA-FB-AAQ1-01	TCGA-FB-AAQ2-01	TCGA-FB-AAQ3-01	TCGA-FB-AAQ6-01	TCGA-H6-8124-01	TCGA-H6-A45N-01	TCGA-H8-A6C1-01	TCGA-HV-A5A3-01	TCGA-HV-A5A4-01	TCGA-HV-A5A5-01	TCGA-HV-A5A6-01	TCGA-HV-A7OL-01	TCGA-HV-A7OP-01	TCGA-HV-AA8V-01	TCGA-HV-AA8X-01	TCGA-HZ-7289-01	TCGA-HZ-7918-01	TCGA-HZ-7919-01	TCGA-HZ-7920-01	TCGA-HZ-7922-01	TCGA-HZ-7923-01	TCGA-HZ-7924-01	TCGA-HZ-7925-01	TCGA-HZ-7926-01	TCGA-HZ-8001-01	TCGA-HZ-8002-01	TCGA-HZ-8003-01	TCGA-HZ-8005-01	TCGA-HZ-8315-01	TCGA-HZ-8317-01	TCGA-HZ-8519-01	TCGA-HZ-8636-01	TCGA-HZ-8637-01	TCGA-HZ-8638-01	TCGA-HZ-A49G-01	TCGA-HZ-A49H-01	TCGA-HZ-A49I-01	TCGA-HZ-A4BH-01	TCGA-HZ-A4BK-01	TCGA-HZ-A77O-01	TCGA-HZ-A77P-01	TCGA-HZ-A77Q-01	TCGA-HZ-A8P0-01	TCGA-HZ-A8P1-01	TCGA-HZ-A9TJ-01	TCGA-IB-7644-01	TCGA-IB-7645-01	TCGA-IB-7646-01	TCGA-IB-7647-01	TCGA-IB-7649-01	TCGA-IB-7651-01	TCGA-IB-7652-01	TCGA-IB-7885-01	TCGA-IB-7886-01	TCGA-IB-7887-01	TCGA-IB-7888-01	TCGA-IB-7889-01	TCGA-IB-7890-01	TCGA-IB-7891-01	TCGA-IB-7893-01	TCGA-IB-7897-01	TCGA-IB-8126-01	TCGA-IB-8127-01	TCGA-IB-A5SO-01	TCGA-IB-A5SP-01	TCGA-IB-A5SQ-01	TCGA-IB-A5SS-01	TCGA-IB-A5ST-01	TCGA-IB-A6UF-01	TCGA-IB-A6UG-01	TCGA-IB-A7LX-01	TCGA-IB-A7M4-01	TCGA-IB-AAUM-01	TCGA-IB-AAUN-01	TCGA-IB-AAUO-01	TCGA-IB-AAUP-01	TCGA-IB-AAUQ-01	TCGA-IB-AAUR-01	TCGA-IB-AAUS-01	TCGA-IB-AAUT-01	TCGA-IB-AAUU-01	TCGA-IB-AAUV-01	TCGA-IB-AAUW-01	TCGA-L1-A7W4-01	TCGA-LB-A7SX-01	TCGA-LB-A8F3-01	TCGA-LB-A9Q5-01	TCGA-M8-A5N4-01	TCGA-OE-A75W-01	TCGA-PZ-A5RE-01	TCGA-Q3-A5QY-01	TCGA-Q3-AA2A-01	TCGA-RB-A7B8-01	TCGA-RB-AA9M-01	TCGA-RL-AAAS-01	TCGA-S4-A8RM-01	TCGA-S4-A8RO-01	TCGA-S4-A8RP-01	TCGA-US-A774-01	TCGA-US-A776-01	TCGA-US-A779-01	TCGA-US-A77E-01	TCGA-US-A77G-01	TCGA-US-A77J-01	TCGA-XD-AAUG-01	TCGA-XD-AAUH-01	TCGA-XD-AAUI-01	TCGA-XD-AAUL-01	TCGA-XN-A8T3-01	TCGA-XN-A8T5-01	TCGA-YB-A89D-01	TCGA-YH-A8SY-01	TCGA-YY-A8LH-01	TCGA-Z5-AAPL-01
PSMD13	2410.73	2104.8	2512.28	2469.57	2088.96	2213.87	2243.26	2224.51	2351.92	3693.76	2368.44	5845.35	4896.37	2087.82	2185.23	2060.04	4377.95	2123.47	3569.97	3462.18	3701.98	3384.94	1665.28	4164.47	2242.18	2717.28	3513.05	3336.3	3378.57	2450.33	1408.03	1972.29	1751.45	2570.99	1292.14	2677.5	1295.92	1937.32	1541.26	2751.52	2920.04	2280.48	2409.6	1831.24	1489.82	1865.04	2892.94	1803.13	3463.06	2325.81	2558.93	1655.31	2110.52	6000.52	2655.01	1830.58	2221.53	2268.73	2550.34	2307.57	3427.95	2133.96	3245.19	3721.21	2155.89	6304.74	2584.98	2609.07	2020.27	2750	2314.18	1980.12	1986.14	4474.3	4489.22	6665.99	2138.7	2701.97	4709.36	1851.94	2546.54	2104.21	2501.5	1549.7	1670.82	2230.94	1600.65	3434.36	1848.13	1912.95	3537.73	2024.23	1864.66	1482.69	1753.04	1748.64	1757.08	1940.92	2617.9	2076.74	1724.5	2267.6	3733.26	2183.28	2532.31	2458.17	2403.59	2335.7	1955.52	1709.36	2857.36	4819.92	2522.8	2162.37	1227.67	2121.67	1886.57	1808.53	2235.55	2949.32	2015.43	1934.6	2608.32	1606.43	1539.05	1398.43	2215.42	3036.24	2038.04	2718.66	2295.33	2983.54	2654.97	2065.98	3176.26	1893.91	3189.99	3602.01	1980.86	2715.56	2155.09	2523.27	2107.06	3363.44	2111.8	1649.23	2675.64	2209.9	3441.62	2175.84	3012.64	4916.09	3251.38	2880.44	2821.92	2452.81	2484.12	2631.83	1642.83	1475.05	1473.27	2545.26	3752.08	3988.05	2191.7	1830.67	2820.34	2006.76	2070.28	3911.84	2807.48	2472.57	2695.47	2346.87	3161.22	3319.15	2911.11
RBBP6	896.585	691.919	617.544	1326.44	878.885	1231.88	1151.84	1447.68	949.477	1264.88	1162.51	978.365	704.366	1084.72	1180.85	1065.5	703.937	900.865	1057.46	962.473	670.297	799.499	1121.66	811.525	1008.45	979.603	774.363	1085.93	918.788	858.625	915.283	1180.72	1006.6	1113.02	807.815	927.503999999999	889.013999999999	1116.08	1081.78	886.718	1060.95	1055.35	1220.55	1092.36	1057.88	1329.54	974.062	914.989	1140.72	705.056	1093.88	1117.85	817.562	591.028	1154.39	1035.69	930.621	866.03	1053.79	779.453	955.038000000001	1014.48	1140.35	1060.7	1082.36	724.639	967.136	1446.65	926.733999999999	1165.41	1000.58	1074.69	1030.04	1135.44	663.586	730.337	1040.74	1057.7	1157.87	1040.08	1288.92	1273.05	1138.33	1511.93	1377.31	1211.8	1159.95	920.245	1390.37	1231.25	958.172000000001	1496.78	1288.14	1629.27	2007.87	1561.96	1448.05	1213.89	1153.23	876.358	1071.75	1109.93	1044.03	1138.04	779.671000000001	1109.07	1132.93	823.625	1495.71	1241.16	730.965	1227.65	966.644	1370.89	1244.63	949.232	1148.6	1606.38	1128.78	857.025	1115.07	1058.86	915.292	1672.93	1521.9	1609.79	934.521	823.405	928.343	866.496	1262.12	1093.77	987.159	971.685	888.156	1164.87	1263.07	817.007	1210.43	948.342	1388.64	946.595	886.962	945.462000000001	1082.82	1235.55	1018.48	1343.38	694.924	777.346	1129.24	707.547	794.086	1237.59	1041.1	804.062	1184.55	936.227	1304.78	966.722	1341.45	1045.05	1113.67	958.22	835.371	1219.08	1087.09	1158.78	1325.35	987.121999999999	859.875	1247.36	1313.47	829.394	865.654	761.548	1456.98
BRD2	3717.56	3904.04	4032.16	4303.64	4592.71	4379.52	4532.76	5686.54	4503.05	3815.67	4919.17	4693.11	3580.22	4918.37	4105.13	3400.66	3930.71	4471.75	3613.99	4372.67	4382.18	3476.79	4720.47	3828.93	4425.19	4600	3623.5	5222.72	3272.09	4693.18	4473.46	4672.06	7210.66	7316.39	4524.31	5346.22	4443.38	5317	5124.91	4460.52	4556.8	3851.16	3467.31	6227.68	5659.35	5556.26	3756.07	4196.87	5069.48	5611.61	4658.07	5807.9	5542.77	4280.65	5821.89	4306.01	4456.27	5519.26	3851.03	4531.04	4523.84	4753.08	5103.14	4225.83	3792.46	2521.59	5659.15	3567.6	4812.16	4834.59	5008.35	4235.89	4481.8	4489.29	2512.01	1410.62	3796.31	3998.27	2871.41	4147.24	4368.22	5139.86	4323.77	6152.75	5448.63	4898.96	4683.75	4095.71	5697.33	5251.18	7982.75	3725.48	4568.88	6784.4	5469.54	6953.25	5451.53	4619.26	4855.08	4827.95	5459.08	4317.74	6090.9	4611.58	3923.03	4756.76	4711.38	5862.74	4657.98	5361.75	5021.83	4088.87	4082.37	4981.81	5289.42	3970.46	4532.22	4718.23	4731.43	3693.45	4087.75	4402.7	3344.45	5637.51	5854.99	5187.33	4803.95	2797.14	4460.36	2946.39	5439.49	4117.3	4235.28	5730.92	4635.05	5911.11	7403.04	3959.61	5619.61	4079.72	6075.29	4409.6	5232.06	3890.92	4539.96	4672.43	4681.41	3002.2	4692.89	4958.21	4225.16	4010.43	3891.68	5883.73	3839.22	4043.61	5484.98	4553.05	4523.49	3861.84	4649.02	4994.11	4638.9	3012.2	4159.39	3432.22	4534.1	5933.78	5226.44	4847.94	4635.34	7009.49	5014.3	3367.93	3258.76	4935.29	6272.93
RPLP2	17841	10621.2	13380.1	10808.9	12917.5	9114.76	10066.9	10706.1	12494.3	27814.6	17381.3	11930.3	16072.1	10872.6	11428.7	7468.34	66978	16019.7	12502.3	10583.3	12705	23183.5	7917.51	25668.7	10938.3	17049.3	16660.7	18379.8	13292.8	13308.7	7089.02	16721.7	8176.39	6525.95	4884.14	11600.2	4797.53	13173.3	8351.67	11977.3	13005.4	21704.6	8262.07	27212	7248.44	7091.43	10694.3	10885.9	16060.7	11519.9	12541.9	6188.69	7426.95	37073.6	18863.1	7077.41	9684.58000000001	17359.2	18225.5	15596.6	19864	11082.5	24807	21693.2	11999.1	25402.2	28376.5	9245.03	7558.07	18597	6856.11	9473.94	9606.01	8658.46	25707.3	145651	10720.7	7224.12	40909	4677.71	6185.14	7277.91	5823.13	7773.36	5955.86	7388.45	7463.15	15705.1	5904.46	5978.5	10542	6853.09	6988.66	8076.74	5779.95	6431	6259.69	9561.27	16619.6	8747.07999999999	6102.23	8685.63	17047.1	10847	7437.72	11957.7	15983.2	17039	12981	6029.52	5941.62	7957.92	11747.4	5731.74	5238.54	9268.44	9941.43	10179.6	9346.17	14869.8	5682.98	6021.23	7007.87	4664.62	9548.58	4695.98	10581.9	16940.2	7654.17	13093.8	13187	21285.2	25243.1	12126.8	29004.8	14838	11432.3	18207.8	17233.7	15780	15504.1	12574.2	12015	9458.46	12821.1	9117.96999999999	7200.26	8046.85	24147.2	18078.1	8241.24	26334.7	15045.2	41028.7	24378.5	13341.1	11817.2	23814.6	7665.7	12664.7	5832.19	11702.3	20221.5	24017	12029.7	9938.38	27725.3	13038.5	14321.2	16128.3	10249.1	8690.4	16662.1	7949.64	15422.9	12127.4	27046.7
RREB1	887.805	1027.36	1074.27	815.981	852.09	928.761	1399.72	1115.97	1076.22	717.344	889.08	667.468	357.18	1361.78	985.607	862.445	240.945	1086.67	876.274	978.02	994.059	352.53	505.045	462.185	1228.23	999.999999999999	807.014	874.074	930.791	242.585	825.738	628.753	880.9	754.636	900.5	1403.34	592.676	942.93	934.572	1112.23	714.773	801.795	737.633	1351.33	1622.89	902.545	1098.23	831.096	1272.21	1090.29	685.673	1491.14	1198.33	478.352	1466.5	904.8	703.878	1102.95	1038.62	1528.87	742.145	1420.71	1493.82	976.767	989.297	291.358	984.038	913.629	1067.03	946.659	999.023	1329.93	1072.79	782.655	234.75	83.7589	1217.75	704.56	1476.74	874.846999999999	790.224	727.102	1269.81	1085.49	1685.04	992.782999999999	1182.99	280.982	951.515	1368.12	1184.99	896.63	1282.53	935.643	1328.67	1077.17	1000.16	1347.37	449.432	986.934	1140.87	1024.59	759.494	773.006	652.174	1514.66	1726.95	1091.1	1329.75	886.902	711.675	1082.59	944.18	1351.62	1397.3	904.254	892.808	873.785	1089.71	419.448	909.072	937.922	601.949	868.811	956.503999999999	1122.32	1277.8	900.567000000001	909.717	777.683	835.736	829.242	1193.82	2036.13	807.507	1188.53	1097.81	878	942.468	1110.33	779.982	921.606999999999	1351.08	1037.92	901.449	1119.15	1490.98	910.588	423.858	974.652	1532.45	374.379	616.385	734.468999999999	865.898	917.563000000001	989.7	439.443	1375.05	1211.81	1346.74	1157.89	950.023999999999	623.196	1562.01	946.143	535.932	832.432	820.927	846.458999999999	1261.12	1183.02	693.683	774.409	1125	937.934	737.322
S100A11	18572.7	20106.1	61274.9	21951.6	13733.1	9865.66	19256.4	17102.9	50820.1	13200.7	28375.8	21409.5	11183.1	11124.9	6735.29	26193.2	11804.7	25670.2	18136.7	18285.5	22821.3	33809.9	1245.7	19150.1	16386.7	23304.8	16320.9	22373.8	22399	1095.89	1003.75	1801.96	875.21	231.692	177.192	40491.7	1162.9	7233.49	15105.6	18671.2	15163.8	20544.1	15502.7	1849.65	7065.34	7159.08	11214.1	11378.1	15054.1	16830.2	9717.09000000001	7553.81	13823.6	38365.7	23144	15031.8	8235.79	22742	11943.4	31840.4	23723.7	16588.7	37493.5	26698.5	24912.1	33843.3	25261	22417.3	11445.1	14721.4	24074.7	15415.9	9945.12	17552.5	42637.1	31112.4	18140.2	27672.8	15393.1	10213.5	17092.6	4677.58	8906.21	6177.93	5867.58	15709.4	12823.4	19922.7	6518.72	5758.26	11913.8	13778.9	10389.2	7169.57	18021.1	9978.23	7649.22	9992.34	7797.17	13236.1	12166.5	12860.2	18689.5	6095.48	15582.3	28484	21174.9	27914.5	10548.5	9537.21	24190.4	8357.29	12823	13493.9	12177.6	18953.4	10561.1	16599.8	14617.5	23635.8	12545.1	11426.2	19269.9	3938.2	4440.13	16824.5	10726.9	18319	20909.3	24181.4	13348.2	26743.9	12310.2	22972.8	13638.9	7738.35	19970.2	28442.3	7882.94	13593.8	9387.29	14526.2	8059.21	21152.5	8195.45000000001	6366.5	20963.4	15885	26893.4	15263.8	22646.8	26632.1	24366.8	10694.2	23170.9	26788.5	13043.8	13474.8	15459.5	21604.2	13655.4	10481.7	7353.26	21681.4	10565.9	18593.8	8504.26	7910.81	9317.01999999999	18194.2	17462	16061.2	6674.02	15744.6	28861	27884	6411.97
MAPK12	71.9805	110.278	359.719	150.552	106.495	276.612	147.643	129.671	69.6472	148.94	113.293	149.96	815.781000000001	152.461	195.782	76.9869	211.213	74.2932	135.056	86.8072	103.376	209.008	454.783	516.969	179.472	109.105	291.291	407.886	83.3762	586.743	746.612	1238.62	992.748	3848.95	930.691	190.413	690.203	109.68	307.413	129.39	231.887	224.114	71.861	72.6971	122.88	117.917	123.151	182.606	242.339	233.802	268.691	154.911	560.712	327.861	72.5926	316.187	27.1396	53.3528	356.103	44.4168	165.255	163.034	96.74	170.832	211.582	139.071	414.967	137.464	255.589	133.486	348.031	136.502	156.066	97.3608	143.715	79.6731	254.142	82.3341	12.7601	54.818	69.3615	227.564	146.912	179.755	83.4688	183.586	103.404	395.984	135.144	132.669	228.279	83.0027	157.135	278.995	104.972	207.967	115.701	131.756	211.826	289.809	178.339	267.232	93.7688	189.781	184.83	226.741	77.485	92.0478	49.1288	115.177	67.0152	105.622	65.371	149.663	69.4964	160.299	84.0332	257.006	141.442	151.669	87.1152	65.6202	91.4543	172.403	141.671	165.069	219.996	43.414	383.414	139.026	174.155	50.0822	124.267	73.7902	174.715	134.875	194.25	233.445	217.133	288.909	259.49	392.063	185.909	93.971	282.12	168.765	153.78	204.04	195.289	201.407	215.738	293.297	154.055	237.189	135.306	192.634	121.674	241.908	69.9459	180.974	155.029	209.587	37.2758	73.1865	173.31	62.0265	298.764	266.554	257.798	242.437	140.99	109.51	435.626	172.508	354.585	122.443	160.775
SRSF4	1894.63	2342.59	2945.03	1924.32	1989.28	1656.49	2023.12	1689.02	1602.79	1902.39	2397.68	2040.87	2775.38	1889.92	2118.27	2504.37	1458.27	1496.08	2508.34	1700.48	2133.66	1879.73	1883.68	1316.33	1985.63	1698.02	2237.63	2679.51	2466.36	1441.68	1666.49	1659.93	1255.4	1590.52	736.483	2907.73	1118	1789.08	1856.51	2283.6	2551.44	1644.35	2389.87	1761.28	2306.32	2155.06	2875.83	2124.16	2297.71	2436.02	2301.07	2247.96	2657.08	1960.35	2461.09	1894.42	1752.74	1930.39	2611.72	1612.6	2546.59	2811.73	2596.27	2402.2	1427.18	1932.87	1823.47	2390.76	2081.06	2487.07	2181.03	1753.9	1837.67	2646.68	2369.07	509.704	2434.53	2846.77	1688.97	1568.1	2383.74	2111.1	1888.22	2035.79	1840.15	1874.49	1924.06	1643.35	1874.87	1831.15	2224.23	2353.65	2074.17	1553.61	1893.56	1919.63	2075.91	2274.62	1798.28	2560.86	2158.87	2172.61	1547.77	1951.3	2289.66	2856.45	2061.08	2337.42	2647.24	2196.26	1964.97	2017.25	1785.57	2008.15	1677.44	1926.32	1882.05	2356.84	1572.92	1703.75	1798.16	1634.39	2192.28	1966.03	1805.28	1988.47	2538.55	2068.16	1643.47	1591.42	2106.6	2575.9	1834.75	1998.48	2006.09	2235.84	1713.88	1932.58	2450.33	2197.07	2298.47	2429.2	2537.08	2608.01	2206.63	2109.71	2354.37	2470.6	1612.69	1931.95	2296.96	1466.73	2655.2	2399.66	2759.91	1589.61	1975.97	2348.87	1409.98	1473.03	1847.54	1872.84	2583.05	2451.47	2531.44	2423.55	2338.61	2190.54	2148.36	2624.07	2725.57	2787.97	2064.36	2505.14	2877.92	2074.3	3082.05
SRSF6	1960	2050.08	1714.04	2606.82	2383.71	2629.09	3371.67	3050.94	2438.15	2438.68	3184.87	2869.39	2254.6	2531.23	2062.58	2264.19	3696.06	2571.08	2516.68	2368.04	2043.07	2967.07	3302.08	3311.52	2382.92	3260.62	1730.53	2226.67	1966.12	3260.01	3919.58	4052.54	5890.6	4503.72	5681.05	2285.59	2422.9	2877.79	2387.36	3308.16	3071.18	3071.43	2377.5	2957.96	1713.91	2506.7	3022.08	2420.58	2333.33	2353.62	2672.24	3141.01	3221.8	2358.37	4213.48	2068.64	4269.17	2544.24	2733.1	1863.4	3068.8	2583.64	3456.57	2730.45	2684.04	2453.26	3569.01	3472.86	2978.96	4787.72	3634.79	3172.49	2760.83	2164.88	1675.29	2609.81	2968.96	2272.31	2300.05	2120.25	2088.65	3223.38	2906.21	3248.51	2487.53	1720.74	1960.43	2162.37	2941.18	2730.99	2124.19	2314.65	3001.4	3129.88	3012.15	3592.38	3464.81	2684.35	4223.88	2050.89	3211.9	3686.11	2823.19	3310.97	2074.03	2592.48	4331.14	4760.19	2643.25	2108.11	2263.45	1884.74	1317.9	2086.07	2462.5	2441.22	2886.74	2607.69	2201.98	2423.57	2645.23	2044.82	1410.05	3224.79	2750.81	2591.98	2189.46	2059.53	2122.84	2158.08	2333.77	4240.65	3067.76	3731.07	2570.63	3643.73	2776.84	3308.85	2647.89	2106.51	3635.71	2628.61	1958.73	2642.95	3585.92	4279.59	2813.2	2960.45	3190.36	2620.69	2636.99	2728.9	1811.23	3912.2	3789.47	3124.85	3649.79	2500.54	2864.86	2898.65	3127.05	2728.42	3029.4	3045.45	2627.07	2807.85	3054.2	2986.49	4065.07	2814.76	1888.98	2716.24	2928.49	1883.86	2444.51	2352.11	4124.79
SGK1	1732.2	1559.34	900.585	952.291	3186.5	2362.3	1352.86	1804.91	2451.66	2746.01	2141.87	870.192	3845.87	6910.95	1392.99	2664.85	2674.02	959.18	887.396	1284.59	1890.59	1185.02	103.264	804.922	1481.4	2402.27	1643.05	1456.79	1206.08	305.892	1493.84	1982.68	1187.12	392.121	427.987	1716.61	397.923	2839	1512.27	1415.9	3363.24	736.35	897.527	4008.59	4131.2	3727.73	1636.31	2138.7	2824.54	1522.39	1948.07	5272.48	806.207	2865.41	2225.55	981.416	902.104	1321.93	2693.1	1070.06	1749.73	2997.83	245.713	1513.86	1050.72	1437.26	539.906	1918.7	2287.61	1142.24	912.591	1293.93	3284.81	877.409	725.2	229.826	1601.36	624.163	2878.72	3685.89	1207.72	3035.96	1799.57	5393.31	3165.84	2385.63	5603.95	1915.34	3317.65	3705.82	981.026	3184.4	4591.82	1412.3	1794.98	2164.27	4595.6	2380.74	4165.14	1409.43	1683.23	2812.44	1868.84	1500.38	2034.08	4195.58	808.982	895.22	719.018	2551.77	3276.65	1079.98	2772.63	2028.78	2385.63	1230.85	2058.35	1228.34	1685.2	2822	2442.81	2498.98	2955.4	3026.02	4219.19	1785.15	2365.75	703.6	1703.27	1655.19	1687.2	1793.88	3221.82	5596.83	676.642	2742.65	2386.17	937.025	1083.71	2338.01	2803.43	3536.5	3243.42	1267.58	5608.7	6035.78	2406.49	1369.36	1033.5	3293.9	2305.57	1107.75	1727.53	2961.28	2323	1962.37	2732.19	2314.04	1476.51	1346.96	1282.69	2021.47	2255.76	941.595	2022.71	1217.71	7623.63	4270.27	3568.97	1864.29	2283.99	2156.65	2822.41	1543.17	1036.8	613.824	1521.94
SNRPA1	330.732	340.909	481.286	614.806	347.267	274.933	248.497	495.792	350.174	767.054	653.912	513.622	981.589	365.492	271.589	420.306	648.819	398.954	398.054	375.078	600.495	570.516	292.582	614.646	401.099	462.323	487.756	582.222	536.25	358.026	219.839	175.52	201.733	392.81	161.745	683.216	117.862	233.589	652.788	1245.31	546.563	332.835	245.583	285.977	253.36	323.51	523.179	322.148	1271.77	414.072	403.85	226.839	363.361	1495.04	542.655	301.904	463.224	591.413	422.759	842.155	577.465	396.09	471.296	601.049	438.343	819.255	622.535	454.755	318.784	526.94	302.121	333.692	642.981	563.705	878.62	587.334	328.807	498.811	892.838000000001	372.188	374.713	343.493	543.041	267.064	361.596	369.627	311.887	548.466	267.023	285.789	500.647	339.265	394.036	322.163	458.971	379.123	436.185	332.057	420.615	281.667	378.69	337.03	558.549	365.414	374.853	670.228	918.563	416.967	324.54	313.098	729.949	524.046	277.74	412.435	259.74	651.171	343.185	523.43	423.776	520.396	311.052	282.62	315.217	243.585	267.602	354.853	345.99	367.029	454.368	387.134	607.689	733.838	400.983	506.507	512.3	318.996	460.371	633.045	466.834	386.48	454.013	405.193	313.397	577.333	363.147	322.454	1195.77	574.742	410.66	298.698	326.824	755.71	545.058	583.427	431.867	476.702	457.94	508.575	295.634	562.787	504.5	489.684	656.051	583.9	323.144	273.391	606.577	282.432	364.394	435.364	388.773	595.464	507.747	312.95	486.565	553.853	747.578
SNRPB2	834.634	753.367	807.018	1072.62	767.417	897.448000000001	677.046	918.933	481.272	744.557	862.855	1193.11	2648.61	803.958	707.134	1028.38	1091.34	953.951	511.585	772.99	653.96	1192.13	1153.71	1126.05	805.579	644.759	589.741	682.963	981.512	1270.38	605.899	717.667	864.865	480.598	975.466	853.251	825.593	841.654	1122.68	991.814	880.058000000001	887.061	1028.56	536.361	703.659	817.482	1053.53	744.966	824.098	697.331	814.236	500.681	806.207	1347.94	546.817	798.085	1382.72	940.518	914.483	1141.4	900.325	975.38	1169.95	732.451	1033.5	1841.26	1086.38	1160.37	688.231	769.935	570.759	836.109999999999	708.261	1258.57	1651.26	1600.61	690.107	877.458	585.468	1067.08	986.295	945.546	1068.52	717.031	745.386	925.635	846.246	1294.07	828.877	668.589	932.73	1073.84	930.292	910.598	795.246	999.039	837.577	569.475	975.339	455.508	939.765	635.487	1140.9	701.304	959.46	634.323	958.084	591.658	883.436	711.019	1096.95	811.291	947.583	839.261	710.84	749.518	1119.59	596.304	929.554	1258.34	707.17	876.594999999999	1020.24	807.734	743.795	1107.3	753.584	779.747	892.072	953.032	838.794	654.335	689.24	751.724	464.114	584.229	1070.83	1090.49	781.431	828.444	771.416	877.511000000001	585.526	569.237	847.205	654.345	984.727	478.256	1594.42	675.953	645.032	1062.07	1015.08	908.912	1038.93	913.978999999999	924.893	1054.13	721.83	1336.87	784.013	689.684	1074.47	975.348999999999	916.157	691.465	929.354	830.405	807.392	937.593	717.672	795.886	803.933	857.657	891.939	911.476000000001	948.148
SON	4291.71	4331.23	3502.34	5729.73	3868.17	5887.58	4169.57	5692.57	5202.53	5674.17	4767.84	3394.23	2537.61	5207.17	4303.5	2784.93	2069.29	5211.74	3931.42	5916.22	3793.07	2269.78	2216.62	2593.64	4502.96	3132.58	4296.68	3437.53	4435.19	2888.15	5869.71	3519.05	4272.08	6085.28	6263.52	4916.96	5429.49	5109.14	2811.15	3437.02	4322.77	4550.11	5457.6	5096.04	7204.26	6127.93	4283.66	4203.58	4615.22	3013.87	4025.42	5667.57	2763.06	2614.5	4013.73	4965.45	3995.13	5029.26	3640	5560.93	3074.76	4735.7	3097.76	3230.58	5117.26	1898.33	3860.09	4379.49	4196.41	3825.43	4109.78	4324.02	3969.38	1958.24	2259.4	1222.68	4257.03	3833.15	4999.48	5505.11	5556.13	7357.52	5841.97	6536.78	6808.98	8716.66	7404.35	3001.23	6420.68	6595.7	4495.04	6370.69	5830	6924.92	5901.25	5747.04	6056.3	4719.91	3149.9	3726.03	4821.21	4159.11	3558.33	4719.33	4174.5	4562.61	5617.37	4173.68	4970.25	6586.69	4302.54	6888.4	5118.45	5661.42	7266.1	3879.5	5133.45	3195.94	6050.63	3635.76	6363.51	6173.9	6702.77	8797.25	6653.68	5645.28	5884.15	2969.23	4242.73	3755.57	5069.9	3190.73	4198.78	6330.19	4342.38	5059.5	5374.93	2104.25	5811.01	3922.83	5931.47	4331.7	4619.62	4688.96	4808.28	5930	5383.32	3559.78	2897.97	4590.09	3499.71	1557.1	3268.7	4444.04	2833.45	3720.43	5615.88	2822.62	6798.34	4786.71	5207.52	4966.32	4319.45	3114.97	3847.6	5028.75	3457.98	5409.46	5205.62	3837.05	4345.95	3730.49	4185.94	3840.18	3984.23	4029.54	7247.29
