TCGA-P7-A5NX-01	TCGA-P7-A5NY-01	TCGA-P8-A5KC-01	TCGA-P8-A5KD-01	TCGA-P8-A6RX-01	TCGA-P8-A6RY-01	TCGA-PR-A5PF-01	TCGA-PR-A5PG-01	TCGA-PR-A5PH-01	TCGA-QR-A6GO-01	TCGA-QR-A6GR-01	TCGA-QR-A6GS-01	TCGA-QR-A6GT-01	TCGA-QR-A6GU-01	TCGA-QR-A6GW-01	TCGA-QR-A6GX-01	TCGA-QR-A6GY-01	TCGA-QR-A6GZ-01	TCGA-QR-A6H0-01	TCGA-QR-A6H1-01	TCGA-QR-A6H2-01	TCGA-QR-A6H3-01	TCGA-QR-A6H4-01	TCGA-QR-A6H5-01	TCGA-QR-A6H6-01	TCGA-QR-A6ZZ-01	TCGA-QR-A700-01	TCGA-QR-A702-01	TCGA-QR-A703-01	TCGA-QR-A705-01	TCGA-QR-A706-01	TCGA-QR-A707-01	TCGA-QR-A708-01	TCGA-QR-A70A-01	TCGA-QR-A70C-01	TCGA-QR-A70D-01	TCGA-QR-A70E-01	TCGA-QR-A70G-01	TCGA-QR-A70H-01	TCGA-QR-A70I-01	TCGA-QR-A70J-01	TCGA-QR-A70K-01	TCGA-QR-A70M-01	TCGA-QR-A70N-01	TCGA-QR-A70O-01	TCGA-QR-A70P-01	TCGA-QR-A70Q-01	TCGA-QR-A70R-01	TCGA-QR-A70T-01	TCGA-QR-A70U-01	TCGA-QR-A70V-01	TCGA-QR-A70W-01	TCGA-QR-A70X-01	TCGA-QR-A7IN-01	TCGA-QR-A7IP-01	TCGA-QT-A5XJ-01	TCGA-QT-A5XK-01	TCGA-QT-A5XL-01	TCGA-QT-A5XM-01	TCGA-QT-A5XN-01	TCGA-QT-A5XO-01	TCGA-QT-A5XP-01	TCGA-QT-A69Q-01	TCGA-QT-A7U0-01	TCGA-RM-A68T-01	TCGA-RM-A68W-01	TCGA-RT-A6Y9-01	TCGA-RT-A6YA-01	TCGA-RT-A6YC-01	TCGA-RW-A67V-01	TCGA-RW-A67W-01	TCGA-RW-A67X-01	TCGA-RW-A67Y-01	TCGA-RW-A680-01	TCGA-RW-A681-01	TCGA-RW-A684-01	TCGA-RW-A685-01	TCGA-RW-A686-01	TCGA-RW-A688-01	TCGA-RW-A689-01	TCGA-RW-A68A-01	TCGA-RW-A68B-01	TCGA-RW-A68C-01	TCGA-RW-A68D-01	TCGA-RW-A68F-01	TCGA-RW-A68G-01	TCGA-RW-A7CZ-01	TCGA-RW-A7D0-01	TCGA-RW-A8AZ-01	TCGA-RX-A8JQ-01	TCGA-S7-A7WL-01	TCGA-S7-A7WM-01	TCGA-S7-A7WN-01	TCGA-S7-A7WO-01	TCGA-S7-A7WP-01	TCGA-S7-A7WQ-01	TCGA-S7-A7WR-01	TCGA-S7-A7WT-01	TCGA-S7-A7WU-01	TCGA-S7-A7WV-01	TCGA-S7-A7WW-01	TCGA-S7-A7WX-01	TCGA-S7-A7X0-01	TCGA-S7-A7X1-01	TCGA-S7-A7X2-01	TCGA-SA-A6C2-01	TCGA-SP-A6QC-01	TCGA-SP-A6QD-01	TCGA-SP-A6QF-01	TCGA-SP-A6QG-01	TCGA-SP-A6QH-01	TCGA-SP-A6QI-01	TCGA-SP-A6QJ-01	TCGA-SP-A6QK-01	TCGA-SQ-A6I4-01	TCGA-SQ-A6I6-01	TCGA-SR-A6MP-01	TCGA-SR-A6MQ-01	TCGA-SR-A6MR-01	TCGA-SR-A6MS-01	TCGA-SR-A6MT-01	TCGA-SR-A6MU-01	TCGA-SR-A6MV-01	TCGA-SR-A6MX-01	TCGA-SR-A6MY-01	TCGA-SR-A6MZ-01	TCGA-SR-A6N0-01	TCGA-TT-A6YJ-01	TCGA-TT-A6YK-01	TCGA-TT-A6YN-01	TCGA-TT-A6YO-01	TCGA-TT-A6YP-01	TCGA-W2-A7H5-01	TCGA-W2-A7H7-01	TCGA-W2-A7HA-01	TCGA-W2-A7HB-01	TCGA-W2-A7HC-01	TCGA-W2-A7HD-01	TCGA-W2-A7HE-01	TCGA-W2-A7HF-01	TCGA-W2-A7HH-01	TCGA-W2-A7UY-01	TCGA-WB-A80K-01	TCGA-WB-A80L-01	TCGA-WB-A80M-01	TCGA-WB-A80N-01	TCGA-WB-A80O-01	TCGA-WB-A80P-01	TCGA-WB-A80Q-01	TCGA-WB-A80V-01	TCGA-WB-A80Y-01	TCGA-WB-A814-01	TCGA-WB-A815-01	TCGA-WB-A816-01	TCGA-WB-A817-01	TCGA-WB-A818-01	TCGA-WB-A819-01	TCGA-WB-A81A-01	TCGA-WB-A81D-01	TCGA-WB-A81E-01	TCGA-WB-A81F-01	TCGA-WB-A81G-01	TCGA-WB-A81H-01	TCGA-WB-A81I-01	TCGA-WB-A81J-01	TCGA-WB-A81K-01	TCGA-WB-A81M-01	TCGA-WB-A81N-01	TCGA-WB-A81P-01	TCGA-WB-A81Q-01	TCGA-WB-A81R-01	TCGA-WB-A81S-01	TCGA-WB-A81T-01	TCGA-WB-A81V-01	TCGA-WB-A81W-01	TCGA-WB-A821-01	TCGA-WB-A822-01	TCGA-XG-A823-01
RBBP6	1190.07	866.268	954.608	1019.86	943.948	1174.34	707.74	864.705	909.005	975.728	841.954	1126.69	851.667	1258.71	843.462	1171.03	956.551	730.065	913.863	722.222	822.471	712.317	855.092	1157.12	1334.64	868.776	774.121	1225.43	997.608	1206.99	1253.43	849.049	1124.21	1277.12	1199.47	1663.77	1377.52	1076.15	1070.13	1136.56	1027.9	707.732	835.976	1706.4	1310.06	1045.02	1435.96	2235.29	1415.56	1028.97	1470.03	1344.74	958.511	1308.28	1455.5	545.59	894.996	936.239	664.801	1297.83	1095.87	882.403000000001	929.37	1015.92	898.594	727.128	1427.01	1050.45	1088.51	1132	752.703	648.953	1421.63	942.899	1463.68	1158.66	1295.88	1158.89	1007.17	786.088	1012.24	974.464999999999	876.562	1031.19	1174.1	1085.72	1110.54	609.042	1009.02	946.351	1033.66	1347.32	712.024	880.518999999999	797.259	1022.65	1092.55	959.707	1352.25	1212.27	1008.9	858.967	944.352	771.429	667.114	1077.94	700.357	1447.8	969.482	1257.84	1012.28	934.443	798.493	1749.96	703.088	994.92	910.249	1443.66	1037.65	634.074	689.938	1010.33	1189.7	1386.05	936.79	946.639	1000.09	1038.65	1447.34	1206.37	1562.02	972.98	1331.56	800.85	697.862	1328.14	1152.17	967.55	929.66	1386.2	1187.37	717.608	717.82	1023.85	1095.78	1132.67	1010.09	1314.61	1009.73	847.611	1135.62	861.306	886.79	813.808	817.422	899.576	800.959	1322.24	902.664	1147.65	763.398	1129.56	989.771000000001	985.536999999999	1170.13	797.856	1348.55	989.73	1396.01	645.763	1037.76	963.497	1143.92	1033.54	1250.22	898.315	885.438	653.846
BRD2	5662.73	6516.99	5576.44	10877.4	6357.14	6520.56	7648.3	12335.3	6928.97	8725.51	3672.99	7994.05	5742.57	5611.11	5764.64	4927.1	6938.63	6057.89	4774.91	5969.44	5140.91	3244.8	5409.12	6104.49	6034.92	5935.76	4814.7	5623.31	4285.94	3597.99	4955.57	6022.41	3861.47	5240.77	4077.38	6039.53	7333.45	5202.86	6535.94	6848.55	6011.67	5859.79	8553.23999999999	4119.94	4238.19	7206.76	2886.7	7881.74	4604.4	5840.11	8976.40000000001	5351.29	3238.3	3904.81	5540.1	7166.08	7059.37	6441.72	4986.23	7240.12	5722.08	7629.44	8948.79	5697.79	6862.45	6788.25	5713.96	6193.84	6246.81	3896.52	4119.59	5256.04	10476.3	3457.54	5908.3	6529.22	5596.82	5921.42	8094.58	6063.48	6611.23	7460.41	5655.08	6168.91	5755.04	4726.2	5182.64	5731.65	7371.4	10294.6	7099.43	7351.41	8796.46	4791.11	5692.87	6827.95	6654.1	7765.16	7012.61	4716.27	5142.28	6231.51	5627.16	6962.98	5269.89	7717.43	4114.22	5770.85	4897.8	7416.7	6339.22	6898.13	4640.3	5572.39	4864.08	8806.1	6208	7036.53	6405.02	4616.3	7786.83	2980.14	5110.97	4833.33	5399.51	5247.01	5300.68	6498.66	6261.88	7800.41	4325.06	5388.17	6933.52	4635.09	8388.46	7465.83	5698.76	6808	6512.12	7040.14	6922.11	3557.03	5578.62	7572.48	6146.68	6960.98	7345.82	7000.42	2982.49	3811.96	6433.06	4900.3	7357.77	4728.45	4831.5	7027.12	7090.73	4418.86	7568.12	9229.43	6319.58	5446.57	6628.51	5653.93	9524.82	5967.33	7271	5795.89	7717.07	8284.43	5805.28	8386.66	6223.14	4764.15	7039.74	9086.52	5215.89	2433.49
RPLP2	4213.81	4292.74	5906.79	6663.9	8861.11	4945.72	11895.4	8232.54	5244.46	10823	21127	11645.5	10814	3772.88	7609.94	6209.81	8903.46	13038.4	19095.3	10591.7	25260.7	38864.1	13219	7168.73	5545.31	10449.2	11233.5	8776.01	9109.75000000001	7933.96	9957.76000000001	10989.4	10042.4	9919.16	16915.9	11983.9	4215.01	5824.51	8475.61	7638.13	12941.1	4340.21	16861.8	14556.3	35722.8	15612.4	7208.13	8598.65	14801.4	12926.5	19567.2	14144	10264.9	8694.54	6481.51	5919.02	6986.78	7131.19	5165.75	4449.99	7300.1	6452.62	13197.8	3006.33	8186.24	6482.74	5058.66	15598	4652.77	12919.7	22819.6	17256	7539.89	23800.9	6742.76	6787.32	20567.7	11205	10118.3	14198.2	5134.66	7866.83	10457.8	2963.38	6359.19	20022.3	10063.9	11553.9	6878.49	6613.46	13754.5	8253.99	7157.18	13524.3	6088.27	6224.58	7453.94	12917.4	5325.23	15171.8	6000.55	9994.68	5498.61	7531.19	12731.4	5675.98	35085.5	10886.4	23022.7	10285.6	17363	8813.41	9040.18	12059	5104.78	6925.49	9048.51	8641.29	9980.03	5896.3	7076.47	10615.6	18343.1	12735.4	5868.64	10821	5516.64	8180.25	10804.9	5572.22	17227.6	4022.85	7046.6	13288.4	5107.7	3901.58	8153.21	7451.05	6523.14	7636.81	3975.16	23916.9	7342.14	8318.81	9502.97	10581.7	8028.44	10836.6	21868.7	11421.4	10688.6	9344.38	6733.94	10919.2	8671.36	6050	4880.9	6645.4	6490.43	6686.81	9029.88	9199.18000000001	7367.09	2692.67	12813.7	13044.9	5447.09	6548.99	5912.64	5712.21	7044.59	6754.84	5571.22	10224.3	5861.57	8444.38	5608.96	31585.7
RREB1	367.928	446.861	513.739	664.492	364.583	268.092	480.495	1002.88	572.787	179.612	197.701	370.141	388.34	328.976	112.707	464.953	442.428	201.418	121.529	267.778	159.528	22.7521	306.498	553.406	437.426	319.045	469.342	343.931	250.864	163.675	562.26	294.715	212.511	147.747	268.179	397.481	318.977	753.123	401.658	390.137	406.9	372.165	344.359	476.821	256.673	296.08	167.488	1094.36	130.501	220.613	331.413	343.099	354.255	351.965	432.265	678.834	539.279	424.037	466.928	214.448	457.675	310.491	394.938	491.659	413.153	168.236	450.205	243.229	324.255	109.82	197.297	252.818	387.606	176.428	383.882	330.83	390.67	337.527	383.236	304.998	316.167	397.371	330.469	308.717	185.095	252.22	290.155	404.099	423.358	732.512	194.2	270.337	409.348	646.415	429.666	474.217	288.945	509.971	365.315	465.546	287.135	482.704	412.91	395.171	212.404	210.085	51.8505	206.829	132.718	300.842	341.52	275.845	315.756	518.814	230.668	704.064	885.991	526.849	211.067	247.704	157.072	257.347	114.212	266.241	398.025	576.928	741.989	405.281	391.574	693.517	861.106	492.62	912.015	193.685	490.117	552.067	416.667	337.48	653.315	557.024	599.158	149.502	430.608	528.899	428.473	603.538	563.851	328.547	228.599	194.371	459.255	236.083	195.849	622.176	673.559	375.848	248.601	196.486	510.483	342.519	548.643	367.904	634.986	355.888	264.319	327.208	691.842	212.238	382.262	419.56	425.842	505.633	452.109	385.22	431.441	432.022	329.43	39.2628
S100A11	1718.08	606.687	722.028	3377.8	2843.75	1885.69	250.155	3583.9	392.127	1993.82	6812.07	1886.33	5220.18	1169.39	5425.78	2127.57	1250.6	4784.41	2279.86	862.222	1259.47	2255.96	3295.44	2229.49	2039.62	5338.75	2753.38	3940.27	2469.31	1622.4	1748.77	2902.75	1602.9	2698.9	2076.05	2071.24	876.177999999999	930.399	500.033	1210.18	7396.25	3100.52	4911.19	9200.88	10595.5	4356.11	1633	1879.29	1214.43	887.465	3143.54	4967.83	12443.6	1531.86	1193.98	1455.01	3270.42	2008.23	1265.14	2164.85	2123.92	2551.61	587.993	574.113	1780.12	3433.35	1593.91	4694.11	1800	1278.78	7385.14	4932.37	658.566	3171.3	978.96	3819.95	2108.19	1100.83	725.683	2389.88	2686.37	723.199	3322.27	946.369	3423.34	3959.52	2212	4239.18	2832.98	5062.37	2626.1	4999.59	5207.69	1652.01	2213.62	3728.67	1327.89	548.23	1267.57	7896.77	1954.51	2617.88	1598.22	2760.16	4412.54	512.795	1841.82	2502.95	11070.3	891.837	5521.11	495.714	6045.83	3236.34	7427.29	818.374	2400.24	2095.95	3119.79	4826.67	1035.1	4149.32	10407.1	946.752	3633.09	4882.27	1009.22	2629.54	4678.51	745.968	1390.9	3877.91	2874.12	1103.22	2934.25	534.173	3019.67	2379.12	1608.01	1904.06	506.526	15831.7	381.551	1650.46	2242.26	1498.44	1360.24	2714.53	1601.17	7641.46	1582.65	3511.48	1919.22	1487.87	1765.95	1591.53	1741.41	921.405	1306.59	937.481	2744.39	1748.44	2963.62	1102.79	2379.72	2633.49	756.462	2649.98	1877.61	7838.37	3527.75	2171.25	2165.01	5633.12	2360.26	992.135	2061.61	3344.55
MAPK12	415.482	383.705	120.383	221.627	219.231	300.247	286.824	235.999	252.262	576.92	231.31	527.893	323.34	457.004	313.459	230.706	52.0023	297.885	1224.53	589.061	1297.28	1886.15	480.396	176.343	432.017	343.885	535.55	257.818	391.369	649.409	511.964	492.736	921.385	749.085	176.344	631.555	386.79	58.6139	192.762	290.893	389.067	289.057	325.329	194.194	273.819	305.085	524.692	587.31	989.289	646.111	350.943	989.761	439.819	687.334	665.639	1548.72	259.44	258.359	383.503	576.104	264.434	483.012	352.39	399.881	518.223	796.884	205.116	611.641	767.464	638.353	766.926	310.612	478.983	754.348	466.53	446.338	898.815	301.219	336.275	637.587	445.661	510.049	276.473	556.499	530.727	299.089	549.715	477.097	202.585	260.053	201.082	388.783	476.86	154.713	145.82	232.728	287.982	1135.7	547.725	368.993	269.698	414.103	450.295	157.292	413.286	227.234	899.207	471.451	897.97	696.366	381.612	1139.7	677.144	222.154	476.759	316.516	179.084	200.044	401.038	74.9689	891.484	451.406	374.796	365.596	403.17	222.448	229.448	480.815	479.389	478.041	32.9049	137.671	246.506	1273.98	257.951	519.669	283.685	232.536	336.82	290.656	415.33	292.392	381.732	332.211	992.231999999999	647.799	665.475	653.758	638.366	302.64	229.499	305.495	115.308	565.485	550.519	227.106	792.178	389.034	211.834	836.29	499.054	647.781	244.641	437.371	673.284	337.958	450.081	659.14	689.122	119.563	343.972	974.615	292.481	496.923	339.275	399.921	426.828	815.801
SRSF4	1787.55	567.545	1876.42	846.329	1509.92	2127.47	955.418	664.672	1206.43	1206.09	1849.43	1498.76	1689.09	1436.27	1111.97	1018.69	1390.81	1520.38	1585.54	931.667	1197.39	742.945	1437.05	1757.74	1403.3	1766.69	1233.09	1507.71	1792.72	2082.79	1996.16	1174.63	1910.43	2111.78	1865.24	970.026	953.567	1665.68	901.211000000001	1427.68	2046.17	1382.47	951.065000000001	2326.71	1059.55	1010.05	2044.34	1246.94	2284.54	987.744	940.287	899.98	1212.77	1755.44	1320.57	2503.18	802.696	1905.13	783.436	687.156	1485.72	1361.25	945.261999999999	1415.53	1599.9	1871.75	2223.28	1586.3	1216.17	1038.01	832.432	1779.39	1323.61	1107.61	1509.73	950.569	1068.78	1027.29	1754.37	817.706	1021.95	982.654	1578.52	1164.34	1518.02	1410.59	1640.76	1046.9	1191.5	920.948	1006.73	1689.6	649.077	1750.52	1636.44	1446.27	810.72	575.092	1624.77	1630.63	1824.27	956.892	1567.61	1472.03	792.391	1351.46	637.235	1738.67	774.308	1195.22	2668.46	664.145	1121.16	1609.16	845.078	641.829	1140.69	747.359	1081.57	719.407	1253.04	940.429	1582.52	1165.07	1139.26	1025.65	1458.7	686.184	2074.62	676.81	1920.69	1612.29	1039.02	1702.49	788.623999999999	675.006	850.932	842.618	1164.45	848.262	1141.05	741.971	1049.9	1359.63	847.312	824.662	776.016	906.672	2054.47	997.772	1375.44	1598.07	1562.32	1300.42	1155.74	760.169	788.569	1239.02	1089.44	716.247	938.963	1017.01	1210.93	1236.05	1729.32	1722.31	1331.99	1442.45	1461.64	768.944	654.686	1039.66	822.684	904.612	835.808	979.213	1611	1181.09
SRSF6	3691.22	4367.76	2871.72	4154.56	2300.6	2995.07	4448.3	3029.85	3176.57	3310.24	4740.23	3939.53	2336.32	3179.19	2518.6	3127.57	3976.86	3304.78	3134.49	2668.89	3342.02	2604.24	3321.05	3267.41	3314.63	3638.93	4078.45	3851.16	2948.71	3762.62	4326.39	3194.5	3225.39	2736.8	3811.21	4146.39	3924.29	4133.85	4208.05	3466.8	3148.66	2660.82	3048.94	6441.5	4260.78	4686	3332.51	3633.58	5247.19	4543.73	4354.09	3991.61	3672.34	5248.16	4473.95	3203.68	3462.79	2617.46	2568.33	4354.68	4162.67	3061.76	3932.9	3286.67	2799.2	2395.03	3912.23	3481.15	2902.98	2806.76	3323.65	3478.26	3788.98	2287.7	2975.39	3592.16	3980.55	3914.84	2736.89	3396.33	2872.1	3341.88	2821.88	3771.67	2851.56	3507.7	2718.48	3073.18	3155	3331.94	2960.64	3334.51	3323.78	3083.2	3126.16	3038.55	3469.85	6163.61	3651.35	3065.7	2860.89	3091.01	3207.01	3319.11	3041.19	3466.4	2860.79	3971.11	3359.12	3301.12	2540.29	4266.26	3524.17	4271.89	3069.41	3201.95	3282.6	4574.82	3548.77	2374.52	2379.24	3609.21	5167.21	3244.94	2750.12	2823.02	4345.89	3637.58	5319.56	4102.82	5461.22	2906.68	3603.4	2404.37	3844.7	4248.2	2056.42	3429.42	3506.87	4799.8	4279.16	2111.85	2784.91	3317.43	3178.31	3451.61	3675.22	3512.25	3556.42	3850.84	3993.6	3217.11	3200.7	3203.35	3603.17	3147.88	3153.48	3646.32	4006.48	4758.52	3028.51	3175.11	3717.73	3522.73	2749.68	2871.87	4377.22	3056.05	4978.71	3761.48	4009.55	4014.87	3455.2	3964.36	3679.91	3555.62	2345.72	2314.9
SGK1	1756.61	280.511	2604.52	643.937	1293.65	843.75	3476.16	632.16	1129.98	1688.44	1375.86	645.424	2413.41	839.325	965.009	687.851	516.393	2095.69	2063.38	327.222	272.502	558.302	446.169	2667.96	393.88	1573.73	672.227	854.046	730.8	898.78	3869.45	106.977	63.1006	423.902	1829.22	1368.38	376.178	3183.82	360.868	2366.63	3669.71	304.639	359.764	942.605	474.333	948.273	1886.7	648.284	229.785	367.131	175.212	160.711	2529.79	424.613	988.962	340.549	494.166	1382.67	2315.39	807.831	1611.17	1409.48	675.692	743.241	1461.35	340.599	1281.95	1301.65	3162.55	255.544	1404.73	2895.87	155.529	857.247	38.9043	1079.37	1327.25	1090.77	168.534	2286.76	549.599	403.836	1471.48	464.554	394.624	1720.44	2524.61	797.589	4598.97	556.208	536.51	1228.51	1518.66	2169.47	868.198	403.855	633.585	914.937	455.856	15799.9	1707.12	807.876000000001	1703.39	2802.41	765.067	396.006	907.759	755.745	2144.07	309.496	2325.4	1117.5	548.65	4568.75	990.235	251.905	2221.35	855.194	2223.05	1383.7	314.536	1743.45	508.76	563.898	3911.6	3356.22	6638.57	363.567	1424.76	549.763	9858.95999999999	1962.6	603.093	485.125	780.557	895.7	1331.26	413.737	1504.88	150.759	610.526	590.255	1960.17	834.404	445.206	1219.04	2254.64	1042.65	714.981	261.448	774.156	878.918	1148.75	2535.98	3222.17	387.288	409.273	512.251	1074.45	400.988	357.402	995.925	3396.61	353.306	698.345	1166.41	343.296	1011.55	1236.36	152.669	289.809	1736.82	867.825000000001	594.34	337.991	484.27	1550.92	667.468
SNRPA1	258.852	230.226	275.695	211.879	424.107	340.461	358.514	237.06	293.24	453.663	477.586	250.116	325.083	326.797	271.455	275.234	450.142	489.073	341.501	362.778	352.576	490.046	387.197	289.474	234.209	514.866	547.34	349.229	392.24	521.656	334.613	229.175	342.339	385.999	391.594	308.862	300.808	321.832	407.896	214.533	398.782	405.67	371.092	610.743	427.105	389.334	488.916	348.039	341.863	332.591	286.71	445.505	365.957	345.076	446.777	392.941	236.453	280.825	240.851	337.429	280.724	346.024	327.84	279.578	310.743	527.413	284.22	491.769	221.277	409.715	329.73	514.761	274.605	388.726	265.185	343.457	434.342	359.977	229.494	344.4	367.666	286.176	389.453	235.236	337.202	360.791	337.219	336.106	350.365	256.683	279.648	275.787	393.894	362.501	324.063	391.325	236.6	274.725	262.162	384.793	360.357	277.807	315.526	467.606	286.642	327.88	399.775	378.201	479.773	328.33	437.452	265.255	325.8	356.511	204.803	195.597	322.013	151.849	410.154	481.778	184.952	556.791	398.01	269.968	290.37	255.916	271.091	329.124	489.605	188.435	478.218	411.174	277.374	432.908	242.436	246.21	324.017	258.518	272.34	152.227	224	1100.78	207.128	453.67	396.528	296.566	186.797	293.919	337.549	395.603	435.972	416.396	391.202	372.385	295.205	250.847	245.004	337.494	277.525	279.704	347.213	288.357	264.146	216.426	283.411	496.171	296.042	353.873	232.373	282.195	259.782	227.129	286.942	415.094	269.869	315.168	375.764	457.532
SNRPB2	991.453	1072.85	767.572	837.632	964.285999999999	1541.94	1110.22	1083.25	871.351	1116.95	2054.02	822.364	1394.17	1372.55	1703.13	1371.5	1040.05	1338.45	1809.43	1157.78	1182.5	1653.91	1311.35	895.898	1405.26	1160.12	1284.04	1275.53	1194.26	2052.17	1149.2	1426.22	633.182	1482.89	1147.43	1260.64	1481.83	942.296000000001	1189.14	1023.58	1039.57	1695.88	1355.69	1191.32	788.501	1716.45	2270.94	944.853000000001	1121.8	1240.67	1610.82	1255.79	1295.74	1011.43	1533.93	681.098	1083.23	1026.27	862.227	951.179999999999	975.778	1139.59	1038.85	593.672	1855.92	2409.48	1052.75	1504.51	758.298	844.773	1386.49	1031.13	1065.61	1658.86	1277.89	1259.68	1411.02	1113.99	881.219	1490.45	1284.93	1089.54	1337.5	1284.68	1570.56	1215.17	1523.32	1084.03	1124.95	1063.51	1002.59	998.501	1121.37	922.026	967.352	994.217	1059.88	830.688	1113.96	981.684999999999	987.975	963.278	1219.25	959.759	1242.98	1158.49	1475.11	1548.92	1283.18	1506.76	1138.91	632.88	1187.07	1095.2	960.148	758.256	956.337	952.905	1989.16	948.741	959.708	1574.27	1460.52	1222.58	1103.7	787.624	830.831	1202.45	1408.78	1170.63	950.967	893.285	962.819	1253.19	795.885	886.422	1119.57	990.806000000001	994.24	954.479	875.789	1580.29	698.113	1286.7	1053.18	1264.83	820.601	1448.06	880.35	2003.17	965.658	1384.21	1718.4	881.172	842.059	890.678	1237.81	1667.59	1017.73	1361.38	1117.27	1693.15	973.715	758.264	1224.86	1168.45	985.46	1333.76	1029.71	1035.09	1006.82	863.452	871.324	1889.94	1324.89	1628.65	1053.97	1386.22
SON	6281.37	7615.66	5381.51	7537.11	5745.04	5734.38	5173.37	6760.5	4689.93	2909.97	3058.62	6171.6	5042.14	6646.51	2242.36	6510.75	5889.51	3131.72	3019.93	3846.67	2849.16	2621.75	3104.56	5542.96	5861.12	2866.15	2850.32	5643.06	3034.81	3707.11	5094.9	4349.68	2938.17	2524.08	3220.15	6558.21	5921.27	6873.29	6076.7	7437.98	4062.91	2097.42	3420.93	3320.82	7866.53	5274.66	4112.07	2805.76	3351.59	5095.26	4807.28	7220.77	3954.26	5697.2	6717.72	6899.59	4040.45	4765.16	5442.87	8145.18	6180.27	5288.49	5832.25	7076.51	4687.25	2937.93	4873.58	3544.88	9047.66	4270.33	2319.59	3592.59	7428.11	2526.35	5016.67	3955.32	4584.42	4558.16	7334.83	5476.35	5489.66	5654.57	4110.55	5827.15	4390.35	3475.96	5255.18	3227	6036.07	8787.87	6491.97	5427.99	5880.14	3250.34	3537.69	4515.18	8097.99	6999.19	6202.7	3977.82	4687.78	5534.33	5455.2	5279.28	4418.72	6527.06	2230.32	4215.36	2979.42	5963.4	2426.71	4854.77	3237.92	2855.56	4278.7	7114.73	3904.79	7593.75	3908.73	4180.15	6764.69	3417	2561.97	9181.58	5934.32	4226.83	5791.94	5996.94	3846.34	5423.81	2776.32	4905.19	4156.1	2516.09	4611.13	6415.04	6341.1	5815.58	5627.02	6250.61	8614.32	3548.17	5244.86	2930.73	5071.19	5956.82	7756.7	6307.85	4777.24	3936.97	6529.69	3803.33	3642.6	2930.13	5393.31	6278.81	4503.6	5024.04	6436.14	6820.35	5840.7	5405.2	4286.42	7203	4222.32	4185.81	4649.43	4906.72	7416.41	6939.53	5666.97	6990.54	7332.07	3998.95	5944.1	4170.79	5208.25	2709.94
TADA2A	187.22	308.236	183.392	289.752	150.794	186.678	281.115	210.871	206.142	161.518	67.8161	107.635	171.758	206.427	234.623	140.187	229.155	79.1494	162.474	186.111	112.973	55.1302	135.014	200.851	231.071	176.716	125.789	181.118	134.467	84.2307	181.569	119.662	87.7607	113.711	83.3889	264.987	234.186	193.337	184.753	161.217	89.8021	306.701	173.992	95.6586	30.8008	205.741	49.2611	113.971	74.2068	163.231	106.36	113.619	97.8723	144.669	192.976	285.569	212.601	165.603	188.025	85.318	217.746	86.2944	182.46	207.095	180.723	100.116	190.996	76.4737	145.532	51.7423	40.5405	144.391	176.185	103.953	285.034	165.163	89.33	186.569	116.54	108.476	303.082	243.077	127.734	251.017	154.551	65.9781	183.938	160.096	152.426	194.881	71.9834	79.5749	194.497	99.0652	216.848	118.554	274.288	198.616	177.928	99.2387	146.444	199.574	202.003	113.883	199.515	234.583	90.1747	116.875	83.0376	291.171	127.398	181.543	129.944	74.909	188.44	160.034	76.4099	226.673	120.365	198.518	170.423	65.9253	56.2405	227.902	212.839	183.862	145.027	130.501	129.423	214.854	49.2284	213.688	266.721	161.506	272.287	334.686	187.371	224.987	180.225	157.122	192.421	32.1152	194.549	192.202	183.559	139.438	265.206	230.997	22.3735	79.273	101.281	189.538	142.662	165.69	206.775	169.492	232.614	207.12	169.351	202.272	125.796	179.378	117.053	180.269	86.5507	184.278	216.478	139.067	121.064	321.015	188.353	123.479	240.401	138.365	402.62	198.876	177.699	23.2372
